data,1241395200,527553.0;18526.0;530644.0;22166.0;496451.0;16973.0;531876.0;24609.0;1.18951112514;0.973568824964;1.31755274347,5482.0 161.0 109569;5110.0 186.0 109572;2252.0 76.0 109573;3309.0 131.0 109574;4061.0 168.0 109575;2115.0 79.0 109576;2561.0 103.0 109577;1098.0 26.0 109578;2260.0 101.0 109579;1087.0 40.0 109580;1727.0 65.0 109581;2147.0 114.0 109582;126.0 4.0 109583;134.0 10.0 109585;61.0 2.0 109586;12517.0 447.0 109476;3532.0 141.0 109517;23183.0 942.0 109524;8256.0 121.0 109536;2464.0 86.0 109539;14335.0 539.0 109551;11861.0 420.0 109561,109569.0 9853;109572.0 9853;109573.0 9853;109574.0 9853;109575.0 9853;109576.0 9853;109577.0 9853;109578.0 9853;109579.0 9853;109580.0 9853;109581.0 9853;109582.0 9853;109583.0 9853;109585.0 9853;109586.0 9853;109476.0 9853;109517.0 9853;109524.0 9853;109536.0 9853;109539.0 9853;109551.0 9853;109561.0 9853,109569 459;109572 458;109573 500;109574 436;109575 425;109576 453;109577 426;109578 439;109579 430;109580 472;109581 433;109582 453;109583 433;109585 452;109586 476;109476 430;109517 450;109524 445;109536 422;109539 438;109551 480;109561 443
data,1241395200,528024.0;18542.0;531106.0;22180.0;496899.0;16988.0;532357.0;24624.0;1.18926166536;0.973579040239;1.31720302521,5502.0 161.0 109569;5134.0 187.0 109572;2282.0 78.0 109573;3330.0 131.0 109574;4097.0 170.0 109575;2129.0 79.0 109576;2580.0 104.0 109577;1120.0 26.0 109578;2285.0 102.0 109579;1105.0 40.0 109580;1755.0 67.0 109581;2167.0 118.0 109582;147.0 4.0 109583;163.0 11.0 109585;77.0 2.0 109586;12539.0 447.0 109476;3542.0 141.0 109517;23201.0 942.0 109524;8274.0 121.0 109536;2483.0 86.0 109539;14356.0 539.0 109551;11872.0 420.0 109561,109569.0 10147;109572.0 10147;109573.0 10147;109574.0 10147;109575.0 10147;109576.0 10147;109577.0 10147;109578.0 10147;109579.0 10147;109580.0 10147;109581.0 10147;109582.0 10147;109583.0 10147;109585.0 10147;109586.0 10147;109476.0 10147;109517.0 10147;109524.0 10147;109536.0 10147;109539.0 10147;109551.0 10147;109561.0 10147,109569 519;109572 416;109573 469;109574 438;109575 484;109576 449;109577 409;109578 489;109579 441;109580 483;109581 475;109582 484;109583 477;109585 425;109586 426;109476 447;109517 430;109524 466;109536 469;109539 490;109551 474;109561 487
data,1241395800,528956.0;18567.0;532044.0;22219.0;497821.0;17015.0;533307.0;24668.0;1.18974741368;0.973725516591;1.31775437257,5524.0 161.0 109569;5181.0 190.0 109572;2369.0 83.0 109573;3367.0 132.0 109574;4142.0 171.0 109575;2159.0 79.0 109576;2648.0 108.0 109577;1152.0 27.0 109578;2341.0 105.0 109579;1139.0 42.0 109580;1802.0 69.0 109581;2256.0 122.0 109582;182.0 5.0 109583;189.0 11.0 109585;109.0 3.0 109586;12570.0 448.0 109476;3572.0 141.0 109517;23229.0 943.0 109524;8307.0 123.0 109536;2517.0 87.0 109539;14409.0 544.0 109551;11914.0 421.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 914;109572 929;109573 898;109574 905;109575 881;109576 920;109577 952;109578 922;109579 973;109580 873;109581 896;109582 923;109583 943;109585 889;109586 899;109476 884;109517 983;109524 884;109536 863;109539 875;109551 930;109561 864
data,1241396100,529919.0;18606.0;532931.0;22253.0;498695.0;17044.0;534258.0;24708.0;1.18925246188;0.973403685414;1.31717364743,5568.0 164.0 109569;5234.0 191.0 109572;2456.0 86.0 109573;3389.0 132.0 109574;4175.0 172.0 109575;2177.0 79.0 109576;2703.0 111.0 109577;1180.0 27.0 109578;2389.0 107.0 109579;1195.0 45.0 109580;1853.0 73.0 109581;2336.0 125.0 109582;211.0 5.0 109583;231.0 15.0 109585;131.0 3.0 109586;12588.0 448.0 109476;3615.0 145.0 109517;23253.0 944.0 109524;8351.0 123.0 109536;2537.0 87.0 109539;14457.0 546.0 109551;11936.0 421.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 863;109572 943;109573 923;109574 872;109575 937;109576 933;109577 897;109578 903;109579 946;109580 987;109581 907;109582 925;109583 877;109585 885;109586 879;109476 884;109517 920;109524 898;109536 893;109539 886;109551 888;109561 954
data,1241396400,530850.0;18638.0;533818.0;22297.0;499560.0;17071.0;535194.0;24731.0;1.18966787493;0.973293492586;1.31614262875,5595.0 164.0 109569;5258.0 191.0 109572;2543.0 91.0 109573;3432.0 137.0 109574;4204.0 172.0 109575;2192.0 79.0 109576;2756.0 113.0 109577;1216.0 30.0 109578;2451.0 110.0 109579;1263.0 49.0 109580;1904.0 76.0 109581;2423.0 129.0 109582;228.0 5.0 109583;269.0 16.0 109585;152.0 4.0 109586;12613.0 450.0 109476;3674.0 153.0 109517;23275.0 946.0 109524;8372.0 123.0 109536;2567.0 87.0 109539;14497.0 546.0 109551;11968.0 422.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 869;109572 926;109573 909;109574 915;109575 922;109576 861;109577 837;109578 940;109579 900;109580 945;109581 889;109582 955;109583 924;109585 909;109586 876;109476 902;109517 918;109524 881;109536 909;109539 964;109551 935;109561 914
data,1241396700,531775.0;18671.0;534763.0;22323.0;500431.0;17102.0;536150.0;24771.0;1.18891702359;0.973336555631;1.31588387878,5617.0 164.0 109569;5283.0 192.0 109572;2623.0 92.0 109573;3478.0 138.0 109574;4242.0 173.0 109575;2211.0 79.0 109576;2816.0 114.0 109577;1247.0 31.0 109578;2490.0 110.0 109579;1311.0 50.0 109580;1971.0 78.0 109581;2531.0 135.0 109582;259.0 7.0 109583;305.0 16.0 109585;168.0 5.0 109586;12643.0 451.0 109476;3795.0 157.0 109517;23310.0 947.0 109524;8393.0 123.0 109536;2578.0 87.0 109539;14543.0 548.0 109551;11983.0 422.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 865;109572 914;109573 926;109574 901;109575 960;109576 875;109577 919;109578 896;109579 933;109580 838;109581 867;109582 909;109583 920;109585 952;109586 831;109476 980;109517 968;109524 927;109536 885;109539 882;109551 924;109561 928
data,1241397000,532692.0;18705.0;535711.0;22354.0;501377.0;17132.0;537086.0;24801.0;1.18834664558;0.973110414144;1.31505471411,5632.0 164.0 109569;5315.0 194.0 109572;2721.0 97.0 109573;3521.0 138.0 109574;4270.0 173.0 109575;2229.0 80.0 109576;2872.0 118.0 109577;1279.0 31.0 109578;2546.0 112.0 109579;1367.0 51.0 109580;2028.0 81.0 109581;2652.0 141.0 109582;274.0 7.0 109583;333.0 16.0 109585;190.0 6.0 109586;12667.0 451.0 109476;3907.0 159.0 109517;23345.0 947.0 109524;8418.0 124.0 109536;2589.0 88.0 109539;14584.0 550.0 109551;12006.0 422.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 881;109572 972;109573 932;109574 864;109575 919;109576 896;109577 896;109578 953;109579 939;109580 933;109581 836;109582 922;109583 921;109585 931;109586 901;109476 894;109517 910;109524 881;109536 879;109539 868;109551 918;109561 954
data,1241397300,533611.0;18735.0;536608.0;22393.0;502305.0;17176.0;537975.0;24843.0;1.1885739656;0.973925207303;1.31526426692,5657.0 166.0 109569;5359.0 198.0 109572;2818.0 102.0 109573;3558.0 139.0 109574;4291.0 174.0 109575;2242.0 82.0 109576;2934.0 120.0 109577;1309.0 33.0 109578;2582.0 112.0 109579;1405.0 53.0 109580;2117.0 85.0 109581;2751.0 146.0 109582;292.0 7.0 109583;355.0 16.0 109585;216.0 7.0 109586;12690.0 451.0 109476;4011.0 164.0 109517;23365.0 949.0 109524;8442.0 124.0 109536;2607.0 88.0 109539;14626.0 551.0 109551;12015.0 422.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 911;109572 920;109573 912;109574 881;109575 895;109576 936;109577 893;109578 911;109579 942;109580 986;109581 917;109582 879;109583 905;109585 890;109586 877;109476 940;109517 857;109524 934;109536 936;109539 877;109551 931;109561 870
data,1241397600,534495.0;18765.0;537563.0;22425.0;503182.0;17206.0;538840.0;24881.0;1.18822356446;0.973979687593;1.31523416557,5689.0 168.0 109569;5434.0 205.0 109572;2945.0 110.0 109573;3577.0 139.0 109574;4311.0 174.0 109575;2271.0 83.0 109576;2999.0 121.0 109577;1336.0 33.0 109578;2612.0 114.0 109579;1475.0 56.0 109580;2176.0 87.0 109581;2896.0 149.0 109582;304.0 7.0 109583;373.0 17.0 109585;238.0 7.0 109586;12706.0 451.0 109476;4083.0 164.0 109517;23409.0 951.0 109524;8455.0 124.0 109536;2629.0 88.0 109539;14654.0 551.0 109551;12025.0 422.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 921;109572 889;109573 915;109574 929;109575 849;109576 862;109577 904;109578 933;109579 999;109580 927;109581 867;109582 933;109583 933;109585 871;109586 928;109476 927;109517 902;109524 926;109536 912;109539 878;109551 914;109561 881
data,1241397900,535393.0;18788.0;538465.0;22459.0;504107.0;17232.0;539749.0;24907.0;1.18857084417;0.974103480458;1.31498776352,5725.0 170.0 109569;5540.0 208.0 109572;3060.0 113.0 109573;3602.0 141.0 109574;4341.0 178.0 109575;2294.0 84.0 109576;3044.0 121.0 109577;1360.0 33.0 109578;2654.0 117.0 109579;1501.0 57.0 109580;2242.0 92.0 109581;2995.0 150.0 109582;319.0 7.0 109583;387.0 18.0 109585;259.0 8.0 109586;12728.0 451.0 109476;4156.0 167.0 109517;23450.0 952.0 109524;8468.0 124.0 109536;2642.0 89.0 109539;14679.0 551.0 109551;12053.0 424.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 893;109572 950;109573 945;109574 853;109575 952;109576 921;109577 870;109578 926;109579 910;109580 912;109581 936;109582 881;109583 975;109585 887;109586 894;109476 964;109517 859;109524 934;109536 867;109539 846;109551 938;109561 887
data,1241398200,536336.0;18805.0;539375.0;22483.0;505035.0;17263.0;540632.0;24929.0;1.18884998971;0.97489626107;1.31512405194,5766.0 173.0 109569;5626.0 208.0 109572;3190.0 117.0 109573;3627.0 141.0 109574;4399.0 180.0 109575;2315.0 84.0 109576;3070.0 121.0 109577;1379.0 33.0 109578;2691.0 117.0 109579;1551.0 58.0 109580;2327.0 92.0 109581;3066.0 153.0 109582;333.0 7.0 109583;407.0 18.0 109585;278.0 8.0 109586;12742.0 451.0 109476;4239.0 172.0 109517;23489.0 955.0 109524;8482.0 124.0 109536;2658.0 91.0 109539;14700.0 551.0 109551;12074.0 425.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 892;109572 928;109573 865;109574 932;109575 894;109576 940;109577 907;109578 900;109579 889;109580 946;109581 939;109582 893;109583 905;109585 879;109586 875;109476 879;109517 938;109524 871;109536 943;109539 896;109551 909;109561 980
