
New Run at  02/04/2015 21:47:41
, Time,  ucb1Accesses; ucb1Clicks; ucb1CTRRatio 
data,1241161800,1038.0;30.0;1.09493108048
data,1241162700,1969.0;61.0;1.05017603361
data,1241163600,3031.0;85.0;1.02559268511
data,1241164800,4037.0;112.0;1.04283971395
data,1241165700,5006.0;126.0;0.993807431083
data,1241166900,5997.0;146.0;0.956522120709
data,1241167800,7040.0;168.0;0.914685314685
data,1241169000,8062.0;203.0;0.918833740347
data,1241169900,9105.0;234.0;0.950375100413
data,1241171100,10109.0;264.0;0.957498323623
data,1241172000,11089.0;290.0;0.949406318574
data,1241172900,12121.0;315.0;0.935092427947
data,1241173500,13116.0;342.0;0.928850259225
data,1241174400,14076.0;378.0;0.942220964058
data,1241175000,15004.0;405.0;0.943599437313
data,1241175600,16008.0;455.0;0.984195402299
data,1241176200,16968.0;485.0;0.989168626268
data,1241176800,17950.0;520.0;0.992537410119
data,1241177400,18944.0;561.0;1.00240956182
data,1241177700,19636.0;582.0;0.980143827749
data,1241178300,20490.0;614.0;0.989447964861
data,1241178600,21471.0;650.0;0.974212085711
data,1241179200,22486.0;702.0;0.998934164077
data,1241179500,23460.0;741.0;0.990558481513
data,1241179800,24502.0;780.0;0.979502750694
data,1241180400,25485.0;823.0;0.98669493906
data,1241180700,26452.0;863.0;0.986625196416
data,1241181000,27433.0;914.0;1.00342459491
data,1241181300,28408.0;956.0;0.998911220742
data,1241181600,29392.0;996.0;0.992127530112
data,1241182200,30380.0;1041.0;0.993584149643
data,1241182500,31360.0;1076.0;0.981881102261
data,1241182800,32377.0;1118.0;0.978707662153
data,1241183100,33396.0;1170.0;0.988997862649
data,1241183400,34399.0;1221.0;0.996470991749
data,1241183700,35390.0;1259.0;0.996434631146
data,1241184000,36405.0;1303.0;0.997560483284
data,1241184300,37400.0;1341.0;1.00141689524
data,1241184600,38414.0;1385.0;0.993125380898
data,1241184900,39429.0;1427.0;0.985183785422
data,1241185200,40412.0;1475.0;0.988133483399
data,1241185500,41424.0;1537.0;1.00507244301
data,1241185500,42363.0;1578.0;1.00533787272
data,1241185800,43314.0;1624.0;1.0056594744
data,1241186100,43811.0;1631.0;1.00082863567
data,1241186400,44688.0;1642.0;0.987964672819
data,1241186700,45716.0;1675.0;0.978788434481
data,1241187000,46732.0;1719.0;0.97374412627
data,1241187300,47689.0;1756.0;0.967079375435
data,1241187600,48705.0;1788.0;0.958839508114
data,1241187900,49740.0;1827.0;0.951198549531
data,1241188200,50761.0;1853.0;0.940191983514
data,1241188200,51709.0;1892.0;0.939020776412
data,1241188500,52702.0;1929.0;0.934504699978
data,1241188800,53692.0;1973.0;0.937431775607
data,1241189100,54280.0;1991.0;0.936316836392
data,1241189400,54961.0;2003.0;0.924734568278
data,1241189700,55965.0;2027.0;0.915481204224
data,1241190000,56995.0;2082.0;0.922299832792
data,1241190000,57979.0;2120.0;0.919483664519
data,1241190300,58948.0;2155.0;0.917028993925
data,1241190600,59420.0;2172.0;0.916442561959
data,1241190900,60218.0;2205.0;0.918453420199
data,1241191200,61206.0;2248.0;0.919796240003
data,1241191500,62168.0;2296.0;0.922536359056
data,1241191800,63172.0;2339.0;0.923166899804
data,1241191800,64135.0;2390.0;0.931030014987
data,1241192100,65144.0;2441.0;0.933510718511
data,1241192400,66180.0;2479.0;0.930582947072
data,1241192700,67064.0;2529.0;0.933542267266
data,1241193000,67949.0;2583.0;0.941243589209
data,1241193300,68962.0;2665.0;0.954102627092
data,1241193600,69991.0;2709.0;0.956684047365
data,1241193600,71012.0;2772.0;0.965113481584
data,1241193900,71836.0;2811.0;0.966794337726
data,1241194200,72753.0;2845.0;0.963376373304
data,1241194500,73714.0;2891.0;0.96218469257
data,1241194800,74741.0;2946.0;0.965645223807
data,1241195100,75626.0;3008.0;0.974331263314
data,1241195400,76289.0;3066.0;0.984686738386
data,1241195400,77271.0;3170.0;1.00098905416
data,1241195700,78323.0;3263.0;1.0136473018
data,1241196000,79333.0;3339.0;1.02010479429
data,1241196300,80194.0;3408.0;1.0289296433
data,1241196600,81046.0;3461.0;1.0311304234
data,1241196900,81981.0;3529.0;1.03759892291
data,1241197200,82872.0;3589.0;1.04303516481
data,1241197500,83806.0;3654.0;1.05076119234
data,1241197500,84772.0;3722.0;1.05255526271
data,1241197800,85424.0;3738.0;1.04849652183
data,1241198100,86286.0;3774.0;1.04794473552
data,1241198400,87193.0;3816.0;1.04889076966
data,1241198700,87648.0;3844.0;1.04849603731
data,1241199000,88056.0;3863.0;1.04558437244
data,1241199300,88959.0;3899.0;1.04203017267
data,1241199600,89917.0;3931.0;1.03748962213
data,1241199600,90918.0;4003.0;1.03804887852
data,1241199900,91879.0;4048.0;1.03727984393
data,1241200200,92814.0;4106.0;1.03927232752
data,1241200500,93812.0;4164.0;1.04181226719
