
New Run at  02/10/2015 20:43:51
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,984.0;33.0;1008.0;29.0;979.0;29.0;0.857864357864;0.883276070202,,,
data,1241162700,1966.0;60.0;1957.0;63.0;1901.0;57.0;1.05482881962;0.982482903735,,,
data,1241163600,2933.0;84.0;2955.0;92.0;2902.0;77.0;1.08708403835;0.926458764071,,,
data,1241164800,3949.0;120.0;3952.0;121.0;3894.0;101.0;1.00756789811;0.853554613936,,,
data,1241165700,4969.0;141.0;4934.0;147.0;4892.0;123.0;1.04994868434;0.886071049564,,,
data,1241166900,5917.0;156.0;5973.0;182.0;5886.0;149.0;1.15572855628;0.960158611917,,,
data,1241167800,6869.0;177.0;6998.0;214.0;6921.0;176.0;1.18675230857;0.986879365756,,,
data,1241169000,7910.0;207.0;7987.0;237.0;7953.0;207.0;1.13388967217;0.994593235257,,,
data,1241169900,8925.0;226.0;8974.0;265.0;8966.0;227.0;1.16616390319;0.999831714303,,,
data,1241171100,9950.0;251.0;10007.0;297.0;9991.0;258.0;1.17652702869;1.02367030726,,,
data,1241172000,11031.0;280.0;11004.0;328.0;11004.0;282.0;1.17430285091;1.00961403645,,,
data,1241172900,12054.0;309.0;11984.0;352.0;11988.0;300.0;1.1458125397;0.976218937384,,,
data,1241173500,13027.0;344.0;12974.0;383.0;12995.0;334.0;1.11792032186;0.973321134247,,,
data,1241174400,14025.0;373.0;14022.0;439.0;14003.0;374.0;1.17719550626;1.0042562691,,,
data,1241175000,15007.0;404.0;14994.0;481.0;14917.0;406.0;1.1916263205;1.01101374802,,,
data,1241175600,16033.0;434.0;16030.0;528.0;15907.0;445.0;1.21681754544;1.03346742688,,,
data,1241176200,17029.0;465.0;17073.0;572.0;16886.0;474.0;1.22693733235;1.02798730003,,,
data,1241176800,18042.0;513.0;18072.0;607.0;17875.0;506.0;1.18127166448;0.995569950517,,,
data,1241177400,19066.0;556.0;19086.0;649.0;18886.0;545.0;1.16604302223;0.989558136399,,,
