
New Run at  02/04/2015 22:25:17
, Time,  ucb1Accesses; ucb1Clicks; ucb1CTRRatio 
data,1241248200,207135.0;9216.0;1.07685728573
data,1241249100,208251.0;9245.0;1.07665124833
data,1241249700,209326.0;9267.0;1.075890285
data,1241250900,210359.0;9298.0;1.07669293183
data,1241251800,211469.0;9323.0;1.07653689764
data,1241252700,212505.0;9345.0;1.07622141161
data,1241253600,213564.0;9373.0;1.07705093823
data,1241254800,214654.0;9401.0;1.0769560658
data,1241255700,215658.0;9419.0;1.07632725772
data,1241256900,216690.0;9438.0;1.07541221379
data,1241257800,217756.0;9456.0;1.07529766891
data,1241259000,218818.0;9475.0;1.07504812189
data,1241259900,219877.0;9494.0;1.0749266321
data,1241260800,220925.0;9507.0;1.07368150177
data,1241261700,221940.0;9522.0;1.07285564535
data,1241262300,223000.0;9551.0;1.07361818248
data,1241263200,223992.0;9574.0;1.07389084796
data,1241263800,225069.0;9598.0;1.07246864905
data,1241264400,226092.0;9621.0;1.07171347978
data,1241265000,227078.0;9649.0;1.07108917703
data,1241265600,228150.0;9678.0;1.07019401849
data,1241266200,229220.0;9719.0;1.07083805656
data,1241266800,230297.0;9758.0;1.0715314676
data,1241267400,231345.0;9804.0;1.07229126625
data,1241267700,232442.0;9851.0;1.07376781885
data,1241268300,233488.0;9881.0;1.07324808782
data,1241268900,234559.0;9904.0;1.07199894226
data,1241269200,235618.0;9940.0;1.07238908678
data,1241269800,236675.0;9973.0;1.07298640514
data,1241270100,237730.0;10004.0;1.07346070076
data,1241270400,238787.0;10038.0;1.07316199548
data,1241271000,239797.0;10071.0;1.07292935664
data,1241271300,240853.0;10114.0;1.07412541667
data,1241271600,241947.0;10153.0;1.07490785967
data,1241272200,243008.0;10189.0;1.07615080377
data,1241272500,244076.0;10230.0;1.0758048547
data,1241272800,245158.0;10263.0;1.07508334131
data,1241273400,246245.0;10295.0;1.07485437703
data,1241273700,247099.0;10329.0;1.07674660032
data,1241274000,247328.0;10334.0;1.07772618517
data,1241274300,248053.0;10356.0;1.07847779499
data,1241274600,249014.0;10385.0;1.0787998405
data,1241275200,249175.0;10390.0;1.07911045729
data,1241275500,250101.0;10420.0;1.07896474567
data,1241275800,251075.0;10447.0;1.07866716103
data,1241276100,252028.0;10472.0;1.07820816443
data,1241276400,253019.0;10508.0;1.07845454824
data,1241277000,253951.0;10539.0;1.07907153504
data,1241277300,254892.0;10573.0;1.07922280351
data,1241277600,255799.0;10610.0;1.07975450589
data,1241277900,256760.0;10647.0;1.08045370855
data,1241278200,257731.0;10676.0;1.0793706605
data,1241278500,258653.0;10707.0;1.07942805821
data,1241279100,259550.0;10736.0;1.07967512877
data,1241279400,260517.0;10774.0;1.0792555185
data,1241279700,261451.0;10807.0;1.07874230499
data,1241280000,262392.0;10841.0;1.07975424358
data,1241280300,263100.0;10867.0;1.08023536658
data,1241280600,263930.0;10886.0;1.07931614872
data,1241281200,264839.0;10919.0;1.07883685778
data,1241281500,265734.0;10947.0;1.07937208475
data,1241281800,266687.0;10976.0;1.07974102288
data,1241282100,267680.0;11007.0;1.0800293085
data,1241282400,268639.0;11041.0;1.08033236098
data,1241282700,269581.0;11078.0;1.08056973102
data,1241283300,270041.0;11098.0;1.08066128144
data,1241283600,271020.0;11134.0;1.08154306009
data,1241283900,271963.0;11168.0;1.08281966113
data,1241284200,272917.0;11214.0;1.08447323491
data,1241284500,273835.0;11239.0;1.08532844847
data,1241285100,274834.0;11267.0;1.08461290303
data,1241285400,275798.0;11302.0;1.08449473485
data,1241285700,276688.0;11333.0;1.08501365478
data,1241286000,277638.0;11359.0;1.08423474015
data,1241286300,278566.0;11379.0;1.08330778798
data,1241286900,279490.0;11408.0;1.08239670707
data,1241287200,280391.0;11441.0;1.08274712866
data,1241287500,281180.0;11458.0;1.08159607239
data,1241287800,281753.0;11474.0;1.08146188727
data,1241288100,281939.0;11482.0;1.08180639642
data,1241288700,282749.0;11509.0;1.08149002517
data,1241289000,283031.0;11513.0;1.07990136265
data,1241289300,283954.0;11556.0;1.08067072379
data,1241289600,284847.0;11583.0;1.08010350551
data,1241290200,285708.0;11609.0;1.07867372262
data,1241290500,286568.0;11634.0;1.07813280802
data,1241290800,287469.0;11659.0;1.07710610971
data,1241291100,288369.0;11678.0;1.07566510149
data,1241291700,289262.0;11701.0;1.07499240855
data,1241292000,290138.0;11735.0;1.07613029601
data,1241292300,290602.0;11749.0;1.07589486912
data,1241292600,291290.0;11769.0;1.07523568268
data,1241293200,292211.0;11794.0;1.07498260927
data,1241293500,293065.0;11821.0;1.07496010502
data,1241293800,293978.0;11848.0;1.07480220205
data,1241294400,294847.0;11875.0;1.07527736223
data,1241294700,295765.0;11898.0;1.07437110363
data,1241295000,296690.0;11937.0;1.07492044197
data,1241295300,297624.0;11977.0;1.0748960791
data,1241295900,298560.0;12010.0;1.07512342514
data,1241296200,299181.0;12027.0;1.07527819613
data,1241296500,299693.0;12043.0;1.07469522986
data,1241297100,300486.0;12068.0;1.07491551698
data,1241297400,301411.0;12099.0;1.07387331565
data,1241297700,302281.0;12128.0;1.07379832646
data,1241298000,303250.0;12153.0;1.07247146546
data,1241298600,304201.0;12189.0;1.07169252582
data,1241298900,305229.0;12213.0;1.07053926725
data,1241299200,306172.0;12238.0;1.06966012821
data,1241299800,307165.0;12268.0;1.06845624454
data,1241300100,308104.0;12290.0;1.06718404441
data,1241300700,309017.0;12323.0;1.06681129229
data,1241301000,309902.0;12350.0;1.0668269565
data,1241301300,310857.0;12381.0;1.06657454846
data,1241301900,311766.0;12410.0;1.06584374657
data,1241302200,312749.0;12455.0;1.06716066437
data,1241302500,313706.0;12481.0;1.0668632225
data,1241303100,314626.0;12515.0;1.06722683236
data,1241303400,315576.0;12544.0;1.06735293393
data,1241304000,316516.0;12568.0;1.06653786604
data,1241304300,317422.0;12585.0;1.06514908466
data,1241304600,318389.0;12615.0;1.06467990234
data,1241305200,319296.0;12640.0;1.06429906759
data,1241305500,320162.0;12677.0;1.06453289293
data,1241306100,321112.0;12718.0;1.06525519596
data,1241306400,322058.0;12757.0;1.0657795892
data,1241306700,323036.0;12794.0;1.06660026061
data,1241307300,323868.0;12832.0;1.06779308248
data,1241307600,324274.0;12845.0;1.06813602627
data,1241307900,325270.0;12876.0;1.06737402809
data,1241308500,326146.0;12902.0;1.06650996842
data,1241308800,326611.0;12912.0;1.06673180811
data,1241309400,327311.0;12949.0;1.06801121313
data,1241309700,328339.0;12982.0;1.0679588278
data,1241310000,329306.0;13009.0;1.06718559686
data,1241310600,330261.0;13031.0;1.06707405571
data,1241310900,331206.0;13057.0;1.0654446359
data,1241311200,332173.0;13094.0;1.06551369012
data,1241311800,333173.0;13120.0;1.06474413826
data,1241312100,334075.0;13149.0;1.06490894626
data,1241312400,335013.0;13182.0;1.06500003968
data,1241313000,335933.0;13210.0;1.06397065745
data,1241313300,336900.0;13241.0;1.06373082052
data,1241313600,337868.0;13268.0;1.0629198507
data,1241314200,338826.0;13301.0;1.06290769354
data,1241314500,339783.0;13323.0;1.06246300914
data,1241314800,340718.0;13353.0;1.06251896739
data,1241315400,341638.0;13380.0;1.06198216947
data,1241315700,342483.0;13404.0;1.06181620694
data,1241316000,343348.0;13466.0;1.06496076652
data,1241316600,344303.0;13523.0;1.06696161137
data,1241316900,345322.0;13565.0;1.06756875326
data,1241317200,346298.0;13608.0;1.06863137689
data,1241317800,347313.0;13647.0;1.06935755271
data,1241318100,348308.0;13696.0;1.07103171345
data,1241318400,349336.0;13716.0;1.07004904373
data,1241319000,350360.0;13749.0;1.07021630365
data,1241319300,351357.0;13778.0;1.06977507234
data,1241319900,352327.0;13808.0;1.0696755406
data,1241320200,353320.0;13828.0;1.06923596918
data,1241320500,353802.0;13845.0;1.0690715112
data,1241321100,354649.0;13867.0;1.06893705544
data,1241321400,355596.0;13897.0;1.06852084625
data,1241322000,355895.0;13902.0;1.06845853685
data,1241322300,356819.0;13927.0;1.06759142912
data,1241322900,357756.0;13950.0;1.06764629694
data,1241323200,358630.0;13993.0;1.06873953884
