
New Run at  01/22/2015 18:47:52
, Time, randomLearnAccesses; randomClicks; exp3LearnAccess; exp3Clicks; exp3CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241766300,1190811.0;43902.0;1197694.0;50017.0;1.13274015893,5.0 0.0 109697;5.0 0.0 109698;41433.0 1791.0 109635;2.0 0.0 109699;1.0 0.0 109701;6.0 0.0 109702;20002.0 1115.0 109704;2.0 0.0 109673;6.0 0.0 109706;8.0 0.0 109675;1.0 0.0 109708;34713.0 1329.0 109709;2.0 0.0 109710;2.0 0.0 109707;2.0 0.0 109651;0.0 0.0 109716;10.0 0.0 109689;40946.0 1619.0 109690;40599.0 874.0 109667;21.0 0.0 109660,109697.0 13242;109635.0 13242;109667.0 13242;109699.0 13242;109701.0 13242;109702.0 13242;109704.0 13242;109673.0 13242;109706.0 13242;109707.0 13242;109708.0 13242;109709.0 13242;109710.0 13242;109651.0 13242;109716.0 13242;109698.0 13242;109689.0 13242;109690.0 13242;109675.0 13242;109660.0 13242,109697 637;109698 681;109635 672;109699 645;109701 681;109702 646;109704 686;109673 651;109706 672;109675 635;109708 676;109709 692;109710 671;109707 646;109651 672;109716 676;109689 665;109690 658;109667 643;109660 637
data,1241766900,1191805.0;43918.0;1198733.0;50038.0;1.13276580465,5.0 0.0 109697;5.0 0.0 109698;2.0 0.0 109699;1.0 0.0 109701;6.0 0.0 109702;20002.0 1115.0 109704;2.0 0.0 109673;6.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;35752.0 1350.0 109709;2.0 0.0 109710;2.0 0.0 109651;40599.0 874.0 109667;0.0 0.0 109716;41433.0 1791.0 109635;10.0 0.0 109689;40946.0 1619.0 109690;8.0 0.0 109675;21.0 0.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1024;109698 1008;109699 1020;109701 982;109702 971;109704 962;109673 979;109706 973;109707 1033;109708 1016;109709 1039;109710 1042;109651 955;109667 1049;109716 1022;109635 1004;109689 946;109690 992;109675 985;109660 998
data,1241767800,1192778.0;43943.0;1199787.0;50071.0;1.13279684396,5.0 0.0 109697;5.0 0.0 109698;41433.0 1791.0 109635;2.0 0.0 109699;1.0 0.0 109701;6.0 0.0 109702;20002.0 1115.0 109704;2.0 0.0 109673;6.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;36806.0 1383.0 109709;2.0 0.0 109710;40599.0 874.0 109667;0.0 0.0 109716;2.0 0.0 109651;10.0 0.0 109689;40946.0 1619.0 109690;8.0 0.0 109675;21.0 0.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 993;109698 985;109635 1008;109699 1021;109701 960;109702 956;109704 1015;109673 1015;109706 965;109707 999;109708 982;109709 1054;109710 1057;109667 997;109716 991;109651 971;109689 1021;109690 975;109675 977;109660 1058
