
New Run at  01/22/2015 21:26:55
, Time, randomLearnAccesses; randomClicks; exp3LearnAccess; exp3Clicks; exp3CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241428500,200242.0;6058.0;200926.0;7958.0;1.30916293678,8.0 0.0 109536;14.0 0.0 109476;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;14.0 0.0 109517;22.0 0.0 109582;5130.0 109.0 109583;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;10448.0 134.0 109589;17.0 0.0 109524;12.0 0.0 109581;14.0 0.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1021;109476 943;109574 1000;109575 1012;109576 1037;109577 983;109578 995;109580 1016;109517 1026;109582 988;109583 993;109584 997;109585 1014;109586 1019;109587 988;109588 984;109589 967;109524 986;109581 1029;109572 1002
data,1241429400,201244.0;6074.0;201945.0;7970.0;1.30759535724,8.0 0.0 109536;14.0 0.0 109572;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;14.0 0.0 109517;22.0 0.0 109582;12.0 0.0 109581;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;11467.0 146.0 109589;14.0 0.0 109476;5130.0 109.0 109583;17.0 0.0 109524,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 986;109572 970;109574 1058;109575 954;109576 960;109577 990;109578 993;109580 1013;109517 959;109582 1033;109581 981;109584 1019;109585 1046;109586 957;109587 1030;109588 1006;109589 1019;109476 1009;109583 1012;109524 1005
data,1241430000,202303.0;6093.0;202919.0;7981.0;1.30588743243,8.0 0.0 109536;14.0 0.0 109572;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;12.0 0.0 109581;14.0 0.0 109517;22.0 0.0 109582;5130.0 109.0 109583;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;12441.0 157.0 109589;14.0 0.0 109476;17.0 0.0 109524;10.0 0.0 109580,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1040;109572 1004;109574 1014;109575 1007;109576 1006;109577 1008;109578 1023;109581 971;109517 956;109582 979;109583 959;109584 987;109585 1044;109586 986;109587 997;109588 970;109589 974;109476 1061;109524 1008;109580 1006
data,1241430900,203355.0;6109.0;203874.0;7997.0;1.30571977692,8.0 0.0 109536;14.0 0.0 109572;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;12.0 0.0 109581;22.0 0.0 109582;5130.0 109.0 109583;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;13396.0 173.0 109589;14.0 0.0 109476;17.0 0.0 109524;14.0 0.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1082;109572 1038;109574 1044;109575 977;109576 1001;109577 1088;109578 981;109580 956;109581 1014;109582 1003;109583 1009;109584 1021;109585 1016;109586 1013;109587 966;109588 970;109589 955;109476 936;109524 969;109517 961
data,1241431500,204331.0;6118.0;204833.0;8008.0;1.30571660314,8.0 0.0 109536;14.0 0.0 109476;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;12.0 0.0 109581;22.0 0.0 109582;5130.0 109.0 109583;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;14355.0 184.0 109589;17.0 0.0 109524;14.0 0.0 109517;14.0 0.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 970;109476 1017;109574 983;109575 1003;109576 967;109577 1044;109578 996;109580 1018;109581 989;109582 1005;109583 979;109584 942;109585 1033;109586 1011;109587 1012;109588 1037;109589 959;109524 1015;109517 993;109572 1027
data,1241432400,205396.0;6135.0;205854.0;8020.0;1.30434498449,8.0 0.0 109536;14.0 0.0 109476;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;14.0 0.0 109517;10.0 0.0 109580;12.0 0.0 109581;22.0 0.0 109582;5130.0 109.0 109583;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;15376.0 196.0 109589;17.0 0.0 109524;9.0 0.0 109578;14.0 0.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 953;109476 1010;109574 988;109575 1026;109576 997;109577 1052;109517 986;109580 992;109581 1029;109582 1014;109583 967;109584 1000;109585 1007;109586 1017;109587 978;109588 990;109589 1021;109524 1017;109578 965;109572 991
data,1241433000,206355.0;6157.0;206848.0;8034.0;1.30174627636,8.0 0.0 109536;14.0 0.0 109476;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;14.0 0.0 109517;22.0 0.0 109582;12.0 0.0 109581;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;16370.0 210.0 109589;0.0 0.0 109591;17.0 0.0 109524;5130.0 109.0 109583;14.0 0.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109591.0 2685;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 983;109476 1026;109574 1033;109575 955;109576 1056;109577 1030;109578 1008;109580 962;109517 1051;109582 973;109581 991;109584 993;109585 1029;109586 1034;109587 978;109588 950;109589 994;109591 32;109524 957;109583 997;109572 968
data,1241433600,207349.0;6174.0;207862.0;8052.0;1.3009601225,8.0 0.0 109536;14.0 0.0 109476;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;12.0 0.0 109581;22.0 0.0 109582;5130.0 109.0 109583;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;17.0 0.0 109524;17384.0 228.0 109589;0.0 0.0 109591;14.0 0.0 109572;14.0 0.0 109517;14.0 0.0 109588,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109591.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 6405,109536 907;109476 1019;109574 1012;109575 992;109576 1001;109577 964;109578 1005;109580 1034;109581 1012;109582 1019;109583 976;109584 1006;109585 1004;109586 973;109587 1055;109524 985;109589 1014;109591 775;109572 273;109517 966;109588 1008
data,1241434200,208344.0;6190.0;208909.0;8067.0;1.29970639449,8.0 0.0 109536;14.0 0.0 109476;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;12.0 0.0 109581;22.0 0.0 109582;14.0 0.0 109517;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;18431.0 243.0 109589;0.0 0.0 109591;17.0 0.0 109524;5130.0 109.0 109583,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109591.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000,109536 1008;109476 959;109574 989;109575 963;109576 1043;109577 1028;109578 975;109580 1024;109581 946;109582 1030;109517 1007;109584 992;109585 1017;109586 976;109587 1015;109588 1031;109589 1047;109591 995;109524 996;109583 959
data,1241434800,209309.0;6214.0;209863.0;8088.0;1.29814115816,8.0 0.0 109536;14.0 0.0 109476;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;12.0 0.0 109581;14.0 0.0 109517;22.0 0.0 109582;5130.0 109.0 109583;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;19385.0 264.0 109589;0.0 0.0 109591;17.0 0.0 109524;10.0 0.0 109580,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109591.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000,109536 954;109476 998;109574 977;109575 1013;109576 997;109577 978;109578 980;109581 1002;109517 1068;109582 1019;109583 959;109584 1039;109585 1014;109586 978;109587 1009;109588 1004;109589 954;109591 1036;109524 1019;109580 1002
