
New Run at  01/27/2015 03:20:52
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241679900,1343240.0;49370.0;1351019.0;62221.0;1312972.0;48802.0;1.25304312724;1.0112828561,1355.0 45.0 109680;4008.0 146.0 109666;2359.0 32.0 109667;3410.0 112.0 109668;24508.0 1461.0 109670;2759.0 43.0 109660;2703.0 91.0 109674;8048.0 489.0 109676;1086.0 17.0 109678;1898.0 82.0 109679;1499.0 26.0 109648;2966.0 121.0 109681;987.0 36.0 109682;24739.0 1111.0 109635;9252.0 353.0 109652;5347.0 170.0 109656;689.0 28.0 109683;8119.0 205.0 109628;5645.0 214.0 109661;8700.0 425.0 109663,109648.0 14595;109666.0 14595;109635.0 14595;109668.0 14595;109670.0 14595;109628.0 14595;109674.0 14595;109676.0 14595;109678.0 14595;109679.0 14595;109680.0 14595;109681.0 14595;109682.0 14595;109683.0 14595;109652.0 14595;109656.0 14595;109667.0 14595;109660.0 14595;109661.0 14595;109663.0 14595,109680 783;109666 751;109667 741;109668 696;109670 734;109660 728;109674 757;109676 744;109678 737;109679 746;109648 738;109681 686;109682 698;109635 710;109652 747;109656 657;109683 747;109628 755;109661 713;109663 727
data,1241680500,1344211.0;49395.0;1351992.0;62274.0;1313968.0;48822.0;1.25347909616;1.01114917757,1383.0 46.0 109680;4035.0 146.0 109666;2368.0 32.0 109667;3429.0 112.0 109668;25129.0 1503.0 109670;8132.0 206.0 109628;2722.0 92.0 109674;8091.0 492.0 109676;1107.0 18.0 109678;1917.0 83.0 109679;1515.0 26.0 109648;2980.0 121.0 109681;1002.0 36.0 109682;716.0 29.0 109683;9264.0 353.0 109652;24751.0 1112.0 109635;5364.0 170.0 109656;2772.0 43.0 109660;5662.0 214.0 109661;8711.0 426.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 982;109666 1038;109667 989;109668 987;109670 973;109628 993;109674 999;109676 973;109678 1022;109679 987;109648 1044;109681 957;109682 960;109683 1014;109652 1019;109635 1047;109656 982;109660 978;109661 967;109663 1089
data,1241681400,1345200.0;49414.0;1353081.0;62320.0;1314981.0;48845.0;1.25383531174;1.01120098478,1422.0 48.0 109680;4057.0 146.0 109666;2387.0 32.0 109667;3442.0 112.0 109668;25817.0 1540.0 109670;8150.0 206.0 109628;2735.0 92.0 109674;8152.0 495.0 109676;1123.0 18.0 109678;1929.0 83.0 109679;1535.0 26.0 109648;3003.0 122.0 109681;1020.0 38.0 109682;24767.0 1112.0 109635;9287.0 353.0 109652;5389.0 170.0 109656;736.0 29.0 109683;2784.0 43.0 109660;5675.0 215.0 109661;8729.0 426.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 1002;109666 985;109667 982;109668 965;109670 1033;109628 1063;109674 1053;109676 1010;109678 974;109679 977;109648 1019;109681 1026;109682 943;109635 981;109652 965;109656 1024;109683 1015;109660 1043;109661 946;109663 994
data,1241682000,1346178.0;49436.0;1354130.0;62366.0;1315981.0;48874.0;1.25414195282;1.01131728644,1553.0 26.0 109648;4065.0 146.0 109666;24789.0 1112.0 109635;3454.0 112.0 109668;26515.0 1573.0 109670;8166.0 207.0 109628;2753.0 94.0 109674;8190.0 495.0 109676;1150.0 18.0 109678;1949.0 87.0 109679;1458.0 49.0 109680;3015.0 122.0 109681;1036.0 38.0 109682;2400.0 32.0 109667;9303.0 354.0 109652;5404.0 170.0 109656;760.0 29.0 109683;2794.0 43.0 109660;5688.0 215.0 109661;8746.0 430.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1049;109666 970;109635 1049;109668 985;109670 1023;109628 1002;109674 966;109676 949;109678 996;109679 979;109680 929;109681 1027;109682 1008;109667 1023;109652 1019;109656 1032;109683 1012;109660 962;109661 1000;109663 1020
data,1241682900,1347102.0;49453.0;1355122.0;62410.0;1317002.0;48900.0;1.25453743454;1.0114170324,1567.0 26.0 109648;4080.0 147.0 109666;24806.0 1112.0 109635;3469.0 113.0 109668;27198.0 1612.0 109670;2807.0 43.0 109660;2763.0 94.0 109674;8213.0 496.0 109676;1169.0 18.0 109678;1965.0 87.0 109679;1488.0 49.0 109680;3035.0 122.0 109681;1052.0 39.0 109682;2411.0 32.0 109667;9314.0 354.0 109652;5426.0 171.0 109656;781.0 29.0 109683;8180.0 207.0 109628;5696.0 215.0 109661;8760.0 430.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 998;109666 1003;109635 999;109668 973;109670 1030;109660 968;109674 978;109676 935;109678 1005;109679 1053;109680 1012;109681 1024;109682 953;109667 1007;109652 1019;109656 1044;109683 927;109628 1040;109661 1025;109663 1007
data,1241683500,1348102.0;49481.0;1356077.0;62437.0;1318038.0;48927.0;1.25441709127;1.01135806239,1582.0 26.0 109648;4088.0 147.0 109666;24824.0 1112.0 109635;3487.0 114.0 109668;27870.0 1634.0 109670;2824.0 44.0 109660;2779.0 95.0 109674;8240.0 497.0 109676;1186.0 18.0 109678;1981.0 87.0 109679;1505.0 49.0 109680;3049.0 122.0 109681;1070.0 40.0 109682;2421.0 32.0 109667;9325.0 354.0 109652;5436.0 171.0 109656;793.0 29.0 109683;8197.0 207.0 109628;5709.0 215.0 109661;8769.0 430.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 990;109666 953;109635 1070;109668 992;109670 1007;109660 971;109674 992;109676 1066;109678 1043;109679 1001;109680 1025;109681 962;109682 1033;109667 1019;109652 896;109656 1023;109683 960;109628 1022;109661 992;109663 983
