data,1241493300,421297.0;15180.0;421723.0;14628.0;0.962662954335,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;23748.0 790.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 917;109596 911;109597 851;109598 824;109599 867;109600 909;109601 858;109602 806;109603 857;109476 837;109605 940;109606 851;109608 875;109609 879;109610 883;109611 877;109612 855;109613 884;109614 838;109615 858;109617 926;109618 842;109517 855
data,1241493600,422205.0;15215.0;422543.0;14649.0;0.962029707039,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;24568.0 811.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 804;109596 877;109597 915;109598 861;109599 872;109600 857;109601 859;109602 948;109603 887;109476 820;109605 825;109606 915;109608 860;109609 886;109610 835;109611 844;109612 907;109613 893;109614 862;109615 922;109617 839;109618 870;109517 842
data,1241493900,423138.0;15249.0;423422.0;14675.0;0.961712709093,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;25447.0 837.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 857;109596 894;109597 857;109598 866;109599 885;109600 871;109601 876;109602 881;109603 905;109476 879;109605 833;109606 835;109608 895;109609 821;109610 862;109611 876;109612 866;109613 854;109614 860;109615 939;109617 892;109618 850;109517 846
data,1241494200,424009.0;15288.0;424297.0;14708.0;0.961408729293,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;26322.0 870.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 835;109596 884;109597 866;109598 851;109599 874;109600 860;109601 857;109602 859;109603 875;109476 875;109605 883;109606 866;109608 881;109609 866;109610 823;109611 893;109612 904;109613 871;109614 890;109615 866;109617 839;109618 925;109517 857
data,1241494500,424935.0;15333.0;425198.0;14735.0;0.960404740194,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;27223.0 897.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 877;109596 856;109597 858;109598 831;109599 840;109600 835;109601 870;109602 851;109603 879;109476 901;109605 890;109606 881;109608 871;109609 867;109610 852;109611 893;109612 866;109613 893;109614 895;109615 876;109617 908;109618 880;109517 830
data,1241494800,425877.0;15363.0;426032.0;14759.0;0.96033524342,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;28057.0 921.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 905;109596 849;109597 900;109598 842;109599 853;109600 853;109601 897;109602 850;109603 816;109476 834;109605 895;109606 834;109608 883;109609 827;109610 888;109611 892;109612 900;109613 846;109614 891;109615 887;109617 911;109618 825;109517 922
data,1241495100,426761.0;15400.0;426897.0;14774.0;0.959045021323,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;28922.0 936.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 846;109596 894;109597 873;109598 945;109599 906;109600 913;109601 885;109602 892;109603 834;109476 865;109605 830;109606 850;109608 899;109609 860;109610 840;109611 903;109612 895;109613 813;109614 878;109615 808;109617 896;109618 858;109517 817
data,1241495700,427656.0;15439.0;427762.0;14798.0;0.95824425388,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;29787.0 960.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 857;109596 911;109597 871;109598 893;109599 792;109600 853;109601 924;109602 858;109603 834;109476 865;109605 895;109606 868;109608 860;109609 896;109610 871;109611 834;109612 857;109613 875;109614 878;109615 886;109617 918;109618 859;109517 845
data,1241496000,428556.0;15477.0;428628.0;14817.0;0.957195262166,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;30653.0 979.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 868;109596 896;109597 887;109598 883;109599 853;109600 897;109601 859;109602 860;109603 857;109476 866;109605 848;109606 834;109608 877;109609 821;109610 904;109611 882;109612 833;109613 884;109614 921;109615 875;109617 920;109618 791;109517 884
data,1241496300,429400.0;15513.0;429504.0;14839.0;0.956320949394,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;31529.0 1001.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 886;109596 881;109597 920;109598 927;109599 894;109600 882;109601 872;109602 879;109603 844;109476 876;109605 846;109606 867;109608 839;109609 900;109610 833;109611 830;109612 851;109613 889;109614 868;109615 856;109617 882;109618 817;109517 861
