data,1241466900,332380.0;11023.0;334870.0;10787.0;0.971313696278,5.0 0.0 109600;0.0 0.0 109601;22882.0 802.0 109476;0.0 0.0 109605;0.0 0.0 109606;24.0 0.0 109577;27.0 0.0 109578;30.0 0.0 109580;17.0 0.0 109581;20.0 0.0 109582;28.0 0.0 109517;38075.0 1615.0 109584;34.0 0.0 109524;23932.0 1311.0 109591;6.0 0.0 109592;5.0 0.0 109594;3.0 0.0 109595;22109.0 952.0 109596;2.0 0.0 109597;0.0 0.0 109598;2.0 0.0 109599,109600.0 4857;109601.0 4857;109476.0 4857;109605.0 4857;109606.0 4857;109577.0 4857;109578.0 4857;109580.0 4857;109517.0 4857;109582.0 4857;109581.0 4857;109584.0 4857;109524.0 4857;109591.0 4857;109592.0 4857;109594.0 4857;109595.0 4857;109596.0 4857;109597.0 4857;109598.0 4857;109599.0 4857,109600 241;109601 205;109476 257;109605 220;109606 252;109577 223;109578 241;109580 225;109581 222;109582 196;109517 225;109584 231;109524 239;109591 227;109592 228;109594 246;109595 217;109596 230;109597 262;109598 218;109599 252
data,1241467200,333074.0;11060.0;335571.0;10816.0;0.970661629494,27.0 0.0 109577;29.0 0.0 109578;36.0 0.0 109580;19.0 0.0 109581;24.0 0.0 109582;38078.0 1615.0 109584;23934.0 1311.0 109591;8.0 0.0 109592;7.0 0.0 109594;4.0 0.0 109595;22115.0 952.0 109596;6.0 0.0 109597;4.0 0.0 109598;4.0 0.0 109599;642.0 29.0 109600;5.0 0.0 109601;22884.0 802.0 109476;5.0 0.0 109605;4.0 0.0 109606;0.0 0.0 109607;29.0 0.0 109517;38.0 0.0 109524,109577.0 15143;109578.0 15143;109580.0 15143;109581.0 15143;109582.0 15143;109584.0 15143;109591.0 15143;109592.0 15143;109594.0 15143;109595.0 15143;109596.0 15143;109597.0 15143;109598.0 15143;109599.0 15143;109600.0 15143;109601.0 15143;109476.0 15143;109605.0 15143;109606.0 15143;109607.0 6518;109517.0 15143;109524.0 15143,109577 691;109578 643;109580 693;109581 720;109582 773;109584 700;109591 719;109592 741;109594 747;109595 701;109596 672;109597 701;109598 650;109599 730;109600 688;109601 688;109476 729;109605 715;109606 749;109607 149;109517 750;109524 794
data,1241467200,333974.0;11095.0;336498.0;10847.0;0.970314462166,27.0 0.0 109577;29.0 0.0 109578;36.0 0.0 109580;19.0 0.0 109581;24.0 0.0 109582;38078.0 1615.0 109584;23934.0 1311.0 109591;8.0 0.0 109592;7.0 0.0 109594;4.0 0.0 109595;22115.0 952.0 109596;6.0 0.0 109597;4.0 0.0 109598;4.0 0.0 109599;1569.0 60.0 109600;5.0 0.0 109601;22884.0 802.0 109476;5.0 0.0 109605;4.0 0.0 109606;0.0 0.0 109607;29.0 0.0 109517;38.0 0.0 109524,109577.0 20000;109578.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109584.0 20000;109591.0 20000;109592.0 20000;109594.0 20000;109595.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109607.0 20000;109517.0 20000;109524.0 20000,109577 931;109578 558;109580 1015;109581 880;109582 1011;109584 892;109591 983;109592 916;109594 974;109595 1004;109596 960;109597 1008;109598 923;109599 938;109600 927;109601 992;109476 944;109605 924;109606 948;109607 381;109517 946;109524 945
data,1241467500,334954.0;11136.0;337472.0;10870.0;0.968830371717,27.0 0.0 109577;29.0 0.0 109578;36.0 0.0 109580;19.0 0.0 109581;24.0 0.0 109582;38078.0 1615.0 109584;23934.0 1311.0 109591;8.0 0.0 109592;7.0 0.0 109594;4.0 0.0 109595;22115.0 952.0 109596;6.0 0.0 109597;4.0 0.0 109598;4.0 0.0 109599;2543.0 83.0 109600;5.0 0.0 109601;22884.0 802.0 109476;5.0 0.0 109605;4.0 0.0 109606;0.0 0.0 109607;29.0 0.0 109517;38.0 0.0 109524,109577.0 20000;109578.0 119;109580.0 20000;109581.0 20000;109582.0 20000;109584.0 20000;109591.0 20000;109592.0 20000;109594.0 20000;109595.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109607.0 20000;109517.0 20000;109524.0 20000,109577 980;109578 3;109580 938;109581 891;109582 972;109584 941;109591 920;109592 947;109594 962;109595 918;109596 914;109597 996;109598 899;109599 938;109600 974;109601 1008;109476 932;109605 974;109606 1013;109607 989;109517 946;109524 945
data,1241467800,335909.0;11175.0;338426.0;10907.0;0.968758889075,27.0 0.0 109577;36.0 0.0 109580;19.0 0.0 109581;24.0 0.0 109582;38078.0 1615.0 109584;23934.0 1311.0 109591;8.0 0.0 109592;7.0 0.0 109594;4.0 0.0 109595;22115.0 952.0 109596;6.0 0.0 109597;4.0 0.0 109598;4.0 0.0 109599;3497.0 120.0 109600;5.0 0.0 109601;22884.0 802.0 109476;5.0 0.0 109605;4.0 0.0 109606;0.0 0.0 109607;0.0 0.0 109608;29.0 0.0 109517;38.0 0.0 109524,109577.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109584.0 20000;109591.0 20000;109592.0 20000;109594.0 20000;109595.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109607.0 20000;109608.0 13553;109517.0 20000;109524.0 20000,109577 965;109580 944;109581 987;109582 945;109584 958;109591 894;109592 929;109594 974;109595 932;109596 899;109597 944;109598 949;109599 993;109600 954;109601 931;109476 924;109605 958;109606 974;109607 974;109608 9;109517 970;109524 993
data,1241468100,336859.0;11218.0;339425.0;10938.0;0.967668963089,27.0 0.0 109577;36.0 0.0 109580;19.0 0.0 109581;24.0 0.0 109582;38078.0 1615.0 109584;23934.0 1311.0 109591;8.0 0.0 109592;7.0 0.0 109594;4.0 0.0 109595;22115.0 952.0 109596;6.0 0.0 109597;4.0 0.0 109598;4.0 0.0 109599;4496.0 151.0 109600;5.0 0.0 109601;0.0 0.0 109603;22884.0 802.0 109476;5.0 0.0 109605;4.0 0.0 109606;0.0 0.0 109607;0.0 0.0 109608;29.0 0.0 109517;38.0 0.0 109524,109577.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109584.0 20000;109591.0 20000;109592.0 20000;109594.0 20000;109595.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109603.0 7250;109476.0 20000;109605.0 20000;109606.0 20000;109607.0 20000;109608.0 20000;109517.0 20000;109524.0 20000,109577 962;109580 763;109581 574;109582 1014;109584 935;109591 971;109592 916;109594 971;109595 990;109596 990;109597 944;109598 907;109599 933;109600 999;109601 947;109603 156;109476 931;109605 988;109606 929;109607 992;109608 306;109517 944;109524 938
data,1241468400,337714.0;11274.0;340418.0;10981.0;0.96627425822,27.0 0.0 109577;36.0 0.0 109580;19.0 0.0 109581;24.0 0.0 109582;38078.0 1615.0 109584;23934.0 1311.0 109591;8.0 0.0 109592;7.0 0.0 109594;4.0 0.0 109595;22115.0 952.0 109596;6.0 0.0 109597;4.0 0.0 109598;4.0 0.0 109599;5489.0 194.0 109600;5.0 0.0 109601;0.0 0.0 109602;0.0 0.0 109603;22884.0 802.0 109476;5.0 0.0 109605;4.0 0.0 109606;0.0 0.0 109607;0.0 0.0 109608;29.0 0.0 109517;38.0 0.0 109524,109577.0 20000;109580.0 18844;109581.0 18844;109582.0 20000;109584.0 20000;109591.0 20000;109592.0 20000;109594.0 20000;109595.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 1156;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109607.0 20000;109608.0 20000;109517.0 20000;109524.0 20000,109577 942;109580 496;109581 7;109582 941;109584 924;109591 924;109592 1018;109594 984;109595 891;109596 946;109597 964;109598 970;109599 942;109600 993;109601 899;109602 30;109603 389;109476 913;109605 965;109606 949;109607 998;109608 945;109517 1005;109524 965
data,1241468400,338622.0;11313.0;341350.0;11020.0;0.96631577778,27.0 0.0 109577;24.0 0.0 109582;38078.0 1615.0 109584;23934.0 1311.0 109591;8.0 0.0 109592;7.0 0.0 109594;4.0 0.0 109595;22115.0 952.0 109596;6.0 0.0 109597;4.0 0.0 109598;4.0 0.0 109599;6421.0 233.0 109600;5.0 0.0 109601;0.0 0.0 109602;0.0 0.0 109603;22884.0 802.0 109476;5.0 0.0 109605;4.0 0.0 109606;0.0 0.0 109607;0.0 0.0 109608;29.0 0.0 109517;38.0 0.0 109524,109577.0 20000;109582.0 20000;109584.0 20000;109591.0 20000;109592.0 20000;109594.0 20000;109595.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109607.0 20000;109608.0 20000;109517.0 20000;109524.0 20000,109577 917;109582 949;109584 954;109591 924;109592 914;109594 872;109595 951;109596 907;109597 909;109598 967;109599 972;109600 932;109601 936;109602 357;109603 944;109476 969;109605 948;109606 908;109607 939;109608 916;109517 969;109524 946
data,1241468700,339543.0;11360.0;342258.0;11057.0;0.965606435428,27.0 0.0 109577;24.0 0.0 109582;38078.0 1615.0 109584;23934.0 1311.0 109591;8.0 0.0 109592;7.0 0.0 109594;4.0 0.0 109595;22115.0 952.0 109596;6.0 0.0 109597;4.0 0.0 109598;4.0 0.0 109599;7329.0 270.0 109600;5.0 0.0 109601;0.0 0.0 109602;0.0 0.0 109603;22884.0 802.0 109476;5.0 0.0 109605;4.0 0.0 109606;0.0 0.0 109607;0.0 0.0 109608;29.0 0.0 109517;38.0 0.0 109524,109577.0 20000;109582.0 20000;109584.0 20000;109591.0 20000;109592.0 20000;109594.0 20000;109595.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109607.0 20000;109608.0 20000;109517.0 20000;109524.0 20000,109577 970;109582 888;109584 894;109591 933;109592 930;109594 897;109595 895;109596 913;109597 898;109598 940;109599 912;109600 908;109601 891;109602 767;109603 894;109476 943;109605 951;109606 922;109607 976;109608 878;109517 879;109524 921
data,1241469000,340451.0;11398.0;343176.0;11084.0;0.964729526551,27.0 0.0 109577;24.0 0.0 109582;38078.0 1615.0 109584;23934.0 1311.0 109591;8.0 0.0 109592;7.0 0.0 109594;4.0 0.0 109595;22115.0 952.0 109596;6.0 0.0 109597;4.0 0.0 109598;4.0 0.0 109599;8247.0 297.0 109600;5.0 0.0 109601;0.0 0.0 109602;0.0 0.0 109603;22884.0 802.0 109476;5.0 0.0 109605;4.0 0.0 109606;0.0 0.0 109607;0.0 0.0 109608;29.0 0.0 109517;38.0 0.0 109524,109577.0 20000;109582.0 20000;109584.0 20000;109591.0 20000;109592.0 20000;109594.0 20000;109595.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109607.0 20000;109608.0 20000;109517.0 20000;109524.0 20000,109577 929;109582 938;109584 886;109591 913;109592 884;109594 926;109595 933;109596 885;109597 939;109598 948;109599 847;109600 918;109601 924;109602 904;109603 894;109476 912;109605 885;109606 905;109607 925;109608 949;109517 890;109524 866
