data,1241371200,68793.0;1983.0;69068.0;1702.0;0.854878136717,4.0 0.0 109568;7.0 0.0 109569;6.0 0.0 109571;0.0 0.0 109572;0.0 0.0 109573;0.0 0.0 109574;0.0 0.0 109575;0.0 0.0 109517;5.0 0.0 109551;1.0 0.0 109536;0.0 0.0 109539;7.0 0.0 109524;17366.0 594.0 109561;1.0 0.0 109560;10.0 0.0 109476;17013.0 430.0 109562;8.0 0.0 109563;4.0 0.0 109565;10.0 0.0 109566;5.0 0.0 109567,109536.0 2128;109569.0 2128;109539.0 2128;109476.0 2128;109573.0 2128;109568.0 2128;109575.0 2128;109517.0 2128;109551.0 2128;109562.0 2128;109571.0 2128;109524.0 2128;109561.0 2128;109560.0 2128;109572.0 2128;109574.0 2128;109563.0 2128;109565.0 2128;109566.0 2128;109567.0 2128,109568 112;109569 103;109571 103;109572 102;109573 95;109574 107;109575 125;109517 105;109551 107;109536 100;109539 114;109524 106;109561 107;109560 103;109476 92;109562 127;109563 101;109565 95;109566 101;109567 123
data,1241371500,69686.0;2004.0;69958.0;1721.0;0.855443448561,7.0 0.0 109568;7.0 0.0 109569;8.0 0.0 109571;15.0 0.0 109476;3.0 0.0 109536;1.0 0.0 109574;3.0 0.0 109575;2.0 0.0 109517;6.0 0.0 109551;5.0 0.0 109539;9.0 0.0 109524;17368.0 594.0 109561;6.0 0.0 109560;3.0 0.0 109572;17857.0 449.0 109562;10.0 0.0 109563;2.0 0.0 109573;6.0 0.0 109565;11.0 0.0 109566;8.0 0.0 109567,109536.0 17872;109569.0 17872;109539.0 17872;109476.0 17872;109573.0 17872;109568.0 17872;109575.0 17872;109517.0 17872;109551.0 17872;109562.0 17872;109571.0 17872;109524.0 17872;109561.0 17872;109560.0 17872;109572.0 17872;109574.0 17872;109563.0 17872;109565.0 17872;109566.0 17872;109567.0 17872,109568 888;109569 886;109571 917;109476 858;109536 879;109574 919;109575 956;109517 925;109551 934;109539 874;109524 929;109561 910;109560 806;109572 864;109562 893;109563 900;109573 887;109565 896;109566 859;109567 892
data,1241371800,70679.0;2042.0;70953.0;1736.0;0.846863892864,3.0 0.0 109536;7.0 0.0 109569;8.0 0.0 109571;3.0 0.0 109572;2.0 0.0 109573;1.0 0.0 109574;3.0 0.0 109575;7.0 0.0 109568;2.0 0.0 109517;6.0 0.0 109551;15.0 0.0 109476;5.0 0.0 109539;9.0 0.0 109524;6.0 0.0 109560;17368.0 594.0 109561;18852.0 464.0 109562;10.0 0.0 109563;6.0 0.0 109565;11.0 0.0 109566;8.0 0.0 109567,109536.0 20000;109569.0 20000;109539.0 20000;109476.0 20000;109573.0 20000;109568.0 20000;109575.0 20000;109517.0 20000;109551.0 20000;109562.0 20000;109571.0 20000;109524.0 20000;109561.0 20000;109560.0 20000;109572.0 20000;109574.0 20000;109563.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 991;109569 969;109571 967;109572 993;109573 1008;109574 1029;109575 947;109568 1026;109517 999;109551 1011;109476 1074;109539 998;109524 958;109560 998;109561 1038;109562 995;109563 1010;109565 1004;109566 970;109567 1015
data,1241372100,71707.0;2088.0;71944.0;1766.0;0.842999229818,7.0 0.0 109568;7.0 0.0 109569;3.0 0.0 109572;8.0 0.0 109571;15.0 0.0 109476;2.0 0.0 109573;1.0 0.0 109574;3.0 0.0 109575;2.0 0.0 109517;6.0 0.0 109551;5.0 0.0 109539;9.0 0.0 109524;3.0 0.0 109536;6.0 0.0 109560;17368.0 594.0 109561;19843.0 494.0 109562;10.0 0.0 109563;6.0 0.0 109565;11.0 0.0 109566;8.0 0.0 109567,109536.0 20000;109569.0 20000;109539.0 20000;109476.0 20000;109573.0 20000;109568.0 20000;109575.0 20000;109517.0 20000;109551.0 20000;109562.0 20000;109571.0 20000;109524.0 20000;109561.0 20000;109560.0 20000;109572.0 20000;109574.0 20000;109563.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 964;109569 974;109572 1030;109571 1038;109476 986;109573 969;109574 995;109575 1007;109517 1028;109551 1024;109539 967;109524 1015;109536 969;109560 1003;109561 992;109562 991;109563 1042;109565 978;109566 1044;109567 984
data,1241372700,72708.0;2122.0;72973.0;1801.0;0.84564547798,7.0 0.0 109568;7.0 0.0 109569;3.0 0.0 109572;5.0 0.0 109539;15.0 0.0 109476;2.0 0.0 109573;1.0 0.0 109574;3.0 0.0 109575;0.0 0.0 109576;2.0 0.0 109517;6.0 0.0 109551;8.0 0.0 109571;9.0 0.0 109524;3.0 0.0 109536;6.0 0.0 109560;17368.0 594.0 109561;20872.0 529.0 109562;10.0 0.0 109563;6.0 0.0 109565;11.0 0.0 109566;8.0 0.0 109567,109536.0 20000;109569.0 20000;109539.0 20000;109476.0 20000;109573.0 20000;109568.0 20000;109575.0 20000;109576.0 17352;109517.0 20000;109551.0 20000;109562.0 20000;109571.0 20000;109524.0 20000;109561.0 20000;109560.0 20000;109572.0 20000;109574.0 20000;109563.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 960;109569 980;109572 1002;109539 989;109476 1013;109573 971;109574 986;109575 986;109576 23;109517 961;109551 1005;109571 989;109524 999;109536 1050;109560 1018;109561 1021;109562 1029;109563 1029;109565 941;109566 1052;109567 996
data,1241373000,73696.0;2156.0;73943.0;1825.0;0.843647379493,7.0 0.0 109568;3.0 0.0 109536;3.0 0.0 109572;8.0 0.0 109571;7.0 0.0 109569;2.0 0.0 109573;1.0 0.0 109574;3.0 0.0 109575;0.0 0.0 109576;2.0 0.0 109517;6.0 0.0 109551;15.0 0.0 109476;5.0 0.0 109539;9.0 0.0 109524;6.0 0.0 109560;17368.0 594.0 109561;21842.0 553.0 109562;10.0 0.0 109563;6.0 0.0 109565;11.0 0.0 109566;8.0 0.0 109567,109536.0 20000;109569.0 20000;109539.0 20000;109476.0 20000;109573.0 20000;109568.0 20000;109575.0 20000;109576.0 20000;109517.0 20000;109551.0 20000;109562.0 20000;109571.0 20000;109524.0 20000;109561.0 20000;109560.0 20000;109572.0 20000;109574.0 20000;109563.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1012;109536 964;109572 953;109571 917;109569 950;109573 972;109574 1009;109575 945;109576 949;109517 934;109551 924;109476 997;109539 902;109524 955;109560 951;109561 991;109562 970;109563 931;109565 918;109566 943;109567 913
data,1241373300,74669.0;2181.0;74897.0;1846.0;0.843824136852,3.0 0.0 109536;7.0 0.0 109569;3.0 0.0 109572;5.0 0.0 109539;15.0 0.0 109476;1.0 0.0 109574;7.0 0.0 109568;3.0 0.0 109575;0.0 0.0 109576;2.0 0.0 109517;6.0 0.0 109551;8.0 0.0 109571;9.0 0.0 109524;6.0 0.0 109560;17368.0 594.0 109561;22796.0 574.0 109562;10.0 0.0 109563;2.0 0.0 109573;6.0 0.0 109565;11.0 0.0 109566;8.0 0.0 109567,109536.0 20000;109569.0 20000;109539.0 20000;109476.0 20000;109573.0 20000;109568.0 20000;109575.0 20000;109576.0 20000;109517.0 20000;109551.0 20000;109562.0 20000;109571.0 20000;109524.0 20000;109561.0 20000;109560.0 20000;109572.0 20000;109574.0 20000;109563.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 965;109569 994;109572 931;109539 993;109476 873;109574 979;109568 941;109575 932;109576 887;109517 949;109551 951;109571 950;109524 955;109560 970;109561 958;109562 954;109563 978;109573 981;109565 980;109566 940;109567 939
data,1241373600,75633.0;2209.0;75821.0;1868.0;0.843534743731,7.0 0.0 109568;7.0 0.0 109569;3.0 0.0 109572;5.0 0.0 109539;15.0 0.0 109476;3.0 0.0 109536;1.0 0.0 109574;3.0 0.0 109575;0.0 0.0 109576;2.0 0.0 109517;6.0 0.0 109551;8.0 0.0 109571;9.0 0.0 109524;6.0 0.0 109560;17368.0 594.0 109561;23720.0 596.0 109562;10.0 0.0 109563;2.0 0.0 109573;6.0 0.0 109565;11.0 0.0 109566;8.0 0.0 109567,109536.0 20000;109569.0 20000;109539.0 20000;109476.0 20000;109573.0 20000;109568.0 20000;109575.0 20000;109576.0 20000;109517.0 20000;109551.0 20000;109562.0 20000;109571.0 20000;109524.0 20000;109561.0 20000;109560.0 20000;109572.0 20000;109574.0 20000;109563.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 992;109569 930;109572 987;109539 970;109476 951;109536 980;109574 868;109575 957;109576 944;109517 904;109551 953;109571 957;109524 920;109560 926;109561 1022;109562 924;109563 972;109573 1001;109565 948;109566 948;109567 946
data,1241373900,76590.0;2238.0;76797.0;1894.0;0.844010222836,7.0 0.0 109568;7.0 0.0 109569;3.0 0.0 109572;8.0 0.0 109571;15.0 0.0 109476;3.0 0.0 109536;1.0 0.0 109574;3.0 0.0 109575;0.0 0.0 109576;2.0 0.0 109517;6.0 0.0 109551;5.0 0.0 109539;9.0 0.0 109524;6.0 0.0 109560;17368.0 594.0 109561;24696.0 622.0 109562;10.0 0.0 109563;2.0 0.0 109573;6.0 0.0 109565;11.0 0.0 109566;8.0 0.0 109567,109536.0 20000;109569.0 20000;109539.0 20000;109476.0 20000;109573.0 20000;109568.0 20000;109575.0 20000;109576.0 20000;109517.0 20000;109551.0 20000;109562.0 20000;109571.0 20000;109524.0 20000;109561.0 20000;109560.0 20000;109572.0 20000;109574.0 20000;109563.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 918;109569 984;109572 902;109571 918;109476 984;109536 961;109574 944;109575 978;109576 988;109517 978;109551 934;109539 912;109524 952;109560 929;109561 920;109562 976;109563 952;109573 1004;109565 959;109566 885;109567 1022
data,1241374200,77544.0;2266.0;77705.0;1907.0;0.839827366645,3.0 0.0 109536;7.0 0.0 109569;5.0 0.0 109539;15.0 0.0 109476;2.0 0.0 109573;7.0 0.0 109568;3.0 0.0 109575;0.0 0.0 109576;2.0 0.0 109517;1.0 0.0 109574;6.0 0.0 109551;8.0 0.0 109571;9.0 0.0 109524;11.0 0.0 109566;6.0 0.0 109560;17368.0 594.0 109561;25604.0 635.0 109562;10.0 0.0 109563;6.0 0.0 109565;3.0 0.0 109572;8.0 0.0 109567,109536.0 20000;109569.0 20000;109539.0 20000;109476.0 20000;109573.0 20000;109568.0 20000;109575.0 20000;109576.0 20000;109517.0 20000;109551.0 20000;109562.0 20000;109571.0 20000;109524.0 20000;109561.0 20000;109560.0 20000;109572.0 20000;109574.0 20000;109563.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 956;109569 962;109539 933;109476 981;109573 942;109568 903;109575 928;109576 982;109517 927;109574 924;109551 905;109571 903;109524 955;109566 947;109560 1019;109561 1057;109562 908;109563 1005;109565 921;109572 966;109567 976
data,1241374800,78469.0;2299.0;78697.0;1937.0;0.84009923747,7.0 0.0 109568;3.0 0.0 109536;3.0 0.0 109572;5.0 0.0 109539;15.0 0.0 109476;2.0 0.0 109573;1.0 0.0 109574;3.0 0.0 109575;0.0 0.0 109576;2.0 0.0 109517;6.0 0.0 109551;8.0 0.0 109571;9.0 0.0 109524;7.0 0.0 109569;6.0 0.0 109560;17368.0 594.0 109561;26596.0 665.0 109562;10.0 0.0 109563;6.0 0.0 109565;11.0 0.0 109566;8.0 0.0 109567,109536.0 20000;109569.0 20000;109539.0 20000;109476.0 20000;109573.0 20000;109568.0 20000;109575.0 20000;109576.0 20000;109517.0 20000;109551.0 20000;109562.0 20000;109571.0 20000;109524.0 20000;109561.0 20000;109560.0 20000;109572.0 20000;109574.0 20000;109563.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 913;109536 978;109572 970;109539 926;109476 964;109573 968;109574 939;109575 978;109576 984;109517 947;109551 955;109571 955;109524 945;109569 979;109560 935;109561 930;109562 992;109563 888;109565 899;109566 991;109567 964
data,1241375100,79363.0;2320.0;79709.0;1964.0;0.842877021199,3.0 0.0 109536;7.0 0.0 109569;5.0 0.0 109539;3.0 0.0 109572;2.0 0.0 109573;1.0 0.0 109574;3.0 0.0 109575;0.0 0.0 109576;7.0 0.0 109568;2.0 0.0 109517;6.0 0.0 109551;15.0 0.0 109476;8.0 0.0 109571;9.0 0.0 109524;6.0 0.0 109560;17368.0 594.0 109561;27608.0 692.0 109562;10.0 0.0 109563;6.0 0.0 109565;11.0 0.0 109566;8.0 0.0 109567,109536.0 20000;109569.0 20000;109539.0 20000;109476.0 20000;109573.0 20000;109568.0 20000;109575.0 20000;109576.0 20000;109517.0 20000;109551.0 20000;109562.0 20000;109571.0 20000;109524.0 20000;109561.0 20000;109560.0 20000;109572.0 20000;109574.0 20000;109563.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 943;109569 948;109539 966;109572 917;109573 955;109574 905;109575 952;109576 978;109568 998;109517 929;109551 936;109476 975;109571 897;109524 961;109560 957;109561 982;109562 1012;109563 963;109565 929;109566 941;109567 956
data,1241375400,80285.0;2356.0;80674.0;1983.0;0.837622334674,3.0 0.0 109536;7.0 0.0 109569;5.0 0.0 109539;3.0 0.0 109572;2.0 0.0 109573;7.0 0.0 109568;3.0 0.0 109575;0.0 0.0 109576;2.0 0.0 109517;1.0 0.0 109574;6.0 0.0 109551;15.0 0.0 109476;8.0 0.0 109571;9.0 0.0 109524;6.0 0.0 109560;17368.0 594.0 109561;28573.0 711.0 109562;10.0 0.0 109563;6.0 0.0 109565;11.0 0.0 109566;8.0 0.0 109567,109536.0 20000;109569.0 20000;109539.0 20000;109476.0 20000;109573.0 20000;109568.0 20000;109575.0 20000;109576.0 20000;109517.0 20000;109551.0 20000;109562.0 20000;109571.0 20000;109524.0 20000;109561.0 20000;109560.0 20000;109572.0 20000;109574.0 20000;109563.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 900;109569 923;109539 1008;109572 969;109573 965;109568 927;109575 1011;109576 972;109517 920;109574 923;109551 905;109476 952;109571 939;109524 891;109560 990;109561 903;109562 965;109563 963;109565 1001;109566 998;109567 975
data,1241375700,81229.0;2401.0;81639.0;2013.0;0.834190126412,7.0 0.0 109568;3.0 0.0 109536;3.0 0.0 109572;8.0 0.0 109571;15.0 0.0 109476;2.0 0.0 109573;1.0 0.0 109574;7.0 0.0 109569;0.0 0.0 109576;3.0 0.0 109575;2.0 0.0 109517;6.0 0.0 109551;5.0 0.0 109539;9.0 0.0 109524;6.0 0.0 109560;17368.0 594.0 109561;29538.0 741.0 109562;10.0 0.0 109563;6.0 0.0 109565;11.0 0.0 109566;8.0 0.0 109567,109536.0 20000;109569.0 20000;109539.0 20000;109476.0 20000;109573.0 20000;109568.0 20000;109575.0 20000;109576.0 20000;109517.0 20000;109551.0 20000;109562.0 20000;109571.0 20000;109524.0 20000;109561.0 20000;109560.0 20000;109572.0 20000;109574.0 20000;109563.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 942;109536 929;109572 987;109571 964;109476 982;109573 967;109574 968;109569 978;109576 916;109575 984;109517 890;109551 934;109539 922;109524 966;109560 966;109561 992;109562 965;109563 918;109565 924;109566 976;109567 930
