
New Run at  01/27/2015 01:37:37
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241507400,843577.0;30305.0;848155.0;36390.0;824203.0;29829.0;1.19431055592;1.0074301522,2967.0 105.0 109601;4079.0 197.0 109603;20342.0 688.0 109476;14806.0 990.0 109605;2720.0 109.0 109608;2100.0 77.0 109610;892.0 27.0 109611;3182.0 184.0 109612;12448.0 403.0 109517;4450.0 260.0 109614;1238.0 20.0 109613;9525.0 601.0 109617;764.0 17.0 109618;277.0 2.0 109619;6736.0 307.0 109594;2828.0 134.0 109615;6137.0 280.0 109596;5998.0 278.0 109598;6927.0 325.0 109599,109601.0 19389;109603.0 19389;109476.0 19389;109605.0 19389;109608.0 19389;109610.0 19389;109611.0 19389;109612.0 19389;109613.0 19389;109614.0 19389;109517.0 19389;109617.0 19389;109618.0 19389;109619.0 19389;109594.0 19389;109615.0 19389;109596.0 19389;109598.0 19389;109599.0 19389,109601 1028;109603 1017;109476 957;109605 1040;109608 999;109610 1044;109611 1017;109612 1138;109517 1087;109614 1078;109613 968;109617 1048;109618 972;109619 1018;109594 1044;109615 936;109596 1009;109598 1051;109599 938
data,1241508000,844582.0;30327.0;849220.0;36439.0;825243.0;29858.0;1.19497441377;1.00760713614,2994.0 106.0 109601;4111.0 198.0 109603;20362.0 688.0 109476;14862.0 992.0 109605;2730.0 109.0 109608;2145.0 78.0 109610;910.0 27.0 109611;3246.0 187.0 109612;12461.0 403.0 109517;4861.0 289.0 109614;1256.0 20.0 109613;9601.0 602.0 109617;784.0 18.0 109618;292.0 2.0 109619;6895.0 315.0 109594;2863.0 135.0 109615;6155.0 280.0 109596;6010.0 279.0 109598;6943.0 325.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1035;109603 995;109476 1068;109605 1036;109608 999;109610 1051;109611 997;109612 1059;109517 1032;109614 1071;109613 1104;109617 1053;109618 1056;109619 1090;109594 1089;109615 1044;109596 1132;109598 1042;109599 1047
data,1241508600,845616.0;30356.0;850267.0;36482.0;826298.0;29879.0;1.1952313139;1.00729807563,3010.0 107.0 109601;4162.0 201.0 109603;20374.0 689.0 109476;14924.0 993.0 109605;2751.0 112.0 109608;2172.0 78.0 109610;931.0 28.0 109611;3315.0 190.0 109612;12478.0 403.0 109517;5281.0 310.0 109614;2901.0 136.0 109615;1268.0 20.0 109613;9649.0 604.0 109617;799.0 18.0 109618;311.0 2.0 109619;7042.0 318.0 109594;6167.0 280.0 109596;6033.0 281.0 109598;6960.0 326.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1010;109603 1071;109476 1055;109605 1084;109608 1025;109610 1063;109611 1057;109612 1041;109517 1018;109614 1033;109615 1042;109613 1064;109617 1057;109618 1054;109619 1036;109594 1099;109596 1048;109598 1048;109599 1095
data,1241509500,846701.0;30388.0;851299.0;36521.0;827360.0;29899.0;1.19533185225;1.00690871022,3031.0 108.0 109601;4213.0 202.0 109603;20396.0 689.0 109476;14975.0 997.0 109605;2769.0 112.0 109608;2195.0 78.0 109610;951.0 28.0 109611;3382.0 190.0 109612;1284.0 20.0 109613;5714.0 329.0 109614;2930.0 136.0 109615;9683.0 604.0 109617;813.0 19.0 109618;326.0 4.0 109619;7195.0 325.0 109594;6185.0 281.0 109596;12497.0 405.0 109517;6050.0 281.0 109598;6971.0 327.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1046;109603 1084;109476 1080;109605 1096;109608 1080;109610 1072;109611 1049;109612 1093;109613 1061;109614 1052;109615 998;109617 1074;109618 1021;109619 1064;109594 1008;109596 1020;109517 1049;109598 1024;109599 1029
data,1241510100,847776.0;30416.0;852337.0;36545.0;828397.0;29922.0;1.19507632497;1.00677197878,3048.0 108.0 109601;4266.0 203.0 109603;20408.0 689.0 109476;15056.0 999.0 109605;2793.0 112.0 109608;2208.0 78.0 109610;969.0 29.0 109611;3432.0 192.0 109612;1300.0 21.0 109613;6170.0 342.0 109614;2960.0 137.0 109615;9713.0 604.0 109617;830.0 19.0 109618;339.0 4.0 109619;7336.0 327.0 109594;6199.0 281.0 109596;12512.0 406.0 109517;6069.0 281.0 109598;6990.0 327.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1092;109476 1045;109605 1125;109608 1048;109610 1040;109611 1075;109612 979;109613 1041;109614 1041;109615 1026;109617 1044;109618 1035;109619 1063;109594 1076;109596 1026;109517 1086;109598 1034;109599 1065
data,1241511000,848853.0;30451.0;853428.0;36591.0;829408.0;29949.0;1.19519376715;1.00657243813,3071.0 108.0 109601;4307.0 203.0 109603;20421.0 690.0 109476;15116.0 1002.0 109605;2811.0 113.0 109608;2235.0 80.0 109610;983.0 29.0 109611;3478.0 192.0 109612;1322.0 22.0 109613;6736.0 371.0 109614;2976.0 137.0 109615;9745.0 606.0 109617;851.0 20.0 109618;353.0 4.0 109619;7442.0 330.0 109594;6221.0 283.0 109596;12529.0 406.0 109517;6087.0 282.0 109598;7005.0 327.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1048;109603 1023;109476 1052;109605 1059;109608 1076;109610 1050;109611 1015;109612 1058;109613 1070;109614 1121;109615 995;109617 1067;109618 1080;109619 980;109594 1100;109596 1052;109517 1060;109598 1060;109599 1034
data,1241511900,849951.0;30477.0;854441.0;36640.0;830476.0;29974.0;1.1959005332;1.00655912629,3088.0 108.0 109601;4326.0 203.0 109603;20441.0 691.0 109476;15203.0 1007.0 109605;2828.0 113.0 109608;2254.0 80.0 109610;995.0 29.0 109611;3503.0 193.0 109612;1336.0 23.0 109613;7258.0 402.0 109614;12545.0 406.0 109517;9784.0 608.0 109617;868.0 20.0 109618;375.0 4.0 109619;7561.0 338.0 109594;2989.0 137.0 109615;6238.0 283.0 109596;6097.0 282.0 109598;7013.0 327.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1088;109476 1054;109605 1127;109608 999;109610 1076;109611 1021;109612 1056;109613 1053;109614 978;109517 1056;109617 1026;109618 1092;109619 1021;109594 1093;109615 1024;109596 1051;109598 1056;109599 1070
