data,1241605500,1107229.0;40334.0;1113459.0;50224.0;1048248.0;38946.0;1117871.0;55698.0;1.23823543013;1.01991733936;1.36777313465;1.08414730703,5786.0 259.0 109632;7995.0 234.0 109601;2441.0 52.0 109634;7963.0 374.0 109635;1672.0 47.0 109636;17497.0 959.0 109638;7313.0 358.0 109641;2529.0 91.0 109644;5877.0 82.0 109613;7632.0 325.0 109646;978.0 21.0 109647;8892.0 409.0 109616;3523.0 121.0 109650;2748.0 112.0 109652;1012.0 17.0 109653;505.0 12.0 109654;0.0 0.0 109655;3953.0 124.0 109625;3296.0 63.0 109627;3722.0 85.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 245;109625.0 20000;109627.0 20000;109628.0 20000,109632 1037;109601 1031;109634 1132;109635 1062;109636 1048;109638 1088;109641 1076;109644 1087;109613 1010;109646 1017;109647 1018;109616 973;109650 1112;109652 1009;109653 1088;109654 1070;109655 18;109625 1043;109627 1052;109628 1029
data,1241606100,1108348.0;40356.0;1114492.0;50261.0;1049258.0;38967.0;1118866.0;55717.0;1.23857468217;1.01995899171;1.36765852298;1.08454088981,5848.0 260.0 109632;8036.0 234.0 109601;2464.0 52.0 109634;8193.0 383.0 109635;1702.0 47.0 109636;17594.0 962.0 109638;7517.0 368.0 109641;2548.0 92.0 109644;5889.0 82.0 109613;7639.0 325.0 109646;1000.0 21.0 109647;9032.0 418.0 109616;3544.0 121.0 109650;2777.0 113.0 109652;1028.0 19.0 109653;522.0 12.0 109654;15.0 0.0 109655;3970.0 124.0 109625;3311.0 63.0 109627;3738.0 86.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 8996;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1037;109601 1009;109634 1018;109635 1134;109636 1059;109638 1073;109641 1102;109644 1038;109613 984;109646 70;109647 1087;109616 1060;109650 1007;109652 1080;109653 1060;109654 1085;109655 1001;109625 1071;109627 1030;109628 995
data,1241606700,1109396.0;40388.0;1115547.0;50301.0;1050268.0;39005.0;1119903.0;55741.0;1.23857695292;1.0201273631;1.36718912675;1.08412627401,5898.0 262.0 109632;8068.0 236.0 109601;2482.0 52.0 109634;8392.0 388.0 109635;1725.0 47.0 109636;17674.0 962.0 109638;7785.0 385.0 109641;2574.0 94.0 109644;5903.0 82.0 109613;1019.0 21.0 109647;9181.0 424.0 109616;3571.0 122.0 109650;2811.0 115.0 109652;1057.0 20.0 109653;537.0 13.0 109654;33.0 0.0 109655;3991.0 124.0 109625;3330.0 63.0 109627;3752.0 87.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1064;109601 1024;109634 1055;109635 1038;109636 1082;109638 1037;109641 1024;109644 1042;109613 1001;109647 1071;109616 1051;109650 1063;109652 995;109653 1051;109654 1118;109655 1065;109625 1096;109627 1086;109628 1037
data,1241607300,1110507.0;40410.0;1116633.0;50356.0;1051249.0;39035.0;1120925.0;55766.0;1.23929077352;1.02042487759;1.36717903178;1.08406763039,5933.0 263.0 109632;8116.0 238.0 109601;2499.0 52.0 109634;8540.0 396.0 109635;1750.0 47.0 109636;17712.0 962.0 109638;8130.0 405.0 109641;2594.0 95.0 109644;5922.0 82.0 109613;1048.0 26.0 109647;9346.0 434.0 109616;3589.0 122.0 109650;2864.0 119.0 109652;1077.0 20.0 109653;572.0 16.0 109654;54.0 0.0 109655;4004.0 124.0 109625;3350.0 63.0 109627;3769.0 88.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1035;109601 1078;109634 1087;109635 1043;109636 1058;109638 1103;109641 1024;109644 1025;109613 1045;109647 991;109616 1068;109650 1026;109652 1037;109653 1050;109654 1066;109655 1142;109625 1083;109627 1017;109628 1022
data,1241607600,1111555.0;40442.0;1117707.0;50398.0;1052282.0;39072.0;1121990.0;55782.0;1.23932058417;1.02054423187;1.36648046312;1.08366786528,5969.0 266.0 109632;8152.0 238.0 109601;2516.0 52.0 109634;8687.0 399.0 109635;1762.0 48.0 109636;17745.0 964.0 109638;8499.0 427.0 109641;2617.0 96.0 109644;5937.0 82.0 109613;1084.0 27.0 109647;9491.0 435.0 109616;3608.0 123.0 109650;2916.0 123.0 109652;1097.0 21.0 109653;608.0 17.0 109654;71.0 0.0 109655;4016.0 124.0 109625;3375.0 64.0 109627;3793.0 88.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1038;109601 1069;109634 1034;109635 1069;109636 1121;109638 1090;109641 1060;109644 1008;109613 1022;109647 1057;109616 1054;109650 1028;109652 1064;109653 1062;109654 1095;109655 1018;109625 1009;109627 1037;109628 1065
data,1241608200,1112606.0;40469.0;1118711.0;50431.0;1053292.0;39113.0;1123021.0;55800.0;1.2393631986;1.02091895441;1.36604575527;1.08336655516,6014.0 269.0 109632;8177.0 238.0 109601;2527.0 52.0 109634;8774.0 399.0 109635;1769.0 48.0 109636;17793.0 967.0 109638;8925.0 446.0 109641;2638.0 96.0 109644;5955.0 82.0 109613;1112.0 27.0 109647;9576.0 436.0 109616;3619.0 123.0 109650;2993.0 126.0 109652;1114.0 21.0 109653;643.0 19.0 109654;85.0 0.0 109655;4036.0 124.0 109625;3392.0 66.0 109627;3805.0 88.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1026;109601 1020;109634 1045;109635 1055;109636 1044;109638 1063;109641 1058;109644 1077;109613 998;109647 1035;109616 1102;109650 1091;109652 1074;109653 1026;109654 1100;109655 1074;109625 1049;109627 1032;109628 1031
data,1241608800,1113687.0;40508.0;1119736.0;50479.0;1054362.0;39143.0;1124088.0;55821.0;1.23941700531;1.02067319978;1.36527346541;1.08292718065,6053.0 269.0 109632;8192.0 238.0 109601;2542.0 53.0 109634;8813.0 400.0 109635;1784.0 48.0 109636;17862.0 972.0 109638;9412.0 481.0 109641;2658.0 96.0 109644;5970.0 82.0 109613;1140.0 28.0 109647;9665.0 439.0 109616;3630.0 123.0 109650;3053.0 127.0 109652;1130.0 21.0 109653;676.0 20.0 109654;103.0 0.0 109655;4055.0 124.0 109625;3409.0 66.0 109627;3825.0 88.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 992;109601 1073;109634 1053;109635 988;109636 1068;109638 1010;109641 1067;109644 1061;109613 1048;109647 1069;109616 1047;109650 1063;109652 1056;109653 1071;109654 1038;109655 1061;109625 1091;109627 1077;109628 1067
data,1241609100,1114748.0;40543.0;1120791.0;50522.0;1055397.0;39171.0;1125095.0;55848.0;1.23941492065;1.02049204574;1.36483217077;1.08249374402,6101.0 269.0 109632;8205.0 238.0 109601;2560.0 53.0 109634;8885.0 407.0 109635;1800.0 48.0 109636;17922.0 972.0 109638;9922.0 507.0 109641;2673.0 96.0 109644;5985.0 82.0 109613;1173.0 29.0 109647;9741.0 445.0 109616;3646.0 123.0 109650;3105.0 129.0 109652;1142.0 21.0 109653;709.0 21.0 109654;125.0 0.0 109655;4074.0 124.0 109625;3426.0 66.0 109627;3833.0 88.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1085;109601 1048;109634 1111;109635 1089;109636 1052;109638 1050;109641 983;109644 1057;109613 1090;109647 1060;109616 1058;109650 1040;109652 1054;109653 1029;109654 1050;109655 1045;109625 1092;109627 1000;109628 1007
data,1241609700,1115828.0;40572.0;1121823.0;50575.0;1056441.0;39201.0;1126187.0;55881.0;1.23988780925;1.02052285779;1.36466011263;1.08218646431,6130.0 274.0 109632;8223.0 239.0 109601;2583.0 54.0 109634;8939.0 407.0 109635;1814.0 49.0 109636;17978.0 975.0 109638;10426.0 536.0 109641;2697.0 97.0 109644;5999.0 82.0 109613;1200.0 31.0 109647;9849.0 450.0 109616;3658.0 123.0 109650;3145.0 131.0 109652;1154.0 22.0 109653;734.0 21.0 109654;144.0 0.0 109655;4085.0 124.0 109625;3450.0 66.0 109627;3851.0 90.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1021;109601 1052;109634 1014;109635 1045;109636 1050;109638 1062;109641 1060;109644 1086;109613 1008;109647 1064;109616 1065;109650 1059;109652 1051;109653 1033;109654 1115;109655 1049;109625 1068;109627 1006;109628 1092
data,1241610000,1116847.0;40603.0;1122848.0;50613.0;1057270.0;39226.0;1127200.0;55907.0;1.23987147692;1.02052505965;1.3642713758;1.08191394315,6173.0 275.0 109632;8244.0 240.0 109601;2603.0 54.0 109634;8965.0 407.0 109635;1830.0 51.0 109636;18026.0 977.0 109638;10939.0 557.0 109641;2713.0 99.0 109644;6022.0 82.0 109613;1226.0 31.0 109647;9955.0 454.0 109616;3669.0 123.0 109650;3220.0 136.0 109652;1169.0 22.0 109653;748.0 21.0 109654;157.0 0.0 109655;1.0 0.0 109656;4095.0 124.0 109625;3468.0 66.0 109627;3861.0 90.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109656.0 9456;109625.0 20000;109627.0 20000;109628.0 20000,109632 986;109601 1064;109634 1017;109635 1007;109636 1067;109638 1056;109641 1040;109644 1029;109613 1035;109647 1062;109616 1009;109650 1002;109652 1111;109653 1059;109654 1005;109655 1022;109656 286;109625 1022;109627 1108;109628 1013
data,1241610600,1117799.0;40632.0;1123849.0;50658.0;1058158.0;39244.0;1128233.0;55934.0;1.24003971068;1.02027739416;1.36386880661;1.08177662477,6207.0 276.0 109632;8263.0 240.0 109601;2612.0 54.0 109634;9008.0 410.0 109635;1844.0 52.0 109636;18071.0 978.0 109638;11462.0 583.0 109641;2732.0 100.0 109644;6038.0 82.0 109613;1258.0 34.0 109647;10040.0 458.0 109616;3682.0 124.0 109650;3283.0 137.0 109652;1183.0 23.0 109653;768.0 22.0 109654;172.0 1.0 109655;10.0 0.0 109656;4106.0 124.0 109625;3478.0 66.0 109627;3868.0 90.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109656.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1028;109601 989;109634 1051;109635 998;109636 961;109638 983;109641 1019;109644 1021;109613 984;109647 1031;109616 1035;109650 955;109652 981;109653 1009;109654 1031;109655 997;109656 917;109625 1009;109627 968;109628 1033
data,1241610900,1118763.0;40656.0;1124918.0;50699.0;1059141.0;39270.0;1129221.0;55961.0;1.24020070638;1.0202828068;1.36370353918;1.08160580062,6234.0 276.0 109632;8284.0 240.0 109601;2627.0 54.0 109634;9059.0 410.0 109635;1862.0 52.0 109636;18104.0 979.0 109638;12007.0 609.0 109641;2744.0 100.0 109644;6052.0 82.0 109613;1280.0 34.0 109647;10151.0 465.0 109616;3695.0 124.0 109650;3362.0 140.0 109652;1197.0 23.0 109653;784.0 24.0 109654;186.0 2.0 109655;28.0 1.0 109656;4122.0 124.0 109625;3493.0 66.0 109627;3883.0 90.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109656.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 977;109601 985;109634 1032;109635 1053;109636 970;109638 1038;109641 1010;109644 975;109613 987;109647 1010;109616 1006;109650 994;109652 1013;109653 1016;109654 965;109655 1005;109656 1013;109625 956;109627 1007;109628 988
data,1241611200,1119772.0;40681.0;1125953.0;50743.0;1060135.0;39298.0;1130202.0;55972.0;1.24049169516;1.0203455135;1.36317853108;1.08158571761,6261.0 277.0 109632;8304.0 240.0 109601;2645.0 54.0 109634;9081.0 410.0 109635;1873.0 52.0 109636;18139.0 981.0 109638;12551.0 640.0 109641;2757.0 100.0 109644;6068.0 82.0 109613;1299.0 34.0 109647;10267.0 470.0 109616;3712.0 126.0 109650;3424.0 142.0 109652;1211.0 23.0 109653;811.0 24.0 109654;202.0 2.0 109655;39.0 1.0 109656;4137.0 124.0 109625;3510.0 66.0 109627;3898.0 91.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109656.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 962;109601 979;109634 1045;109635 991;109636 1044;109638 1064;109641 1028;109644 975;109613 1005;109647 962;109616 986;109650 956;109652 980;109653 979;109654 1081;109655 1070;109656 933;109625 1022;109627 957;109628 981
data,1241611500,1120740.0;40711.0;1126953.0;50783.0;1061107.0;39334.0;1131198.0;55988.0;1.24052537273;1.02047421632;1.36254052352;1.08132941212,6279.0 277.0 109632;8320.0 241.0 109601;2660.0 54.0 109634;9104.0 410.0 109635;1884.0 52.0 109636;18168.0 981.0 109638;13094.0 665.0 109641;2778.0 100.0 109644;6079.0 82.0 109613;1313.0 35.0 109647;10384.0 476.0 109616;3722.0 126.0 109650;3494.0 147.0 109652;1221.0 23.0 109653;830.0 24.0 109654;217.0 3.0 109655;52.0 1.0 109656;4153.0 125.0 109625;3525.0 66.0 109627;3912.0 91.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109655.0 20000;109656.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1008;109601 1042;109634 1019;109635 960;109636 970;109638 991;109641 1005;109644 1056;109613 978;109647 984;109616 941;109650 984;109652 1062;109653 969;109654 981;109655 1010;109656 1031;109625 971;109627 1042;109628 996
