data,1241493900,818036.0;29059.0;822343.0;34946.0;772492.0;28066.0;824478.0;38521.0;1.19628931612;1.02277070905;1.31525582147;1.04078590397,6885.0 330.0 109594;9224.0 470.0 109596;9399.0 521.0 109597;4629.0 218.0 109598;6774.0 351.0 109599;2576.0 85.0 109600;2110.0 66.0 109601;10284.0 687.0 109602;2970.0 171.0 109603;23188.0 824.0 109476;14961.0 1060.0 109605;1781.0 50.0 109606;2339.0 91.0 109608;3031.0 161.0 109609;1475.0 60.0 109610;370.0 14.0 109611;1137.0 83.0 109612;813.0 11.0 109613;2716.0 172.0 109614;2022.0 101.0 109615;1914.0 116.0 109617;245.0 4.0 109618;11167.0 374.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 851;109596 887;109597 861;109598 865;109599 886;109600 882;109601 864;109602 901;109603 906;109476 878;109605 829;109606 833;109608 882;109609 848;109610 836;109611 881;109612 879;109613 845;109614 860;109615 952;109617 881;109618 842;109517 851
data,1241494200,818921.0;29104.0;823215.0;35002.0;773375.0;28110.0;825389.0;38574.0;1.1963793591;1.02272775703;1.314998707;1.04096176964,6902.0 330.0 109594;9251.0 471.0 109596;9494.0 527.0 109597;4652.0 218.0 109598;6783.0 351.0 109599;2585.0 86.0 109600;2129.0 66.0 109601;10501.0 704.0 109602;3009.0 172.0 109603;23202.0 826.0 109476;15069.0 1070.0 109605;1791.0 50.0 109606;2355.0 91.0 109608;3055.0 161.0 109609;1485.0 60.0 109610;377.0 15.0 109611;1239.0 89.0 109612;824.0 11.0 109613;2740.0 173.0 109614;2027.0 103.0 109615;1951.0 120.0 109617;258.0 5.0 109618;11203.0 377.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 835;109596 880;109597 881;109598 833;109599 874;109600 861;109601 852;109602 860;109603 866;109476 884;109605 886;109606 871;109608 879;109609 860;109610 838;109611 894;109612 911;109613 887;109614 867;109615 861;109617 847;109618 919;109517 854
data,1241494500,819771.0;29137.0;824083.0;35047.0;774257.0;28142.0;826242.0;38628.0;1.19654107082;1.0226276593;1.31535406725;1.04162891378,6915.0 330.0 109594;9270.0 472.0 109596;9575.0 536.0 109597;4678.0 220.0 109598;6792.0 351.0 109599;2591.0 86.0 109600;2142.0 67.0 109601;10708.0 711.0 109602;3042.0 174.0 109603;23215.0 826.0 109476;15206.0 1078.0 109605;1801.0 50.0 109606;2367.0 91.0 109608;3072.0 162.0 109609;1493.0 60.0 109610;385.0 16.0 109611;1337.0 95.0 109612;842.0 11.0 109613;2776.0 176.0 109614;2041.0 103.0 109615;1995.0 123.0 109617;273.0 5.0 109618;11234.0 378.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 870;109596 864;109597 843;109598 857;109599 833;109600 829;109601 866;109602 845;109603 879;109476 894;109605 880;109606 872;109608 882;109609 869;109610 860;109611 892;109612 853;109613 895;109614 919;109615 878;109617 907;109618 883;109517 830
data,1241494800,820624.0;29173.0;824957.0;35090.0;775148.0;28186.0;827132.0;38686.0;1.19650682002;1.02284997519;1.31565532121;1.04228089887,6934.0 331.0 109594;9290.0 473.0 109596;9711.0 548.0 109597;4700.0 221.0 109598;6801.0 351.0 109599;2606.0 86.0 109600;2154.0 67.0 109601;10862.0 717.0 109602;3071.0 174.0 109603;23223.0 826.0 109476;15310.0 1080.0 109605;1812.0 51.0 109606;2384.0 91.0 109608;3078.0 162.0 109609;1507.0 60.0 109610;392.0 16.0 109611;1439.0 102.0 109612;857.0 12.0 109613;2813.0 178.0 109614;2051.0 103.0 109615;2064.0 127.0 109617;287.0 6.0 109618;11278.0 382.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 904;109596 859;109597 900;109598 832;109599 862;109600 859;109601 905;109602 838;109603 825;109476 844;109605 913;109606 848;109608 872;109609 811;109610 884;109611 892;109612 890;109613 848;109614 886;109615 876;109617 903;109618 828;109517 921
data,1241495100,821480.0;29216.0;825776.0;35129.0;776008.0;28234.0;828046.0;38728.0;1.19613381764;1.02301605728;1.31506386541;1.04214496727,6946.0 332.0 109594;9312.0 474.0 109596;9842.0 553.0 109597;4724.0 222.0 109598;6817.0 353.0 109599;2613.0 86.0 109600;2164.0 67.0 109601;10999.0 725.0 109602;3087.0 174.0 109603;23229.0 826.0 109476;15384.0 1084.0 109605;1828.0 51.0 109606;2401.0 92.0 109608;3090.0 163.0 109609;1521.0 60.0 109610;402.0 16.0 109611;1554.0 107.0 109612;866.0 12.0 109613;2848.0 180.0 109614;2055.0 104.0 109615;2155.0 133.0 109617;300.0 7.0 109618;11306.0 382.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 847;109596 886;109597 865;109598 940;109599 895;109600 911;109601 878;109602 908;109603 848;109476 853;109605 815;109606 843;109608 904;109609 864;109610 835;109611 893;109612 913;109613 797;109614 885;109615 813;109617 910;109618 860;109517 837
data,1241495400,822346.0;29252.0;826644.0;35177.0;776893.0;28280.0;828888.0;38785.0;1.19629779002;1.02333355847;1.31542763979;1.04283746928,6960.0 332.0 109594;9321.0 474.0 109596;9992.0 562.0 109597;4745.0 222.0 109598;6831.0 353.0 109599;2621.0 86.0 109600;2178.0 68.0 109601;11147.0 737.0 109602;3106.0 174.0 109603;23239.0 826.0 109476;15470.0 1091.0 109605;1838.0 51.0 109606;2419.0 92.0 109608;3121.0 166.0 109609;1531.0 60.0 109610;420.0 16.0 109611;1656.0 114.0 109612;881.0 12.0 109613;2881.0 182.0 109614;2071.0 104.0 109615;2245.0 139.0 109617;304.0 7.0 109618;11334.0 383.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 856;109596 889;109597 871;109598 904;109599 811;109600 856;109601 932;109602 865;109603 821;109476 872;109605 901;109606 863;109608 864;109609 905;109610 871;109611 841;109612 842;109613 861;109614 864;109615 911;109617 893;109618 857;109517 850
data,1241496000,823196.0;29283.0;827511.0;35216.0;777751.0;28321.0;829744.0;38831.0;1.1963380991;1.02365989735;1.31559476977;1.04329837191,6983.0 333.0 109594;9329.0 474.0 109596;10118.0 567.0 109597;4766.0 223.0 109598;6842.0 354.0 109599;2640.0 86.0 109600;2183.0 69.0 109601;11342.0 747.0 109602;3118.0 174.0 109603;23252.0 827.0 109476;15558.0 1097.0 109605;1849.0 51.0 109606;2429.0 92.0 109608;3151.0 167.0 109609;1541.0 60.0 109610;436.0 16.0 109611;1773.0 120.0 109612;891.0 13.0 109613;2919.0 183.0 109614;2083.0 104.0 109615;2311.0 143.0 109617;315.0 7.0 109618;11349.0 383.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 855;109596 927;109597 906;109598 885;109599 827;109600 883;109601 854;109602 849;109603 845;109476 863;109605 841;109606 841;109608 873;109609 818;109610 902;109611 883;109612 853;109613 901;109614 939;109615 852;109617 935;109618 792;109517 876
data,1241496300,824076.0;29314.0;828370.0;35268.0;778632.0;28357.0;830594.0;38872.0;1.19687460554;1.02381200469;1.31564972451;1.04362774894,6995.0 333.0 109594;9344.0 474.0 109596;10223.0 573.0 109597;4781.0 223.0 109598;6854.0 354.0 109599;2653.0 86.0 109600;2191.0 70.0 109601;11488.0 755.0 109602;3127.0 175.0 109603;23258.0 827.0 109476;15695.0 1111.0 109605;1853.0 51.0 109606;2450.0 93.0 109608;3176.0 169.0 109609;1548.0 60.0 109610;448.0 16.0 109611;1918.0 131.0 109612;902.0 13.0 109613;2952.0 185.0 109614;2090.0 105.0 109615;2400.0 147.0 109617;322.0 7.0 109618;11369.0 384.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 897;109596 870;109597 895;109598 918;109599 901;109600 903;109601 879;109602 872;109603 847;109476 879;109605 843;109606 873;109608 853;109609 898;109610 817;109611 824;109612 852;109613 900;109614 862;109615 863;109617 885;109618 822;109517 847
data,1241496600,824890.0;29348.0;829223.0;35327.0;779513.0;28396.0;831445.0;38931.0;1.19743775473;1.02388536051;1.31607173429;1.04437807563,7003.0 335.0 109594;9359.0 475.0 109596;10313.0 580.0 109597;4797.0 223.0 109598;6862.0 354.0 109599;2665.0 86.0 109600;2197.0 70.0 109601;11626.0 767.0 109602;3139.0 175.0 109603;23272.0 828.0 109476;15833.0 1118.0 109605;1866.0 51.0 109606;2460.0 93.0 109608;3197.0 169.0 109609;1557.0 60.0 109610;456.0 16.0 109611;2087.0 147.0 109612;914.0 14.0 109613;2969.0 186.0 109614;2109.0 107.0 109615;2489.0 154.0 109617;334.0 8.0 109618;11386.0 385.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 933;109596 855;109597 858;109598 842;109599 871;109600 902;109601 902;109602 870;109603 853;109476 898;109605 884;109606 863;109608 868;109609 889;109610 874;109611 868;109612 851;109613 814;109614 866;109615 852;109617 852;109618 901;109517 834
data,1241497200,825798.0;29383.0;830127.0;35376.0;780349.0;28425.0;832378.0;38994.0;1.19768297811;1.02373909065;1.31660313781;1.04524219818,7013.0 336.0 109594;9372.0 476.0 109596;10400.0 583.0 109597;4804.0 224.0 109598;6877.0 355.0 109599;2677.0 86.0 109600;2209.0 70.0 109601;11782.0 778.0 109602;3152.0 175.0 109603;23278.0 828.0 109476;15971.0 1125.0 109605;1872.0 51.0 109606;2476.0 93.0 109608;3223.0 170.0 109609;1568.0 60.0 109610;472.0 18.0 109611;2297.0 160.0 109612;924.0 14.0 109613;2995.0 188.0 109614;2122.0 108.0 109615;2557.0 159.0 109617;355.0 8.0 109618;11398.0 385.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 843;109596 819;109597 889;109598 905;109599 897;109600 873;109601 918;109602 878;109603 882;109476 829;109605 876;109606 824;109608 871;109609 883;109610 882;109611 874;109612 933;109613 852;109614 846;109615 870;109617 840;109618 892;109517 824
