
New Run at  02/10/2015 05:32:45
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio; extremeGreedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241679900,1341719.0;49201.0;1348328.0;61603.0;1270303.0;47842.0;1353261.0;67980.0;1.24593087771;1.02704540294;1.36989485427;1.07327234214,889.0 23.0 109680;3238.0 101.0 109666;2599.0 62.0 109667;5072.0 196.0 109668;16979.0 1041.0 109670;2822.0 37.0 109660;2026.0 80.0 109674;19162.0 1223.0 109676;1037.0 19.0 109678;1863.0 74.0 109679;1461.0 26.0 109648;1173.0 46.0 109681;926.0 34.0 109682;19719.0 898.0 109635;10709.0 448.0 109652;5595.0 190.0 109656;1256.0 50.0 109683;8050.0 181.0 109628;5599.0 218.0 109661;7723.0 354.0 109663,109648.0 14595;109666.0 14595;109635.0 14595;109668.0 14595;109670.0 14595;109628.0 14595;109674.0 14595;109676.0 14595;109678.0 14595;109679.0 14595;109680.0 14595;109681.0 14595;109682.0 14595;109683.0 14595;109652.0 14595;109656.0 14595;109667.0 14595;109660.0 14595;109661.0 14595;109663.0 14595,109680 783;109666 751;109667 741;109668 696;109670 734;109660 728;109674 757;109676 744;109678 737;109679 746;109648 738;109681 686;109682 698;109635 710;109652 747;109656 657;109683 747;109628 755;109661 713;109663 727
data,1241680500,1342732.0;49233.0;1349331.0;61641.0;1271314.0;47860.0;1354310.0;68007.0;1.24590295676;1.02672208447;1.3695206054;1.07326171787,902.0 23.0 109680;3247.0 101.0 109666;2616.0 62.0 109667;5103.0 198.0 109668;17007.0 1041.0 109670;8097.0 182.0 109628;2053.0 81.0 109674;19578.0 1243.0 109676;1050.0 19.0 109678;1930.0 75.0 109679;1478.0 27.0 109648;1200.0 46.0 109681;942.0 34.0 109682;1330.0 51.0 109683;10735.0 450.0 109652;19751.0 899.0 109635;5663.0 194.0 109656;2837.0 37.0 109660;5636.0 221.0 109661;7746.0 355.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 982;109666 1038;109667 989;109668 987;109670 973;109628 993;109674 999;109676 973;109678 1022;109679 987;109648 1044;109681 957;109682 960;109683 1014;109652 1019;109635 1047;109656 982;109660 978;109661 967;109663 1089
data,1241681400,1343670.0;49255.0;1350270.0;61664.0;1272310.0;47879.0;1355291.0;68039.0;1.24581447238;1.02658385047;1.36951774879;1.07320291309,911.0 23.0 109680;3257.0 101.0 109666;2628.0 62.0 109667;5120.0 198.0 109668;17047.0 1043.0 109670;8143.0 184.0 109628;2075.0 81.0 109674;20008.0 1254.0 109676;1068.0 19.0 109678;1972.0 75.0 109679;1487.0 27.0 109648;1230.0 46.0 109681;948.0 35.0 109682;19768.0 899.0 109635;10758.0 450.0 109652;5733.0 195.0 109656;1395.0 55.0 109683;2854.0 38.0 109660;5679.0 221.0 109661;7759.0 356.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 1002;109666 985;109667 982;109668 965;109670 1033;109628 1063;109674 1053;109676 1010;109678 974;109679 977;109648 1019;109681 1026;109682 943;109635 981;109652 965;109656 1024;109683 1015;109660 1043;109661 946;109663 994
data,1241682000,1344652.0;49285.0;1351259.0;61696.0;1273268.0;47895.0;1356340.0;68073.0;1.24570024419;1.02627912304;1.36930899805;1.07298232281,1510.0 27.0 109648;3279.0 101.0 109666;19800.0 900.0 109635;5133.0 198.0 109668;17081.0 1045.0 109670;8182.0 184.0 109628;2102.0 83.0 109674;20449.0 1273.0 109676;1082.0 19.0 109678;1989.0 75.0 109679;930.0 23.0 109680;1247.0 47.0 109681;958.0 35.0 109682;2641.0 62.0 109667;10776.0 450.0 109652;5806.0 197.0 109656;1471.0 56.0 109683;2873.0 38.0 109660;5721.0 224.0 109661;7799.0 357.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1049;109666 970;109635 1049;109668 985;109670 1023;109628 1002;109674 966;109676 949;109678 996;109679 979;109680 929;109681 1027;109682 1008;109667 1023;109652 1019;109656 1032;109683 1012;109660 962;109661 1000;109663 1020
data,1241682900,1345630.0;49312.0;1352235.0;61733.0;1274229.0;47913.0;1357331.0;68091.0;1.24577110622;1.02607456778;1.36891659449;1.07280419032,1526.0 27.0 109648;3298.0 102.0 109666;19834.0 902.0 109635;5145.0 198.0 109668;17154.0 1050.0 109670;2891.0 38.0 109660;2135.0 84.0 109674;20834.0 1290.0 109676;1091.0 19.0 109678;2023.0 76.0 109679;942.0 23.0 109680;1269.0 48.0 109681;975.0 35.0 109682;2658.0 63.0 109667;10799.0 450.0 109652;5865.0 198.0 109656;1522.0 57.0 109683;8238.0 187.0 109628;5776.0 226.0 109661;7830.0 358.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 998;109666 1003;109635 999;109668 973;109670 1030;109660 968;109674 978;109676 935;109678 1005;109679 1053;109680 1012;109681 1024;109682 953;109667 1007;109652 1019;109656 1044;109683 927;109628 1040;109661 1025;109663 1007
data,1241683500,1346669.0;49339.0;1353263.0;61762.0;1275173.0;47941.0;1358429.0;68114.0;1.24568909664;1.02614444878;1.36857927974;1.07280225371,1541.0 27.0 109648;3309.0 102.0 109666;19857.0 902.0 109635;5163.0 199.0 109668;17227.0 1053.0 109670;2906.0 38.0 109660;2157.0 85.0 109674;21306.0 1304.0 109676;1111.0 19.0 109678;2050.0 76.0 109679;958.0 23.0 109680;1291.0 48.0 109681;997.0 35.0 109682;2672.0 63.0 109667;10814.0 451.0 109652;5917.0 199.0 109656;1558.0 57.0 109683;8300.0 189.0 109628;5842.0 231.0 109661;7857.0 359.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 990;109666 953;109635 1070;109668 992;109670 1007;109660 971;109674 992;109676 1066;109678 1043;109679 1001;109680 1025;109681 962;109682 1033;109667 1019;109652 896;109656 1023;109683 960;109628 1022;109661 992;109663 983
