data,1241739900,1526351.0;56462.0;1529392.0;64575.0;1489355.0;55390.0;1.14141548099;1.00538243929,3470.0 153.0 109696;2945.0 74.0 109697;2757.0 96.0 109698;3836.0 236.0 109699;2213.0 84.0 109700;1695.0 53.0 109701;1306.0 30.0 109702;6646.0 476.0 109703;2561.0 134.0 109704;1056.0 33.0 109705;620.0 25.0 109706;22037.0 960.0 109635;2840.0 97.0 109651;11527.0 160.0 109660;10427.0 239.0 109667;4406.0 176.0 109673;560.0 26.0 109675;7489.0 299.0 109683;4976.0 211.0 109689;4074.0 154.0 109690;9829.0 740.0 109692;3392.0 82.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 962;109697 881;109698 955;109699 907;109700 900;109701 858;109702 901;109703 961;109704 920;109705 958;109706 894;109635 842;109651 890;109660 908;109667 884;109673 896;109675 942;109683 917;109689 886;109690 941;109692 899;109693 898
data,1241740200,1527254.0;56494.0;1530315.0;64614.0;1490292.0;55422.0;1.14144433706;1.0053557578,3502.0 154.0 109696;2970.0 74.0 109697;2792.0 97.0 109698;3865.0 236.0 109699;2244.0 84.0 109700;1724.0 53.0 109701;1347.0 31.0 109702;6857.0 487.0 109703;2695.0 143.0 109704;1079.0 33.0 109705;642.0 25.0 109706;22058.0 961.0 109635;2870.0 98.0 109651;11563.0 162.0 109660;10454.0 240.0 109667;4437.0 177.0 109673;593.0 29.0 109675;7515.0 299.0 109683;4999.0 211.0 109689;4100.0 155.0 109690;9859.0 745.0 109692;3420.0 83.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 904;109697 894;109698 930;109699 914;109700 900;109701 929;109702 891;109703 920;109704 934;109705 874;109706 937;109635 900;109651 886;109660 938;109667 861;109673 925;109675 930;109683 919;109689 888;109690 938;109692 889;109693 899
data,1241740500,1528158.0;56531.0;1531236.0;64656.0;1491181.0;55457.0;1.14142739974;1.00532759193,3534.0 156.0 109696;3001.0 74.0 109697;2823.0 98.0 109698;3892.0 236.0 109699;2277.0 84.0 109700;1750.0 53.0 109701;1372.0 31.0 109702;7041.0 500.0 109703;2825.0 150.0 109704;1113.0 35.0 109705;683.0 26.0 109706;22089.0 961.0 109635;2898.0 101.0 109651;11590.0 162.0 109660;10490.0 242.0 109667;4466.0 177.0 109673;626.0 32.0 109675;7548.0 303.0 109683;5026.0 213.0 109689;4132.0 155.0 109690;9882.0 747.0 109692;3448.0 83.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 931;109697 910;109698 948;109699 913;109700 916;109701 932;109702 923;109703 887;109704 885;109705 923;109706 910;109635 932;109651 878;109660 878;109667 897;109673 901;109675 958;109683 970;109689 883;109690 881;109692 850;109693 894
data,1241740800,1529074.0;56550.0;1532100.0;64688.0;1492108.0;55487.0;1.14164875106;1.00551112541,3563.0 158.0 109696;3034.0 74.0 109697;2845.0 98.0 109698;3921.0 238.0 109699;2313.0 86.0 109700;1783.0 55.0 109701;1399.0 31.0 109702;7217.0 510.0 109703;2963.0 156.0 109704;1148.0 36.0 109705;708.0 26.0 109706;22118.0 962.0 109635;2928.0 101.0 109651;11614.0 162.0 109660;10510.0 242.0 109667;4488.0 178.0 109673;651.0 33.0 109675;7575.0 305.0 109683;5051.0 214.0 109689;4156.0 156.0 109690;9910.0 747.0 109692;3475.0 83.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 921;109697 912;109698 926;109699 929;109700 887;109701 824;109702 892;109703 940;109704 869;109705 940;109706 949;109635 917;109651 925;109660 873;109667 862;109673 919;109675 915;109683 947;109689 888;109690 932;109692 946;109693 887
data,1241741100,1530020.0;56577.0;1533033.0;64725.0;1492986.0;55510.0;1.14176768755;1.00547825938,3593.0 159.0 109696;3060.0 76.0 109697;2869.0 98.0 109698;3964.0 239.0 109699;2346.0 88.0 109700;1819.0 55.0 109701;1425.0 33.0 109702;7442.0 521.0 109703;3069.0 162.0 109704;1178.0 36.0 109705;726.0 27.0 109706;22153.0 962.0 109635;2956.0 101.0 109651;11636.0 162.0 109660;10544.0 245.0 109667;4513.0 178.0 109673;687.0 35.0 109675;7611.0 306.0 109683;5082.0 214.0 109689;4185.0 156.0 109690;9947.0 750.0 109692;3498.0 85.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 935;109697 889;109698 909;109699 910;109700 946;109701 900;109702 908;109703 962;109704 910;109705 855;109706 912;109635 928;109651 909;109660 875;109667 907;109673 908;109675 819;109683 929;109689 906;109690 922;109692 928;109693 933
data,1241741400,1530991.0;56609.0;1533931.0;64761.0;1493912.0;55539.0;1.14181271888;1.0054493429,3636.0 160.0 109696;3093.0 76.0 109697;2892.0 98.0 109698;3982.0 240.0 109699;2379.0 89.0 109700;1847.0 55.0 109701;1454.0 33.0 109702;7659.0 532.0 109703;3178.0 167.0 109704;1209.0 37.0 109705;751.0 28.0 109706;22180.0 964.0 109635;2985.0 101.0 109651;11666.0 162.0 109660;10574.0 246.0 109667;4543.0 182.0 109673;720.0 36.0 109675;7647.0 308.0 109683;5105.0 214.0 109689;4211.0 156.0 109690;9971.0 752.0 109692;3519.0 88.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 913;109698 914;109699 964;109700 909;109701 885;109702 949;109703 891;109704 898;109705 871;109706 890;109635 892;109651 926;109660 876;109667 929;109673 858;109675 932;109683 993;109689 900;109690 891;109692 903;109693 904
data,1241741700,1531894.0;56642.0;1534781.0;64800.0;1494796.0;55575.0;1.14187542727;1.00551297683,3671.0 161.0 109696;3115.0 76.0 109697;2923.0 99.0 109698;4005.0 241.0 109699;2411.0 90.0 109700;1865.0 56.0 109701;1480.0 33.0 109702;7861.0 544.0 109703;3299.0 174.0 109704;1230.0 38.0 109705;789.0 30.0 109706;22212.0 966.0 109635;3012.0 102.0 109651;11685.0 162.0 109660;10592.0 247.0 109667;4576.0 184.0 109673;750.0 37.0 109675;7668.0 308.0 109683;5126.0 215.0 109689;4236.0 156.0 109690;10001.0 755.0 109692;3544.0 89.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 890;109697 889;109698 945;109699 863;109700 923;109701 919;109702 955;109703 929;109704 905;109705 881;109706 877;109635 905;109651 915;109660 906;109667 863;109673 927;109675 939;109683 915;109689 905;109690 910;109692 938;109693 901
data,1241742000,1532818.0;56675.0;1535713.0;64840.0;1495675.0;55617.0;1.14191034774;1.00570217078,3704.0 164.0 109696;3147.0 77.0 109697;2956.0 100.0 109698;4032.0 243.0 109699;2432.0 92.0 109700;1894.0 56.0 109701;1508.0 35.0 109702;8056.0 553.0 109703;3420.0 179.0 109704;1266.0 38.0 109705;822.0 33.0 109706;22243.0 968.0 109635;3034.0 104.0 109651;11713.0 162.0 109660;10625.0 247.0 109667;4603.0 185.0 109673;789.0 39.0 109675;7704.0 310.0 109683;5154.0 215.0 109689;4270.0 157.0 109690;10029.0 756.0 109692;3582.0 90.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 937;109698 951;109699 863;109700 862;109701 944;109702 899;109703 895;109704 946;109705 915;109706 894;109635 901;109651 896;109660 922;109667 898;109673 890;109675 878;109683 885;109689 941;109690 918;109692 949;109693 897
data,1241742300,1533712.0;56696.0;1536614.0;64876.0;1496540.0;55646.0;1.14211720869;1.0058587957,3738.0 165.0 109696;3168.0 78.0 109697;2991.0 101.0 109698;4060.0 246.0 109699;2454.0 93.0 109700;1921.0 56.0 109701;1533.0 35.0 109702;8324.0 569.0 109703;3494.0 181.0 109704;1292.0 38.0 109705;850.0 34.0 109706;22269.0 969.0 109635;3063.0 104.0 109651;11749.0 162.0 109660;10653.0 248.0 109667;4630.0 187.0 109673;823.0 42.0 109675;7721.0 310.0 109683;5183.0 217.0 109689;4301.0 157.0 109690;10055.0 756.0 109692;3612.0 91.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 913;109697 880;109698 933;109699 918;109700 902;109701 924;109702 904;109703 951;109704 926;109705 900;109706 915;109635 893;109651 911;109660 950;109667 942;109673 911;109675 879;109683 870;109689 888;109690 953;109692 879;109693 858
data,1241742600,1534591.0;56717.0;1537539.0;64910.0;1497496.0;55673.0;1.1422597251;1.00590820142,3756.0 166.0 109696;3200.0 79.0 109697;3021.0 102.0 109698;4087.0 247.0 109699;2494.0 95.0 109700;1948.0 56.0 109701;1559.0 36.0 109702;8572.0 581.0 109703;3577.0 189.0 109704;1313.0 38.0 109705;882.0 35.0 109706;22303.0 970.0 109635;3087.0 105.0 109651;11784.0 162.0 109660;10682.0 248.0 109667;4661.0 187.0 109673;862.0 44.0 109675;7753.0 311.0 109683;5208.0 217.0 109689;4335.0 157.0 109690;10082.0 757.0 109692;3643.0 91.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 930;109697 910;109698 942;109699 854;109700 891;109701 935;109702 962;109703 894;109704 921;109705 919;109706 906;109635 856;109651 851;109660 880;109667 876;109673 953;109675 891;109683 937;109689 923;109690 958;109692 882;109693 929
data,1241742900,1535475.0;56745.0;1538423.0;64928.0;1498415.0;55699.0;1.14201395453;1.00584355067,3790.0 167.0 109696;3226.0 79.0 109697;3056.0 102.0 109698;4112.0 247.0 109699;2521.0 95.0 109700;1974.0 56.0 109701;1582.0 36.0 109702;8770.0 586.0 109703;3685.0 193.0 109704;1340.0 38.0 109705;908.0 35.0 109706;22326.0 970.0 109635;3116.0 106.0 109651;11799.0 162.0 109660;10714.0 248.0 109667;4697.0 188.0 109673;900.0 44.0 109675;7785.0 311.0 109683;5238.0 218.0 109689;4372.0 159.0 109690;10104.0 759.0 109692;3678.0 92.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 883;109698 931;109699 920;109700 937;109701 862;109702 900;109703 882;109704 899;109705 924;109706 855;109635 863;109651 884;109660 903;109667 933;109673 956;109675 1008;109683 888;109689 897;109690 952;109692 879;109693 912
