
New Run at  01/27/2015 00:50:25
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241428500,597515.0;20339.0;578073.0;21799.0;569363.0;20885.0;1.10782994998;1.07761705065,15772.0 213.0 109536;10600.0 336.0 109476;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;2331.0 79.0 109581;2241.0 117.0 109582;4126.0 139.0 109517;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;97016.0 3620.0 109524;0.0 0.0 109589;518.0 10.0 109588;1776.0 34.0 109583;4860.0 160.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1015;109476 966;109574 1007;109575 1007;109576 1016;109577 993;109578 1010;109580 993;109581 1040;109582 979;109517 1037;109584 989;109585 1007;109586 1007;109587 995;109524 982;109589 951;109588 992;109583 1011;109572 1003
data,1241429100,598478.0;20354.0;578170.0;21802.0;570400.0;20902.0;1.10876421868;1.07747386994,15806.0 214.0 109536;4860.0 160.0 109572;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;2331.0 79.0 109581;2241.0 117.0 109582;4126.0 139.0 109517;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;549.0 10.0 109588;0.0 0.0 109589;10632.0 338.0 109476;1776.0 34.0 109583;97016.0 3620.0 109524,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 983;109572 980;109574 1037;109575 971;109576 990;109577 988;109578 979;109580 1027;109581 974;109582 1048;109517 955;109584 1025;109585 1049;109586 963;109587 1009;109588 997;109589 1019;109476 983;109583 1016;109524 1007
data,1241430000,599457.0;20369.0;578288.0;21803.0;571394.0;20915.0;1.10958455308;1.07723516248,15847.0 214.0 109536;10676.0 338.0 109476;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;2331.0 79.0 109581;2241.0 117.0 109582;1776.0 34.0 109583;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;582.0 11.0 109588;0.0 0.0 109589;97016.0 3620.0 109524;4126.0 139.0 109517;4860.0 160.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1039;109476 1068;109574 1018;109575 999;109576 978;109577 1006;109578 1022;109580 990;109581 963;109582 994;109583 930;109584 976;109585 1044;109586 996;109587 1013;109588 1004;109589 1000;109524 1011;109517 962;109572 987
data,1241430900,600422.0;20385.0;578393.0;21804.0;572439.0;20935.0;1.11034777364;1.07718334989,15882.0 215.0 109536;10711.0 338.0 109476;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;4126.0 139.0 109517;2241.0 117.0 109582;2331.0 79.0 109581;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;97016.0 3620.0 109524;0.0 0.0 109589;617.0 11.0 109588;1776.0 34.0 109583;4860.0 160.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1070;109476 942;109574 1058;109575 980;109576 992;109577 1072;109578 990;109580 958;109517 961;109582 993;109581 1030;109584 1022;109585 1023;109586 998;109587 975;109524 964;109589 943;109588 960;109583 1027;109572 1042
data,1241431500,601485.0;20397.0;578488.0;21805.0;573448.0;20952.0;1.11152757665;1.07743219431,15916.0 215.0 109536;4860.0 160.0 109572;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;2712.0 97.0 109580;3243.0 86.0 109578;2331.0 79.0 109581;4126.0 139.0 109517;2241.0 117.0 109582;1776.0 34.0 109583;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;97016.0 3620.0 109524;0.0 0.0 109589;3149.0 119.0 109577;10740.0 339.0 109476;649.0 11.0 109588,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 980;109572 1029;109574 986;109575 995;109576 983;109580 1018;109578 999;109581 994;109517 1011;109582 1005;109583 987;109584 957;109585 1019;109586 1017;109587 992;109524 1006;109589 950;109577 1054;109476 1007;109588 1011
data,1241432100,602530.0;20420.0;578587.0;21806.0;574470.0;20968.0;1.11206525976;1.0769922835,15943.0 216.0 109536;10776.0 339.0 109476;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;2331.0 79.0 109581;2241.0 117.0 109582;4126.0 139.0 109517;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;97016.0 3620.0 109524;0.0 0.0 109589;4860.0 160.0 109572;1776.0 34.0 109583;685.0 11.0 109588,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 953;109476 1034;109574 979;109575 1020;109576 982;109577 1029;109578 962;109580 1010;109581 1006;109582 1008;109517 978;109584 1013;109585 1035;109586 1013;109587 994;109524 1032;109589 1020;109572 998;109583 949;109588 985
data,1241433000,603541.0;20431.0;578685.0;21807.0;575422.0;20993.0;1.11319398921;1.07771815245,15973.0 217.0 109536;4860.0 160.0 109572;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;2331.0 79.0 109581;2241.0 117.0 109582;4126.0 139.0 109517;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;97016.0 3620.0 109524;0.0 0.0 109589;0.0 0.0 109591;10811.0 339.0 109476;1776.0 34.0 109583;718.0 11.0 109588,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109591.0 998;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 983;109572 985;109574 1029;109575 955;109576 1059;109577 1047;109578 1018;109580 960;109581 1012;109582 979;109517 1034;109584 975;109585 1016;109586 1037;109587 975;109524 959;109589 1000;109591 13;109476 1001;109583 1005;109588 958
data,1241433600,604559.0;20452.0;578779.0;21810.0;576131.0;21017.0;1.11389898257;1.07833173607,16008.0 217.0 109536;4860.0 160.0 109572;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;2331.0 79.0 109581;2241.0 117.0 109582;4126.0 139.0 109517;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;97016.0 3620.0 109524;0.0 0.0 109589;0.0 0.0 109591;10838.0 340.0 109476;1776.0 34.0 109583;750.0 13.0 109588,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109591.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 8092,109536 917;109572 334;109574 1016;109575 1014;109576 992;109577 987;109578 996;109580 1006;109581 993;109582 1011;109517 965;109584 1021;109585 999;109586 975;109587 1046;109524 995;109589 1014;109591 709;109476 1034;109583 976;109588 1000
data,1241434200,605538.0;20474.0;578885.0;21810.0;577123.0;21050.0;1.11429985089;1.07875400424,16042.0 217.0 109536;10872.0 340.0 109476;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;4126.0 139.0 109517;2241.0 117.0 109582;2331.0 79.0 109581;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;97016.0 3620.0 109524;0.0 0.0 109589;0.0 0.0 109591;788.0 13.0 109588;1776.0 34.0 109583,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109591.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000,109536 1008;109476 964;109574 1001;109575 956;109576 1046;109577 1004;109578 980;109580 1024;109517 1006;109582 1047;109581 961;109584 981;109585 1004;109586 974;109587 1019;109524 999;109589 1051;109591 992;109588 1018;109583 965
data,1241434800,606575.0;20500.0;578989.0;21810.0;578154.0;21084.0;1.11459219769;1.07904639636,16073.0 217.0 109536;10910.0 340.0 109476;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;4126.0 139.0 109517;2241.0 117.0 109582;1776.0 34.0 109583;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;823.0 13.0 109588;0.0 0.0 109589;0.0 0.0 109591;97016.0 3620.0 109524;2331.0 79.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109591.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000,109536 952;109476 975;109574 957;109575 1016;109576 998;109577 990;109578 986;109580 1001;109517 1069;109582 1021;109583 948;109584 1033;109585 1043;109586 981;109587 1015;109588 1027;109589 948;109591 1031;109524 1001;109581 1008
