data,1241752500,1562699.0;57487.0;1572662.0;73660.0;1526003.0;56748.0;1.27321577361;1.01088292677,4197.0 169.0 109696;2519.0 69.0 109697;2734.0 91.0 109698;6022.0 334.0 109699;3174.0 116.0 109700;2029.0 49.0 109701;1480.0 28.0 109702;16656.0 1073.0 109703;4571.0 230.0 109704;1859.0 65.0 109706;641.0 20.0 109707;2143.0 113.0 109708;669.0 23.0 109709;213.0 5.0 109710;34007.0 1514.0 109635;2411.0 78.0 109651;6643.0 82.0 109660;6877.0 147.0 109667;4175.0 152.0 109673;4667.0 219.0 109675;6644.0 253.0 109683;6499.0 273.0 109689;4188.0 171.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 863;109697 850;109698 848;109699 904;109700 832;109701 878;109702 874;109703 868;109704 905;109706 872;109707 837;109708 840;109709 843;109710 831;109635 854;109651 900;109660 883;109667 827;109673 863;109675 938;109683 920;109689 877;109690 893
data,1241752800,1563624.0;57517.0;1573541.0;73694.0;1526843.0;56770.0;1.27318105787;1.01078924859,4212.0 169.0 109696;2530.0 69.0 109697;2763.0 91.0 109698;6131.0 336.0 109699;3210.0 116.0 109700;2048.0 51.0 109701;1490.0 28.0 109702;16683.0 1077.0 109703;4656.0 233.0 109704;1900.0 67.0 109706;659.0 22.0 109707;2287.0 117.0 109708;687.0 26.0 109709;225.0 6.0 109710;34060.0 1516.0 109635;2433.0 78.0 109651;6656.0 82.0 109660;6888.0 147.0 109667;4197.0 152.0 109673;4785.0 226.0 109675;6660.0 253.0 109683;6534.0 273.0 109689;4203.0 173.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 895;109697 868;109698 850;109699 832;109700 869;109701 861;109702 802;109703 874;109704 839;109706 877;109707 895;109708 914;109709 842;109710 928;109635 870;109651 867;109660 823;109667 862;109673 913;109675 903;109683 867;109689 877;109690 872
data,1241753400,1564503.0;57553.0;1574437.0;73736.0;1527753.0;56798.0;1.27310059432;1.01062103159,4222.0 169.0 109696;2546.0 69.0 109697;2781.0 93.0 109698;6243.0 344.0 109699;3240.0 118.0 109700;2062.0 51.0 109701;1501.0 28.0 109702;16712.0 1077.0 109703;4761.0 238.0 109704;1936.0 69.0 109706;674.0 22.0 109707;2450.0 124.0 109708;729.0 30.0 109709;241.0 7.0 109710;34125.0 1520.0 109635;2449.0 80.0 109651;6670.0 82.0 109660;6907.0 147.0 109667;4214.0 153.0 109673;4875.0 228.0 109675;6678.0 254.0 109683;6564.0 273.0 109689;4213.0 174.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 903;109697 818;109698 835;109699 870;109700 865;109701 884;109702 860;109703 862;109704 895;109706 898;109707 856;109708 873;109709 873;109710 886;109635 822;109651 878;109660 850;109667 837;109673 871;109675 877;109683 948;109689 884;109690 855
data,1241753700,1565403.0;57578.0;1575287.0;73759.0;1528637.0;56817.0;1.27298978133;1.01051675292,4237.0 170.0 109696;2552.0 69.0 109697;2806.0 93.0 109698;6374.0 347.0 109699;3275.0 118.0 109700;2081.0 51.0 109701;1513.0 28.0 109702;16729.0 1077.0 109703;4842.0 242.0 109704;1983.0 70.0 109706;688.0 22.0 109707;2582.0 126.0 109708;782.0 33.0 109709;260.0 9.0 109710;34176.0 1521.0 109635;2481.0 81.0 109651;6678.0 82.0 109660;6917.0 147.0 109667;4233.0 153.0 109673;4935.0 229.0 109675;6692.0 254.0 109683;6594.0 276.0 109689;4233.0 175.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 885;109697 846;109698 847;109699 863;109700 837;109701 903;109702 860;109703 893;109704 889;109706 865;109707 838;109708 917;109709 894;109710 934;109635 878;109651 873;109660 829;109667 845;109673 857;109675 893;109683 832;109689 855;109690 867
data,1241754000,1566253.0;57604.0;1576147.0;73783.0;1529497.0;56850.0;1.27282548989;1.0106275049,4262.0 171.0 109696;2568.0 69.0 109697;2825.0 93.0 109698;6491.0 350.0 109699;3299.0 119.0 109700;2097.0 51.0 109701;1518.0 28.0 109702;16741.0 1077.0 109703;4970.0 247.0 109704;2019.0 70.0 109706;703.0 22.0 109707;2698.0 130.0 109708;836.0 34.0 109709;279.0 10.0 109710;34216.0 1523.0 109635;2517.0 82.0 109651;6694.0 82.0 109660;6928.0 147.0 109667;4251.0 153.0 109673;4986.0 231.0 109675;6718.0 257.0 109683;6631.0 276.0 109689;4256.0 175.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 863;109697 889;109698 821;109699 841;109700 819;109701 859;109702 882;109703 915;109704 896;109706 877;109707 868;109708 854;109709 886;109710 888;109635 869;109651 851;109660 869;109667 882;109673 882;109675 851;109683 873;109689 882;109690 883
data,1241754300,1567110.0;57637.0;1577084.0;73816.0;1530326.0;56879.0;1.27260550064;1.01056932081,4277.0 171.0 109696;2582.0 70.0 109697;2840.0 93.0 109698;6599.0 356.0 109699;3328.0 120.0 109700;2113.0 51.0 109701;1530.0 29.0 109702;16774.0 1079.0 109703;5105.0 250.0 109704;2048.0 70.0 109706;713.0 22.0 109707;2810.0 133.0 109708;907.0 36.0 109709;292.0 10.0 109710;34318.0 1528.0 109635;2556.0 85.0 109651;6706.0 82.0 109660;6939.0 147.0 109667;4259.0 154.0 109673;5057.0 234.0 109675;6739.0 258.0 109683;6669.0 277.0 109689;4279.0 175.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 860;109698 857;109699 837;109700 953;109701 929;109702 856;109703 823;109704 863;109706 832;109707 820;109708 887;109709 916;109710 902;109635 873;109651 872;109660 857;109667 863;109673 884;109675 885;109683 865;109689 875;109690 829
data,1241754900,1567992.0;57665.0;1577906.0;73843.0;1531210.0;56908.0;1.27250574272;1.01057863472,4292.0 171.0 109696;2591.0 70.0 109697;2853.0 93.0 109698;6716.0 361.0 109699;3357.0 121.0 109700;2123.0 51.0 109701;1535.0 29.0 109702;16796.0 1080.0 109703;5194.0 250.0 109704;2074.0 71.0 109706;726.0 23.0 109707;2922.0 139.0 109708;978.0 40.0 109709;315.0 11.0 109710;34393.0 1532.0 109635;2594.0 85.0 109651;6711.0 82.0 109660;6950.0 147.0 109667;4272.0 154.0 109673;5118.0 234.0 109675;6764.0 259.0 109683;6692.0 278.0 109689;4296.0 176.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 850;109697 859;109698 921;109699 850;109700 871;109701 869;109702 849;109703 866;109704 816;109706 912;109707 884;109708 877;109709 903;109710 853;109635 887;109651 852;109660 859;109667 874;109673 881;109675 926;109683 871;109689 804;109690 866
data,1241755200,1568847.0;57697.0;1578737.0;73864.0;1532059.0;56931.0;1.27218536277;1.01041708542,4305.0 171.0 109696;2606.0 70.0 109697;2862.0 93.0 109698;6816.0 366.0 109699;3389.0 121.0 109700;2137.0 51.0 109701;1552.0 29.0 109702;16819.0 1081.0 109703;5272.0 251.0 109704;2109.0 73.0 109706;737.0 23.0 109707;3038.0 145.0 109708;1042.0 41.0 109709;335.0 11.0 109710;34488.0 1532.0 109635;2624.0 85.0 109651;6717.0 82.0 109660;6960.0 147.0 109667;4278.0 154.0 109673;5172.0 238.0 109675;6786.0 259.0 109683;6733.0 279.0 109689;4316.0 176.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 861;109697 905;109698 850;109699 783;109700 883;109701 907;109702 919;109703 923;109704 871;109706 876;109707 841;109708 850;109709 858;109710 920;109635 850;109651 854;109660 864;109667 873;109673 914;109675 836;109683 833;109689 848;109690 881
data,1241755500,1569698.0;57726.0;1579648.0;73904.0;1532893.0;56955.0;1.27219083584;1.01033327154,4318.0 172.0 109696;2621.0 70.0 109697;2871.0 93.0 109698;6961.0 372.0 109699;3409.0 121.0 109700;2149.0 51.0 109701;1562.0 29.0 109702;16868.0 1086.0 109703;5335.0 254.0 109704;2157.0 77.0 109706;751.0 24.0 109707;3179.0 154.0 109708;1135.0 46.0 109709;352.0 11.0 109710;34555.0 1534.0 109635;2654.0 85.0 109651;6731.0 82.0 109660;6968.0 147.0 109667;4294.0 154.0 109673;5230.0 238.0 109675;6812.0 262.0 109683;6764.0 280.0 109689;4328.0 176.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 877;109697 879;109698 855;109699 878;109700 908;109701 884;109702 872;109703 861;109704 846;109706 897;109707 853;109708 881;109709 852;109710 868;109635 897;109651 873;109660 823;109667 865;109673 851;109675 858;109683 934;109689 861;109690 827
data,1241756100,1570531.0;57748.0;1580545.0;73931.0;1533723.0;56982.0;1.27212351538;1.01041625285,4333.0 173.0 109696;2630.0 70.0 109697;2886.0 93.0 109698;7142.0 380.0 109699;3423.0 121.0 109700;2156.0 51.0 109701;1570.0 29.0 109702;16928.0 1089.0 109703;5388.0 255.0 109704;2210.0 78.0 109706;760.0 24.0 109707;3310.0 158.0 109708;1214.0 48.0 109709;364.0 11.0 109710;34624.0 1538.0 109635;2668.0 85.0 109651;6741.0 82.0 109660;6981.0 147.0 109667;4304.0 154.0 109673;5265.0 238.0 109675;6855.0 264.0 109683;6802.0 281.0 109689;4347.0 176.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 861;109697 908;109698 880;109699 910;109700 822;109701 882;109702 857;109703 876;109704 850;109706 912;109707 913;109708 878;109709 922;109710 847;109635 908;109651 865;109660 850;109667 820;109673 843;109675 813;109683 847;109689 859;109690 877
