data,1241866500,1822621.0;65901.0;1832463.0;83291.0;1715506.0;62405.0;1828961.0;70945.0;1.25709247592;1.00607767322;1.0728072833,2951.0 58.0 109728;8728.0 179.0 109697;12331.0 262.0 109667;4728.0 166.0 109734;2192.0 47.0 109735;5611.0 222.0 109711;2298.0 84.0 109746;10456.0 515.0 109742;5841.0 254.0 109743;2205.0 58.0 109745;918.0 19.0 109714;1437.0 35.0 109747;5356.0 223.0 109748;3915.0 160.0 109749;5406.0 160.0 109720;23296.0 1219.0 109721;6348.0 229.0 109722;3343.0 53.0 109723;2844.0 71.0 109726,109728.0 4623;109697.0 4623;109667.0 4623;109734.0 4623;109735.0 4623;109711.0 4623;109714.0 4623;109742.0 4623;109743.0 4623;109745.0 4623;109746.0 4623;109747.0 4623;109748.0 4623;109749.0 4623;109720.0 4623;109721.0 4623;109722.0 4623;109723.0 4623;109726.0 4623,109728 267;109697 252;109667 242;109734 231;109735 240;109711 215;109746 264;109742 252;109743 220;109745 223;109714 254;109747 231;109748 239;109749 282;109720 236;109721 255;109722 255;109723 247;109726 218
data,1241867100,1823429.0;65920.0;1833299.0;83316.0;1716339.0;62428.0;1829782.0;70965.0;1.25709114916;1.00611589365;1.07279444236,2998.0 60.0 109728;8756.0 179.0 109697;12370.0 262.0 109667;4781.0 168.0 109734;2218.0 47.0 109735;962.0 20.0 109714;10521.0 518.0 109742;5653.0 223.0 109711;3389.0 55.0 109723;2242.0 58.0 109745;2342.0 85.0 109746;1478.0 35.0 109747;5396.0 224.0 109748;3952.0 161.0 109749;5461.0 164.0 109720;23336.0 1221.0 109721;6407.0 232.0 109722;5889.0 256.0 109743;2889.0 71.0 109726,109728.0 15377;109697.0 15377;109667.0 15377;109734.0 15377;109735.0 15377;109711.0 15377;109714.0 15377;109742.0 15377;109743.0 15377;109745.0 15377;109746.0 15377;109747.0 15377;109748.0 15377;109749.0 15377;109720.0 15377;109721.0 15377;109722.0 15377;109723.0 15377;109726.0 15377,109728 782;109697 812;109667 756;109734 802;109735 829;109714 786;109742 832;109711 775;109723 810;109745 816;109746 890;109747 844;109748 847;109749 790;109720 788;109721 831;109722 787;109743 800;109726 800
data,1241867700,1824471.0;65951.0;1834350.0;83350.0;1717468.0;62463.0;1830820.0;70984.0;1.25701071499;1.00611995908;1.07258174235,3052.0 60.0 109728;8790.0 179.0 109697;12399.0 262.0 109667;4844.0 170.0 109734;2254.0 49.0 109735;5690.0 224.0 109711;2431.0 92.0 109746;10579.0 520.0 109742;5941.0 256.0 109743;2286.0 60.0 109745;1008.0 20.0 109714;1507.0 35.0 109747;5468.0 230.0 109748;4016.0 165.0 109749;5587.0 170.0 109720;23401.0 1222.0 109721;6470.0 233.0 109722;3444.0 55.0 109723;2924.0 71.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1048;109697 1001;109667 1052;109734 1075;109735 1038;109711 1069;109746 1065;109742 1067;109743 1066;109745 1034;109714 1023;109747 1113;109748 1090;109749 1001;109720 1129;109721 1041;109722 994;109723 1041;109726 1053
data,1241868300,1825549.0;65982.0;1835433.0;83387.0;1718580.0;62493.0;1831853.0;71002.0;1.25697845205;1.00607333655;1.07237821075,3094.0 60.0 109728;8820.0 179.0 109697;12422.0 262.0 109667;5987.0 258.0 109743;4931.0 176.0 109734;2292.0 49.0 109735;2541.0 98.0 109746;10637.0 521.0 109742;5729.0 224.0 109711;2340.0 60.0 109745;1052.0 22.0 109714;1529.0 35.0 109747;5594.0 239.0 109748;4092.0 168.0 109749;5690.0 171.0 109720;23444.0 1223.0 109721;6537.0 237.0 109722;3483.0 55.0 109723;2960.0 73.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1060;109667 1029;109743 1102;109734 1042;109735 1033;109746 1036;109742 1037;109711 1064;109745 1036;109714 1102;109747 1053;109748 1067;109749 1071;109720 1044;109721 1076;109722 1026;109723 1064;109726 1051
data,1241869200,1826590.0;66009.0;1836499.0;83422.0;1719622.0;62528.0;1832905.0;71017.0;1.25697842556;1.00618877324;1.0721616984,3127.0 60.0 109728;8834.0 179.0 109697;12438.0 263.0 109667;5073.0 183.0 109734;2309.0 49.0 109735;1080.0 22.0 109714;6027.0 259.0 109743;10685.0 523.0 109742;5769.0 226.0 109711;2376.0 61.0 109745;2683.0 106.0 109746;1559.0 35.0 109747;5757.0 243.0 109748;4172.0 172.0 109749;5773.0 174.0 109720;23482.0 1225.0 109721;6596.0 237.0 109722;3509.0 55.0 109723;2991.0 73.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1080;109697 1016;109667 1041;109734 1104;109735 1052;109714 1078;109743 1012;109742 1100;109711 1024;109745 1060;109746 988;109747 1097;109748 1038;109749 1036;109720 1027;109721 1058;109722 1096;109723 1034;109726 1059
data,1241869800,1827660.0;66051.0;1837506.0;83462.0;1720690.0;62563.0;1833964.0;71037.0;1.25682853257;1.00607635167;1.07179028394,3156.0 63.0 109728;8848.0 179.0 109697;12468.0 265.0 109667;5163.0 186.0 109734;2324.0 49.0 109735;5809.0 228.0 109711;2889.0 118.0 109746;10715.0 523.0 109742;6060.0 259.0 109743;2408.0 61.0 109745;1107.0 22.0 109714;1580.0 36.0 109747;5930.0 254.0 109748;4238.0 173.0 109749;5840.0 175.0 109720;23519.0 1227.0 109721;6639.0 238.0 109722;3532.0 55.0 109723;3022.0 74.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1006;109667 1065;109734 1139;109735 1059;109711 1091;109746 1061;109742 1029;109743 1040;109745 1045;109714 1063;109747 1096;109748 1057;109749 1038;109720 1026;109721 1028;109722 1093;109723 987;109726 1070
data,1241870400,1828746.0;66084.0;1838527.0;83485.0;1721745.0;62591.0;1835032.0;71062.0;1.25659551705;1.00600497036;1.07164477526,3201.0 65.0 109728;8863.0 179.0 109697;12487.0 265.0 109667;5260.0 188.0 109734;2349.0 50.0 109735;5847.0 228.0 109711;3095.0 124.0 109746;10735.0 524.0 109742;6106.0 261.0 109743;2430.0 61.0 109745;1129.0 22.0 109714;1599.0 37.0 109747;6125.0 259.0 109748;4305.0 174.0 109749;5891.0 175.0 109720;23580.0 1229.0 109721;6670.0 238.0 109722;3546.0 55.0 109723;3050.0 74.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1040;109697 985;109667 1000;109734 1030;109735 1068;109711 1016;109746 1024;109742 1013;109743 1086;109745 1062;109714 1066;109747 1108;109748 1052;109749 1099;109720 1075;109721 1033;109722 1087;109723 1115;109726 1041
data,1241871000,1829740.0;66117.0;1839540.0;83520.0;1722799.0;62636.0;1836061.0;71076.0;1.25648553293;1.0061567547;1.07130249306,3250.0 66.0 109728;8877.0 179.0 109697;12513.0 267.0 109667;5357.0 193.0 109734;2382.0 52.0 109735;1149.0 22.0 109714;10774.0 526.0 109742;6133.0 262.0 109743;3565.0 55.0 109723;2443.0 61.0 109745;3343.0 134.0 109746;1619.0 37.0 109747;6324.0 267.0 109748;4358.0 176.0 109749;5927.0 176.0 109720;23638.0 1229.0 109721;6688.0 239.0 109722;5878.0 228.0 109711;3063.0 74.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1016;109697 1064;109667 1043;109734 1111;109735 1029;109714 1042;109742 1079;109743 1070;109723 1096;109745 1062;109746 1002;109747 1079;109748 1049;109749 1042;109720 1084;109721 1004;109722 1084;109711 1007;109726 1037
data,1241871300,1830799.0;66153.0;1840602.0;83552.0;1723798.0;62663.0;1837088.0;71105.0;1.25628473611;1.00604158559;1.07117715769,3281.0 67.0 109728;8893.0 179.0 109697;12545.0 267.0 109667;6171.0 264.0 109743;5466.0 194.0 109734;2408.0 52.0 109735;1164.0 23.0 109714;10813.0 526.0 109742;5896.0 228.0 109711;2475.0 61.0 109745;3636.0 148.0 109746;1634.0 37.0 109747;6501.0 274.0 109748;4422.0 177.0 109749;5956.0 177.0 109720;23677.0 1229.0 109721;6720.0 242.0 109722;3593.0 55.0 109723;3092.0 75.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1077;109697 1025;109667 1043;109743 1078;109734 1044;109735 1027;109714 1015;109742 1037;109711 1036;109745 1054;109746 1052;109747 1072;109748 1079;109749 1076;109720 1065;109721 1064;109722 1006;109723 1073;109726 1077
data,1241871900,1831858.0;66200.0;1841678.0;83599.0;1724876.0;62708.0;1838157.0;71126.0;1.25609127316;1.00600209759;1.07072908284,3324.0 69.0 109728;8909.0 179.0 109697;12576.0 268.0 109667;5527.0 195.0 109734;2432.0 52.0 109735;5923.0 229.0 109711;1181.0 23.0 109714;10837.0 527.0 109742;6217.0 265.0 109743;2491.0 63.0 109745;3953.0 162.0 109746;1652.0 37.0 109747;6696.0 288.0 109748;4499.0 181.0 109749;5982.0 177.0 109720;23730.0 1234.0 109721;6763.0 242.0 109722;3616.0 56.0 109723;3111.0 75.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1047;109697 1052;109667 1002;109734 1056;109735 1069;109711 1089;109714 1003;109742 1060;109743 1074;109745 1042;109746 1111;109747 1031;109748 998;109749 1065;109720 1043;109721 1052;109722 1050;109723 1075;109726 1081
data,1241872500,1832912.0;66237.0;1842747.0;83654.0;1725925.0;62744.0;1839204.0;71149.0;1.25620917059;1.0059843924;1.07048320509,3363.0 70.0 109728;8924.0 179.0 109697;12593.0 269.0 109667;6265.0 267.0 109743;5583.0 198.0 109734;2449.0 52.0 109735;4251.0 182.0 109746;10888.0 531.0 109742;5940.0 229.0 109711;2509.0 63.0 109745;1199.0 24.0 109714;1670.0 37.0 109747;6943.0 302.0 109748;4552.0 183.0 109749;6011.0 180.0 109720;23801.0 1238.0 109721;6790.0 242.0 109722;3631.0 56.0 109723;3126.0 75.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1058;109697 1004;109667 1029;109743 1055;109734 1114;109735 1047;109746 1051;109742 1072;109711 1052;109745 1109;109714 1103;109747 1031;109748 1075;109749 1032;109720 1035;109721 1021;109722 1026;109723 1054;109726 1032
