
New Run at  03/15/2015 20:57:44
, Time, randomAccesses; randomClicks; ucb1Accesses; ucb1Clicks; ucb1CTRRatio; ucb1_1CTRRatio; ucb1AlphaCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,964.0;36.0;978.0;20.0;0.547602817541,,,
data,1241162700,1929.0;65.0;1931.0;52.0;0.799171413775,,,
data,1241163600,2906.0;101.0;3003.0;84.0;0.804818943433,,,
data,1241164800,3898.0;131.0;3956.0;113.0;0.849948672034,,,
data,1241165700,4888.0;155.0;4963.0;149.0;0.946763469026,,,
data,1241166900,5841.0;178.0;5921.0;177.0;0.980946697054,,,
data,1241167800,6904.0;201.0;6878.0;200.0;0.998786237466,,,
data,1241169000,7879.0;228.0;7831.0;223.0;0.984065242278,,,
data,1241169900,8913.0;249.0;8839.0;255.0;1.03267010797,,,
data,1241171100,9949.0;279.0;9847.0;279.0;1.01035848482,,,
data,1241172000,10958.0;300.0;10815.0;302.0;1.01997719217,,,
data,1241172900,11932.0;326.0;11819.0;333.0;1.03123856409,,,
data,1241173500,12925.0;357.0;12830.0;366.0;1.03280127328,,,
data,1241174400,13942.0;386.0;13870.0;417.0;1.08591883926,,,
data,1241175000,14921.0;420.0;14929.0;449.0;1.06847474873,,,
data,1241175600,15903.0;446.0;15936.0;490.0;1.09637963288,,,
data,1241176200,16842.0;481.0;16923.0;529.0;1.09452807095,,,
data,1241176800,17841.0;519.0;17940.0;563.0;1.07879218461,,,
data,1241177400,18856.0;550.0;18933.0;589.0;1.06655373254,,,
data,1241177700,19849.0;584.0;19963.0;630.0;1.072606754,,,
data,1241178300,20778.0;622.0;20938.0;671.0;1.07053453482,,,
data,1241178600,21738.0;656.0;21949.0;722.0;1.09002938075,,,
data,1241179200,22694.0;690.0;22920.0;771.0;1.10637339707,,,
data,1241179500,23718.0;733.0;23882.0;820.0;1.11100815938,,,
data,1241179800,24708.0;778.0;24920.0;862.0;1.09854341089,,,
data,1241180400,25703.0;820.0;25960.0;922.0;1.11325895374,,,
data,1241180700,26652.0;849.0;26980.0;971.0;1.129794351,,,
data,1241181000,27707.0;879.0;27968.0;1014.0;1.1428182672,,,
data,1241181300,28643.0;916.0;28901.0;1072.0;1.15985832678,,,
data,1241181600,29648.0;958.0;29859.0;1118.0;1.15876785121,,,
data,1241182200,30625.0;995.0;30821.0;1170.0;1.16840162657,,,
data,1241182500,31669.0;1034.0;31848.0;1225.0;1.17806088228,,,
data,1241182800,32707.0;1079.0;32843.0;1279.0;1.18044835264,,,
data,1241183100,33734.0;1136.0;33818.0;1327.0;1.16523229358,,,
data,1241183400,34744.0;1174.0;34809.0;1374.0;1.16817230344,,,
data,1241183700,35794.0;1222.0;35784.0;1425.0;1.16644699073,,,
data,1241184000,36823.0;1273.0;36808.0;1464.0;1.15050794142,,,
data,1241184300,37869.0;1318.0;37893.0;1518.0;1.15101559631,,,
data,1241184600,38780.0;1358.0;38861.0;1571.0;1.15443702734,,,
data,1241184900,39795.0;1411.0;39856.0;1620.0;1.1463646875,,,
data,1241185200,40826.0;1440.0;40883.0;1677.0;1.162959645,,,
data,1241185500,41850.0;1489.0;41929.0;1739.0;1.16569743784,,,
data,1241185500,42867.0;1526.0;42960.0;1797.0;1.1750392178,,,
data,1241185800,43865.0;1574.0;43937.0;1843.0;1.16898339106,,,
data,1241186100,44818.0;1616.0;44916.0;1885.0;1.16391535376,,,
data,1241186400,45784.0;1648.0;45891.0;1934.0;1.17080744093,,,
data,1241186700,46776.0;1685.0;46943.0;1987.0;1.17503337433,,,
data,1241187000,47779.0;1713.0;47937.0;2038.0;1.18580430062,,,
