
New Run at  03/31/2015 19:55:55
, Time, greedyAccesses; greedyClicks; greedyCTRRatio 
data,1241420700,586512.0;22240.0;1.09641041613
data,1241421300,587479.0;22256.0;1.09649269541
data,1241421900,588460.0;22269.0;1.0962026408
data,1241422800,589527.0;22285.0;1.09617470462
data,1241423400,590474.0;22297.0;1.09595663265
data,1241424300,591445.0;22309.0;1.09572764767
data,1241425200,592531.0;22328.0;1.09579420684
data,1241425800,593490.0;22349.0;1.09589430746
data,1241426700,594478.0;22366.0;1.09602114527
data,1241427600,595438.0;22380.0;1.09584106126
data,1241428500,596429.0;22399.0;1.09611843259
data,1241429100,597450.0;22413.0;1.09566054054
data,1241430000,598485.0;22430.0;1.0954248817
data,1241430900,599467.0;22454.0;1.09569909959
data,1241431500,600446.0;22470.0;1.09544769992
data,1241432100,601459.0;22486.0;1.09539505829
data,1241433000,602433.0;22505.0;1.09557690529
data,1241433600,603441.0;22529.0;1.09569735432
data,1241434200,604436.0;22549.0;1.09554003597
data,1241434800,605452.0;22575.0;1.09568079016
data,1241435400,606469.0;22598.0;1.09565240702
data,1241435700,607462.0;22624.0;1.09574187359
data,1241436300,608430.0;22654.0;1.096448442
data,1241436600,609435.0;22679.0;1.09637117961
data,1241437200,610438.0;22714.0;1.09647315653
data,1241437500,611474.0;22741.0;1.09613708528
data,1241438100,612401.0;22768.0;1.09635269823
data,1241438400,613432.0;22802.0;1.0965600253
data,1241438700,614467.0;22834.0;1.09631061921
data,1241439300,615447.0;22879.0;1.09686757857
data,1241439600,616481.0;22908.0;1.09618328584
data,1241439900,617507.0;22932.0;1.09585337712
data,1241440200,618500.0;22976.0;1.0962342362
data,1241440500,619456.0;23016.0;1.09663882833
data,1241440800,620509.0;23051.0;1.09692110962
data,1241441100,621499.0;23089.0;1.09703475458
data,1241441400,622511.0;23127.0;1.09690629511
data,1241441700,623495.0;23159.0;1.09651181306
data,1241442000,624517.0;23188.0;1.09629098631
data,1241442300,625475.0;23219.0;1.09594265085
data,1241442600,626444.0;23256.0;1.09669338817
data,1241442900,627400.0;23287.0;1.09651955188
data,1241443200,628367.0;23323.0;1.09653414695
data,1241443500,629351.0;23354.0;1.096229779
data,1241443800,630299.0;23398.0;1.09676068533
data,1241444100,631316.0;23440.0;1.09719525913
data,1241444400,632312.0;23482.0;1.09700880515
data,1241444400,633257.0;23518.0;1.09694332399
data,1241444700,634246.0;23566.0;1.09767144683
data,1241445000,635241.0;23610.0;1.09776836025
data,1241445300,636232.0;23647.0;1.09779637176
data,1241445600,637212.0;23689.0;1.098183574
data,1241445900,638190.0;23722.0;1.09807393409
data,1241446200,639204.0;23752.0;1.09750195293
data,1241446200,640235.0;23788.0;1.09749852678
data,1241446500,641277.0;23819.0;1.09676715383
data,1241446800,642291.0;23845.0;1.09613319737
data,1241447100,643303.0;23879.0;1.09577416363
data,1241447400,644229.0;23915.0;1.09568906134
data,1241447400,645242.0;23954.0;1.09545828259
data,1241447700,646205.0;23982.0;1.09526273984
data,1241448000,647237.0;24024.0;1.09578696785
data,1241448300,648258.0;24065.0;1.09568932271
data,1241448600,649224.0;24098.0;1.09545071309
data,1241448600,650249.0;24140.0;1.09573617339
data,1241448900,651267.0;24178.0;1.09609202922
data,1241449200,652288.0;24211.0;1.09513925364
data,1241449500,653357.0;24259.0;1.09567442643
data,1241449800,654405.0;24290.0;1.09533880758
data,1241449800,655384.0;24329.0;1.09563479248
data,1241450100,656381.0;24368.0;1.09635545556
data,1241450400,657490.0;24408.0;1.09584273017
data,1241450700,658512.0;24442.0;1.09540621627
data,1241451000,659580.0;24489.0;1.09535143469
data,1241451000,660640.0;24528.0;1.0951842409
data,1241451300,661718.0;24557.0;1.09467729706
data,1241451600,662754.0;24594.0;1.09462043823
data,1241451900,663761.0;24631.0;1.09415233474
data,1241451900,664836.0;24682.0;1.09440471723
data,1241452200,665867.0;24732.0;1.09429627358
data,1241452500,666945.0;24792.0;1.09484361759
data,1241452800,668007.0;24847.0;1.09529334233
data,1241453100,669074.0;24896.0;1.09575602255
data,1241453100,670216.0;24944.0;1.09628517816
data,1241453400,671264.0;24990.0;1.09635149317
data,1241453700,672338.0;25032.0;1.0962951726
data,1241454000,673440.0;25073.0;1.09609204117
data,1241454000,674466.0;25110.0;1.09635543161
data,1241454300,675499.0;25155.0;1.09624874616
data,1241454600,676535.0;25203.0;1.09654448101
data,1241454900,677565.0;25254.0;1.09694237594
data,1241455200,678667.0;25304.0;1.09704795898
data,1241455200,679720.0;25347.0;1.096685527
data,1241455500,680800.0;25405.0;1.09748998823
data,1241455800,681889.0;25443.0;1.09711787381
data,1241456100,682776.0;25483.0;1.09782389617
data,1241456400,683772.0;25515.0;1.09713248991
data,1241456400,684771.0;25573.0;1.09726377577
data,1241456700,685747.0;25622.0;1.09714231847
data,1241457000,686741.0;25675.0;1.09748491022
data,1241457300,687721.0;25712.0;1.09697541862
data,1241457300,688481.0;25751.0;1.09755284134
data,1241457600,689481.0;25789.0;1.09662528213
data,1241457900,690531.0;25838.0;1.09632864885
data,1241458200,691487.0;25883.0;1.09626574787
data,1241458500,692477.0;25934.0;1.09675813266
data,1241458500,693438.0;25983.0;1.09700725298
data,1241458800,694448.0;26032.0;1.09704373534
data,1241459100,695403.0;26090.0;1.09690275922
data,1241459400,696350.0;26128.0;1.09673418254
data,1241459700,697291.0;26156.0;1.0964363559
data,1241459700,698277.0;26208.0;1.09681912964
data,1241460000,699271.0;26251.0;1.09701823968
data,1241460300,700263.0;26299.0;1.09687365129
data,1241460600,701301.0;26345.0;1.09730438961
data,1241460900,702235.0;26388.0;1.09722859267
data,1241460900,703264.0;26439.0;1.09790221168
data,1241461200,704243.0;26503.0;1.09873051517
data,1241461500,705207.0;26547.0;1.09851641586
data,1241461800,706210.0;26590.0;1.09812289113
data,1241462100,707226.0;26631.0;1.0979208199
data,1241462100,708233.0;26671.0;1.0977557829
data,1241462400,709222.0;26715.0;1.09786264196
data,1241462700,710188.0;26754.0;1.09805999059
data,1241463000,711107.0;26790.0;1.09741766047
data,1241463000,712118.0;26833.0;1.097144204
data,1241463300,713100.0;26880.0;1.09775433373
data,1241463600,714101.0;26924.0;1.09797292081
data,1241463900,715091.0;26962.0;1.09773895564
data,1241464200,716074.0;26998.0;1.09742246948
data,1241464200,717040.0;27036.0;1.09718878609
data,1241464500,718028.0;27074.0;1.09665162283
data,1241464800,719028.0;27123.0;1.09566499302
data,1241465100,720063.0;27166.0;1.09570392426
data,1241465400,721083.0;27212.0;1.0956860493
data,1241465400,722080.0;27258.0;1.09545637201
data,1241465700,723019.0;27324.0;1.09682250348
data,1241466000,723909.0;27377.0;1.09680740084
data,1241466300,724916.0;27450.0;1.09795513848
data,1241466300,725870.0;27522.0;1.09915300825
data,1241466600,726782.0;27575.0;1.09951302295
data,1241466900,727714.0;27636.0;1.10057116157
data,1241467200,728653.0;27675.0;1.10028531375
data,1241467200,729563.0;27731.0;1.10056433969
data,1241467500,730539.0;27799.0;1.10095303656
data,1241467800,731512.0;27857.0;1.10150869269
data,1241468100,732458.0;27914.0;1.10195906264
data,1241468100,733299.0;27959.0;1.10185051694
data,1241468400,734200.0;28012.0;1.10140133648
data,1241468700,735174.0;28060.0;1.10150600456
data,1241469000,736037.0;28100.0;1.10098061145
data,1241469300,736975.0;28152.0;1.10156270067
data,1241469300,737879.0;28205.0;1.1017502976
data,1241469600,738787.0;28240.0;1.10108638831
data,1241469900,739676.0;28295.0;1.10090475624
data,1241470200,740525.0;28357.0;1.10116497395
data,1241470200,741456.0;28391.0;1.10011910693
data,1241470500,742359.0;28439.0;1.09994074168
data,1241470800,743298.0;28483.0;1.09968151117
data,1241471100,744195.0;28539.0;1.10011233762
data,1241471400,745109.0;28578.0;1.0994401556
data,1241471400,746037.0;28623.0;1.09888881148
data,1241471700,746930.0;28672.0;1.09882017197
data,1241472000,747834.0;28710.0;1.09879921845
data,1241472300,748719.0;28749.0;1.09785163903
data,1241472600,749536.0;28790.0;1.09777975138
data,1241472600,750393.0;28830.0;1.09752537555
data,1241472900,751259.0;28881.0;1.09701192456
data,1241473200,752147.0;28930.0;1.09748831288
data,1241473500,753006.0;28979.0;1.09758394151
data,1241473800,753856.0;29019.0;1.0969191158
data,1241474100,754705.0;29061.0;1.09655377946
data,1241474100,755565.0;29101.0;1.09651436485
data,1241474400,756406.0;29132.0;1.09576538302
data,1241474700,757263.0;29177.0;1.09604097514
data,1241475000,758166.0;29213.0;1.09591042881
data,1241475300,759097.0;29260.0;1.09606843139
data,1241475600,759921.0;29300.0;1.09600237387
data,1241475900,760765.0;29333.0;1.09560920454
data,1241476200,761631.0;29374.0;1.09560730343
data,1241476500,762537.0;29417.0;1.09562241243
data,1241476500,763405.0;29453.0;1.09510918196
data,1241476800,764216.0;29484.0;1.0945142432
data,1241477100,765109.0;29528.0;1.09422971835
data,1241477400,765993.0;29567.0;1.09399182425
data,1241477700,766883.0;29596.0;1.0935320014
data,1241478000,767733.0;29628.0;1.09350699077
data,1241478300,768613.0;29661.0;1.09322100403
data,1241478600,769497.0;29708.0;1.0932524153
data,1241478900,770361.0;29755.0;1.0937701753
data,1241479200,771205.0;29797.0;1.09380281678
data,1241479200,772065.0;29841.0;1.0938704861
data,1241479500,772920.0;29879.0;1.09382595961
data,1241479800,773776.0;29915.0;1.09393859423
data,1241480100,774665.0;29957.0;1.09384877096
data,1241480400,775523.0;30008.0;1.09443763499
data,1241480700,776447.0;30050.0;1.09431521803
data,1241481000,777346.0;30083.0;1.09425103031
data,1241481300,778251.0;30120.0;1.09413029986
data,1241481600,779124.0;30161.0;1.09432948431
data,1241481600,779999.0;30204.0;1.09411049361
data,1241481900,780849.0;30251.0;1.09481221205
data,1241482200,781798.0;30300.0;1.09523762503
data,1241482500,782646.0;30340.0;1.09548715937
data,1241482800,783464.0;30381.0;1.09573918312
data,1241483100,784342.0;30414.0;1.09568444624
data,1241483400,785217.0;30458.0;1.09580299945
data,1241483700,786101.0;30499.0;1.09587872296
data,1241484000,786996.0;30547.0;1.09576226144
data,1241484000,787862.0;30590.0;1.09561921302
data,1241484300,788678.0;30635.0;1.09573448955
data,1241484600,789539.0;30679.0;1.09565113678
data,1241484900,790402.0;30717.0;1.09578489735
