data,1241842800,1794024.0;65002.0;1801750.0;83170.0;1689114.0;62028.0;1803798.0;94442.0;1.27401253205;1.01351538586;1.44503645599,7115.0 152.0 109697;3046.0 130.0 109711;204.0 3.0 109714;4535.0 143.0 109720;21056.0 1116.0 109721;5278.0 189.0 109722;2553.0 49.0 109723;2386.0 64.0 109725;1885.0 44.0 109726;2355.0 61.0 109728;4582.0 209.0 109732;2089.0 90.0 109734;1368.0 31.0 109735;5196.0 259.0 109737;6824.0 406.0 109742;3642.0 184.0 109743;711.0 12.0 109744;863.0 24.0 109745;4256.0 221.0 109746;526.0 18.0 109747;1987.0 109.0 109748;487.0 22.0 109749;11981.0 267.0 109667,109697.0 16553;109711.0 16553;109714.0 16553;109720.0 16553;109721.0 16553;109722.0 16553;109723.0 16553;109725.0 16553;109726.0 16553;109728.0 16553;109732.0 16553;109734.0 16553;109735.0 16553;109737.0 16553;109742.0 16553;109743.0 16553;109744.0 16553;109745.0 16553;109746.0 16553;109747.0 16553;109748.0 16553;109749.0 16553;109667.0 16553,109697 746;109711 695;109714 741;109720 752;109721 714;109722 766;109723 742;109725 760;109726 696;109728 682;109732 722;109734 752;109735 728;109737 692;109742 726;109743 731;109744 709;109745 685;109746 709;109747 684;109748 763;109749 692;109667 666
data,1241843100,1794189.0;65007.0;1801904.0;83175.0;1689249.0;62032.0;1803936.0;94450.0;1.27399940629;1.01351499525;1.44507005666,7124.0 152.0 109697;3057.0 131.0 109711;213.0 3.0 109714;4540.0 143.0 109720;21064.0 1116.0 109721;5281.0 189.0 109722;2559.0 49.0 109723;2394.0 64.0 109725;1891.0 44.0 109726;2363.0 61.0 109728;4586.0 209.0 109732;2093.0 90.0 109734;1371.0 31.0 109735;5204.0 259.0 109737;6830.0 406.0 109742;3650.0 184.0 109743;720.0 12.0 109744;872.0 24.0 109745;4265.0 222.0 109746;530.0 19.0 109747;1994.0 111.0 109748;494.0 22.0 109749;11984.0 267.0 109667,109697.0 3447;109711.0 3447;109714.0 3447;109720.0 3447;109721.0 3447;109722.0 3447;109723.0 3447;109725.0 3447;109726.0 3447;109728.0 3447;109732.0 3447;109734.0 3447;109735.0 3447;109737.0 3447;109742.0 3447;109743.0 3447;109744.0 3447;109745.0 3447;109746.0 3447;109747.0 3447;109748.0 3447;109749.0 3447;109667.0 3447,109697 166;109711 135;109714 125;109720 169;109721 141;109722 152;109723 158;109725 140;109726 160;109728 166;109732 135;109734 143;109735 144;109737 157;109742 130;109743 155;109744 164;109745 177;109746 133;109747 151;109748 143;109749 154;109667 149
data,1241843400,1795058.0;65035.0;1802804.0;83211.0;1690142.0;62072.0;1804814.0;94479.0;1.27398281354;1.01368702066;1.44488797857,7155.0 153.0 109697;3103.0 131.0 109711;251.0 6.0 109714;4574.0 144.0 109720;21139.0 1123.0 109721;5318.0 193.0 109722;2599.0 50.0 109723;2427.0 64.0 109725;1928.0 44.0 109726;2398.0 62.0 109728;4622.0 209.0 109732;2122.0 91.0 109734;1416.0 33.0 109735;5231.0 259.0 109737;6887.0 413.0 109742;3687.0 185.0 109743;743.0 12.0 109744;910.0 24.0 109745;4320.0 228.0 109746;555.0 19.0 109747;2041.0 112.0 109748;531.0 22.0 109749;12022.0 267.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 845;109711 900;109714 881;109720 880;109721 872;109722 835;109723 927;109725 896;109726 869;109728 836;109732 896;109734 854;109735 835;109737 883;109742 892;109743 909;109744 819;109745 835;109746 873;109747 841;109748 844;109749 906;109667 872
data,1241844000,1795936.0;65058.0;1803657.0;83243.0;1690993.0;62099.0;1805692.0;94523.0;1.27404251199;1.01375484953;1.44505364884,7192.0 155.0 109697;3128.0 132.0 109711;288.0 8.0 109714;4601.0 145.0 109720;21238.0 1128.0 109721;5362.0 193.0 109722;2625.0 50.0 109723;2457.0 66.0 109725;1942.0 44.0 109726;2413.0 62.0 109728;4648.0 210.0 109732;2150.0 92.0 109734;1453.0 33.0 109735;5263.0 260.0 109737;6979.0 417.0 109742;3721.0 186.0 109743;766.0 13.0 109744;932.0 26.0 109745;4411.0 232.0 109746;580.0 19.0 109747;2087.0 116.0 109748;551.0 22.0 109749;12045.0 267.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 874;109711 855;109714 874;109720 864;109721 833;109722 872;109723 844;109725 900;109726 831;109728 845;109732 830;109734 877;109735 887;109737 920;109742 922;109743 922;109744 851;109745 825;109746 868;109747 930;109748 824;109749 897;109667 855
data,1241844300,1796827.0;65081.0;1804520.0;83273.0;1691903.0;62125.0;1806581.0;94565.0;1.27407372221;1.01377829487;1.44519029325,7221.0 155.0 109697;3163.0 135.0 109711;324.0 9.0 109714;4635.0 146.0 109720;21338.0 1133.0 109721;5397.0 194.0 109722;2645.0 50.0 109723;2474.0 66.0 109725;1970.0 45.0 109726;2435.0 62.0 109728;4669.0 210.0 109732;2191.0 93.0 109734;1477.0 33.0 109735;5288.0 261.0 109737;7094.0 422.0 109742;3757.0 187.0 109743;794.0 14.0 109744;966.0 28.0 109745;4481.0 235.0 109746;599.0 22.0 109747;2140.0 116.0 109748;568.0 22.0 109749;12069.0 268.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 879;109711 903;109714 848;109720 889;109721 875;109722 878;109723 854;109725 879;109726 812;109728 891;109732 871;109734 902;109735 802;109737 886;109742 924;109743 887;109744 844;109745 900;109746 818;109747 865;109748 821;109749 919;109667 853
data,1241844900,1797744.0;65112.0;1805421.0;83311.0;1692737.0;62149.0;1807474.0;94603.0;1.27406231542;1.01370472409;1.44510586095,7246.0 155.0 109697;3206.0 135.0 109711;362.0 11.0 109714;4668.0 149.0 109720;21447.0 1136.0 109721;5429.0 194.0 109722;2678.0 53.0 109723;2497.0 66.0 109725;2003.0 46.0 109726;2451.0 62.0 109728;4696.0 212.0 109732;2226.0 94.0 109734;1494.0 33.0 109735;5324.0 265.0 109737;7190.0 426.0 109742;3777.0 187.0 109743;811.0 14.0 109744;1019.0 32.0 109745;4578.0 241.0 109746;635.0 23.0 109747;2178.0 118.0 109748;596.0 24.0 109749;12085.0 268.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 864;109711 918;109714 833;109720 863;109721 860;109722 807;109723 858;109725 918;109726 828;109728 874;109732 821;109734 891;109735 881;109737 878;109742 878;109743 889;109744 892;109745 911;109746 913;109747 885;109748 863;109749 836;109667 839
data,1241845500,1798579.0;65145.0;1806317.0;83344.0;1693616.0;62179.0;1808330.0;94636.0;1.27388082576;1.0136247707;1.44486449191,7269.0 156.0 109697;3241.0 137.0 109711;405.0 11.0 109714;4734.0 152.0 109720;21542.0 1140.0 109721;5454.0 197.0 109722;2703.0 53.0 109723;2516.0 66.0 109725;2020.0 47.0 109726;2464.0 62.0 109728;4726.0 213.0 109732;2239.0 94.0 109734;1510.0 33.0 109735;5375.0 267.0 109737;7291.0 432.0 109742;3797.0 187.0 109743;831.0 15.0 109744;1085.0 33.0 109745;4699.0 248.0 109746;660.0 23.0 109747;2214.0 119.0 109748;618.0 24.0 109749;12099.0 268.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 864;109711 853;109714 896;109720 881;109721 879;109722 884;109723 843;109725 825;109726 854;109728 898;109732 869;109734 867;109735 832;109737 887;109742 881;109743 829;109744 867;109745 867;109746 901;109747 889;109748 823;109749 935;109667 876
data,1241846100,1799388.0;65167.0;1807221.0;83380.0;1694514.0;62206.0;1809215.0;94666.0;1.27393631467;1.0136410874;1.44477739663,7287.0 156.0 109697;3298.0 141.0 109711;428.0 12.0 109714;4778.0 153.0 109720;21641.0 1145.0 109721;5489.0 197.0 109722;2738.0 54.0 109723;2532.0 67.0 109725;2042.0 47.0 109726;2478.0 62.0 109728;4755.0 213.0 109732;2268.0 96.0 109734;1526.0 34.0 109735;5412.0 268.0 109737;7385.0 434.0 109742;3812.0 187.0 109743;852.0 15.0 109744;1121.0 34.0 109745;4874.0 261.0 109746;679.0 23.0 109747;2251.0 121.0 109748;634.0 24.0 109749;12116.0 269.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 837;109711 888;109714 895;109720 860;109721 941;109722 854;109723 852;109725 885;109726 841;109728 874;109732 932;109734 849;109735 862;109737 896;109742 838;109743 893;109744 889;109745 851;109746 835;109747 875;109748 855;109749 865;109667 833
data,1241846700,1800260.0;65193.0;1808092.0;83406.0;1695362.0;62228.0;1810092.0;94715.0;1.27382871476;1.01357913988;1.4449485387,7300.0 156.0 109697;3354.0 146.0 109711;453.0 12.0 109714;4813.0 153.0 109720;21755.0 1149.0 109721;5532.0 199.0 109722;2756.0 54.0 109723;2547.0 67.0 109725;2059.0 47.0 109726;2488.0 62.0 109728;4775.0 214.0 109732;2293.0 96.0 109734;1537.0 35.0 109735;5448.0 268.0 109737;7480.0 438.0 109742;3824.0 187.0 109743;867.0 16.0 109744;1155.0 34.0 109745;5039.0 263.0 109746;700.0 23.0 109747;2321.0 126.0 109748;646.0 25.0 109749;12125.0 269.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 905;109711 877;109714 852;109720 919;109721 874;109722 860;109723 897;109725 876;109726 909;109728 894;109732 864;109734 855;109735 862;109737 870;109742 861;109743 834;109744 873;109745 850;109746 832;109747 841;109748 858;109749 896;109667 841
data,1241847300,1801127.0;65214.0;1809033.0;83440.0;1696257.0;62247.0;1810955.0;94741.0;1.27388816739;1.01351520857;1.44488673221,7314.0 156.0 109697;3438.0 149.0 109711;469.0 12.0 109714;4843.0 153.0 109720;21871.0 1153.0 109721;5566.0 201.0 109722;2782.0 54.0 109723;2556.0 67.0 109725;2074.0 48.0 109726;2503.0 63.0 109728;4799.0 214.0 109732;2315.0 96.0 109734;1560.0 35.0 109735;5485.0 269.0 109737;7590.0 446.0 109742;3839.0 188.0 109743;883.0 16.0 109744;1186.0 34.0 109745;5177.0 268.0 109746;719.0 23.0 109747;2436.0 133.0 109748;665.0 26.0 109749;12138.0 269.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 836;109711 845;109714 869;109720 835;109721 856;109722 853;109723 875;109725 826;109726 830;109728 910;109732 923;109734 842;109735 874;109737 901;109742 865;109743 912;109744 837;109745 876;109746 878;109747 881;109748 965;109749 878;109667 833
data,1241847900,1802023.0;65236.0;1809877.0;83478.0;1697109.0;62274.0;1811845.0;94778.0;1.27407789305;1.01360800434;1.44497224043,7325.0 157.0 109697;3502.0 151.0 109711;488.0 12.0 109714;4860.0 154.0 109720;21931.0 1155.0 109721;5602.0 201.0 109722;2791.0 54.0 109723;2568.0 67.0 109725;2090.0 48.0 109726;2517.0 63.0 109728;4828.0 216.0 109732;2332.0 97.0 109734;1577.0 35.0 109735;5503.0 269.0 109737;7707.0 453.0 109742;3855.0 188.0 109743;896.0 17.0 109744;1217.0 37.0 109745;5362.0 280.0 109746;731.0 23.0 109747;2535.0 138.0 109748;688.0 27.0 109749;12147.0 269.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 859;109711 858;109714 916;109720 835;109721 906;109722 836;109723 864;109725 844;109726 813;109728 886;109732 887;109734 860;109735 932;109737 847;109742 887;109743 856;109744 812;109745 856;109746 918;109747 894;109748 896;109749 875;109667 863
