data,1242000300,2095405.0;74467.0;2104222.0;94533.0;1974136.0;71151.0;2101925.0;107005.0;1.26414240954;1.01416369074;1.43248793711,19346.0 884.0 109762;6824.0 209.0 109763;5665.0 179.0 109731;1044.0 29.0 109777;4469.0 116.0 109769;1744.0 28.0 109770;1987.0 50.0 109771;10002.0 370.0 109740;2955.0 108.0 109773;318.0 13.0 109774;9452.0 507.0 109775;1306.0 31.0 109776;9737.0 246.0 109745;1544.0 59.0 109778;1471.0 57.0 109779;952.0 39.0 109780;300.0 8.0 109781;179.0 7.0 109782;15197.0 616.0 109684;13521.0 511.0 109755;3186.0 122.0 109765,109762.0 7825;109731.0 7825;109765.0 7825;109763.0 7825;109777.0 7825;109769.0 7825;109770.0 7825;109771.0 7825;109740.0 7825;109773.0 7825;109774.0 7825;109775.0 7825;109776.0 7825;109745.0 7825;109778.0 7825;109779.0 7825;109780.0 7825;109781.0 7825;109782.0 7825;109684.0 7825;109755.0 7825,109762 363;109763 388;109731 352;109777 390;109769 328;109770 386;109771 335;109740 342;109773 351;109774 374;109775 359;109776 372;109745 422;109778 358;109779 389;109780 380;109781 390;109782 382;109684 413;109755 371;109765 380
data,1242000600,2095954.0;74488.0;2104801.0;94551.0;1974740.0;71169.0;2102504.0;107028.0;1.26401002477;1.01408970457;1.43237262572,19355.0 884.0 109762;6852.0 211.0 109763;3229.0 125.0 109765;9774.0 249.0 109745;4503.0 117.0 109769;1781.0 29.0 109770;2017.0 51.0 109771;10029.0 370.0 109740;2982.0 109.0 109773;355.0 15.0 109774;9476.0 507.0 109775;1338.0 32.0 109776;1066.0 29.0 109777;1563.0 59.0 109778;1491.0 57.0 109779;974.0 39.0 109780;333.0 9.0 109781;197.0 8.0 109782;15233.0 617.0 109684;13546.0 511.0 109755;5684.0 179.0 109731,109762.0 12175;109731.0 12175;109765.0 12175;109763.0 12175;109777.0 12175;109769.0 12175;109770.0 12175;109771.0 12175;109740.0 12175;109773.0 12175;109774.0 12175;109775.0 12175;109776.0 12175;109745.0 12175;109778.0 12175;109779.0 12175;109780.0 12175;109781.0 12175;109782.0 12175;109684.0 12175;109755.0 12175,109762 512;109763 590;109765 560;109745 585;109769 641;109770 617;109771 583;109740 572;109773 576;109774 575;109775 573;109776 531;109777 609;109778 572;109779 601;109780 592;109781 592;109782 567;109684 568;109755 591;109731 568
data,1242000900,2096899.0;74517.0;2105756.0;94576.0;1975673.0;71199.0;2103440.0;107063.0;1.26384858218;1.01410045977;1.4322915525,19394.0 886.0 109762;6913.0 212.0 109763;3296.0 129.0 109765;9857.0 253.0 109745;4539.0 117.0 109769;1820.0 29.0 109770;2056.0 51.0 109771;10063.0 370.0 109740;3023.0 110.0 109773;394.0 16.0 109774;9523.0 508.0 109775;1386.0 33.0 109776;1117.0 31.0 109777;1619.0 61.0 109778;1526.0 59.0 109779;15271.0 619.0 109684;376.0 9.0 109781;231.0 8.0 109782;1024.0 39.0 109780;13576.0 512.0 109755;5729.0 180.0 109731,109762.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109781.0 20000;109782.0 20000;109684.0 20000;109755.0 20000,109762 928;109763 969;109765 937;109745 946;109769 998;109770 978;109771 920;109740 989;109773 965;109774 918;109775 959;109776 938;109777 935;109778 986;109779 929;109684 956;109781 890;109782 934;109780 989;109755 972;109731 964
data,1242001200,2097892.0;74550.0;2106769.0;94612.0;1976564.0;71233.0;2104382.0;107103.0;1.26376051714;1.01415849568;1.43222924179,19462.0 890.0 109762;5783.0 182.0 109731;3379.0 132.0 109765;1571.0 60.0 109779;9950.0 257.0 109745;4577.0 119.0 109769;1847.0 29.0 109770;2092.0 51.0 109771;10096.0 373.0 109740;3058.0 110.0 109773;438.0 18.0 109774;9549.0 508.0 109775;1428.0 33.0 109776;1159.0 32.0 109777;1658.0 61.0 109778;6974.0 215.0 109763;1055.0 41.0 109780;449.0 12.0 109781;299.0 14.0 109782;15315.0 619.0 109684;13607.0 512.0 109755,109762.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109781.0 20000;109782.0 20000;109684.0 20000;109755.0 20000,109762 943;109731 935;109765 928;109779 966;109745 956;109769 930;109770 954;109771 951;109740 935;109773 926;109774 943;109775 926;109776 971;109777 954;109778 967;109763 977;109780 969;109781 1007;109782 974;109684 919;109755 969
