data,1241736600,1515757.0;55888.0;1522604.0;72092.0;1423330.0;53179.0;1524417.0;81942.0;1.28413629736;1.01331758043;1.45785318756,1779.0 65.0 109696;1322.0 32.0 109697;1573.0 55.0 109698;2235.0 133.0 109699;856.0 33.0 109700;688.0 19.0 109701;491.0 10.0 109702;10099.0 754.0 109703;1042.0 64.0 109704;419.0 8.0 109705;118.0 4.0 109706;24476.0 1127.0 109635;1397.0 39.0 109651;5729.0 68.0 109660;5797.0 130.0 109667;2220.0 79.0 109673;72.0 1.0 109675;5259.0 192.0 109683;3355.0 154.0 109689;3073.0 139.0 109690;29387.0 2393.0 109692;1749.0 55.0 109693,109696.0 1157;109697.0 1157;109698.0 1157;109699.0 1157;109700.0 1157;109701.0 1157;109702.0 1157;109703.0 1157;109704.0 1157;109705.0 1157;109706.0 1157;109635.0 1157;109651.0 1157;109660.0 1157;109667.0 1157;109673.0 1157;109675.0 1157;109683.0 1157;109689.0 1157;109690.0 1157;109692.0 1157;109693.0 1157,109696 51;109697 52;109698 57;109699 56;109700 50;109701 51;109702 62;109703 45;109704 65;109705 64;109706 48;109635 47;109651 51;109660 48;109667 46;109673 52;109675 52;109683 40;109689 51;109690 67;109692 43;109693 59
data,1241736900,1516602.0;55914.0;1523496.0;72126.0;1424235.0;53217.0;1525280.0;81983.0;1.28410811782;1.01349076685;1.45789179904,1840.0 70.0 109696;1351.0 32.0 109697;1592.0 56.0 109698;2269.0 135.0 109699;882.0 33.0 109700;717.0 19.0 109701;521.0 10.0 109702;10184.0 762.0 109703;1073.0 64.0 109704;469.0 10.0 109705;152.0 5.0 109706;24518.0 1128.0 109635;1443.0 40.0 109651;5765.0 68.0 109660;5824.0 131.0 109667;2261.0 81.0 109673;118.0 3.0 109675;5313.0 194.0 109683;3386.0 154.0 109689;3117.0 140.0 109690;29446.0 2398.0 109692;1787.0 55.0 109693,109696.0 18843;109697.0 18843;109698.0 18843;109699.0 18843;109700.0 18843;109701.0 18843;109702.0 18843;109703.0 18843;109704.0 18843;109705.0 18843;109706.0 18843;109635.0 18843;109651.0 18843;109660.0 18843;109667.0 18843;109673.0 18843;109675.0 18843;109683.0 18843;109689.0 18843;109690.0 18843;109692.0 18843;109693.0 18843,109696 880;109697 836;109698 875;109699 925;109700 834;109701 861;109702 844;109703 841;109704 870;109705 881;109706 893;109635 854;109651 868;109660 816;109667 841;109673 872;109675 797;109683 836;109689 831;109690 865;109692 867;109693 856
data,1241737200,1517474.0;55944.0;1524447.0;72175.0;1425108.0;53240.0;1526227.0;82047.0;1.28422821134;1.01334659432;1.4581806041,1904.0 71.0 109696;1377.0 32.0 109697;1621.0 56.0 109698;2295.0 135.0 109699;909.0 33.0 109700;748.0 20.0 109701;548.0 11.0 109702;10343.0 774.0 109703;1123.0 70.0 109704;502.0 10.0 109705;184.0 5.0 109706;24551.0 1130.0 109635;1485.0 40.0 109651;5798.0 70.0 109660;5845.0 132.0 109667;2296.0 82.0 109673;181.0 8.0 109675;5377.0 198.0 109683;3409.0 154.0 109689;3160.0 147.0 109690;29511.0 2403.0 109692;1812.0 56.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 968;109697 910;109698 932;109699 879;109700 891;109701 932;109702 878;109703 967;109704 920;109705 883;109706 914;109635 936;109651 929;109660 881;109667 862;109673 911;109675 937;109683 925;109689 921;109690 870;109692 875;109693 879
data,1241737500,1518423.0;55968.0;1525397.0;72215.0;1426032.0;53280.0;1527126.0;82097.0;1.28439176794;1.01364978066;1.4584965354,1968.0 79.0 109696;1399.0 33.0 109697;1640.0 56.0 109698;2324.0 136.0 109699;930.0 33.0 109700;762.0 20.0 109701;569.0 12.0 109702;10493.0 785.0 109703;1202.0 77.0 109704;525.0 10.0 109705;206.0 6.0 109706;24591.0 1132.0 109635;1507.0 40.0 109651;5834.0 70.0 109660;5868.0 132.0 109667;2316.0 82.0 109673;241.0 10.0 109675;5432.0 198.0 109683;3432.0 154.0 109689;3241.0 149.0 109690;29617.0 2407.0 109692;1832.0 56.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 903;109697 909;109698 951;109699 899;109700 867;109701 917;109702 880;109703 903;109704 962;109705 944;109706 883;109635 859;109651 873;109660 937;109667 930;109673 863;109675 920;109683 937;109689 899;109690 903;109692 936;109693 925
data,1241737800,1519349.0;56005.0;1526341.0;72252.0;1426957.0;53311.0;1528032.0;82150.0;1.28418929643;1.0135301807;1.45849807829,2060.0 82.0 109696;1416.0 33.0 109697;1659.0 57.0 109698;2350.0 137.0 109699;941.0 34.0 109700;778.0 20.0 109701;597.0 13.0 109702;10714.0 800.0 109703;1294.0 79.0 109704;542.0 10.0 109705;234.0 6.0 109706;24647.0 1136.0 109635;1525.0 41.0 109651;5852.0 70.0 109660;5887.0 132.0 109667;2339.0 83.0 109673;292.0 11.0 109675;5475.0 200.0 109683;3447.0 154.0 109689;3307.0 151.0 109690;29671.0 2409.0 109692;1846.0 56.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 887;109698 921;109699 903;109700 831;109701 928;109702 939;109703 900;109704 932;109705 917;109706 934;109635 942;109651 880;109660 856;109667 904;109673 877;109675 914;109683 930;109689 923;109690 932;109692 922;109693 896
data,1241738100,1520208.0;56034.0;1527297.0;72292.0;1427834.0;53339.0;1528890.0;82209.0;1.28415701662;1.01348782956;1.45879583003,2120.0 82.0 109696;1431.0 33.0 109697;1684.0 57.0 109698;2379.0 139.0 109699;956.0 34.0 109700;800.0 21.0 109701;631.0 16.0 109702;10953.0 816.0 109703;1404.0 85.0 109704;550.0 10.0 109705;252.0 6.0 109706;24711.0 1138.0 109635;1545.0 41.0 109651;5866.0 70.0 109660;5901.0 132.0 109667;2371.0 85.0 109673;332.0 12.0 109675;5505.0 201.0 109683;3461.0 154.0 109689;3358.0 152.0 109690;29758.0 2414.0 109692;1861.0 56.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 918;109697 940;109698 902;109699 939;109700 911;109701 948;109702 913;109703 833;109704 957;109705 898;109706 916;109635 943;109651 838;109660 925;109667 919;109673 922;109675 919;109683 882;109689 901;109690 917;109692 900;109693 859
data,1241738400,1521123.0;56063.0;1528231.0;72338.0;1428740.0;53367.0;1529754.0;82268.0;1.28429706951;1.01346227112;1.45914127078,2166.0 86.0 109696;1440.0 34.0 109697;1697.0 57.0 109698;2411.0 141.0 109699;970.0 34.0 109700;810.0 21.0 109701;671.0 17.0 109702;11211.0 829.0 109703;1517.0 97.0 109704;563.0 10.0 109705;265.0 6.0 109706;24763.0 1139.0 109635;1555.0 42.0 109651;5878.0 70.0 109660;5922.0 132.0 109667;2406.0 86.0 109673;387.0 14.0 109675;5530.0 203.0 109683;3469.0 154.0 109689;3398.0 152.0 109690;29858.0 2420.0 109692;1876.0 56.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 897;109697 919;109698 927;109699 884;109700 888;109701 929;109702 976;109703 861;109704 891;109705 907;109706 910;109635 898;109651 883;109660 932;109667 875;109673 905;109675 903;109683 889;109689 923;109690 955;109692 915;109693 933
data,1241738700,1522034.0;56095.0;1529147.0;72391.0;1429676.0;53395.0;1530703.0;82322.0;1.28450423543;1.01335861927;1.45923481043,2215.0 87.0 109696;1452.0 34.0 109697;1714.0 58.0 109698;2436.0 142.0 109699;978.0 34.0 109700;820.0 21.0 109701;698.0 17.0 109702;11491.0 850.0 109703;1657.0 103.0 109704;576.0 11.0 109705;279.0 6.0 109706;24812.0 1146.0 109635;1570.0 43.0 109651;5893.0 70.0 109660;5934.0 132.0 109667;2423.0 87.0 109673;419.0 15.0 109675;5559.0 204.0 109683;3473.0 154.0 109689;3420.0 153.0 109690;29976.0 2430.0 109692;1884.0 56.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 923;109698 1008;109699 872;109700 907;109701 863;109702 904;109703 906;109704 963;109705 892;109706 926;109635 921;109651 910;109660 880;109667 844;109673 926;109675 909;109683 909;109689 906;109690 945;109692 899;109693 875
data,1241739000,1522875.0;56124.0;1530032.0;72427.0;1430543.0;53425.0;1531633.0;82372.0;1.28444532953;1.01334949526;1.45928640716,2240.0 87.0 109696;1460.0 34.0 109697;1726.0 58.0 109698;2454.0 143.0 109699;991.0 34.0 109700;829.0 21.0 109701;712.0 17.0 109702;11777.0 866.0 109703;1779.0 107.0 109704;595.0 14.0 109705;294.0 6.0 109706;24880.0 1146.0 109635;1583.0 43.0 109651;5903.0 70.0 109660;5943.0 132.0 109667;2444.0 88.0 109673;440.0 16.0 109675;5578.0 204.0 109683;3485.0 155.0 109689;3443.0 153.0 109690;30115.0 2439.0 109692;1893.0 56.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 908;109697 948;109698 909;109699 925;109700 870;109701 922;109702 907;109703 923;109704 905;109705 892;109706 953;109635 925;109651 932;109660 938;109667 882;109673 963;109675 851;109683 883;109689 849;109690 898;109692 900;109693 917
data,1241739300,1523799.0;56160.0;1531005.0;72473.0;1431452.0;53465.0;1532602.0;82434.0;1.28439975859;1.01342909057;1.45941085123,2259.0 87.0 109696;1472.0 34.0 109697;1738.0 59.0 109698;2472.0 143.0 109699;1004.0 34.0 109700;849.0 22.0 109701;730.0 18.0 109702;12137.0 891.0 109703;1883.0 112.0 109704;614.0 14.0 109705;312.0 6.0 109706;24915.0 1146.0 109635;1600.0 44.0 109651;5913.0 70.0 109660;5962.0 132.0 109667;2469.0 90.0 109673;459.0 16.0 109675;5594.0 204.0 109683;3499.0 155.0 109689;3466.0 154.0 109690;30282.0 2448.0 109692;1908.0 56.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 871;109697 955;109698 868;109699 901;109700 947;109701 876;109702 909;109703 961;109704 910;109705 956;109706 938;109635 930;109651 921;109660 848;109667 873;109673 900;109675 916;109683 889;109689 923;109690 952;109692 905;109693 851
data,1241739600,1524682.0;56192.0;1531899.0;72524.0;1432296.0;53485.0;1533456.0;82482.0;1.28456593181;1.01322058462;1.45946151421,2268.0 87.0 109696;1489.0 35.0 109697;1752.0 59.0 109698;2487.0 144.0 109699;1022.0 35.0 109700;857.0 24.0 109701;749.0 18.0 109702;12475.0 912.0 109703;1971.0 115.0 109704;625.0 14.0 109705;324.0 6.0 109706;24936.0 1147.0 109635;1612.0 44.0 109651;5929.0 70.0 109660;5980.0 132.0 109667;2497.0 92.0 109673;476.0 16.0 109675;5607.0 206.0 109683;3507.0 156.0 109689;3482.0 155.0 109690;30457.0 2462.0 109692;1929.0 57.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 934;109698 912;109699 887;109700 931;109701 925;109702 884;109703 852;109704 930;109705 928;109706 911;109635 882;109651 965;109660 887;109667 933;109673 894;109675 888;109683 918;109689 939;109690 894;109692 866;109693 921
