
New Run at  01/25/2015 15:12:39
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241766300,1190925.0;43728.0;1193413.0;46456.0;1162364.0;43471.0;1.06017081958;1.01854982313,5.0 0.0 109697;6.0 0.0 109698;35252.0 1455.0 109635;74306.0 3595.0 109699;6.0 0.0 109701;3.0 0.0 109702;4.0 0.0 109704;10.0 0.0 109673;1.0 0.0 109706;3.0 0.0 109675;2.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;3.0 0.0 109707;7.0 0.0 109651;0.0 0.0 109716;20779.0 822.0 109689;7.0 0.0 109690;18.0 0.0 109667;20251.0 275.0 109660,109697.0 13242;109635.0 13242;109667.0 13242;109699.0 13242;109701.0 13242;109702.0 13242;109704.0 13242;109673.0 13242;109706.0 13242;109707.0 13242;109708.0 13242;109709.0 13242;109710.0 13242;109651.0 13242;109716.0 13242;109698.0 13242;109689.0 13242;109690.0 13242;109675.0 13242;109660.0 13242,109697 637;109698 681;109635 672;109699 645;109701 681;109702 646;109704 686;109673 651;109706 672;109675 635;109708 676;109709 692;109710 671;109707 646;109651 672;109716 676;109689 665;109690 658;109667 643;109660 637
data,1241766900,1191958.0;43750.0;1194417.0;46478.0;1163389.0;43489.0;1.06016716916;1.01844449202,5.0 0.0 109697;6.0 0.0 109698;74306.0 3595.0 109699;6.0 0.0 109701;3.0 0.0 109702;4.0 0.0 109704;10.0 0.0 109673;1.0 0.0 109706;3.0 0.0 109707;2.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;7.0 0.0 109651;18.0 0.0 109667;0.0 0.0 109716;36256.0 1477.0 109635;20779.0 822.0 109689;7.0 0.0 109690;3.0 0.0 109675;20251.0 275.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1024;109698 1008;109699 1020;109701 982;109702 971;109704 962;109673 979;109706 973;109707 1033;109708 1016;109709 1039;109710 1042;109651 955;109667 1049;109716 1022;109635 1004;109689 946;109690 992;109675 985;109660 998
data,1241767800,1192954.0;43776.0;1195425.0;46511.0;1164404.0;43508.0;1.06028096591;1.01824679829,5.0 0.0 109697;6.0 0.0 109698;37264.0 1510.0 109635;74306.0 3595.0 109699;6.0 0.0 109701;3.0 0.0 109702;4.0 0.0 109704;10.0 0.0 109673;1.0 0.0 109706;3.0 0.0 109707;2.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;18.0 0.0 109667;0.0 0.0 109716;7.0 0.0 109651;20779.0 822.0 109689;7.0 0.0 109690;3.0 0.0 109675;20251.0 275.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 993;109698 985;109635 1008;109699 1021;109701 960;109702 956;109704 1015;109673 1015;109706 965;109707 999;109708 982;109709 1054;109710 1057;109667 997;109716 991;109651 971;109689 1021;109690 975;109675 977;109660 1058
