data,1241752200,1165998.0;43000.0;1168313.0;45434.0;1137931.0;42732.0;1.05451100009;1.01827865633,8.0 0.0 109696;4.0 0.0 109697;5.0 0.0 109698;74306.0 3595.0 109699;4.0 0.0 109700;6.0 0.0 109701;3.0 0.0 109702;9600.0 500.0 109703;3.0 0.0 109704;1.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;19613.0 912.0 109635;7.0 0.0 109651;20250.0 275.0 109660;18.0 0.0 109667;10.0 0.0 109673;2.0 0.0 109675;21860.0 888.0 109683;20779.0 822.0 109689;7.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 838;109698 849;109699 862;109700 897;109701 832;109702 898;109703 888;109704 882;109706 863;109707 870;109708 884;109709 839;109710 846;109635 861;109651 862;109660 860;109667 868;109673 880;109675 883;109683 909;109689 895;109690 891
data,1241752500,1166875.0;43030.0;1169190.0;45470.0;1138805.0;42762.0;1.05461234609;1.01826691497,8.0 0.0 109696;4.0 0.0 109697;5.0 0.0 109698;74306.0 3595.0 109699;4.0 0.0 109700;6.0 0.0 109701;3.0 0.0 109702;10477.0 536.0 109703;3.0 0.0 109704;1.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;19613.0 912.0 109635;7.0 0.0 109651;20250.0 275.0 109660;18.0 0.0 109667;10.0 0.0 109673;2.0 0.0 109675;21860.0 888.0 109683;20779.0 822.0 109689;7.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 856;109697 849;109698 845;109699 899;109700 808;109701 891;109702 859;109703 877;109704 920;109706 889;109707 858;109708 849;109709 836;109710 831;109635 850;109651 901;109660 889;109667 809;109673 860;109675 942;109683 916;109689 889;109690 877
data,1241753100,1167727.0;43051.0;1170051.0;45529.0;1139715.0;42800.0;1.05545907321;1.01860448263,8.0 0.0 109696;4.0 0.0 109697;5.0 0.0 109698;74306.0 3595.0 109699;4.0 0.0 109700;6.0 0.0 109701;3.0 0.0 109702;11338.0 595.0 109703;3.0 0.0 109704;1.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;19613.0 912.0 109635;7.0 0.0 109651;20250.0 275.0 109660;18.0 0.0 109667;10.0 0.0 109673;2.0 0.0 109675;21860.0 888.0 109683;20779.0 822.0 109689;7.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 886;109697 867;109698 855;109699 840;109700 882;109701 856;109702 808;109703 861;109704 838;109706 860;109707 886;109708 900;109709 857;109710 938;109635 866;109651 874;109660 817;109667 871;109673 905;109675 901;109683 874;109689 867;109690 891
data,1241753400,1168616.0;43087.0;1170925.0;45578.0;1140573.0;42839.0;1.0557273117;1.0186894519,8.0 0.0 109696;4.0 0.0 109697;5.0 0.0 109698;74306.0 3595.0 109699;4.0 0.0 109700;6.0 0.0 109701;3.0 0.0 109702;12212.0 644.0 109703;3.0 0.0 109704;1.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;19613.0 912.0 109635;7.0 0.0 109651;20250.0 275.0 109660;18.0 0.0 109667;10.0 0.0 109673;2.0 0.0 109675;21860.0 888.0 109683;20779.0 822.0 109689;7.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 922;109697 829;109698 824;109699 866;109700 865;109701 889;109702 856;109703 874;109704 879;109706 902;109707 863;109708 882;109709 871;109710 876;109635 813;109651 885;109660 845;109667 834;109673 897;109675 882;109683 927;109689 876;109690 843
data,1241753700,1169462.0;43120.0;1171816.0;45619.0;1141469.0;42865.0;1.05582927579;1.01846490663,8.0 0.0 109696;4.0 0.0 109697;5.0 0.0 109698;74306.0 3595.0 109699;4.0 0.0 109700;6.0 0.0 109701;3.0 0.0 109702;13103.0 685.0 109703;3.0 0.0 109704;1.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;19613.0 912.0 109635;7.0 0.0 109651;20250.0 275.0 109660;18.0 0.0 109667;10.0 0.0 109673;2.0 0.0 109675;21860.0 888.0 109683;20779.0 822.0 109689;7.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 876;109697 869;109698 847;109699 857;109700 830;109701 921;109702 863;109703 891;109704 902;109706 852;109707 826;109708 917;109709 894;109710 937;109635 882;109651 885;109660 813;109667 839;109673 839;109675 892;109683 845;109689 853;109690 870
data,1241754000,1170364.0;43145.0;1172711.0;45663.0;1142323.0;42884.0;1.05624319286;1.01834948346,8.0 0.0 109696;4.0 0.0 109697;5.0 0.0 109698;74306.0 3595.0 109699;4.0 0.0 109700;6.0 0.0 109701;3.0 0.0 109702;13998.0 729.0 109703;3.0 0.0 109704;1.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;19613.0 912.0 109635;7.0 0.0 109651;20250.0 275.0 109660;18.0 0.0 109667;10.0 0.0 109673;2.0 0.0 109675;21860.0 888.0 109683;20779.0 822.0 109689;7.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 860;109698 823;109699 852;109700 837;109701 848;109702 893;109703 895;109704 900;109706 873;109707 873;109708 838;109709 890;109710 882;109635 881;109651 828;109660 891;109667 894;109673 889;109675 851;109683 873;109689 890;109690 877
data,1241754300,1171278.0;43177.0;1173553.0;45706.0;1143176.0;42914.0;1.05652074692;1.01834144914,8.0 0.0 109696;4.0 0.0 109697;5.0 0.0 109698;74306.0 3595.0 109699;4.0 0.0 109700;6.0 0.0 109701;3.0 0.0 109702;14840.0 772.0 109703;3.0 0.0 109704;1.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;19613.0 912.0 109635;7.0 0.0 109651;20250.0 275.0 109660;18.0 0.0 109667;10.0 0.0 109673;2.0 0.0 109675;21860.0 888.0 109683;20779.0 822.0 109689;7.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 876;109698 862;109699 829;109700 939;109701 908;109702 839;109703 842;109704 844;109706 847;109707 818;109708 906;109709 924;109710 915;109635 867;109651 865;109660 862;109667 848;109673 878;109675 892;109683 856;109689 876;109690 845
data,1241754900,1172181.0;43214.0;1174430.0;45753.0;1144026.0;42938.0;1.0567266235;1.01806645305,8.0 0.0 109696;4.0 0.0 109697;5.0 0.0 109698;74306.0 3595.0 109699;4.0 0.0 109700;6.0 0.0 109701;3.0 0.0 109702;15717.0 819.0 109703;3.0 0.0 109704;1.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;19613.0 912.0 109635;7.0 0.0 109651;20250.0 275.0 109660;18.0 0.0 109667;10.0 0.0 109673;2.0 0.0 109675;21860.0 888.0 109683;20779.0 822.0 109689;7.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 848;109697 862;109698 910;109699 841;109700 878;109701 889;109702 871;109703 877;109704 835;109706 900;109707 875;109708 866;109709 886;109710 840;109635 893;109651 847;109660 838;109667 894;109673 880;109675 922;109683 886;109689 789;109690 873
data,1241755200,1173086.0;43239.0;1175328.0;45795.0;1144963.0;42973.0;1.05709298615;1.01825940804,8.0 0.0 109696;4.0 0.0 109697;5.0 0.0 109698;74306.0 3595.0 109699;4.0 0.0 109700;6.0 0.0 109701;3.0 0.0 109702;16615.0 861.0 109703;3.0 0.0 109704;1.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;19613.0 912.0 109635;7.0 0.0 109651;20250.0 275.0 109660;18.0 0.0 109667;10.0 0.0 109673;2.0 0.0 109675;21860.0 888.0 109683;20779.0 822.0 109689;7.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 877;109697 888;109698 847;109699 791;109700 869;109701 885;109702 898;109703 898;109704 857;109706 892;109707 862;109708 857;109709 852;109710 932;109635 865;109651 868;109660 868;109667 862;109673 916;109675 836;109683 843;109689 861;109690 876
data,1241755500,1173963.0;43264.0;1176208.0;45840.0;1145857.0;43007.0;1.05751909882;1.01844238723,8.0 0.0 109696;4.0 0.0 109697;5.0 0.0 109698;74306.0 3595.0 109699;4.0 0.0 109700;6.0 0.0 109701;3.0 0.0 109702;17495.0 906.0 109703;3.0 0.0 109704;1.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;19613.0 912.0 109635;7.0 0.0 109651;20250.0 275.0 109660;18.0 0.0 109667;10.0 0.0 109673;2.0 0.0 109675;21860.0 888.0 109683;20779.0 822.0 109689;7.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 881;109697 890;109698 875;109699 883;109700 919;109701 894;109702 871;109703 880;109704 860;109706 891;109707 849;109708 882;109709 853;109710 857;109635 864;109651 870;109660 834;109667 871;109673 853;109675 859;109683 912;109689 850;109690 802
data,1241756100,1174820.0;43290.0;1177087.0;45872.0;1146719.0;43031.0;1.05760344742;1.01837604713,8.0 0.0 109696;4.0 0.0 109697;5.0 0.0 109698;74306.0 3595.0 109699;4.0 0.0 109700;6.0 0.0 109701;3.0 0.0 109702;18374.0 938.0 109703;3.0 0.0 109704;1.0 0.0 109706;2.0 0.0 109707;1.0 0.0 109708;1.0 0.0 109709;1.0 0.0 109710;19613.0 912.0 109635;7.0 0.0 109651;20250.0 275.0 109660;18.0 0.0 109667;10.0 0.0 109673;2.0 0.0 109675;21860.0 888.0 109683;20779.0 822.0 109689;7.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 901;109698 858;109699 909;109700 815;109701 870;109702 862;109703 879;109704 834;109706 919;109707 906;109708 886;109709 921;109710 860;109635 915;109651 877;109660 842;109667 822;109673 849;109675 797;109683 855;109689 870;109690 910
