data,1241842200,1396683.0;50478.0;1399023.0;53397.0;1362805.0;50168.0;1.05605785494;1.01856506666,18.0 0.0 109697;5.0 0.0 109711;0.0 0.0 109714;17496.0 542.0 109720;15.0 0.0 109721;17.0 0.0 109722;11.0 0.0 109723;5.0 0.0 109725;9.0 0.0 109726;17762.0 471.0 109728;4.0 0.0 109732;2.0 0.0 109734;8.0 0.0 109735;1.0 0.0 109737;9290.0 537.0 109742;6.0 0.0 109743;3.0 0.0 109744;16867.0 467.0 109745;3.0 0.0 109746;1.0 0.0 109747;0.0 0.0 109748;0.0 0.0 109749;39351.0 721.0 109667,109697.0 10956;109711.0 10956;109714.0 10956;109720.0 10956;109721.0 10956;109722.0 10956;109723.0 10956;109725.0 10956;109726.0 10956;109728.0 10956;109732.0 10956;109734.0 10956;109735.0 10956;109737.0 10956;109742.0 10956;109743.0 10956;109744.0 10956;109745.0 10956;109746.0 10956;109747.0 10956;109748.0 10956;109749.0 10956;109667.0 10956,109697 469;109711 549;109714 455;109720 497;109721 485;109722 487;109723 479;109725 459;109726 462;109728 475;109732 482;109734 506;109735 466;109737 490;109742 467;109743 479;109744 467;109745 484;109746 466;109747 459;109748 462;109749 480;109667 431
data,1241842500,1397060.0;50499.0;1399414.0;53404.0;1363204.0;50179.0;1.05574699276;1.01834147147,18.0 0.0 109697;10.0 0.0 109711;0.0 0.0 109714;17498.0 542.0 109720;19.0 0.0 109721;20.0 0.0 109722;11.0 0.0 109723;5.0 0.0 109725;356.0 7.0 109726;17762.0 471.0 109728;5.0 0.0 109732;4.0 0.0 109734;12.0 0.0 109735;4.0 0.0 109737;9291.0 537.0 109742;8.0 0.0 109743;5.0 0.0 109744;16871.0 467.0 109745;5.0 0.0 109746;3.0 0.0 109747;2.0 0.0 109748;3.0 0.0 109749;39353.0 721.0 109667,109697.0 9044;109711.0 9044;109714.0 9044;109720.0 9044;109721.0 9044;109722.0 9044;109723.0 9044;109725.0 9044;109726.0 9044;109728.0 9044;109732.0 9044;109734.0 9044;109735.0 9044;109737.0 9044;109742.0 9044;109743.0 9044;109744.0 9044;109745.0 9044;109746.0 9044;109747.0 9044;109748.0 9044;109749.0 9044;109667.0 9044,109697 383;109711 375;109714 411;109720 392;109721 381;109722 386;109723 395;109725 356;109726 388;109728 378;109732 406;109734 400;109735 420;109737 367;109742 389;109743 423;109744 403;109745 403;109746 410;109747 385;109748 409;109749 402;109667 382
data,1241843100,1397911.0;50528.0;1400287.0;53419.0;1364047.0;50208.0;1.05542192264;1.01833577492,18.0 0.0 109697;10.0 0.0 109711;0.0 0.0 109714;17498.0 542.0 109720;19.0 0.0 109721;20.0 0.0 109722;11.0 0.0 109723;5.0 0.0 109725;1229.0 22.0 109726;17762.0 471.0 109728;5.0 0.0 109732;4.0 0.0 109734;12.0 0.0 109735;4.0 0.0 109737;9291.0 537.0 109742;8.0 0.0 109743;5.0 0.0 109744;16871.0 467.0 109745;5.0 0.0 109746;3.0 0.0 109747;2.0 0.0 109748;3.0 0.0 109749;39353.0 721.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 916;109711 844;109714 830;109720 934;109721 873;109722 903;109723 905;109725 899;109726 873;109728 860;109732 849;109734 891;109735 851;109737 858;109742 845;109743 893;109744 863;109745 873;109746 830;109747 850;109748 891;109749 858;109667 811
data,1241843400,1398820.0;50564.0;1401149.0;53437.0;1364927.0;50239.0;1.05506242845;1.01824426324,18.0 0.0 109697;10.0 0.0 109711;0.0 0.0 109714;17498.0 542.0 109720;19.0 0.0 109721;20.0 0.0 109722;11.0 0.0 109723;5.0 0.0 109725;2091.0 40.0 109726;17762.0 471.0 109728;5.0 0.0 109732;4.0 0.0 109734;12.0 0.0 109735;4.0 0.0 109737;9291.0 537.0 109742;8.0 0.0 109743;5.0 0.0 109744;16871.0 467.0 109745;5.0 0.0 109746;3.0 0.0 109747;2.0 0.0 109748;3.0 0.0 109749;39353.0 721.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 857;109711 881;109714 894;109720 868;109721 877;109722 849;109723 914;109725 891;109726 862;109728 831;109732 889;109734 843;109735 860;109737 881;109742 901;109743 911;109744 814;109745 832;109746 881;109747 846;109748 844;109749 882;109667 892
data,1241844000,1399711.0;50599.0;1401974.0;53445.0;1365829.0;50269.0;1.05454122835;1.01812325671,18.0 0.0 109697;10.0 0.0 109711;0.0 0.0 109714;17498.0 542.0 109720;19.0 0.0 109721;20.0 0.0 109722;11.0 0.0 109723;5.0 0.0 109725;2916.0 48.0 109726;17762.0 471.0 109728;5.0 0.0 109732;4.0 0.0 109734;12.0 0.0 109735;4.0 0.0 109737;9291.0 537.0 109742;8.0 0.0 109743;5.0 0.0 109744;16871.0 467.0 109745;5.0 0.0 109746;3.0 0.0 109747;2.0 0.0 109748;3.0 0.0 109749;39353.0 721.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 839;109711 881;109714 867;109720 869;109721 822;109722 857;109723 840;109725 901;109726 825;109728 865;109732 834;109734 884;109735 879;109737 923;109742 925;109743 919;109744 870;109745 828;109746 874;109747 914;109748 823;109749 910;109667 851
data,1241844600,1400551.0;50621.0;1402800.0;53462.0;1366703.0;50289.0;1.05442975324;1.01804519796,18.0 0.0 109697;10.0 0.0 109711;0.0 0.0 109714;17498.0 542.0 109720;19.0 0.0 109721;20.0 0.0 109722;11.0 0.0 109723;5.0 0.0 109725;3742.0 65.0 109726;17762.0 471.0 109728;5.0 0.0 109732;4.0 0.0 109734;12.0 0.0 109735;4.0 0.0 109737;9291.0 537.0 109742;8.0 0.0 109743;5.0 0.0 109744;16871.0 467.0 109745;5.0 0.0 109746;3.0 0.0 109747;2.0 0.0 109748;3.0 0.0 109749;39353.0 721.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 908;109711 896;109714 847;109720 869;109721 887;109722 881;109723 878;109725 879;109726 826;109728 870;109732 867;109734 903;109735 798;109737 886;109742 920;109743 876;109744 832;109745 898;109746 821;109747 876;109748 829;109749 918;109667 835
data,1241844900,1401473.0;50665.0;1403613.0;53474.0;1367539.0;50321.0;1.05383344662;1.01785574154,18.0 0.0 109697;10.0 0.0 109711;0.0 0.0 109714;17498.0 542.0 109720;19.0 0.0 109721;20.0 0.0 109722;11.0 0.0 109723;5.0 0.0 109725;4555.0 77.0 109726;17762.0 471.0 109728;5.0 0.0 109732;4.0 0.0 109734;12.0 0.0 109735;4.0 0.0 109737;9291.0 537.0 109742;8.0 0.0 109743;5.0 0.0 109744;16871.0 467.0 109745;5.0 0.0 109746;3.0 0.0 109747;2.0 0.0 109748;3.0 0.0 109749;39353.0 721.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 846;109711 913;109714 842;109720 901;109721 844;109722 789;109723 856;109725 920;109726 813;109728 887;109732 836;109734 880;109735 875;109737 878;109742 875;109743 892;109744 899;109745 919;109746 903;109747 879;109748 855;109749 844;109667 854
data,1241845500,1402343.0;50694.0;1404462.0;53491.0;1368394.0;50344.0;1.05358217481;1.01773391681,18.0 0.0 109697;10.0 0.0 109711;0.0 0.0 109714;17498.0 542.0 109720;19.0 0.0 109721;20.0 0.0 109722;11.0 0.0 109723;5.0 0.0 109725;5404.0 94.0 109726;17762.0 471.0 109728;5.0 0.0 109732;4.0 0.0 109734;12.0 0.0 109735;4.0 0.0 109737;9291.0 537.0 109742;8.0 0.0 109743;5.0 0.0 109744;16871.0 467.0 109745;5.0 0.0 109746;3.0 0.0 109747;2.0 0.0 109748;3.0 0.0 109749;39353.0 721.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 872;109711 847;109714 899;109720 867;109721 890;109722 908;109723 826;109725 835;109726 849;109728 906;109732 867;109734 869;109735 849;109737 889;109742 877;109743 847;109744 856;109745 863;109746 890;109747 886;109748 824;109749 925;109667 859
data,1241846100,1403196.0;50717.0;1405328.0;53507.0;1369227.0;50373.0;1.0534106002;1.01785788082,18.0 0.0 109697;10.0 0.0 109711;0.0 0.0 109714;17498.0 542.0 109720;19.0 0.0 109721;20.0 0.0 109722;11.0 0.0 109723;5.0 0.0 109725;6270.0 110.0 109726;17762.0 471.0 109728;5.0 0.0 109732;4.0 0.0 109734;12.0 0.0 109735;4.0 0.0 109737;9291.0 537.0 109742;8.0 0.0 109743;5.0 0.0 109744;16871.0 467.0 109745;5.0 0.0 109746;3.0 0.0 109747;2.0 0.0 109748;3.0 0.0 109749;39353.0 721.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 838;109711 880;109714 892;109720 854;109721 934;109722 854;109723 870;109725 883;109726 866;109728 872;109732 921;109734 850;109735 847;109737 890;109742 847;109743 868;109744 885;109745 848;109746 852;109747 876;109748 862;109749 876;109667 835
data,1241846700,1404024.0;50757.0;1406221.0;53524.0;1370111.0;50401.0;1.0528671343;1.01756459233,18.0 0.0 109697;10.0 0.0 109711;0.0 0.0 109714;17498.0 542.0 109720;19.0 0.0 109721;20.0 0.0 109722;11.0 0.0 109723;5.0 0.0 109725;7163.0 127.0 109726;17762.0 471.0 109728;5.0 0.0 109732;4.0 0.0 109734;12.0 0.0 109735;4.0 0.0 109737;9291.0 537.0 109742;8.0 0.0 109743;5.0 0.0 109744;16871.0 467.0 109745;5.0 0.0 109746;3.0 0.0 109747;2.0 0.0 109748;3.0 0.0 109749;39353.0 721.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 899;109711 879;109714 855;109720 915;109721 870;109722 850;109723 892;109725 870;109726 893;109728 894;109732 872;109734 860;109735 865;109737 871;109742 851;109743 844;109744 885;109745 844;109746 831;109747 840;109748 870;109749 892;109667 858
data,1241847300,1404943.0;50790.0;1407048.0;53536.0;1370978.0;50429.0;1.0524888365;1.01749049871,18.0 0.0 109697;10.0 0.0 109711;0.0 0.0 109714;17498.0 542.0 109720;19.0 0.0 109721;20.0 0.0 109722;11.0 0.0 109723;5.0 0.0 109725;7990.0 139.0 109726;17762.0 471.0 109728;5.0 0.0 109732;4.0 0.0 109734;12.0 0.0 109735;4.0 0.0 109737;9291.0 537.0 109742;8.0 0.0 109743;5.0 0.0 109744;16871.0 467.0 109745;5.0 0.0 109746;3.0 0.0 109747;2.0 0.0 109748;3.0 0.0 109749;39353.0 721.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 850;109711 847;109714 871;109720 834;109721 863;109722 850;109723 898;109725 812;109726 827;109728 907;109732 929;109734 843;109735 887;109737 909;109742 870;109743 912;109744 839;109745 884;109746 856;109747 862;109748 960;109749 868;109667 822
