data,1241739900,1524758.0;56330.0;1532433.0;71651.0;1429953.0;53614.0;1538287.0;82327.0;1.26561592192;1.01488682868;1.44865873544,2339.0 93.0 109696;1554.0 43.0 109697;1913.0 63.0 109698;3175.0 170.0 109699;2159.0 91.0 109700;1546.0 67.0 109701;769.0 21.0 109702;9749.0 672.0 109703;2089.0 117.0 109704;917.0 38.0 109705;313.0 7.0 109706;39420.0 1961.0 109635;1661.0 56.0 109651;5754.0 61.0 109660;6127.0 126.0 109667;4479.0 179.0 109673;579.0 26.0 109675;6354.0 219.0 109683;4371.0 191.0 109689;2975.0 132.0 109690;17042.0 1349.0 109692;1876.0 55.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 962;109697 881;109698 955;109699 907;109700 900;109701 858;109702 901;109703 961;109704 920;109705 958;109706 894;109635 842;109651 890;109660 908;109667 884;109673 896;109675 942;109683 917;109689 886;109690 941;109692 899;109693 898
data,1241740200,1525629.0;56355.0;1533331.0;71699.0;1430819.0;53646.0;1539197.0;82375.0;1.26588328023;1.01500721184;1.44883090282,2354.0 94.0 109696;1566.0 43.0 109697;1936.0 63.0 109698;3386.0 183.0 109699;2175.0 91.0 109700;1560.0 68.0 109701;782.0 21.0 109702;9962.0 685.0 109703;2153.0 120.0 109704;939.0 38.0 109705;326.0 8.0 109706;39445.0 1962.0 109635;1678.0 58.0 109651;5761.0 61.0 109660;6139.0 127.0 109667;4491.0 179.0 109673;637.0 30.0 109675;6387.0 221.0 109683;4384.0 191.0 109689;2983.0 132.0 109690;17122.0 1355.0 109692;1893.0 55.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 904;109697 894;109698 930;109699 914;109700 900;109701 929;109702 891;109703 920;109704 934;109705 874;109706 937;109635 900;109651 886;109660 938;109667 861;109673 925;109675 930;109683 919;109689 888;109690 938;109692 889;109693 899
data,1241740500,1526509.0;56384.0;1534231.0;71751.0;1431709.0;53674.0;1540122.0;82421.0;1.26613697404;1.01496880299;1.44885939602,2368.0 94.0 109696;1578.0 43.0 109697;1951.0 63.0 109698;3619.0 197.0 109699;2187.0 91.0 109700;1571.0 68.0 109701;788.0 21.0 109702;10156.0 696.0 109703;2209.0 126.0 109704;959.0 39.0 109705;343.0 10.0 109706;39474.0 1963.0 109635;1695.0 58.0 109651;5770.0 61.0 109660;6153.0 127.0 109667;4505.0 180.0 109673;722.0 39.0 109675;6415.0 221.0 109683;4395.0 193.0 109689;2994.0 132.0 109690;17200.0 1360.0 109692;1907.0 55.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 931;109697 910;109698 948;109699 913;109700 916;109701 932;109702 923;109703 887;109704 885;109705 923;109706 910;109635 932;109651 878;109660 878;109667 897;109673 901;109675 958;109683 970;109689 883;109690 881;109692 850;109693 894
data,1241740800,1527393.0;56420.0;1535200.0;71785.0;1432623.0;53705.0;1541062.0;82459.0;1.26586227439;1.01484686805;1.44855725697,2381.0 95.0 109696;1592.0 43.0 109697;1969.0 64.0 109698;3849.0 207.0 109699;2206.0 91.0 109700;1582.0 68.0 109701;806.0 21.0 109702;10361.0 704.0 109703;2290.0 129.0 109704;978.0 39.0 109705;370.0 11.0 109706;39487.0 1963.0 109635;1706.0 58.0 109651;5784.0 61.0 109660;6172.0 127.0 109667;4520.0 180.0 109673;809.0 43.0 109675;6440.0 222.0 109683;4409.0 193.0 109689;3005.0 132.0 109690;17290.0 1365.0 109692;1922.0 55.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 921;109697 912;109698 926;109699 929;109700 887;109701 824;109702 892;109703 940;109704 869;109705 940;109706 949;109635 917;109651 925;109660 873;109667 862;109673 919;109675 915;109683 947;109689 888;109690 932;109692 946;109693 887
data,1241741100,1528276.0;56448.0;1536109.0;71829.0;1433556.0;53735.0;1542013.0;82501.0;1.26599217245;1.01483590534;1.44851971836,2396.0 95.0 109696;1608.0 44.0 109697;1983.0 64.0 109698;4094.0 219.0 109699;2218.0 92.0 109700;1590.0 68.0 109701;819.0 22.0 109702;10545.0 713.0 109703;2357.0 130.0 109704;993.0 40.0 109705;387.0 11.0 109706;39504.0 1963.0 109635;1716.0 58.0 109651;5788.0 61.0 109660;6182.0 127.0 109667;4536.0 181.0 109673;885.0 44.0 109675;6464.0 224.0 109683;4421.0 194.0 109689;3017.0 132.0 109690;17404.0 1378.0 109692;1930.0 55.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 935;109697 889;109698 909;109699 910;109700 946;109701 900;109702 908;109703 962;109704 910;109705 855;109706 912;109635 928;109651 909;109660 875;109667 907;109673 908;109675 819;109683 929;109689 906;109690 922;109692 928;109693 933
data,1241741400,1529190.0;56481.0;1537004.0;71865.0;1434532.0;53771.0;1542888.0;82554.0;1.26590613375;1.01483852362;1.44864773514,2410.0 95.0 109696;1621.0 45.0 109697;1996.0 65.0 109698;4324.0 229.0 109699;2231.0 93.0 109700;1600.0 68.0 109701;826.0 22.0 109702;10696.0 719.0 109703;2408.0 132.0 109704;1012.0 40.0 109705;398.0 11.0 109706;39520.0 1964.0 109635;1734.0 58.0 109651;5797.0 61.0 109660;6193.0 127.0 109667;4545.0 181.0 109673;950.0 47.0 109675;6490.0 224.0 109683;4440.0 196.0 109689;3027.0 132.0 109690;17570.0 1387.0 109692;1944.0 55.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 913;109698 914;109699 964;109700 909;109701 885;109702 949;109703 891;109704 898;109705 871;109706 890;109635 892;109651 926;109660 876;109667 929;109673 858;109675 932;109683 993;109689 900;109690 891;109692 903;109693 904
data,1241741700,1530123.0;56514.0;1537948.0;71915.0;1435442.0;53791.0;1543804.0;82609.0;1.26604204611;1.01459861438;1.44879019827,2426.0 95.0 109696;1634.0 45.0 109697;2008.0 66.0 109698;4532.0 238.0 109699;2245.0 93.0 109700;1606.0 69.0 109701;835.0 23.0 109702;10854.0 734.0 109703;2463.0 135.0 109704;1025.0 42.0 109705;416.0 11.0 109706;39534.0 1964.0 109635;1750.0 59.0 109651;5807.0 61.0 109660;6209.0 127.0 109667;4554.0 181.0 109673;1024.0 48.0 109675;6522.0 227.0 109683;4454.0 196.0 109689;3039.0 135.0 109690;17784.0 1397.0 109692;1955.0 55.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 890;109697 889;109698 945;109699 863;109700 923;109701 919;109702 955;109703 929;109704 905;109705 881;109706 877;109635 905;109651 915;109660 906;109667 863;109673 927;109675 939;109683 915;109689 905;109690 910;109692 938;109693 901
data,1241742000,1531032.0;56542.0;1538919.0;71951.0;1436343.0;53828.0;1544723.0;82650.0;1.26600136622;1.01475963419;1.44878968955,2440.0 96.0 109696;1649.0 45.0 109697;2021.0 67.0 109698;4711.0 244.0 109699;2258.0 93.0 109700;1615.0 69.0 109701;846.0 24.0 109702;11108.0 745.0 109703;2527.0 139.0 109704;1048.0 42.0 109705;433.0 12.0 109706;39549.0 1965.0 109635;1774.0 59.0 109651;5817.0 61.0 109660;6228.0 128.0 109667;4562.0 181.0 109673;1048.0 49.0 109675;6553.0 229.0 109683;4468.0 196.0 109689;3056.0 135.0 109690;17967.0 1402.0 109692;1969.0 56.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 937;109698 951;109699 863;109700 862;109701 944;109702 899;109703 895;109704 946;109705 915;109706 894;109635 901;109651 896;109660 922;109667 898;109673 890;109675 878;109683 885;109689 941;109690 918;109692 949;109693 897
data,1241742300,1531923.0;56567.0;1539829.0;72000.0;1437234.0;53856.0;1545679.0;82702.0;1.26629179174;1.01479986689;1.44900704048,2455.0 96.0 109696;1659.0 45.0 109697;2031.0 68.0 109698;4883.0 259.0 109699;2273.0 95.0 109700;1630.0 69.0 109701;854.0 24.0 109702;11367.0 761.0 109703;2615.0 146.0 109704;1061.0 43.0 109705;442.0 12.0 109706;39562.0 1965.0 109635;1786.0 59.0 109651;5831.0 61.0 109660;6239.0 128.0 109667;4571.0 181.0 109673;1097.0 51.0 109675;6589.0 230.0 109683;4481.0 196.0 109689;3070.0 136.0 109690;18078.0 1404.0 109692;1983.0 57.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 913;109697 880;109698 933;109699 918;109700 902;109701 924;109702 904;109703 951;109704 926;109705 900;109706 915;109635 893;109651 911;109660 950;109667 942;109673 911;109675 879;109683 870;109689 888;109690 953;109692 879;109693 858
data,1241742600,1532912.0;56606.0;1540749.0;72037.0;1438112.0;53886.0;1546594.0;82759.0;1.266130529;1.01470077847;1.44908436385,2467.0 96.0 109696;1669.0 45.0 109697;2045.0 69.0 109698;5094.0 267.0 109699;2285.0 95.0 109700;1646.0 71.0 109701;866.0 24.0 109702;11592.0 771.0 109703;2733.0 154.0 109704;1077.0 43.0 109705;453.0 12.0 109706;39567.0 1965.0 109635;1798.0 59.0 109651;5842.0 61.0 109660;6252.0 129.0 109667;4582.0 181.0 109673;1122.0 51.0 109675;6631.0 231.0 109683;4492.0 196.0 109689;3086.0 136.0 109690;18184.0 1410.0 109692;1994.0 57.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 930;109697 910;109698 942;109699 854;109700 891;109701 935;109702 962;109703 894;109704 921;109705 919;109706 906;109635 856;109651 851;109660 880;109667 876;109673 953;109675 891;109683 937;109689 923;109690 958;109692 882;109693 929
data,1241742900,1533800.0;56638.0;1541680.0;72068.0;1439054.0;53919.0;1547471.0;82792.0;1.26592814571;1.01467173409;1.4488608561,2479.0 97.0 109696;1685.0 45.0 109697;2061.0 69.0 109698;5306.0 274.0 109699;2299.0 95.0 109700;1657.0 71.0 109701;874.0 24.0 109702;11816.0 780.0 109703;2874.0 162.0 109704;1087.0 43.0 109705;472.0 12.0 109706;39573.0 1965.0 109635;1812.0 60.0 109651;5844.0 61.0 109660;6261.0 129.0 109667;4597.0 181.0 109673;1167.0 54.0 109675;6654.0 231.0 109683;4507.0 196.0 109689;3100.0 136.0 109690;18278.0 1412.0 109692;2005.0 57.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 883;109698 931;109699 920;109700 937;109701 862;109702 900;109703 882;109704 899;109705 924;109706 855;109635 863;109651 884;109660 903;109667 933;109673 956;109675 1008;109683 888;109689 897;109690 952;109692 879;109693 912
