
New Run at  03/23/2015 19:48:32
, Time, exp3Access; exp3Clicks; exp3CTRRatio 
data,1241204700,114177.0;6225.0;1.28448750023
data,1241205000,115085.0;6281.0;1.28607310051
data,1241205300,116047.0;6335.0;1.2841189734
data,1241205600,116934.0;6386.0;1.28187397875
data,1241205900,117885.0;6438.0;1.28268173321
data,1241205900,118842.0;6483.0;1.27963382584
data,1241206200,119775.0;6527.0;1.27795113599
data,1241206500,120670.0;6574.0;1.27699402604
data,1241206800,121548.0;6626.0;1.27721597723
data,1241207100,122474.0;6671.0;1.27660761093
data,1241207400,123372.0;6710.0;1.27282280207
data,1241207700,124322.0;6752.0;1.27176760149
data,1241207700,125251.0;6802.0;1.27042655724
data,1241208000,126153.0;6845.0;1.26794734552
data,1241208300,127015.0;6890.0;1.26710753028
data,1241208600,127939.0;6936.0;1.26023657453
data,1241208900,128882.0;6995.0;1.26196250871
data,1241209200,129788.0;7038.0;1.26209242737
data,1241209500,130666.0;7088.0;1.26248280784
data,1241209500,131549.0;7140.0;1.26555788349
data,1241209800,132414.0;7179.0;1.26458436257
data,1241210100,133265.0;7218.0;1.26266152626
data,1241210400,134143.0;7273.0;1.26288478407
data,1241210700,135011.0;7314.0;1.26164899205
data,1241211000,135948.0;7370.0;1.26396070526
data,1241211300,136812.0;7421.0;1.26602804093
data,1241211600,137753.0;7466.0;1.26371004773
data,1241211600,138675.0;7524.0;1.26571718651
data,1241211900,139545.0;7576.0;1.26671341667
data,1241212200,140452.0;7620.0;1.26444553614
data,1241212500,141318.0;7672.0;1.26481221674
data,1241212800,142182.0;7711.0;1.26430890707
data,1241213100,143087.0;7755.0;1.26312262418
data,1241213400,143993.0;7807.0;1.26411477863
data,1241213700,144866.0;7862.0;1.26281435709
data,1241214000,145747.0;7908.0;1.26387902164
data,1241214300,146589.0;7957.0;1.26318971841
data,1241214600,147468.0;8003.0;1.26323931591
data,1241214900,148326.0;8054.0;1.26493013135
data,1241215200,149269.0;8109.0;1.26380109126
data,1241215500,150173.0;8157.0;1.2639374389
data,1241215800,151052.0;8192.0;1.26245090953
data,1241216100,151964.0;8240.0;1.26147075562
data,1241216400,152929.0;8288.0;1.26186999799
data,1241216700,153773.0;8340.0;1.26438636422
data,1241217000,154680.0;8396.0;1.26637716645
data,1241217300,155603.0;8446.0;1.26564014227
data,1241217600,156497.0;8498.0;1.26494260128
data,1241218200,157373.0;8545.0;1.26533485752
data,1241218500,158304.0;8602.0;1.2655999757
data,1241218800,159157.0;8648.0;1.26690943179
data,1241219100,160068.0;8685.0;1.26415126865
data,1241219400,160960.0;8727.0;1.26339417755
data,1241219700,161877.0;8768.0;1.26270738684
data,1241220000,162812.0;8823.0;1.26397378572
data,1241220300,163763.0;8883.0;1.26623749376
data,1241220600,164648.0;8926.0;1.26567980596
data,1241221200,165523.0;8960.0;1.26556261569
data,1241221500,166409.0;9007.0;1.26441598354
data,1241221800,167357.0;9064.0;1.26597848725
data,1241222100,168319.0;9115.0;1.26757049684
data,1241222400,169206.0;9157.0;1.26933565018
data,1241222700,170026.0;9194.0;1.26981122961
data,1241223300,170915.0;9239.0;1.26910244791
data,1241223600,171533.0;9269.0;1.26982578956
data,1241223900,172449.0;9307.0;1.26737169381
data,1241224200,173356.0;9347.0;1.26702768329
data,1241224500,174321.0;9388.0;1.26498945338
data,1241224800,175182.0;9415.0;1.26472662023
data,1241225400,176080.0;9460.0;1.2640216115
data,1241225700,177027.0;9502.0;1.26314689394
data,1241226000,177902.0;9539.0;1.26134056643
data,1241226300,178832.0;9589.0;1.26218682761
data,1241226600,179733.0;9622.0;1.26357234753
