data,1241739900,1524673.0;55910.0;670801.0;26254.0;1430082.0;53944.0;1529605.0;80928.0;1.067306113;1.02865424731;1.44280198255,2455.0 83.0 109696;1887.0 43.0 109697;2613.0 84.0 109698;2442.0 161.0 109699;2389.0 110.0 109700;749.0 23.0 109701;1839.0 37.0 109702;885.0 71.0 109703;1439.0 105.0 109704;1506.0 55.0 109705;1540.0 49.0 109706;9426.0 435.0 109635;2004.0 51.0 109651;6416.0 81.0 109660;6334.0 146.0 109667;3486.0 138.0 109673;1330.0 77.0 109675;3955.0 141.0 109683;3185.0 135.0 109689;3015.0 110.0 109690;3345.0 305.0 109692;2864.0 82.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 962;109697 881;109698 955;109699 907;109700 900;109701 858;109702 901;109703 961;109704 920;109705 958;109706 894;109635 842;109651 890;109660 908;109667 884;109673 896;109675 942;109683 917;109689 886;109690 941;109692 899;109693 898
data,1241740200,1525575.0;55939.0;671044.0;26268.0;1430939.0;53977.0;1530533.0;80976.0;1.0675663466;1.02874203917;1.44288755252,2472.0 85.0 109696;1902.0 45.0 109697;2622.0 84.0 109698;2449.0 162.0 109699;2402.0 110.0 109700;754.0 23.0 109701;1850.0 37.0 109702;899.0 72.0 109703;1448.0 106.0 109704;1509.0 56.0 109705;1553.0 49.0 109706;9438.0 435.0 109635;2013.0 51.0 109651;6423.0 81.0 109660;6346.0 146.0 109667;3500.0 138.0 109673;1338.0 79.0 109675;3972.0 141.0 109683;3195.0 135.0 109689;3032.0 112.0 109690;3358.0 307.0 109692;2872.0 82.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 904;109697 894;109698 930;109699 914;109700 900;109701 929;109702 891;109703 920;109704 934;109705 874;109706 937;109635 900;109651 886;109660 938;109667 861;109673 925;109675 930;109683 919;109689 888;109690 938;109692 889;109693 899
data,1241740500,1526475.0;55973.0;671313.0;26277.0;1431850.0;53999.0;1531431.0;81022.0;1.06748513267;1.02848817996;1.44283489367,2480.0 85.0 109696;1915.0 45.0 109697;2630.0 84.0 109698;2467.0 163.0 109699;2413.0 110.0 109700;771.0 24.0 109701;1868.0 38.0 109702;906.0 73.0 109703;1457.0 106.0 109704;1523.0 57.0 109705;1567.0 49.0 109706;9453.0 436.0 109635;2024.0 52.0 109651;6439.0 81.0 109660;6358.0 146.0 109667;3508.0 139.0 109673;1354.0 79.0 109675;3985.0 142.0 109683;3204.0 135.0 109689;3045.0 112.0 109690;3366.0 307.0 109692;2883.0 82.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 931;109697 910;109698 948;109699 913;109700 916;109701 932;109702 923;109703 887;109704 885;109705 923;109706 910;109635 932;109651 878;109660 878;109667 897;109673 901;109675 958;109683 970;109689 883;109690 881;109692 850;109693 894
data,1241740800,1527389.0;56000.0;671590.0;26291.0;1432772.0;54035.0;1532293.0;81066.0;1.06773754924;1.02863122045;1.44297417421,2491.0 85.0 109696;1932.0 45.0 109697;2643.0 85.0 109698;2480.0 164.0 109699;2426.0 110.0 109700;782.0 24.0 109701;1883.0 38.0 109702;919.0 75.0 109703;1468.0 108.0 109704;1536.0 57.0 109705;1582.0 50.0 109706;9461.0 436.0 109635;2038.0 52.0 109651;6448.0 81.0 109660;6371.0 146.0 109667;3518.0 140.0 109673;1366.0 82.0 109675;4000.0 143.0 109683;3215.0 135.0 109689;3059.0 112.0 109690;3376.0 308.0 109692;2899.0 83.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 921;109697 912;109698 926;109699 929;109700 887;109701 824;109702 892;109703 940;109704 869;109705 940;109706 949;109635 917;109651 925;109660 873;109667 862;109673 919;109675 915;109683 947;109689 888;109690 932;109692 946;109693 887
data,1241741100,1528326.0;56029.0;671866.0;26297.0;1433684.0;54059.0;1533184.0;81100.0;1.06764451315;1.02853174233;1.44287831332,2504.0 85.0 109696;1944.0 45.0 109697;2650.0 85.0 109698;2487.0 164.0 109699;2440.0 110.0 109700;800.0 24.0 109701;1900.0 38.0 109702;928.0 75.0 109703;1480.0 111.0 109704;1545.0 57.0 109705;1596.0 51.0 109706;9474.0 436.0 109635;2052.0 52.0 109651;6463.0 81.0 109660;6380.0 146.0 109667;3532.0 140.0 109673;1379.0 82.0 109675;4018.0 144.0 109683;3225.0 136.0 109689;3071.0 112.0 109690;3391.0 308.0 109692;2910.0 83.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 935;109697 889;109698 909;109699 910;109700 946;109701 900;109702 908;109703 962;109704 910;109705 855;109706 912;109635 928;109651 909;109660 875;109667 907;109673 908;109675 819;109683 929;109689 906;109690 922;109692 928;109693 933
data,1241741400,1529212.0;56056.0;672158.0;26306.0;1434624.0;54105.0;1534067.0;81130.0;1.06765032521;1.02883303893;1.44272228811,2513.0 85.0 109696;1965.0 46.0 109697;2671.0 85.0 109698;2503.0 164.0 109699;2453.0 112.0 109700;812.0 24.0 109701;1914.0 39.0 109702;939.0 75.0 109703;1496.0 112.0 109704;1557.0 58.0 109705;1615.0 51.0 109706;9483.0 436.0 109635;2059.0 52.0 109651;6482.0 81.0 109660;6390.0 146.0 109667;3543.0 140.0 109673;1393.0 82.0 109675;4027.0 145.0 109683;3236.0 136.0 109689;3085.0 113.0 109690;3404.0 309.0 109692;2921.0 83.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 913;109698 914;109699 964;109700 909;109701 885;109702 949;109703 891;109704 898;109705 871;109706 890;109635 892;109651 926;109660 876;109667 929;109673 858;109675 932;109683 993;109689 900;109690 891;109692 903;109693 904
data,1241741700,1530135.0;56082.0;672443.0;26316.0;1435530.0;54131.0;1534996.0;81178.0;1.0677526473;1.02882150477;1.44290372757,2522.0 86.0 109696;1979.0 46.0 109697;2679.0 85.0 109698;2520.0 164.0 109699;2471.0 113.0 109700;825.0 24.0 109701;1924.0 40.0 109702;952.0 76.0 109703;1504.0 112.0 109704;1568.0 59.0 109705;1633.0 51.0 109706;9493.0 436.0 109635;2070.0 52.0 109651;6495.0 81.0 109660;6401.0 147.0 109667;3561.0 140.0 109673;1407.0 84.0 109675;4039.0 145.0 109683;3250.0 136.0 109689;3102.0 114.0 109690;3417.0 310.0 109692;2934.0 83.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 890;109697 889;109698 945;109699 863;109700 923;109701 919;109702 955;109703 929;109704 905;109705 881;109706 877;109635 905;109651 915;109660 906;109667 863;109673 927;109675 939;109683 915;109689 905;109690 910;109692 938;109693 901
data,1241742000,1531081.0;56123.0;672718.0;26325.0;1436438.0;54162.0;1535930.0;81226.0;1.06756080606;1.02864399862;1.44271628155,2535.0 86.0 109696;1998.0 46.0 109697;2692.0 85.0 109698;2532.0 164.0 109699;2480.0 113.0 109700;842.0 24.0 109701;1936.0 41.0 109702;965.0 76.0 109703;1517.0 114.0 109704;1586.0 59.0 109705;1646.0 52.0 109706;9509.0 436.0 109635;2083.0 53.0 109651;6505.0 81.0 109660;6410.0 147.0 109667;3581.0 140.0 109673;1418.0 85.0 109675;4045.0 145.0 109683;3260.0 136.0 109689;3113.0 116.0 109690;3427.0 311.0 109692;2941.0 83.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 937;109698 951;109699 863;109700 862;109701 944;109702 899;109703 895;109704 946;109705 915;109706 894;109635 901;109651 896;109660 922;109667 898;109673 890;109675 878;109683 885;109689 941;109690 918;109692 949;109693 897
data,1241742300,1531985.0;56155.0;673008.0;26339.0;1437301.0;54195.0;1536848.0;81264.0;1.06768990643;1.028673553;1.44255825607,2550.0 86.0 109696;2011.0 47.0 109697;2711.0 86.0 109698;2543.0 164.0 109699;2496.0 114.0 109700;861.0 25.0 109701;1948.0 41.0 109702;981.0 76.0 109703;1526.0 114.0 109704;1599.0 59.0 109705;1658.0 53.0 109706;9520.0 438.0 109635;2091.0 54.0 109651;6512.0 81.0 109660;6432.0 148.0 109667;3590.0 140.0 109673;1434.0 86.0 109675;4058.0 148.0 109683;3276.0 137.0 109689;3129.0 116.0 109690;3438.0 311.0 109692;2947.0 83.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 913;109697 880;109698 933;109699 918;109700 902;109701 924;109702 904;109703 951;109704 926;109705 900;109706 915;109635 893;109651 911;109660 950;109667 942;109673 911;109675 879;109683 870;109689 888;109690 953;109692 879;109693 858
data,1241742600,1532879.0;56188.0;673300.0;26346.0;1438191.0;54229.0;1537745.0;81307.0;1.06750612077;1.02867771172;1.44247373565,2558.0 86.0 109696;2023.0 48.0 109697;2725.0 86.0 109698;2561.0 164.0 109699;2511.0 114.0 109700;881.0 26.0 109701;1959.0 41.0 109702;990.0 76.0 109703;1541.0 115.0 109704;1613.0 59.0 109705;1670.0 53.0 109706;9527.0 438.0 109635;2098.0 54.0 109651;6525.0 81.0 109660;6449.0 148.0 109667;3606.0 140.0 109673;1447.0 87.0 109675;4066.0 148.0 109683;3289.0 137.0 109689;3146.0 116.0 109690;3456.0 313.0 109692;2962.0 84.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 930;109697 910;109698 942;109699 854;109700 891;109701 935;109702 962;109703 894;109704 921;109705 919;109706 906;109635 856;109651 851;109660 880;109667 876;109673 953;109675 891;109683 937;109689 923;109690 958;109692 882;109693 929
data,1241742900,1533774.0;56218.0;673583.0;26353.0;1439113.0;54270.0;1538729.0;81353.0;1.06739441112;1.02884726058;1.44243886067,2573.0 87.0 109696;2033.0 48.0 109697;2734.0 86.0 109698;2573.0 164.0 109699;2521.0 114.0 109700;890.0 26.0 109701;1970.0 41.0 109702;998.0 76.0 109703;1557.0 117.0 109704;1622.0 59.0 109705;1678.0 53.0 109706;9543.0 438.0 109635;2111.0 54.0 109651;6538.0 81.0 109660;6468.0 148.0 109667;3620.0 140.0 109673;1468.0 89.0 109675;4078.0 148.0 109683;3301.0 137.0 109689;3164.0 117.0 109690;3470.0 314.0 109692;2976.0 84.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 883;109698 931;109699 920;109700 937;109701 862;109702 900;109703 882;109704 899;109705 924;109706 855;109635 863;109651 884;109660 903;109667 933;109673 956;109675 1008;109683 888;109689 897;109690 952;109692 879;109693 912
