data,1241298600,325058.0;12151.0;142301.0;5382.0;302797.0;11185.0;326575.0;16407.0;1.01177647994;0.988173625835;1.3439870393,3434.0 49.0 109536;1442.0 62.0 109476;1001.0 31.0 109541;3681.0 107.0 109542;3679.0 140.0 109544;3157.0 68.0 109545;351.0 19.0 109561;2931.0 129.0 109547;1220.0 41.0 109518;1032.0 42.0 109551;1076.0 34.0 109553;1597.0 46.0 109554;1484.0 39.0 109555;5514.0 239.0 109524;1362.0 36.0 109557;564.0 18.0 109558;943.0 12.0 109559;782.0 22.0 109560;1174.0 50.0 109556;292.0 8.0 109562;943.0 27.0 109563,109536.0 8493;109476.0 8493;109541.0 8493;109542.0 8493;109544.0 8493;109545.0 8493;109547.0 8493;109518.0 8493;109551.0 8493;109553.0 8493;109554.0 8493;109555.0 8493;109524.0 8493;109557.0 8493;109558.0 8493;109559.0 8493;109560.0 8493;109561.0 8493;109562.0 8493;109563.0 8493;109556.0 8493,109536 417;109476 432;109541 406;109542 382;109544 385;109545 427;109561 452;109547 403;109518 398;109551 425;109553 397;109554 431;109555 388;109524 363;109557 428;109558 364;109559 384;109560 385;109556 391;109562 397;109563 438
data,1241298900,325568.0;12167.0;142827.0;5399.0;303346.0;11200.0;327148.0;16425.0;1.01148912273;0.987956797402;1.3434432085,3455.0 49.0 109536;1466.0 62.0 109476;1021.0 31.0 109541;3716.0 111.0 109542;3695.0 140.0 109544;3181.0 69.0 109545;386.0 22.0 109561;2960.0 133.0 109547;1245.0 41.0 109518;1053.0 42.0 109551;1112.0 35.0 109553;1626.0 47.0 109554;1501.0 39.0 109555;5535.0 239.0 109524;1376.0 36.0 109557;587.0 18.0 109558;964.0 13.0 109559;806.0 22.0 109560;1212.0 52.0 109556;319.0 8.0 109562;969.0 27.0 109563,109536.0 11507;109476.0 11507;109541.0 11507;109542.0 11507;109544.0 11507;109545.0 11507;109547.0 11507;109518.0 11507;109551.0 11507;109553.0 11507;109554.0 11507;109555.0 11507;109524.0 11507;109557.0 11507;109558.0 11507;109559.0 11507;109560.0 11507;109561.0 11507;109562.0 11507;109563.0 11507;109556.0 11507,109536 537;109476 560;109541 561;109542 563;109544 564;109545 545;109561 557;109547 521;109518 531;109551 529;109553 578;109554 564;109555 549;109524 538;109557 553;109558 517;109559 541;109560 575;109556 556;109562 534;109563 534
data,1241299200,326464.0;12188.0;143296.0;5415.0;304329.0;11225.0;328087.0;16455.0;1.01220212649;0.987974789513;1.34341971132,3475.0 49.0 109536;1482.0 62.0 109476;1038.0 32.0 109541;3744.0 111.0 109542;3722.0 141.0 109544;3203.0 69.0 109545;2990.0 134.0 109547;1278.0 45.0 109518;1067.0 42.0 109551;1137.0 35.0 109553;1650.0 49.0 109554;1526.0 40.0 109555;1234.0 52.0 109556;1399.0 36.0 109557;601.0 18.0 109558;982.0 13.0 109559;828.0 23.0 109560;410.0 24.0 109561;338.0 8.0 109562;993.0 28.0 109563;5557.0 241.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 953;109476 966;109541 915;109542 1009;109544 923;109545 945;109547 951;109518 916;109551 927;109553 936;109554 936;109555 927;109556 1020;109557 935;109558 1029;109559 942;109560 965;109561 974;109562 944;109563 934;109524 953
data,1241299800,327417.0;12221.0;143564.0;5420.0;305282.0;11267.0;329035.0;16492.0;1.01145884635;0.988784333819;1.34284445416,3493.0 49.0 109536;1495.0 62.0 109476;1052.0 32.0 109541;3756.0 111.0 109542;3728.0 142.0 109544;3214.0 69.0 109545;425.0 25.0 109561;3004.0 134.0 109547;1288.0 45.0 109518;1074.0 42.0 109551;1152.0 36.0 109553;1660.0 49.0 109554;1538.0 40.0 109555;1250.0 53.0 109556;1407.0 37.0 109557;619.0 18.0 109558;994.0 13.0 109559;844.0 23.0 109560;5567.0 241.0 109524;349.0 8.0 109562;1013.0 28.0 109563,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 912;109476 1011;109541 928;109542 935;109544 953;109545 1006;109561 998;109547 964;109518 948;109551 953;109553 859;109554 940;109555 971;109556 999;109557 939;109558 975;109559 923;109560 987;109524 928;109562 914;109563 957
data,1241300100,328368.0;12246.0;143852.0;5432.0;306196.0;11289.0;330011.0;16529.0;1.01253589844;0.988604385675;1.34302697683,3503.0 49.0 109536;1504.0 63.0 109476;1064.0 32.0 109541;3768.0 111.0 109542;3740.0 145.0 109544;3230.0 69.0 109545;3016.0 135.0 109547;1303.0 46.0 109518;1088.0 42.0 109551;1164.0 38.0 109553;1671.0 49.0 109554;1550.0 40.0 109555;1270.0 54.0 109556;1423.0 37.0 109557;633.0 18.0 109558;1009.0 14.0 109559;860.0 23.0 109560;440.0 25.0 109561;358.0 9.0 109562;1031.0 28.0 109563;5585.0 242.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 1002;109476 945;109541 966;109542 936;109544 977;109545 893;109547 910;109518 971;109551 965;109553 948;109554 908;109555 1010;109556 970;109557 919;109558 969;109559 959;109560 939;109561 927;109562 961;109563 960;109524 965
data,1241300700,329358.0;12275.0;144130.0;5435.0;307103.0;11317.0;331004.0;16558.0;1.011793483;0.988767021537;1.34221272607,3515.0 49.0 109536;1518.0 63.0 109476;1081.0 32.0 109541;3786.0 111.0 109542;3755.0 145.0 109544;3247.0 69.0 109545;3024.0 135.0 109547;1316.0 47.0 109518;1104.0 42.0 109551;1173.0 39.0 109553;1683.0 49.0 109554;1562.0 40.0 109555;1282.0 54.0 109556;1432.0 37.0 109557;648.0 19.0 109558;1023.0 14.0 109559;870.0 23.0 109560;457.0 25.0 109561;369.0 9.0 109562;1039.0 28.0 109563;5604.0 242.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 938;109476 986;109541 956;109542 981;109544 967;109545 985;109547 937;109518 961;109551 992;109553 974;109554 913;109555 930;109556 983;109557 924;109558 910;109559 975;109560 950;109561 921;109562 971;109563 906;109524 940
data,1241301000,330349.0;12306.0;144419.0;5446.0;308087.0;11347.0;331921.0;16585.0;1.01230035526;0.988698254282;1.34133368548,3531.0 49.0 109536;1534.0 63.0 109476;1091.0 32.0 109541;3793.0 111.0 109542;3767.0 146.0 109544;3264.0 71.0 109545;3046.0 136.0 109547;1330.0 48.0 109518;1114.0 44.0 109551;1184.0 39.0 109553;1697.0 49.0 109554;1574.0 40.0 109555;1291.0 54.0 109556;1444.0 37.0 109557;663.0 19.0 109558;1040.0 14.0 109559;885.0 25.0 109560;473.0 25.0 109561;382.0 9.0 109562;1054.0 28.0 109563;5620.0 244.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 978;109476 911;109541 948;109542 970;109544 930;109545 1009;109547 972;109518 921;109551 924;109553 955;109554 933;109555 949;109556 930;109557 1005;109558 936;109559 982;109560 956;109561 943;109562 965;109563 924;109524 959
data,1241301300,331267.0;12336.0;144689.0;5460.0;309062.0;11380.0;332894.0;16617.0;1.01335342948;0.988781803157;1.34044952838,3547.0 50.0 109536;1544.0 63.0 109476;1108.0 32.0 109541;3813.0 113.0 109542;3779.0 147.0 109544;3279.0 71.0 109545;3061.0 137.0 109547;1341.0 48.0 109518;1129.0 44.0 109551;1196.0 39.0 109553;1708.0 51.0 109554;1588.0 40.0 109555;1304.0 55.0 109556;1456.0 38.0 109557;677.0 20.0 109558;482.0 26.0 109561;900.0 26.0 109560;5626.0 245.0 109524;397.0 10.0 109562;1061.0 28.0 109563;1051.0 14.0 109559,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 949;109476 973;109541 944;109542 961;109544 931;109545 981;109547 972;109518 913;109551 919;109553 944;109554 911;109555 1001;109556 949;109557 964;109558 956;109561 970;109560 922;109524 972;109562 961;109563 925;109559 982
data,1241301900,332281.0;12371.0;144956.0;5469.0;310010.0;11404.0;333831.0;16646.0;1.01338023363;0.98805747349;1.3393186882,3556.0 50.0 109536;1559.0 63.0 109476;1121.0 32.0 109541;3822.0 113.0 109542;3796.0 147.0 109544;3282.0 71.0 109545;3077.0 137.0 109547;1352.0 48.0 109518;1140.0 46.0 109551;1210.0 40.0 109553;1722.0 52.0 109554;1603.0 41.0 109555;5644.0 246.0 109524;1463.0 39.0 109557;688.0 20.0 109558;1061.0 14.0 109559;914.0 26.0 109560;498.0 28.0 109561;412.0 10.0 109562;1073.0 28.0 109563;1321.0 55.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 915;109476 973;109541 998;109542 947;109544 916;109545 982;109547 922;109518 992;109551 952;109553 941;109554 926;109555 948;109524 933;109557 946;109558 963;109559 943;109560 942;109561 950;109562 1025;109563 910;109556 976
data,1241302200,333225.0;12399.0;145276.0;5480.0;310919.0;11421.0;334785.0;16688.0;1.0137657197;0.987205999328;1.33964342366,3567.0 51.0 109536;1575.0 64.0 109476;1140.0 32.0 109541;3840.0 114.0 109542;3816.0 147.0 109544;3297.0 71.0 109545;3095.0 137.0 109547;1369.0 48.0 109518;1159.0 47.0 109551;1219.0 40.0 109553;1737.0 52.0 109554;1625.0 41.0 109555;1342.0 56.0 109556;1475.0 40.0 109557;693.0 20.0 109558;1077.0 14.0 109559;928.0 26.0 109560;511.0 29.0 109561;425.0 11.0 109562;1088.0 29.0 109563;5656.0 248.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 975;109476 940;109541 975;109542 944;109544 915;109545 911;109547 978;109518 944;109551 997;109553 869;109554 954;109555 1017;109556 991;109557 942;109558 966;109559 946;109560 945;109561 920;109562 916;109563 1015;109524 940
data,1241302500,334164.0;12428.0;145559.0;5491.0;311874.0;11442.0;335760.0;16731.0;1.01431020908;0.986463883099;1.33983512581,3579.0 51.0 109536;1592.0 64.0 109476;1154.0 33.0 109541;3849.0 114.0 109542;3828.0 147.0 109544;3312.0 72.0 109545;3115.0 137.0 109547;1386.0 49.0 109518;1172.0 48.0 109551;1235.0 42.0 109553;1749.0 53.0 109554;1636.0 41.0 109555;5673.0 249.0 109524;1488.0 40.0 109557;705.0 20.0 109558;1089.0 15.0 109559;941.0 27.0 109560;523.0 29.0 109561;436.0 11.0 109562;1097.0 29.0 109563;1358.0 57.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 980;109476 969;109541 962;109542 911;109544 966;109545 935;109547 979;109518 936;109551 977;109553 946;109554 914;109555 943;109524 968;109557 972;109558 957;109559 939;109560 959;109561 929;109562 1006;109563 911;109556 941
