data,1241739900,1526366.0;56271.0;1532446.0;71265.0;1429688.0;53345.0;1533840.0;81995.0;1.26143582235;1.01210716151;1.45004460329,1929.0 74.0 109696;1751.0 40.0 109697;1908.0 65.0 109698;2323.0 115.0 109699;2087.0 86.0 109700;919.0 23.0 109701;680.0 12.0 109702;11576.0 832.0 109703;3359.0 200.0 109704;764.0 22.0 109705;345.0 10.0 109706;22735.0 1060.0 109635;1768.0 64.0 109651;5943.0 57.0 109660;6204.0 148.0 109667;3116.0 129.0 109673;379.0 16.0 109675;6118.0 234.0 109683;4062.0 162.0 109689;2969.0 121.0 109690;16622.0 1311.0 109692;2578.0 89.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 962;109697 881;109698 955;109699 907;109700 900;109701 858;109702 901;109703 961;109704 920;109705 958;109706 894;109635 842;109651 890;109660 908;109667 884;109673 896;109675 942;109683 917;109689 886;109690 941;109692 899;109693 898
data,1241740200,1527301.0;56309.0;1533335.0;71319.0;1430644.0;53384.0;1534742.0;82037.0;1.26158064494;1.01210682959;1.44984379253,1946.0 75.0 109696;1762.0 40.0 109697;1926.0 65.0 109698;2343.0 115.0 109699;2110.0 86.0 109700;940.0 23.0 109701;695.0 12.0 109702;11947.0 861.0 109703;3395.0 203.0 109704;776.0 23.0 109705;360.0 10.0 109706;22790.0 1064.0 109635;1779.0 64.0 109651;5955.0 57.0 109660;6215.0 148.0 109667;3162.0 130.0 109673;396.0 16.0 109675;6136.0 234.0 109683;4071.0 162.0 109689;2982.0 124.0 109690;16725.0 1319.0 109692;2613.0 93.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 904;109697 894;109698 930;109699 914;109700 900;109701 929;109702 891;109703 920;109704 934;109705 874;109706 937;109635 900;109651 886;109660 938;109667 861;109673 925;109675 930;109683 919;109689 888;109690 938;109692 889;109693 899
data,1241740500,1528196.0;56331.0;1534258.0;71361.0;1431537.0;53418.0;1535611.0;82082.0;1.26181047502;1.01231726538;1.45010120369,1962.0 75.0 109696;1773.0 41.0 109697;1938.0 65.0 109698;2357.0 115.0 109699;2126.0 88.0 109700;956.0 23.0 109701;708.0 12.0 109702;12328.0 884.0 109703;3441.0 205.0 109704;792.0 23.0 109705;366.0 10.0 109706;22852.0 1066.0 109635;1795.0 65.0 109651;5971.0 57.0 109660;6231.0 148.0 109667;3194.0 131.0 109673;413.0 16.0 109675;6156.0 234.0 109683;4081.0 162.0 109689;3027.0 127.0 109690;16833.0 1325.0 109692;2647.0 94.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 931;109697 910;109698 948;109699 913;109700 916;109701 932;109702 923;109703 887;109704 885;109705 923;109706 910;109635 932;109651 878;109660 878;109667 897;109673 901;109675 958;109683 970;109689 883;109690 881;109692 850;109693 894
data,1241740800,1529102.0;56355.0;1535210.0;71404.0;1432378.0;53441.0;1536540.0;82121.0;1.2619982507;1.01232727083;1.45015478822,1984.0 77.0 109696;1788.0 41.0 109697;1956.0 65.0 109698;2393.0 118.0 109699;2142.0 89.0 109700;963.0 23.0 109701;721.0 12.0 109702;12720.0 905.0 109703;3469.0 207.0 109704;806.0 23.0 109705;384.0 11.0 109706;22890.0 1067.0 109635;1808.0 65.0 109651;5983.0 57.0 109660;6241.0 148.0 109667;3232.0 134.0 109673;433.0 16.0 109675;6176.0 234.0 109683;4094.0 163.0 109689;3052.0 127.0 109690;16970.0 1332.0 109692;2694.0 95.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 921;109697 912;109698 926;109699 929;109700 887;109701 824;109702 892;109703 940;109704 869;109705 940;109706 949;109635 917;109651 925;109660 873;109667 862;109673 919;109675 915;109683 947;109689 888;109690 932;109692 946;109693 887
data,1241741100,1530068.0;56377.0;1536125.0;71442.0;1433308.0;53480.0;1537479.0;82171.0;1.26222220842;1.01265297775;1.45050139257,2009.0 80.0 109696;1801.0 41.0 109697;1964.0 65.0 109698;2415.0 118.0 109699;2159.0 90.0 109700;976.0 24.0 109701;740.0 12.0 109702;13099.0 919.0 109703;3513.0 209.0 109704;817.0 24.0 109705;403.0 11.0 109706;22952.0 1071.0 109635;1820.0 66.0 109651;5997.0 57.0 109660;6254.0 148.0 109667;3260.0 135.0 109673;439.0 16.0 109675;6187.0 234.0 109683;4106.0 163.0 109689;3076.0 127.0 109690;17104.0 1341.0 109692;2723.0 96.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 935;109697 889;109698 909;109699 910;109700 946;109701 900;109702 908;109703 962;109704 910;109705 855;109706 912;109635 928;109651 909;109660 875;109667 907;109673 908;109675 819;109683 929;109689 906;109690 922;109692 928;109693 933
data,1241741400,1530960.0;56402.0;1537044.0;71476.0;1434243.0;53509.0;1538406.0;82220.0;1.26224389788;1.01268280405;1.45069410758,2027.0 80.0 109696;1807.0 41.0 109697;1973.0 65.0 109698;2435.0 118.0 109699;2168.0 90.0 109700;991.0 24.0 109701;761.0 12.0 109702;13444.0 937.0 109703;3563.0 209.0 109704;837.0 24.0 109705;411.0 13.0 109706;23028.0 1073.0 109635;1838.0 67.0 109651;6007.0 57.0 109660;6262.0 149.0 109667;3283.0 135.0 109673;449.0 17.0 109675;6197.0 234.0 109683;4123.0 163.0 109689;3092.0 128.0 109690;17286.0 1349.0 109692;2751.0 96.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 913;109698 914;109699 964;109700 909;109701 885;109702 949;109703 891;109704 898;109705 871;109706 890;109635 892;109651 926;109660 876;109667 929;109673 858;109675 932;109683 993;109689 900;109690 891;109692 903;109693 904
data,1241741700,1531831.0;56432.0;1537963.0;71520.0;1435167.0;53538.0;1539311.0;82265.0;1.26231292846;1.01261677008;1.45068840893,2047.0 80.0 109696;1821.0 41.0 109697;1987.0 65.0 109698;2453.0 119.0 109699;2182.0 90.0 109700;1007.0 25.0 109701;777.0 12.0 109702;13862.0 967.0 109703;3607.0 212.0 109704;846.0 24.0 109705;425.0 13.0 109706;23063.0 1074.0 109635;1854.0 68.0 109651;6013.0 57.0 109660;6268.0 149.0 109667;3304.0 135.0 109673;458.0 17.0 109675;6217.0 235.0 109683;4134.0 163.0 109689;3114.0 128.0 109690;17434.0 1354.0 109692;2779.0 97.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 890;109697 889;109698 945;109699 863;109700 923;109701 919;109702 955;109703 929;109704 905;109705 881;109706 877;109635 905;109651 915;109660 906;109667 863;109673 927;109675 939;109683 915;109689 905;109690 910;109692 938;109693 901
data,1241742000,1532741.0;56465.0;1538851.0;71562.0;1436096.0;53564.0;1540273.0;82319.0;1.26233708397;1.01246255697;1.45074748277,2068.0 80.0 109696;1833.0 42.0 109697;1998.0 65.0 109698;2473.0 119.0 109699;2196.0 91.0 109700;1014.0 25.0 109701;788.0 14.0 109702;14269.0 986.0 109703;3639.0 213.0 109704;860.0 25.0 109705;434.0 13.0 109706;23098.0 1076.0 109635;1869.0 68.0 109651;6024.0 57.0 109660;6282.0 149.0 109667;3332.0 137.0 109673;472.0 18.0 109675;6233.0 237.0 109683;4150.0 164.0 109689;3132.0 128.0 109690;17582.0 1363.0 109692;2794.0 97.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 937;109698 951;109699 863;109700 862;109701 944;109702 899;109703 895;109704 946;109705 915;109706 894;109635 901;109651 896;109660 922;109667 898;109673 890;109675 878;109683 885;109689 941;109690 918;109692 949;109693 897
data,1241742300,1533646.0;56498.0;1539760.0;71600.0;1436973.0;53591.0;1541175.0;82350.0;1.26226936164;1.01236076404;1.45045313121,2090.0 82.0 109696;1851.0 42.0 109697;2014.0 65.0 109698;2491.0 121.0 109699;2209.0 91.0 109700;1028.0 25.0 109701;802.0 15.0 109702;14736.0 1010.0 109703;3668.0 213.0 109704;870.0 25.0 109705;444.0 15.0 109706;23115.0 1076.0 109635;1885.0 68.0 109651;6036.0 57.0 109660;6293.0 149.0 109667;3353.0 137.0 109673;485.0 18.0 109675;6248.0 237.0 109683;4168.0 165.0 109689;3141.0 128.0 109690;17716.0 1368.0 109692;2806.0 98.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 913;109697 880;109698 933;109699 918;109700 902;109701 924;109702 904;109703 951;109704 926;109705 900;109706 915;109635 893;109651 911;109660 950;109667 942;109673 911;109675 879;109683 870;109689 888;109690 953;109692 879;109693 858
data,1241742600,1534626.0;56528.0;1540665.0;71643.0;1437851.0;53618.0;1542077.0;82398.0;1.26242177959;1.01236158788;1.45060624385,2114.0 82.0 109696;1861.0 42.0 109697;2024.0 65.0 109698;2511.0 121.0 109699;2225.0 92.0 109700;1043.0 25.0 109701;817.0 15.0 109702;15221.0 1040.0 109703;3686.0 214.0 109704;883.0 25.0 109705;450.0 15.0 109706;23145.0 1080.0 109635;1899.0 68.0 109651;6048.0 57.0 109660;6299.0 149.0 109667;3376.0 137.0 109673;496.0 19.0 109675;6258.0 237.0 109683;4180.0 166.0 109689;3158.0 128.0 109690;17836.0 1372.0 109692;2824.0 99.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 930;109697 910;109698 942;109699 854;109700 891;109701 935;109702 962;109703 894;109704 921;109705 919;109706 906;109635 856;109651 851;109660 880;109667 876;109673 953;109675 891;109683 937;109689 923;109690 958;109692 882;109693 929
data,1241742900,1535596.0;56562.0;1541566.0;71685.0;1438773.0;53644.0;1542982.0;82441.0;1.26246219288;1.01223439279;1.45055635495,2126.0 82.0 109696;1874.0 42.0 109697;2039.0 65.0 109698;2527.0 122.0 109699;2240.0 93.0 109700;1062.0 25.0 109701;826.0 15.0 109702;15663.0 1057.0 109703;3713.0 216.0 109704;895.0 25.0 109705;459.0 16.0 109706;23192.0 1082.0 109635;1910.0 69.0 109651;6059.0 57.0 109660;6313.0 149.0 109667;3394.0 139.0 109673;512.0 21.0 109675;6272.0 238.0 109683;4192.0 167.0 109689;3172.0 129.0 109690;17969.0 1382.0 109692;2846.0 99.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 883;109698 931;109699 920;109700 937;109701 862;109702 900;109703 882;109704 899;109705 924;109706 855;109635 863;109651 884;109660 903;109667 933;109673 956;109675 1008;109683 888;109689 897;109690 952;109692 879;109693 912
