data,1242005400,2110947.0;75128.0;2115957.0;93384.0;1983327.0;71236.0;2112307.0;106963.0;1.24005553932;1.00920804304;1.42282680653,16938.0 708.0 109762;7023.0 227.0 109731;2149.0 92.0 109780;2663.0 80.0 109765;10705.0 400.0 109763;80.0 7.0 109730;4917.0 147.0 109769;2252.0 34.0 109770;2337.0 56.0 109771;13072.0 535.0 109740;2546.0 80.0 109773;1970.0 88.0 109774;8789.0 442.0 109775;1865.0 56.0 109776;1219.0 26.0 109777;1544.0 43.0 109778;1480.0 55.0 109779;15875.0 639.0 109684;1326.0 55.0 109782;183.0 6.0 109783;10040.0 236.0 109745,109730.0 2003;109731.0 2003;109765.0 2003;109763.0 2003;109777.0 2003;109762.0 2003;109769.0 2003;109770.0 2003;109771.0 2003;109740.0 2003;109773.0 2003;109774.0 2003;109775.0 2003;109776.0 2003;109745.0 2003;109778.0 2003;109779.0 2003;109780.0 2003;109782.0 2003;109783.0 2003;109684.0 2003,109762 92;109731 102;109780 94;109765 91;109763 111;109730 93;109769 92;109770 106;109771 92;109740 94;109773 92;109774 102;109775 83;109776 88;109777 97;109778 76;109779 98;109684 105;109782 103;109783 106;109745 86
data,1242005400,2111819.0;75157.0;2116867.0;93415.0;1984200.0;71262.0;2113217.0;106992.0;1.23996749926;1.00915951223;1.42263820239,16982.0 708.0 109762;7072.0 230.0 109731;2720.0 82.0 109765;1514.0 56.0 109779;10080.0 237.0 109745;4973.0 148.0 109769;2295.0 35.0 109770;2382.0 57.0 109771;13101.0 535.0 109740;127.0 9.0 109730;2010.0 89.0 109774;2595.0 82.0 109773;1904.0 58.0 109776;1255.0 26.0 109777;1603.0 47.0 109778;10744.0 403.0 109763;15928.0 642.0 109684;1368.0 55.0 109782;227.0 7.0 109783;2176.0 93.0 109780;8827.0 444.0 109775,109730.0 17997;109731.0 17997;109765.0 17997;109763.0 17997;109777.0 17997;109762.0 17997;109769.0 17997;109770.0 17997;109771.0 17997;109740.0 17997;109773.0 17997;109774.0 17997;109775.0 17997;109776.0 17997;109745.0 17997;109778.0 17997;109779.0 17997;109780.0 17997;109782.0 17997;109783.0 17997;109684.0 17997,109762 821;109731 838;109765 866;109779 871;109745 902;109769 899;109770 837;109771 828;109740 868;109730 901;109774 866;109773 858;109776 857;109777 867;109778 849;109763 882;109684 840;109782 846;109783 805;109780 855;109775 841
data,1242005700,2112790.0;75185.0;2117791.0;93454.0;1985182.0;71303.0;2114180.0;107039.0;1.24005207943;1.0093286538;1.42273891828,17020.0 710.0 109762;10808.0 406.0 109763;7117.0 231.0 109731;1272.0 26.0 109777;5012.0 148.0 109769;2333.0 35.0 109770;2415.0 57.0 109771;13153.0 538.0 109740;168.0 10.0 109730;2050.0 95.0 109774;2633.0 82.0 109773;1969.0 64.0 109776;10111.0 237.0 109745;1656.0 48.0 109778;1546.0 57.0 109779;15968.0 643.0 109684;1427.0 59.0 109782;280.0 10.0 109783;2216.0 95.0 109780;8882.0 447.0 109775;2771.0 84.0 109765,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 968;109731 927;109777 921;109769 960;109770 945;109771 927;109740 950;109730 911;109774 914;109773 1017;109776 952;109745 945;109778 938;109779 936;109684 969;109782 979;109783 984;109780 953;109775 976;109765 977
data,1242006000,2113756.0;75218.0;2118759.0;93492.0;1986115.0;71332.0;2115116.0;107082.0;1.24001221079;1.00928328594;1.42270662961,10147.0 239.0 109745;17056.0 712.0 109762;7160.0 231.0 109731;2810.0 86.0 109765;10859.0 407.0 109763;209.0 12.0 109730;5037.0 148.0 109769;2357.0 36.0 109770;2446.0 59.0 109771;13190.0 538.0 109740;2658.0 82.0 109773;2143.0 100.0 109774;8911.0 447.0 109775;2098.0 74.0 109776;1299.0 26.0 109777;1731.0 52.0 109778;1574.0 57.0 109779;16028.0 646.0 109684;1484.0 62.0 109782;324.0 11.0 109783;2254.0 95.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109745 961;109762 969;109731 970;109765 964;109763 968;109730 994;109769 956;109770 941;109771 987;109740 972;109773 950;109774 957;109775 962;109776 961;109777 949;109778 896;109779 963;109684 948;109782 920;109783 910;109780 902
data,1242006600,2114683.0;75258.0;2119746.0;93535.0;1987069.0;71364.0;2116100.0;107127.0;1.23988934386;1.00915723428;1.42251009529,17102.0 714.0 109762;10910.0 409.0 109763;2845.0 86.0 109765;10176.0 239.0 109745;5052.0 148.0 109769;2398.0 39.0 109770;2477.0 59.0 109771;13222.0 538.0 109740;2676.0 82.0 109773;2266.0 108.0 109774;8965.0 449.0 109775;2224.0 77.0 109776;1321.0 27.0 109777;1781.0 55.0 109778;1609.0 60.0 109779;16098.0 651.0 109684;1567.0 68.0 109782;355.0 11.0 109783;2285.0 97.0 109780;7184.0 232.0 109731;249.0 14.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 967;109763 950;109765 961;109745 930;109769 937;109770 951;109771 937;109740 970;109773 968;109774 975;109775 972;109776 960;109777 961;109778 878;109779 991;109684 924;109782 990;109783 963;109780 967;109731 912;109730 936
data,1242006900,2115677.0;75303.0;2120694.0;93583.0;1988064.0;71398.0;2117081.0;107170.0;1.23981258944;1.00900372997;1.42223984824,17170.0 718.0 109762;7211.0 232.0 109731;2320.0 99.0 109780;2864.0 86.0 109765;10961.0 415.0 109763;298.0 18.0 109730;5066.0 148.0 109769;2453.0 42.0 109770;2497.0 59.0 109771;13237.0 538.0 109740;2691.0 83.0 109773;2401.0 116.0 109774;9000.0 450.0 109775;2336.0 82.0 109776;1342.0 28.0 109777;1836.0 57.0 109778;1640.0 61.0 109779;16147.0 653.0 109684;1664.0 74.0 109782;369.0 11.0 109783;10207.0 241.0 109745,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109731 989;109780 941;109765 932;109763 931;109730 995;109769 959;109770 1000;109771 948;109740 941;109773 947;109774 1001;109775 972;109776 941;109777 899;109778 963;109779 964;109684 905;109782 964;109783 945;109745 912
data,1242007200,2116691.0;75339.0;2121686.0;93631.0;1989012.0;71438.0;2118009.0;107221.0;1.2398700315;1.00908905571;1.42229493682,17224.0 721.0 109762;11053.0 420.0 109763;2881.0 87.0 109765;392.0 23.0 109730;5082.0 148.0 109769;2487.0 44.0 109770;2519.0 60.0 109771;13246.0 538.0 109740;2706.0 84.0 109773;2563.0 128.0 109774;9028.0 450.0 109775;2402.0 82.0 109776;10237.0 244.0 109745;1877.0 58.0 109778;1675.0 64.0 109779;16195.0 653.0 109684;1802.0 84.0 109782;392.0 11.0 109783;2350.0 99.0 109780;7228.0 232.0 109731;1363.0 29.0 109777,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 982;109763 930;109765 1011;109730 1024;109769 932;109770 929;109771 920;109740 919;109773 953;109774 939;109775 942;109776 965;109745 926;109778 893;109779 966;109684 965;109782 1001;109783 956;109780 951;109731 949;109777 947
data,1242007500,2117663.0;75375.0;2122644.0;93660.0;1989918.0;71454.0;2118990.0;107264.0;1.23967120777;1.00883673672;1.42218012345,17276.0 722.0 109762;11149.0 425.0 109763;2902.0 87.0 109765;1708.0 64.0 109779;1374.0 29.0 109777;1913.0 58.0 109778;5090.0 148.0 109769;2526.0 44.0 109770;2539.0 60.0 109771;13263.0 539.0 109740;471.0 26.0 109730;2742.0 136.0 109774;9060.0 451.0 109775;2447.0 83.0 109776;10274.0 244.0 109745;2720.0 85.0 109773;7247.0 233.0 109731;2378.0 99.0 109780;1938.0 88.0 109782;407.0 11.0 109783;16236.0 656.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 995;109765 986;109779 975;109777 959;109778 963;109769 948;109770 928;109771 886;109740 928;109730 948;109774 977;109775 939;109776 951;109745 973;109773 951;109731 938;109780 952;109782 976;109783 935;109684 941
data,1242007800,2118595.0;75404.0;2123626.0;93691.0;1990861.0;71486.0;2119938.0;107316.0;1.23957668407;1.00886630183;1.42231200385,546.0 29.0 109730;7267.0 233.0 109731;2917.0 87.0 109765;1743.0 65.0 109779;10304.0 244.0 109745;1945.0 58.0 109778;5107.0 149.0 109769;2556.0 44.0 109770;2557.0 60.0 109771;13283.0 540.0 109740;17347.0 726.0 109762;2954.0 145.0 109774;9076.0 451.0 109775;2487.0 84.0 109776;1386.0 29.0 109777;2734.0 85.0 109773;11248.0 428.0 109763;16286.0 658.0 109684;2069.0 91.0 109782;420.0 11.0 109783;2410.0 102.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 970;109731 983;109765 924;109779 911;109745 945;109778 991;109769 917;109770 948;109771 941;109740 985;109762 943;109774 951;109775 988;109776 897;109777 961;109773 983;109763 919;109684 967;109782 993;109783 929;109780 954
data,1242008100,2119567.0;75442.0;2124608.0;93723.0;1991799.0;71525.0;2120928.0;107353.0;1.23937098659;1.00889579641;1.42207406424,17417.0 728.0 109762;11385.0 435.0 109763;2933.0 88.0 109765;1781.0 67.0 109779;1401.0 30.0 109777;5122.0 149.0 109769;2579.0 44.0 109770;2566.0 60.0 109771;13301.0 541.0 109740;2750.0 85.0 109773;3186.0 156.0 109774;9093.0 451.0 109775;2514.0 84.0 109776;10329.0 244.0 109745;1974.0 59.0 109778;7286.0 234.0 109731;16340.0 659.0 109684;2163.0 92.0 109782;432.0 11.0 109783;2450.0 104.0 109780;622.0 30.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 891;109763 968;109765 911;109779 964;109777 942;109769 980;109770 971;109771 900;109740 910;109773 977;109774 989;109775 977;109776 941;109745 950;109778 964;109731 959;109684 1004;109782 985;109783 944;109780 931;109730 942
data,1242008400,2120491.0;75474.0;2125555.0;93759.0;1992738.0;71559.0;2121857.0;107395.0;1.23930923401;1.00891162552;1.42202429588,670.0 31.0 109730;7298.0 234.0 109731;2950.0 88.0 109765;11523.0 437.0 109763;10346.0 244.0 109745;17485.0 729.0 109762;5134.0 149.0 109769;2591.0 44.0 109770;2582.0 62.0 109771;13319.0 542.0 109740;2758.0 85.0 109773;3424.0 165.0 109774;9114.0 453.0 109775;2539.0 84.0 109776;1413.0 30.0 109777;1983.0 59.0 109778;1824.0 67.0 109779;2514.0 108.0 109780;2242.0 94.0 109782;440.0 11.0 109783;16422.0 671.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 902;109731 925;109765 987;109763 1028;109745 939;109762 972;109769 951;109770 957;109771 888;109740 968;109773 915;109774 943;109775 973;109776 960;109777 934;109778 973;109779 947;109780 953;109782 1001;109783 908;109684 976
