data,1241490600,809586.0;28696.0;814327.0;34612.0;762778.0;27274.0;813605.0;38894.0;1.19913888477;1.00877033691;1.34868530864,6309.0 300.0 109594;4421.0 201.0 109596;14778.0 825.0 109597;6618.0 346.0 109598;3877.0 171.0 109599;2292.0 60.0 109600;1683.0 48.0 109601;9255.0 559.0 109602;4068.0 213.0 109603;20232.0 679.0 109476;16928.0 1171.0 109605;1523.0 40.0 109606;2667.0 123.0 109608;2109.0 100.0 109609;906.0 32.0 109610;241.0 12.0 109611;117.0 8.0 109612;674.0 9.0 109613;764.0 40.0 109614;2197.0 118.0 109615;2432.0 157.0 109617;58.0 2.0 109618;16905.0 625.0 109517,109594.0 1314;109596.0 1314;109597.0 1314;109598.0 1314;109599.0 1314;109600.0 1314;109601.0 1314;109602.0 1314;109603.0 1314;109476.0 1314;109605.0 1314;109606.0 1314;109608.0 1314;109609.0 1314;109610.0 1314;109611.0 1314;109612.0 1314;109613.0 1314;109614.0 1314;109615.0 1314;109617.0 1314;109618.0 1314;109517.0 1314,109594 64;109596 42;109597 61;109598 75;109599 58;109600 49;109601 58;109602 55;109603 69;109476 35;109605 44;109606 58;109608 52;109609 63;109610 73;109611 66;109612 67;109613 41;109614 68;109615 59;109617 52;109618 49;109517 56
data,1241490900,810367.0;28730.0;815139.0;34661.0;763601.0;27310.0;814394.0;38934.0;1.19937650573;1.0087913111;1.34846780005,6355.0 306.0 109594;4460.0 202.0 109596;14809.0 826.0 109597;6657.0 347.0 109598;3919.0 173.0 109599;2323.0 61.0 109600;1709.0 49.0 109601;9302.0 566.0 109602;4119.0 217.0 109603;20261.0 679.0 109476;16982.0 1177.0 109605;1554.0 42.0 109606;2693.0 123.0 109608;2140.0 101.0 109609;944.0 34.0 109610;272.0 14.0 109611;144.0 9.0 109612;703.0 9.0 109613;808.0 46.0 109614;2232.0 120.0 109615;2463.0 160.0 109617;84.0 2.0 109618;16933.0 625.0 109517,109594.0 18686;109596.0 18686;109597.0 18686;109598.0 18686;109599.0 18686;109600.0 18686;109601.0 18686;109602.0 18686;109603.0 18686;109476.0 18686;109605.0 18686;109606.0 18686;109608.0 18686;109609.0 18686;109610.0 18686;109611.0 18686;109612.0 18686;109613.0 18686;109614.0 18686;109615.0 18686;109617.0 18686;109618.0 18686;109517.0 18686,109594 787;109596 812;109597 834;109598 793;109599 885;109600 816;109601 791;109602 795;109603 771;109476 860;109605 809;109606 870;109608 812;109609 773;109610 800;109611 820;109612 805;109613 825;109614 814;109615 849;109617 794;109618 794;109517 777
data,1241491200,811215.0;28769.0;815975.0;34694.0;764494.0;27346.0;815280.0;38991.0;1.19891592105;1.00862780084;1.34855539672,6408.0 306.0 109594;4483.0 203.0 109596;14844.0 827.0 109597;6685.0 348.0 109598;3964.0 174.0 109599;2341.0 61.0 109600;1729.0 49.0 109601;9368.0 568.0 109602;4166.0 220.0 109603;20282.0 679.0 109476;17049.0 1182.0 109605;1589.0 42.0 109606;2717.0 125.0 109608;2176.0 102.0 109609;974.0 34.0 109610;318.0 17.0 109611;166.0 9.0 109612;727.0 9.0 109613;879.0 52.0 109614;2268.0 124.0 109615;2508.0 162.0 109617;104.0 2.0 109618;16957.0 626.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 876;109596 851;109597 938;109598 863;109599 855;109600 869;109601 821;109602 894;109603 871;109476 836;109605 895;109606 841;109608 863;109609 867;109610 829;109611 847;109612 904;109613 852;109614 848;109615 879;109617 927;109618 892;109517 882
data,1241491500,812078.0;28811.0;816895.0;34744.0;765358.0;27377.0;816161.0;39046.0;1.1988172714;1.00823238385;1.34846638398,6439.0 307.0 109594;4506.0 204.0 109596;14871.0 828.0 109597;6734.0 352.0 109598;3991.0 176.0 109599;2356.0 61.0 109600;1747.0 49.0 109601;9434.0 574.0 109602;4253.0 227.0 109603;20297.0 679.0 109476;17127.0 1185.0 109605;1613.0 42.0 109606;2744.0 125.0 109608;2211.0 104.0 109609;1008.0 34.0 109610;354.0 18.0 109611;187.0 11.0 109612;749.0 9.0 109613;978.0 62.0 109614;2325.0 127.0 109615;2578.0 167.0 109617;135.0 4.0 109618;16985.0 626.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 899;109596 842;109597 886;109598 881;109599 882;109600 835;109601 863;109602 833;109603 884;109476 868;109605 866;109606 897;109608 903;109609 887;109610 859;109611 848;109612 853;109613 838;109614 901;109615 878;109617 879;109618 856;109517 862
data,1241491500,812968.0;28847.0;817802.0;34793.0;766278.0;27417.0;817043.0;39093.0;1.19899260763;1.0083385514;1.34842526975,6465.0 308.0 109594;4524.0 205.0 109596;14913.0 833.0 109597;6800.0 358.0 109598;4034.0 177.0 109599;2374.0 62.0 109600;1780.0 52.0 109601;9499.0 577.0 109602;4317.0 230.0 109603;20315.0 679.0 109476;17176.0 1187.0 109605;1644.0 44.0 109606;2758.0 125.0 109608;2247.0 108.0 109609;1024.0 34.0 109610;380.0 18.0 109611;210.0 12.0 109612;759.0 9.0 109613;1154.0 74.0 109614;2367.0 128.0 109615;2631.0 169.0 109617;164.0 5.0 109618;16994.0 626.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 850;109596 841;109597 891;109598 894;109599 883;109600 852;109601 863;109602 839;109603 851;109476 857;109605 844;109606 833;109608 861;109609 867;109610 895;109611 931;109612 901;109613 838;109614 910;109615 909;109617 855;109618 903;109517 832
data,1241491800,813809.0;28869.0;818669.0;34834.0;767105.0;27455.0;817957.0;39153.0;1.1994599457;1.008921513;1.34935219208,6493.0 309.0 109594;4544.0 205.0 109596;14961.0 835.0 109597;6869.0 359.0 109598;4052.0 177.0 109599;2383.0 62.0 109600;1799.0 52.0 109601;9605.0 585.0 109602;4391.0 236.0 109603;20322.0 679.0 109476;17238.0 1190.0 109605;1663.0 44.0 109606;2779.0 125.0 109608;2273.0 108.0 109609;1044.0 35.0 109610;406.0 18.0 109611;235.0 14.0 109612;772.0 9.0 109613;1302.0 87.0 109614;2410.0 129.0 109615;2678.0 172.0 109617;170.0 5.0 109618;17007.0 626.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 815;109596 809;109597 857;109598 867;109599 893;109600 863;109601 852;109602 942;109603 892;109476 849;109605 848;109606 875;109608 872;109609 824;109610 987;109611 908;109612 880;109613 884;109614 884;109615 835;109617 846;109618 877;109517 841
data,1241492100,814611.0;28900.0;819547.0;34885.0;767975.0;27492.0;818836.0;39209.0;1.19982329571;1.00904766116;1.34971248574,6534.0 313.0 109594;4553.0 205.0 109596;14994.0 837.0 109597;6911.0 359.0 109598;4070.0 178.0 109599;2391.0 62.0 109600;1822.0 53.0 109601;9711.0 597.0 109602;4468.0 241.0 109603;20329.0 679.0 109476;17267.0 1191.0 109605;1680.0 44.0 109606;2794.0 125.0 109608;2316.0 113.0 109609;1062.0 35.0 109610;422.0 19.0 109611;256.0 15.0 109612;785.0 9.0 109613;1531.0 100.0 109614;2432.0 129.0 109615;2744.0 176.0 109617;187.0 5.0 109618;17015.0 627.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 895;109596 838;109597 873;109598 934;109599 865;109600 879;109601 879;109602 894;109603 878;109476 867;109605 878;109606 882;109608 857;109609 858;109610 827;109611 809;109612 881;109613 862;109614 879;109615 851;109617 892;109618 877;109517 845
data,1241492400,815498.0;28938.0;820406.0;34940.0;768893.0;27531.0;819649.0;39258.0;1.20018573537;1.00904484329;1.34975406872,6586.0 316.0 109594;4567.0 206.0 109596;15039.0 841.0 109597;6930.0 359.0 109598;4077.0 178.0 109599;2404.0 62.0 109600;1837.0 53.0 109601;9880.0 608.0 109602;4515.0 241.0 109603;20342.0 679.0 109476;17299.0 1193.0 109605;1701.0 45.0 109606;2802.0 125.0 109608;2378.0 119.0 109609;1077.0 35.0 109610;441.0 22.0 109611;281.0 17.0 109612;794.0 9.0 109613;1718.0 119.0 109614;2450.0 131.0 109615;2780.0 177.0 109617;204.0 5.0 109618;17031.0 627.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 856;109596 859;109597 904;109598 885;109599 886;109600 863;109601 906;109602 816;109603 869;109476 845;109605 884;109606 870;109608 894;109609 868;109610 879;109611 867;109612 900;109613 852;109614 836;109615 854;109617 868;109618 867;109517 872
data,1241492700,816369.0;28983.0;821325.0;34979.0;769723.0;27572.0;820513.0;39299.0;1.19959739822;1.00896702764;1.34908465114,6617.0 317.0 109594;4582.0 206.0 109596;15087.0 843.0 109597;6948.0 360.0 109598;4101.0 180.0 109599;2425.0 62.0 109600;1852.0 53.0 109601;10037.0 616.0 109602;4553.0 243.0 109603;20356.0 679.0 109476;17332.0 1196.0 109605;1711.0 45.0 109606;2807.0 125.0 109608;2434.0 119.0 109609;1088.0 35.0 109610;487.0 23.0 109611;313.0 19.0 109612;804.0 9.0 109613;1931.0 129.0 109614;2481.0 131.0 109615;2853.0 183.0 109617;214.0 5.0 109618;17039.0 628.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 877;109596 888;109597 868;109598 869;109599 874;109600 880;109601 857;109602 845;109603 833;109476 847;109605 845;109606 898;109608 865;109609 857;109610 906;109611 893;109612 857;109613 905;109614 849;109615 884;109617 838;109618 876;109517 889
data,1241493300,817253.0;29030.0;822182.0;35022.0;770595.0;27606.0;821379.0;39355.0;1.1991747263;1.00852526998;1.34885668673,6645.0 317.0 109594;4593.0 207.0 109596;15123.0 844.0 109597;6965.0 360.0 109598;4122.0 180.0 109599;2437.0 62.0 109600;1867.0 56.0 109601;10184.0 626.0 109602;4597.0 247.0 109603;20365.0 679.0 109476;17374.0 1198.0 109605;1728.0 45.0 109606;2819.0 125.0 109608;2466.0 121.0 109609;1101.0 36.0 109610;512.0 23.0 109611;341.0 20.0 109612;811.0 9.0 109613;2152.0 142.0 109614;2498.0 131.0 109615;2925.0 187.0 109617;228.0 6.0 109618;17056.0 628.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 917;109596 896;109597 851;109598 821;109599 874;109600 905;109601 860;109602 832;109603 859;109476 837;109605 960;109606 859;109608 884;109609 879;109610 861;109611 878;109612 834;109613 871;109614 842;109615 848;109617 930;109618 829;109517 873
data,1241493600,818090.0;29069.0;823092.0;35083.0;771456.0;27642.0;822217.0;39395.0;1.19955270663;1.00839177268;1.34842142703,6679.0 319.0 109594;4604.0 207.0 109596;15181.0 850.0 109597;6975.0 360.0 109598;4139.0 182.0 109599;2451.0 62.0 109600;1883.0 56.0 109601;10341.0 637.0 109602;4648.0 249.0 109603;20372.0 680.0 109476;17424.0 1201.0 109605;1744.0 45.0 109606;2830.0 125.0 109608;2522.0 126.0 109609;1112.0 37.0 109610;527.0 24.0 109611;362.0 21.0 109612;822.0 9.0 109613;2373.0 159.0 109614;2523.0 133.0 109615;3003.0 193.0 109617;235.0 6.0 109618;17069.0 629.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 818;109596 887;109597 916;109598 870;109599 873;109600 847;109601 871;109602 919;109603 903;109476 806;109605 822;109606 903;109608 857;109609 875;109610 859;109611 838;109612 901;109613 894;109614 872;109615 916;109617 845;109618 886;109517 822
