data,1241752500,1559774.0;57390.0;1572066.0;73853.0;1467223.0;54887.0;1571317.0;82475.0;1.27679983697;1.016714037;1.42654004395,3140.0 104.0 109696;2468.0 63.0 109697;2713.0 88.0 109698;8086.0 445.0 109699;4227.0 181.0 109700;1979.0 59.0 109701;1464.0 26.0 109702;21277.0 1339.0 109703;4917.0 259.0 109704;1997.0 79.0 109706;538.0 14.0 109707;1770.0 96.0 109708;866.0 47.0 109709;596.0 24.0 109710;26918.0 1280.0 109635;2629.0 77.0 109651;6811.0 83.0 109660;6578.0 131.0 109667;4242.0 172.0 109673;1949.0 81.0 109675;6599.0 254.0 109683;4994.0 177.0 109689;4088.0 151.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 863;109697 850;109698 848;109699 904;109700 832;109701 878;109702 874;109703 868;109704 905;109706 872;109707 837;109708 840;109709 843;109710 831;109635 854;109651 900;109660 883;109667 827;109673 863;109675 938;109683 920;109689 877;109690 893
data,1241752800,1560602.0;57427.0;1572953.0;73895.0;1468103.0;54919.0;1572221.0;82498.0;1.27666025268;1.01658131856;1.42595512094,3199.0 107.0 109696;2480.0 63.0 109697;2728.0 88.0 109698;8247.0 452.0 109699;4262.0 182.0 109700;2035.0 61.0 109701;1471.0 26.0 109702;21450.0 1352.0 109703;4951.0 261.0 109704;2003.0 79.0 109706;552.0 14.0 109707;1794.0 97.0 109708;976.0 54.0 109709;630.0 26.0 109710;26950.0 1282.0 109635;2641.0 77.0 109651;6821.0 83.0 109660;6595.0 131.0 109667;4250.0 172.0 109673;1970.0 82.0 109675;6614.0 255.0 109683;5007.0 177.0 109689;4107.0 151.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 895;109697 868;109698 850;109699 832;109700 869;109701 861;109702 802;109703 874;109704 839;109706 877;109707 895;109708 914;109709 842;109710 928;109635 870;109651 867;109660 823;109667 862;109673 913;109675 903;109683 867;109689 877;109690 872
data,1241753400,1561460.0;57466.0;1573843.0;73927.0;1468894.0;54945.0;1573085.0;82551.0;1.27632586591;1.01638352249;1.42590319947,3250.0 107.0 109696;2491.0 63.0 109697;2747.0 88.0 109698;8421.0 462.0 109699;4288.0 183.0 109700;2071.0 61.0 109701;1483.0 26.0 109702;21645.0 1360.0 109703;4980.0 261.0 109704;2010.0 79.0 109706;568.0 14.0 109707;1830.0 99.0 109708;1075.0 57.0 109709;668.0 27.0 109710;26992.0 1286.0 109635;2660.0 77.0 109651;6829.0 84.0 109660;6607.0 131.0 109667;4257.0 172.0 109673;1983.0 83.0 109675;6630.0 256.0 109683;5020.0 177.0 109689;4118.0 151.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 903;109697 818;109698 835;109699 870;109700 865;109701 884;109702 860;109703 862;109704 895;109706 898;109707 856;109708 873;109709 873;109710 886;109635 822;109651 878;109660 850;109667 837;109673 871;109675 877;109683 948;109689 884;109690 855
data,1241753700,1562357.0;57495.0;1574740.0;73960.0;1469758.0;54970.0;1573972.0;82587.0;1.27625730997;1.01631913738;1.42582060813,3294.0 110.0 109696;2500.0 63.0 109697;2767.0 89.0 109698;8561.0 464.0 109699;4302.0 183.0 109700;2097.0 61.0 109701;1493.0 26.0 109702;21867.0 1370.0 109703;5003.0 261.0 109704;2022.0 80.0 109706;582.0 15.0 109707;1874.0 101.0 109708;1179.0 61.0 109709;692.0 28.0 109710;27064.0 1291.0 109635;2670.0 77.0 109651;6847.0 84.0 109660;6622.0 131.0 109667;4271.0 173.0 109673;2002.0 83.0 109675;6644.0 256.0 109683;5029.0 178.0 109689;4138.0 152.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 885;109697 846;109698 847;109699 863;109700 837;109701 903;109702 860;109703 893;109704 889;109706 865;109707 838;109708 917;109709 894;109710 934;109635 878;109651 873;109660 829;109667 845;109673 857;109675 893;109683 832;109689 855;109690 867
data,1241754000,1563241.0;57521.0;1575635.0;74006.0;1470585.0;55002.0;1574860.0;82628.0;1.2764706145;1.01645430427;1.42588597646,3343.0 111.0 109696;2514.0 64.0 109697;2781.0 89.0 109698;8670.0 467.0 109699;4329.0 184.0 109700;2126.0 62.0 109701;1507.0 26.0 109702;22108.0 1388.0 109703;5029.0 262.0 109704;2030.0 80.0 109706;597.0 15.0 109707;1903.0 103.0 109708;1265.0 63.0 109709;724.0 29.0 109710;27163.0 1301.0 109635;2680.0 77.0 109651;6852.0 84.0 109660;6630.0 131.0 109667;4287.0 174.0 109673;2029.0 85.0 109675;6655.0 256.0 109683;5038.0 179.0 109689;4155.0 153.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 863;109697 889;109698 821;109699 841;109700 819;109701 859;109702 882;109703 915;109704 896;109706 877;109707 868;109708 854;109709 886;109710 888;109635 869;109651 851;109660 869;109667 882;109673 882;109675 851;109683 873;109689 882;109690 883
data,1241754300,1564099.0;57548.0;1576487.0;74037.0;1471440.0;55024.0;1575692.0;82671.0;1.27641653733;1.01635073147;1.42598797858,3391.0 114.0 109696;2529.0 64.0 109697;2797.0 89.0 109698;8742.0 469.0 109699;4358.0 185.0 109700;2148.0 62.0 109701;1521.0 26.0 109702;22334.0 1397.0 109703;5048.0 264.0 109704;2040.0 80.0 109706;608.0 16.0 109707;1948.0 105.0 109708;1320.0 65.0 109709;751.0 31.0 109710;27300.0 1308.0 109635;2692.0 77.0 109651;6870.0 84.0 109660;6640.0 131.0 109667;4295.0 174.0 109673;2047.0 85.0 109675;6664.0 256.0 109683;5053.0 179.0 109689;4171.0 153.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 860;109698 857;109699 837;109700 953;109701 929;109702 856;109703 823;109704 863;109706 832;109707 820;109708 887;109709 916;109710 902;109635 873;109651 872;109660 857;109667 863;109673 884;109675 885;109683 865;109689 875;109690 829
data,1241754900,1564958.0;57566.0;1577366.0;74073.0;1472305.0;55054.0;1576535.0;82707.0;1.27662719599;1.01654761261;1.42618309566,3436.0 115.0 109696;2542.0 64.0 109697;2810.0 89.0 109698;8792.0 469.0 109699;4371.0 185.0 109700;2165.0 62.0 109701;1528.0 26.0 109702;22618.0 1415.0 109703;5068.0 264.0 109704;2055.0 81.0 109706;623.0 16.0 109707;1985.0 106.0 109708;1380.0 66.0 109709;784.0 33.0 109710;27443.0 1315.0 109635;2703.0 77.0 109651;6884.0 84.0 109660;6652.0 131.0 109667;4299.0 174.0 109673;2084.0 88.0 109675;6676.0 256.0 109683;5069.0 181.0 109689;4179.0 153.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 850;109697 859;109698 921;109699 850;109700 871;109701 869;109702 849;109703 866;109704 816;109706 912;109707 884;109708 877;109709 903;109710 853;109635 887;109651 852;109660 859;109667 874;109673 881;109675 926;109683 871;109689 804;109690 866
data,1241755200,1565833.0;57593.0;1578187.0;74107.0;1473153.0;55090.0;1577445.0;82745.0;1.27666370306;1.01671834109;1.42614365701,3484.0 118.0 109696;2549.0 64.0 109697;2821.0 90.0 109698;8824.0 470.0 109699;4378.0 185.0 109700;2178.0 62.0 109701;1535.0 26.0 109702;22889.0 1422.0 109703;5087.0 264.0 109704;2068.0 82.0 109706;633.0 16.0 109707;2029.0 110.0 109708;1438.0 72.0 109709;808.0 33.0 109710;27588.0 1322.0 109635;2717.0 77.0 109651;6891.0 84.0 109660;6663.0 131.0 109667;4310.0 175.0 109673;2119.0 90.0 109675;6687.0 256.0 109683;5085.0 182.0 109689;4186.0 153.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 861;109697 905;109698 850;109699 783;109700 883;109701 907;109702 919;109703 923;109704 871;109706 876;109707 841;109708 850;109709 858;109710 920;109635 850;109651 854;109660 864;109667 873;109673 914;109675 836;109683 833;109689 848;109690 881
data,1241755500,1566705.0;57624.0;1579077.0;74150.0;1474022.0;55118.0;1578331.0;82788.0;1.27670828053;1.01665432527;1.42611035099,3532.0 120.0 109696;2559.0 64.0 109697;2842.0 91.0 109698;8871.0 472.0 109699;4400.0 187.0 109700;2190.0 62.0 109701;1553.0 26.0 109702;23100.0 1432.0 109703;5102.0 265.0 109704;2082.0 84.0 109706;644.0 16.0 109707;2101.0 114.0 109708;1523.0 78.0 109709;836.0 35.0 109710;27749.0 1332.0 109635;2731.0 77.0 109651;6903.0 84.0 109660;6677.0 131.0 109667;4320.0 175.0 109673;2152.0 90.0 109675;6696.0 256.0 109683;5092.0 182.0 109689;4202.0 154.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 877;109697 879;109698 855;109699 878;109700 908;109701 884;109702 872;109703 861;109704 846;109706 897;109707 853;109708 881;109709 852;109710 868;109635 897;109651 873;109660 823;109667 865;109673 851;109675 858;109683 934;109689 861;109690 827
data,1241756100,1567618.0;57652.0;1579962.0;74182.0;1474861.0;55142.0;1579219.0;82826.0;1.27666737404;1.01661680833;1.42610069386,3583.0 121.0 109696;2574.0 64.0 109697;2854.0 91.0 109698;8913.0 472.0 109699;4419.0 189.0 109700;2202.0 62.0 109701;1560.0 27.0 109702;23337.0 1443.0 109703;5119.0 265.0 109704;2094.0 84.0 109706;657.0 16.0 109707;2171.0 117.0 109708;1586.0 78.0 109709;862.0 35.0 109710;27917.0 1344.0 109635;2743.0 77.0 109651;6918.0 85.0 109660;6690.0 131.0 109667;4328.0 175.0 109673;2180.0 91.0 109675;6708.0 256.0 109683;5108.0 182.0 109689;4219.0 154.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 861;109697 908;109698 880;109699 910;109700 822;109701 882;109702 857;109703 876;109704 850;109706 912;109707 913;109708 878;109709 922;109710 847;109635 908;109651 865;109660 850;109667 820;109673 843;109675 813;109683 847;109689 859;109690 877
