data,1241298600,323473.0;12085.0;326189.0;14726.0;303850.0;11288.0;324352.0;15757.0;1.20838928711;0.9943725837;1.30031429331,4357.0 66.0 109536;5059.0 224.0 109476;1074.0 48.0 109541;10178.0 416.0 109542;6573.0 234.0 109544;3939.0 87.0 109545;81.0 3.0 109561;11271.0 424.0 109547;1845.0 58.0 109518;2414.0 86.0 109551;1854.0 44.0 109553;2460.0 92.0 109554;2207.0 73.0 109555;15345.0 724.0 109524;1736.0 73.0 109557;786.0 32.0 109558;362.0 2.0 109559;306.0 5.0 109560;3209.0 139.0 109556;80.0 2.0 109562;65.0 3.0 109563,109536.0 8493;109476.0 8493;109541.0 8493;109542.0 8493;109544.0 8493;109545.0 8493;109547.0 8493;109518.0 8493;109551.0 8493;109553.0 8493;109554.0 8493;109555.0 8493;109524.0 8493;109557.0 8493;109558.0 8493;109559.0 8493;109560.0 8493;109561.0 8493;109562.0 8493;109563.0 8493;109556.0 8493,109536 417;109476 432;109541 406;109542 382;109544 385;109545 427;109561 452;109547 403;109518 398;109551 425;109553 397;109554 431;109555 388;109524 363;109557 428;109558 364;109559 384;109560 385;109556 391;109562 397;109563 438
data,1241298900,324046.0;12102.0;326733.0;14739.0;304379.0;11305.0;324893.0;15779.0;1.2078820706;0.994501396087;1.30043496573,4376.0 67.0 109536;5089.0 225.0 109476;1117.0 51.0 109541;10198.0 417.0 109542;6597.0 234.0 109544;3955.0 87.0 109545;113.0 4.0 109561;11304.0 425.0 109547;1868.0 58.0 109518;2440.0 87.0 109551;1885.0 46.0 109553;2485.0 92.0 109554;2224.0 73.0 109555;15364.0 724.0 109524;1761.0 74.0 109557;807.0 32.0 109558;387.0 2.0 109559;341.0 5.0 109560;3244.0 139.0 109556;104.0 3.0 109562;86.0 3.0 109563,109536.0 11507;109476.0 11507;109541.0 11507;109542.0 11507;109544.0 11507;109545.0 11507;109547.0 11507;109518.0 11507;109551.0 11507;109553.0 11507;109554.0 11507;109555.0 11507;109524.0 11507;109557.0 11507;109558.0 11507;109559.0 11507;109560.0 11507;109561.0 11507;109562.0 11507;109563.0 11507;109556.0 11507,109536 537;109476 560;109541 561;109542 563;109544 564;109545 545;109561 557;109547 521;109518 531;109551 529;109553 578;109554 564;109555 549;109524 538;109557 553;109558 517;109559 541;109560 575;109556 556;109562 534;109563 534
data,1241299200,325015.0;12127.0;327698.0;14780.0;305358.0;11332.0;325850.0;15815.0;1.20878947676;0.994597333816;1.30077295353,4430.0 68.0 109536;5154.0 230.0 109476;1180.0 53.0 109541;10253.0 419.0 109542;6630.0 237.0 109544;3994.0 88.0 109545;11341.0 427.0 109547;1919.0 62.0 109518;2488.0 89.0 109551;1978.0 53.0 109553;2511.0 93.0 109554;2257.0 73.0 109555;3280.0 140.0 109556;1804.0 76.0 109557;834.0 32.0 109558;418.0 2.0 109559;379.0 6.0 109560;162.0 6.0 109561;149.0 4.0 109562;137.0 5.0 109563;15412.0 726.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 953;109476 966;109541 915;109542 1009;109544 923;109545 945;109547 951;109518 916;109551 927;109553 936;109554 936;109555 927;109556 1020;109557 935;109558 1029;109559 942;109560 965;109561 974;109562 944;109563 934;109524 953
data,1241299800,325936.0;12155.0;328611.0;14814.0;306309.0;11358.0;326832.0;15853.0;1.20883663025;0.994304660686;1.30066141358,4455.0 68.0 109536;5220.0 232.0 109476;1220.0 53.0 109541;10338.0 425.0 109542;6685.0 238.0 109544;4024.0 90.0 109545;229.0 13.0 109561;11387.0 428.0 109547;1964.0 63.0 109518;2539.0 91.0 109551;2050.0 55.0 109553;2544.0 93.0 109554;2277.0 73.0 109555;3322.0 142.0 109556;1841.0 77.0 109557;853.0 32.0 109558;452.0 4.0 109559;404.0 6.0 109560;15465.0 731.0 109524;186.0 4.0 109562;168.0 5.0 109563,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 912;109476 1011;109541 928;109542 935;109544 953;109545 1006;109561 998;109547 964;109518 948;109551 953;109553 859;109554 940;109555 971;109556 999;109557 939;109558 975;109559 923;109560 987;109524 928;109562 914;109563 957
data,1241300100,326888.0;12191.0;329590.0;14844.0;307254.0;11384.0;327779.0;15880.0;1.20763743205;0.993475103899;1.29905942714,4482.0 68.0 109536;5297.0 237.0 109476;1254.0 53.0 109541;10442.0 431.0 109542;6737.0 239.0 109544;4063.0 90.0 109545;11439.0 429.0 109547;2000.0 63.0 109518;2604.0 96.0 109551;2127.0 57.0 109553;2569.0 94.0 109554;2297.0 74.0 109555;3365.0 143.0 109556;1873.0 77.0 109557;876.0 33.0 109558;480.0 4.0 109559;422.0 6.0 109560;342.0 18.0 109561;220.0 5.0 109562;187.0 5.0 109563;15526.0 731.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 1002;109476 945;109541 966;109542 936;109544 977;109545 893;109547 910;109518 971;109551 965;109553 948;109554 908;109555 1010;109556 970;109557 919;109558 969;109559 959;109560 939;109561 927;109562 961;109563 960;109524 965
data,1241300700,327826.0;12220.0;330533.0;14872.0;308185.0;11416.0;328710.0;15907.0;1.20705411266;0.993744303105;1.29821778194,4504.0 68.0 109536;5387.0 239.0 109476;1275.0 54.0 109541;10573.0 436.0 109542;6770.0 239.0 109544;4105.0 91.0 109545;11470.0 429.0 109547;2018.0 63.0 109518;2660.0 97.0 109551;2207.0 61.0 109553;2584.0 95.0 109554;2319.0 74.0 109555;3396.0 144.0 109556;1927.0 79.0 109557;901.0 34.0 109558;503.0 4.0 109559;438.0 6.0 109560;468.0 24.0 109561;249.0 5.0 109562;212.0 6.0 109563;15579.0 733.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 938;109476 986;109541 956;109542 981;109544 967;109545 985;109547 937;109518 961;109551 992;109553 974;109554 913;109555 930;109556 983;109557 924;109558 910;109559 975;109560 950;109561 921;109562 971;109563 906;109524 940
data,1241301000,328818.0;12241.0;331483.0;14906.0;309180.0;11447.0;329677.0;15938.0;1.20792102814;0.994532490022;1.29862529664,4519.0 68.0 109536;5502.0 246.0 109476;1314.0 57.0 109541;10697.0 442.0 109542;6797.0 240.0 109544;4135.0 92.0 109545;11497.0 429.0 109547;2029.0 63.0 109518;2718.0 99.0 109551;2297.0 63.0 109553;2613.0 96.0 109554;2339.0 74.0 109555;3439.0 147.0 109556;1966.0 79.0 109557;928.0 35.0 109558;514.0 4.0 109559;454.0 6.0 109560;590.0 27.0 109561;269.0 5.0 109562;227.0 6.0 109563;15651.0 737.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 978;109476 911;109541 948;109542 970;109544 930;109545 1009;109547 972;109518 921;109551 924;109553 955;109554 933;109555 949;109556 930;109557 1005;109558 936;109559 982;109560 956;109561 943;109562 965;109563 924;109524 959
data,1241301300,329798.0;12272.0;332456.0;14938.0;310193.0;11481.0;330622.0;15975.0;1.20751059716;0.994673150162;1.29849950721,4537.0 68.0 109536;5610.0 249.0 109476;1366.0 58.0 109541;10858.0 447.0 109542;6823.0 241.0 109544;4164.0 92.0 109545;11520.0 430.0 109547;2039.0 63.0 109518;2777.0 101.0 109551;2376.0 65.0 109553;2644.0 97.0 109554;2359.0 76.0 109555;3478.0 147.0 109556;1999.0 81.0 109557;946.0 35.0 109558;706.0 35.0 109561;477.0 7.0 109560;15721.0 739.0 109524;287.0 5.0 109562;245.0 6.0 109563;536.0 5.0 109559,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 949;109476 973;109541 944;109542 961;109544 931;109545 981;109547 972;109518 913;109551 919;109553 944;109554 911;109555 1001;109556 949;109557 964;109558 956;109561 970;109560 922;109524 972;109562 961;109563 925;109559 982
data,1241301900,330755.0;12301.0;333404.0;14972.0;311175.0;11515.0;331583.0;16012.0;1.207466282;0.995004955472;1.29843234186,4557.0 68.0 109536;5731.0 257.0 109476;1409.0 59.0 109541;10988.0 451.0 109542;6845.0 242.0 109544;4189.0 92.0 109545;11561.0 433.0 109547;2058.0 63.0 109518;2820.0 103.0 109551;2451.0 68.0 109553;2666.0 97.0 109554;2378.0 76.0 109555;15762.0 740.0 109524;2058.0 84.0 109557;963.0 35.0 109558;552.0 5.0 109559;495.0 7.0 109560;838.0 38.0 109561;310.0 7.0 109562;261.0 6.0 109563;3524.0 150.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 915;109476 973;109541 998;109542 947;109544 916;109545 982;109547 922;109518 992;109551 952;109553 941;109554 926;109555 948;109524 933;109557 946;109558 963;109559 943;109560 942;109561 950;109562 1025;109563 910;109556 976
data,1241302200,331685.0;12333.0;334356.0;14999.0;312060.0;11532.0;332568.0;16042.0;1.20645265701;0.993856379215;1.29728427377,4575.0 70.0 109536;5854.0 259.0 109476;1460.0 60.0 109541;11110.0 457.0 109542;6870.0 242.0 109544;4205.0 92.0 109545;11607.0 435.0 109547;2077.0 63.0 109518;2887.0 105.0 109551;2524.0 73.0 109553;2682.0 97.0 109554;2395.0 76.0 109555;3578.0 151.0 109556;2099.0 84.0 109557;984.0 35.0 109558;568.0 5.0 109559;512.0 9.0 109560;946.0 39.0 109561;329.0 7.0 109562;286.0 7.0 109563;15820.0 742.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 975;109476 940;109541 975;109542 944;109544 915;109545 911;109547 978;109518 944;109551 997;109553 869;109554 954;109555 1017;109556 991;109557 942;109558 966;109559 946;109560 945;109561 920;109562 916;109563 1015;109524 940
data,1241302500,332638.0;12365.0;335289.0;15033.0;313028.0;11561.0;333541.0;16078.0;1.20615769536;0.993550519654;1.29676278334,4583.0 70.0 109536;5978.0 264.0 109476;1489.0 61.0 109541;11239.0 462.0 109542;6896.0 243.0 109544;4215.0 92.0 109545;11652.0 436.0 109547;2089.0 64.0 109518;2953.0 108.0 109551;2631.0 75.0 109553;2698.0 98.0 109554;2406.0 76.0 109555;15876.0 743.0 109524;2147.0 86.0 109557;1001.0 35.0 109558;579.0 5.0 109559;528.0 9.0 109560;1073.0 47.0 109561;350.0 8.0 109562;308.0 9.0 109563;3610.0 151.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 980;109476 969;109541 962;109542 911;109544 966;109545 935;109547 979;109518 936;109551 977;109553 946;109554 914;109555 943;109524 968;109557 972;109558 957;109559 939;109560 959;109561 929;109562 1006;109563 911;109556 941
