data,1241490600,808779.0;28994.0;814270.0;34761.0;763002.0;27343.0;812336.0;38415.0;1.19081846128;0.999636759034;1.31912778808,4639.0 201.0 109594;8887.0 488.0 109596;9020.0 484.0 109597;4844.0 239.0 109598;4274.0 201.0 109599;2414.0 84.0 109600;1983.0 65.0 109601;13333.0 849.0 109602;2351.0 120.0 109603;21014.0 757.0 109476;13843.0 992.0 109605;1512.0 54.0 109606;2102.0 92.0 109608;2694.0 135.0 109609;1314.0 54.0 109610;216.0 6.0 109611;145.0 17.0 109612;758.0 14.0 109613;1779.0 116.0 109614;824.0 38.0 109615;2400.0 166.0 109617;71.0 3.0 109618;10341.0 329.0 109517,109594.0 1314;109596.0 1314;109597.0 1314;109598.0 1314;109599.0 1314;109600.0 1314;109601.0 1314;109602.0 1314;109603.0 1314;109476.0 1314;109605.0 1314;109606.0 1314;109608.0 1314;109609.0 1314;109610.0 1314;109611.0 1314;109612.0 1314;109613.0 1314;109614.0 1314;109615.0 1314;109617.0 1314;109618.0 1314;109517.0 1314,109594 64;109596 42;109597 61;109598 75;109599 58;109600 49;109601 58;109602 55;109603 69;109476 35;109605 44;109606 58;109608 52;109609 63;109610 73;109611 66;109612 67;109613 41;109614 68;109615 59;109617 52;109618 49;109517 56
data,1241490900,809606.0;29049.0;815053.0;34808.0;763808.0;27379.0;813126.0;38478.0;1.19024331653;0.9990239744;1.31885537542,4685.0 207.0 109594;8911.0 490.0 109596;9051.0 485.0 109597;4880.0 241.0 109598;4316.0 204.0 109599;2444.0 84.0 109600;2029.0 68.0 109601;13397.0 857.0 109602;2392.0 123.0 109603;21056.0 758.0 109476;13865.0 992.0 109605;1540.0 55.0 109606;2133.0 92.0 109608;2724.0 137.0 109609;1338.0 54.0 109610;240.0 7.0 109611;205.0 24.0 109612;777.0 14.0 109613;1804.0 118.0 109614;855.0 40.0 109615;2432.0 167.0 109617;102.0 4.0 109618;10365.0 330.0 109517,109594.0 18686;109596.0 18686;109597.0 18686;109598.0 18686;109599.0 18686;109600.0 18686;109601.0 18686;109602.0 18686;109603.0 18686;109476.0 18686;109605.0 18686;109606.0 18686;109608.0 18686;109609.0 18686;109610.0 18686;109611.0 18686;109612.0 18686;109613.0 18686;109614.0 18686;109615.0 18686;109617.0 18686;109618.0 18686;109517.0 18686,109594 787;109596 812;109597 834;109598 793;109599 885;109600 816;109601 791;109602 795;109603 771;109476 860;109605 809;109606 870;109608 812;109609 773;109610 800;109611 820;109612 805;109613 825;109614 814;109615 849;109617 794;109618 794;109517 777
data,1241491200,810421.0;29086.0;815967.0;34857.0;764654.0;27416.0;813974.0;38540.0;1.19026619082;0.999000747199;1.31925231158,4765.0 211.0 109594;8941.0 490.0 109596;9109.0 491.0 109597;4925.0 244.0 109598;4369.0 209.0 109599;2470.0 84.0 109600;2072.0 70.0 109601;13492.0 864.0 109602;2439.0 127.0 109603;21090.0 759.0 109476;13908.0 997.0 109605;1580.0 56.0 109606;2150.0 92.0 109608;2766.0 139.0 109609;1360.0 55.0 109610;260.0 7.0 109611;258.0 25.0 109612;795.0 14.0 109613;1844.0 123.0 109614;886.0 40.0 109615;2455.0 168.0 109617;134.0 5.0 109618;10387.0 330.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 876;109596 851;109597 938;109598 863;109599 855;109600 869;109601 821;109602 894;109603 871;109476 836;109605 895;109606 841;109608 863;109609 867;109610 829;109611 847;109612 904;109613 852;109614 848;109615 879;109617 927;109618 892;109517 882
data,1241491500,811307.0;29131.0;816852.0;34905.0;765533.0;27468.0;814849.0;38594.0;1.1900743519;0.999293245618;1.31908410011,4831.0 213.0 109594;8961.0 491.0 109596;9181.0 496.0 109597;4975.0 247.0 109598;4426.0 211.0 109599;2483.0 85.0 109600;2121.0 73.0 109601;13573.0 868.0 109602;2480.0 133.0 109603;21116.0 759.0 109476;13958.0 998.0 109605;1601.0 56.0 109606;2191.0 95.0 109608;2816.0 143.0 109609;1377.0 55.0 109610;287.0 9.0 109611;309.0 29.0 109612;813.0 15.0 109613;1886.0 125.0 109614;910.0 42.0 109615;2471.0 169.0 109617;164.0 6.0 109618;10410.0 330.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 899;109596 842;109597 886;109598 881;109599 882;109600 835;109601 863;109602 833;109603 884;109476 868;109605 866;109606 897;109608 903;109609 887;109610 859;109611 848;109612 853;109613 838;109614 901;109615 878;109617 879;109618 856;109517 862
data,1241491500,812150.0;29165.0;817721.0;34939.0;766374.0;27500.0;815739.0;38644.0;1.18981540487;0.999231690695;1.31918320998,4898.0 218.0 109594;8983.0 491.0 109596;9256.0 500.0 109597;5021.0 249.0 109598;4480.0 212.0 109599;2501.0 85.0 109600;2164.0 74.0 109601;13671.0 876.0 109602;2553.0 137.0 109603;21133.0 759.0 109476;13986.0 998.0 109605;1615.0 56.0 109606;2216.0 95.0 109608;2876.0 147.0 109609;1404.0 57.0 109610;303.0 9.0 109611;366.0 30.0 109612;821.0 15.0 109613;1920.0 125.0 109614;940.0 42.0 109615;2503.0 171.0 109617;180.0 6.0 109618;10419.0 330.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 850;109596 841;109597 891;109598 894;109599 883;109600 852;109601 863;109602 839;109603 851;109476 857;109605 844;109606 833;109608 861;109609 867;109610 895;109611 931;109612 901;109613 838;109614 910;109615 909;109617 855;109618 903;109517 832
data,1241491800,812999.0;29216.0;818613.0;34986.0;767249.0;27528.0;816630.0;38701.0;1.18928217625;0.99840692377;1.31876105179,4966.0 223.0 109594;8996.0 491.0 109596;9343.0 505.0 109597;5053.0 251.0 109598;4511.0 214.0 109599;2512.0 85.0 109600;2225.0 79.0 109601;13822.0 886.0 109602;2620.0 139.0 109603;21152.0 759.0 109476;14007.0 998.0 109605;1629.0 56.0 109606;2236.0 95.0 109608;2933.0 149.0 109609;1417.0 57.0 109610;317.0 10.0 109611;413.0 31.0 109612;835.0 15.0 109613;1990.0 132.0 109614;960.0 43.0 109615;2533.0 174.0 109617;200.0 7.0 109618;10431.0 330.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 815;109596 809;109597 857;109598 867;109599 893;109600 863;109601 852;109602 942;109603 892;109476 849;109605 848;109606 875;109608 872;109609 824;109610 987;109611 908;109612 880;109613 884;109614 884;109615 835;109617 846;109618 877;109517 841
data,1241492100,813838.0;29259.0;819453.0;35034.0;768099.0;27556.0;817484.0;38756.0;1.1891705941;0.997878031545;1.31867620996,5051.0 228.0 109594;9010.0 494.0 109596;9431.0 511.0 109597;5105.0 254.0 109598;4535.0 214.0 109599;2524.0 85.0 109600;2273.0 79.0 109601;14003.0 902.0 109602;2647.0 139.0 109603;21164.0 759.0 109476;14016.0 998.0 109605;1645.0 56.0 109606;2252.0 95.0 109608;2987.0 152.0 109609;1427.0 58.0 109610;336.0 11.0 109611;442.0 34.0 109612;847.0 15.0 109613;2045.0 136.0 109614;975.0 43.0 109615;2560.0 174.0 109617;219.0 8.0 109618;10447.0 332.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 895;109596 838;109597 873;109598 934;109599 865;109600 879;109601 879;109602 894;109603 878;109476 867;109605 878;109606 882;109608 857;109609 858;109610 827;109611 809;109612 881;109613 862;109614 879;109615 851;109617 892;109618 877;109517 845
data,1241492400,814680.0;29294.0;820326.0;35085.0;768985.0;27598.0;818369.0;38810.0;1.18944230699;0.998086357424;1.31887261412,5134.0 233.0 109594;9023.0 494.0 109596;9528.0 519.0 109597;5155.0 256.0 109598;4556.0 215.0 109599;2535.0 85.0 109600;2309.0 81.0 109601;14212.0 919.0 109602;2672.0 140.0 109603;21176.0 759.0 109476;14030.0 998.0 109605;1653.0 57.0 109606;2264.0 96.0 109608;3034.0 152.0 109609;1443.0 59.0 109610;351.0 11.0 109611;492.0 36.0 109612;858.0 15.0 109613;2107.0 141.0 109614;987.0 44.0 109615;2598.0 178.0 109617;239.0 8.0 109618;10458.0 332.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 856;109596 859;109597 904;109598 885;109599 886;109600 863;109601 906;109602 816;109603 869;109476 845;109605 884;109606 870;109608 894;109609 868;109610 879;109611 867;109612 900;109613 852;109614 836;109615 854;109617 868;109618 867;109517 872
data,1241492700,815548.0;29322.0;821212.0;35123.0;769819.0;27636.0;819250.0;38870.0;1.18957616657;0.998487186212;1.31963561559,5205.0 236.0 109594;9038.0 494.0 109596;9633.0 525.0 109597;5200.0 257.0 109598;4584.0 216.0 109599;2547.0 85.0 109600;2360.0 84.0 109601;14446.0 933.0 109602;2694.0 141.0 109603;21189.0 759.0 109476;14042.0 998.0 109605;1672.0 58.0 109606;2286.0 98.0 109608;3051.0 153.0 109609;1456.0 59.0 109610;373.0 12.0 109611;527.0 37.0 109612;871.0 15.0 109613;2170.0 144.0 109614;1002.0 44.0 109615;2630.0 178.0 109617;254.0 8.0 109618;10470.0 332.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 877;109596 888;109597 868;109598 869;109599 874;109600 880;109601 857;109602 845;109603 833;109476 847;109605 845;109606 898;109608 865;109609 857;109610 906;109611 893;109612 857;109613 905;109614 849;109615 884;109617 838;109618 876;109517 889
data,1241493300,816414.0;29354.0;822045.0;35171.0;770681.0;27671.0;820074.0;38928.0;1.18995976708;0.998604125;1.32023791898,5293.0 240.0 109594;9061.0 498.0 109596;9746.0 535.0 109597;5224.0 258.0 109598;4607.0 218.0 109599;2556.0 85.0 109600;2392.0 85.0 109601;14660.0 942.0 109602;2715.0 141.0 109603;21196.0 759.0 109476;14058.0 1000.0 109605;1685.0 60.0 109606;2298.0 98.0 109608;3080.0 156.0 109609;1471.0 59.0 109610;391.0 13.0 109611;552.0 40.0 109612;880.0 16.0 109613;2245.0 147.0 109614;1014.0 44.0 109615;2657.0 178.0 109617;265.0 8.0 109618;10487.0 334.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 917;109596 896;109597 851;109598 821;109599 874;109600 905;109601 860;109602 832;109603 859;109476 837;109605 960;109606 859;109608 884;109609 879;109610 861;109611 878;109612 834;109613 871;109614 842;109615 848;109617 930;109618 829;109517 873
data,1241493600,817305.0;29388.0;822958.0;35223.0;771533.0;27715.0;820994.0;38996.0;1.19031743803;0.999020732412;1.32097379745,5369.0 245.0 109594;9117.0 502.0 109596;9897.0 546.0 109597;5246.0 259.0 109598;4635.0 220.0 109599;2571.0 85.0 109600;2427.0 87.0 109601;14863.0 950.0 109602;2736.0 143.0 109603;21202.0 759.0 109476;14068.0 1001.0 109605;1697.0 60.0 109606;2319.0 99.0 109608;3110.0 157.0 109609;1481.0 59.0 109610;400.0 13.0 109611;622.0 47.0 109612;891.0 16.0 109613;2301.0 150.0 109614;1035.0 44.0 109615;2680.0 180.0 109617;279.0 9.0 109618;10500.0 335.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 818;109596 887;109597 916;109598 870;109599 873;109600 847;109601 871;109602 919;109603 903;109476 806;109605 822;109606 903;109608 857;109609 875;109610 859;109611 838;109612 901;109613 894;109614 872;109615 916;109617 845;109618 886;109517 822
