
New Run at  01/16/2015 00:54:28
, Time, UCBLearnAccesses; UCBClicks; randomLearnAccesses; randomClicks; greedyLearnAccesses; greedyClicks; exp3LearnAccess; exp3Clicks, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241766300,1140173.0;52605.0;1190502.0;43828.0;1199327.0;65443.0;1171401.0;42579.0,4852.0 131.0 109697 -0.0089 -0.0179 0.0330 0.1121 -0.0020;4698.0 204.0 109698 -0.0226 0.0888 0.0057 0.0844 0.0046;25031.0 1109.0 109635 -0.0057 0.0113 0.0650 0.0189 0.0134;6361.0 357.0 109699 0.0144 0.0499 0.0324 0.0350 0.0110;6113.0 87.0 109701 0.0147 0.0262 0.0164 -0.0064 -0.0017;4656.0 55.0 109702 -0.0291 0.0328 0.0181 0.0487 0.0013;6846.0 495.0 109704 -0.0158 0.0331 0.0623 0.0914 0.0211;6368.0 231.0 109673 -0.0097 0.0266 0.0381 0.0713 0.0230;3340.0 111.0 109706 0.0549 0.0067 0.0397 0.0288 0.0232;4213.0 183.0 109675 0.0155 0.0817 0.0251 0.0481 0.0070;3324.0 201.0 109708 0.0278 0.0976 0.0285 0.0104 -0.0025;2138.0 108.0 109709 0.0210 -0.0241 0.0010 0.0873 0.0443;2039.0 84.0 109710 0.0244 0.0478 0.0178 0.0817 0.0001;2024.0 75.0 109707 0.0617 -0.0072 -0.0211 0.0846 -0.0017;4603.0 138.0 109651 0.0111 0.0372 0.0114 0.0659 -0.0022;393.0 10.0 109716 -0.0034 0.0619 0.0339 0.0288 0.0094;6940.0 242.0 109689 0.0212 0.0151 0.0627 0.0362 0.0026;5993.0 235.0 109690 0.0019 0.0312 0.0061 0.0851 -0.0022;12185.0 252.0 109667 0.0044 0.0272 0.0121 0.0433 -0.0016;14874.0 131.0 109660 0.0018 0.0077 0.0290 0.0237 0.0043,109697.0 13242;109635.0 13242;109667.0 13242;109699.0 13242;109701.0 13242;109702.0 13242;109704.0 13242;109673.0 13242;109706.0 13242;109707.0 13242;109708.0 13242;109709.0 13242;109710.0 13242;109651.0 13242;109716.0 13242;109698.0 13242;109689.0 13242;109690.0 13242;109675.0 13242;109660.0 13242,109697 637;109698 681;109635 672;109699 645;109701 681;109702 646;109704 686;109673 651;109706 672;109675 635;109708 676;109709 692;109710 671;109707 646;109651 672;109716 676;109689 665;109690 658;109667 643;109660 637
data,1241766900,1141180.0;52625.0;1191508.0;43848.0;1200310.0;65471.0;1172399.0;42585.0,4891.0 133.0 109697 -0.0066 -0.0192 0.0322 0.1144 -0.0021;4725.0 204.0 109698 -0.0226 0.0888 0.0057 0.0844 0.0046;6538.0 358.0 109699 0.0078 0.0580 0.0311 0.0443 0.0008;6212.0 88.0 109701 0.0063 0.0234 0.0141 0.0196 -0.0006;4656.0 55.0 109702 -0.0291 0.0328 0.0181 0.0487 0.0013;6874.0 496.0 109704 -0.0129 0.0248 0.0613 0.0918 0.0210;6414.0 233.0 109673 0.0069 0.0249 0.0360 0.0654 0.0225;3393.0 114.0 109706 0.0581 0.0075 0.0449 0.0204 0.0247;2049.0 75.0 109707 0.0617 -0.0072 -0.0211 0.0846 -0.0017;3381.0 202.0 109708 0.0141 0.0833 0.0331 0.0163 -0.0023;2331.0 110.0 109709 0.0204 -0.0193 0.0016 0.0898 0.0208;2073.0 85.0 109710 0.0230 0.0575 0.0182 0.0805 -0.0003;4663.0 141.0 109651 0.0097 0.0400 0.0094 0.0652 -0.0026;12185.0 252.0 109667 0.0044 0.0272 0.0121 0.0433 -0.0016;441.0 10.0 109716 -0.0034 0.0619 0.0339 0.0288 0.0094;25047.0 1110.0 109635 0.0006 0.0098 0.0467 0.0221 0.0136;7019.0 243.0 109689 0.0209 0.0151 0.0616 0.0365 0.0089;6012.0 235.0 109690 0.0019 0.0312 0.0061 0.0851 -0.0022;4220.0 184.0 109675 0.0201 0.0561 0.0233 0.0510 0.0069;14874.0 131.0 109660 0.0018 0.0077 0.0290 0.0237 0.0043,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1024;109698 1008;109699 1020;109701 982;109702 971;109704 962;109673 979;109706 973;109707 1033;109708 1016;109709 1039;109710 1042;109651 955;109667 1049;109716 1022;109635 1004;109689 946;109690 992;109675 985;109660 998
data,1241767800,1142180.0;52652.0;1192494.0;43873.0;1201351.0;65498.0;1173457.0;42599.0,4941.0 134.0 109697 -0.0189 -0.0167 0.0322 0.1130 -0.0019;4742.0 205.0 109698 -0.0295 0.0829 0.0068 0.0833 0.0046;25121.0 1111.0 109635 0.0005 0.0098 0.0466 0.0218 0.0138;6574.0 360.0 109699 0.0084 0.0777 0.0274 0.0328 0.0009;6212.0 88.0 109701 0.0063 0.0234 0.0141 0.0196 -0.0006;4656.0 55.0 109702 -0.0291 0.0328 0.0181 0.0487 0.0013;6944.0 499.0 109704 -0.0198 0.0291 0.0712 0.0847 0.0204;6556.0 239.0 109673 -0.0035 0.0218 0.0304 0.0778 0.0440;3468.0 115.0 109706 0.0494 0.0085 0.0425 0.0250 0.0229;2063.0 76.0 109707 0.0558 -0.0065 -0.0188 0.0848 -0.0016;3381.0 202.0 109708 0.0141 0.0833 0.0331 0.0163 -0.0023;2342.0 110.0 109709 0.0204 -0.0193 0.0016 0.0898 0.0208;2162.0 86.0 109710 0.0224 0.0398 0.0181 0.0807 0.0060;12368.0 253.0 109667 0.0044 0.0270 0.0122 0.0436 0.0031;505.0 12.0 109716 -0.0040 0.0534 0.0338 0.0301 0.0105;4663.0 141.0 109651 0.0097 0.0400 0.0094 0.0652 -0.0026;7103.0 247.0 109689 0.0192 0.0118 0.0534 0.0563 0.0080;6043.0 236.0 109690 -0.0005 0.0322 -0.0016 0.0901 -0.0022;4280.0 186.0 109675 0.0360 0.0520 0.0205 0.0499 0.0067;14874.0 131.0 109660 0.0018 0.0077 0.0290 0.0237 0.0043,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 993;109698 985;109635 1008;109699 1021;109701 960;109702 956;109704 1015;109673 1015;109706 965;109707 999;109708 982;109709 1054;109710 1057;109667 997;109716 991;109651 971;109689 1021;109690 975;109675 977;109660 1058
