data,1241298600,324581.0;12211.0;238657.0;9516.0;303021.0;11281.0;326428.0;16694.0;1.05986882737;0.98957048802;1.35939249438,4172.0 59.0 109536;4418.0 196.0 109476;1117.0 40.0 109541;5701.0 227.0 109542;7488.0 322.0 109544;3451.0 61.0 109545;337.0 18.0 109561;5488.0 265.0 109547;1822.0 46.0 109518;1478.0 60.0 109551;1258.0 36.0 109553;2398.0 80.0 109554;3210.0 122.0 109555;11085.0 505.0 109524;1530.0 42.0 109557;599.0 22.0 109558;3453.0 53.0 109559;959.0 30.0 109560;2374.0 96.0 109556;270.0 6.0 109562;3316.0 98.0 109563,109536.0 8493;109476.0 8493;109541.0 8493;109542.0 8493;109544.0 8493;109545.0 8493;109547.0 8493;109518.0 8493;109551.0 8493;109553.0 8493;109554.0 8493;109555.0 8493;109524.0 8493;109557.0 8493;109558.0 8493;109559.0 8493;109560.0 8493;109561.0 8493;109562.0 8493;109563.0 8493;109556.0 8493,109536 417;109476 432;109541 406;109542 382;109544 385;109545 427;109561 452;109547 403;109518 398;109551 425;109553 397;109554 431;109555 388;109524 363;109557 428;109558 364;109559 384;109560 385;109556 391;109562 397;109563 438
data,1241298900,325157.0;12234.0;239182.0;9539.0;303549.0;11299.0;326998.0;16712.0;1.05998321336;0.989317824821;1.35833835014,4194.0 60.0 109536;4437.0 196.0 109476;1145.0 41.0 109541;5731.0 228.0 109542;7508.0 324.0 109544;3472.0 62.0 109545;361.0 18.0 109561;5510.0 265.0 109547;1856.0 48.0 109518;1492.0 60.0 109551;1283.0 38.0 109553;2427.0 81.0 109554;3229.0 123.0 109555;11113.0 507.0 109524;1564.0 46.0 109557;618.0 23.0 109558;3476.0 53.0 109559;993.0 31.0 109560;2404.0 98.0 109556;302.0 7.0 109562;3334.0 98.0 109563,109536.0 11507;109476.0 11507;109541.0 11507;109542.0 11507;109544.0 11507;109545.0 11507;109547.0 11507;109518.0 11507;109551.0 11507;109553.0 11507;109554.0 11507;109555.0 11507;109524.0 11507;109557.0 11507;109558.0 11507;109559.0 11507;109560.0 11507;109561.0 11507;109562.0 11507;109563.0 11507;109556.0 11507,109536 537;109476 560;109541 561;109542 563;109544 564;109545 545;109561 557;109547 521;109518 531;109551 529;109553 578;109554 564;109555 549;109524 538;109557 553;109558 517;109559 541;109560 575;109556 556;109562 534;109563 534
data,1241299200,326063.0;12273.0;240128.0;9561.0;304514.0;11330.0;327906.0;16747.0;1.05781884653;0.988492620797;1.35687063192,4236.0 61.0 109536;4472.0 198.0 109476;1193.0 41.0 109541;5770.0 228.0 109542;7559.0 325.0 109544;3510.0 63.0 109545;5539.0 265.0 109547;1905.0 48.0 109518;1524.0 60.0 109551;1329.0 38.0 109553;2474.0 83.0 109554;3266.0 125.0 109555;2475.0 102.0 109556;1640.0 48.0 109557;669.0 25.0 109558;3507.0 53.0 109559;1031.0 32.0 109560;398.0 19.0 109561;347.0 7.0 109562;3372.0 99.0 109563;11179.0 509.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 953;109476 966;109541 915;109542 1009;109544 923;109545 945;109547 951;109518 916;109551 927;109553 936;109554 936;109555 927;109556 1020;109557 935;109558 1029;109559 942;109560 965;109561 974;109562 944;109563 934;109524 953
data,1241299800,327012.0;12314.0;241070.0;9595.0;305458.0;11374.0;328904.0;16786.0;1.05697898262;0.988840534242;1.35532236227,4271.0 61.0 109536;4526.0 202.0 109476;1221.0 42.0 109541;5822.0 231.0 109542;7602.0 326.0 109544;3541.0 64.0 109545;446.0 20.0 109561;5564.0 266.0 109547;1937.0 48.0 109518;1578.0 65.0 109551;1369.0 40.0 109553;2518.0 83.0 109554;3326.0 128.0 109555;2553.0 104.0 109556;1712.0 51.0 109557;705.0 25.0 109558;3524.0 54.0 109559;1082.0 33.0 109560;11243.0 512.0 109524;379.0 8.0 109562;3418.0 100.0 109563,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 912;109476 1011;109541 928;109542 935;109544 953;109545 1006;109561 998;109547 964;109518 948;109551 953;109553 859;109554 940;109555 971;109556 999;109557 939;109558 975;109559 923;109560 987;109524 928;109562 914;109563 957
data,1241300100,327990.0;12340.0;242053.0;9635.0;306392.0;11405.0;329869.0;16826.0;1.05800249649;0.989380419668;1.35576626649,4313.0 62.0 109536;4616.0 207.0 109476;1257.0 45.0 109541;5869.0 234.0 109542;7644.0 326.0 109544;3571.0 65.0 109545;5591.0 266.0 109547;1990.0 52.0 109518;1659.0 69.0 109551;1406.0 41.0 109553;2548.0 85.0 109554;3382.0 129.0 109555;2618.0 107.0 109556;1801.0 57.0 109557;732.0 25.0 109558;3559.0 54.0 109559;1128.0 36.0 109560;481.0 21.0 109561;413.0 8.0 109562;3447.0 101.0 109563;11295.0 513.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 1002;109476 945;109541 966;109542 936;109544 977;109545 893;109547 910;109518 971;109551 965;109553 948;109554 908;109555 1010;109556 970;109557 919;109558 969;109559 959;109560 939;109561 927;109562 961;109563 960;109524 965
data,1241300700,328940.0;12366.0;243050.0;9669.0;307304.0;11433.0;330791.0;16861.0;1.0582137024;0.989645003076;1.35586699573,4335.0 62.0 109536;4761.0 215.0 109476;1306.0 46.0 109541;5945.0 238.0 109542;7671.0 326.0 109544;3602.0 66.0 109545;5607.0 266.0 109547;2045.0 53.0 109518;1729.0 72.0 109551;1440.0 42.0 109553;2579.0 87.0 109554;3427.0 131.0 109555;2699.0 111.0 109556;1880.0 58.0 109557;757.0 25.0 109558;3576.0 54.0 109559;1170.0 36.0 109560;504.0 21.0 109561;437.0 9.0 109562;3477.0 102.0 109563;11370.0 517.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 938;109476 986;109541 956;109542 981;109544 967;109545 985;109547 937;109518 961;109551 992;109553 974;109554 913;109555 930;109556 983;109557 924;109558 910;109559 975;109560 950;109561 921;109562 971;109563 906;109524 940
data,1241301000,329916.0;12389.0;243329.0;9680.0;308265.0;11462.0;331721.0;16887.0;1.0593722955;0.990155287532;1.3556471414,4347.0 63.0 109536;4778.0 217.0 109476;1317.0 46.0 109541;5957.0 239.0 109542;7683.0 326.0 109544;3614.0 66.0 109545;5619.0 268.0 109547;2064.0 55.0 109518;1743.0 73.0 109551;1448.0 42.0 109553;2592.0 87.0 109554;3437.0 131.0 109555;2708.0 111.0 109556;1895.0 59.0 109557;766.0 25.0 109558;3592.0 54.0 109559;1187.0 37.0 109560;519.0 21.0 109561;448.0 9.0 109562;3489.0 102.0 109563;11393.0 517.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 978;109476 911;109541 948;109542 970;109544 930;109545 1009;109547 972;109518 921;109551 924;109553 955;109554 933;109555 949;109556 930;109557 1005;109558 936;109559 982;109560 956;109561 943;109562 965;109563 924;109524 959
data,1241301300,330868.0;12422.0;243602.0;9693.0;309237.0;11496.0;332660.0;16920.0;1.05984072743;0.990190020607;1.35476203228,4361.0 63.0 109536;4787.0 218.0 109476;1328.0 47.0 109541;5970.0 240.0 109542;7701.0 326.0 109544;3625.0 66.0 109545;5628.0 268.0 109547;2079.0 58.0 109518;1750.0 73.0 109551;1463.0 43.0 109553;2606.0 88.0 109554;3457.0 132.0 109555;2718.0 111.0 109556;1909.0 59.0 109557;780.0 26.0 109558;534.0 21.0 109561;1202.0 37.0 109560;11405.0 517.0 109524;460.0 10.0 109562;3503.0 103.0 109563;3603.0 55.0 109559,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 949;109476 973;109541 944;109542 961;109544 931;109545 981;109547 972;109518 913;109551 919;109553 944;109554 911;109555 1001;109556 949;109557 964;109558 956;109561 970;109560 922;109524 972;109562 961;109563 925;109559 982
data,1241301900,331784.0;12448.0;243867.0;9701.0;310211.0;11517.0;333598.0;16949.0;1.0602769691;0.989550658608;1.35418032773,4376.0 63.0 109536;4795.0 218.0 109476;1339.0 47.0 109541;5979.0 240.0 109542;7719.0 328.0 109544;3636.0 66.0 109545;5644.0 268.0 109547;2096.0 58.0 109518;1766.0 73.0 109551;1477.0 43.0 109553;2621.0 89.0 109554;3466.0 133.0 109555;11416.0 517.0 109524;1923.0 59.0 109557;793.0 28.0 109558;3615.0 55.0 109559;1216.0 37.0 109560;546.0 22.0 109561;473.0 10.0 109562;3513.0 104.0 109563;2725.0 111.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 915;109476 973;109541 998;109542 947;109544 916;109545 982;109547 922;109518 992;109551 952;109553 941;109554 926;109555 948;109524 933;109557 946;109558 963;109559 943;109560 942;109561 950;109562 1025;109563 910;109556 976
data,1241302200,332770.0;12477.0;244168.0;9712.0;311196.0;11548.0;334561.0;16981.0;1.06084985043;0.989707270712;1.35369847614,4392.0 64.0 109536;4819.0 220.0 109476;1352.0 48.0 109541;5991.0 240.0 109542;7736.0 328.0 109544;3651.0 68.0 109545;5659.0 270.0 109547;2107.0 59.0 109518;1785.0 74.0 109551;1493.0 44.0 109553;2631.0 89.0 109554;3477.0 133.0 109555;2741.0 111.0 109556;1935.0 59.0 109557;809.0 28.0 109558;3628.0 55.0 109559;1226.0 37.0 109560;559.0 22.0 109561;482.0 10.0 109562;3531.0 104.0 109563;11431.0 517.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 975;109476 940;109541 975;109542 944;109544 915;109545 911;109547 978;109518 944;109551 997;109553 869;109554 954;109555 1017;109556 991;109557 942;109558 966;109559 946;109560 945;109561 920;109562 916;109563 1015;109524 940
data,1241302500,333655.0;12510.0;244461.0;9717.0;312191.0;11575.0;335497.0;17007.0;1.06013932948;0.988873977646;1.35200842625,4403.0 64.0 109536;4833.0 220.0 109476;1366.0 50.0 109541;6005.0 240.0 109542;7753.0 328.0 109544;3666.0 69.0 109545;5675.0 270.0 109547;2115.0 59.0 109518;1794.0 74.0 109551;1508.0 44.0 109553;2646.0 90.0 109554;3483.0 133.0 109555;11446.0 517.0 109524;1950.0 59.0 109557;825.0 28.0 109558;3638.0 55.0 109559;1244.0 37.0 109560;572.0 22.0 109561;503.0 10.0 109562;3550.0 105.0 109563;2753.0 111.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 980;109476 969;109541 962;109542 911;109544 966;109545 935;109547 979;109518 936;109551 977;109553 946;109554 914;109555 943;109524 968;109557 972;109558 957;109559 939;109560 959;109561 929;109562 1006;109563 911;109556 941
