data,1241490600,810109.0;28860.0;589145.0;23808.0;762552.0;27532.0;814105.0;39007.0;1.13435201783;1.01348056928;1.34495966003,9601.0 506.0 109594;9693.0 591.0 109596;4955.0 329.0 109597;2330.0 109.0 109598;7597.0 456.0 109599;2896.0 74.0 109600;8924.0 344.0 109601;7681.0 578.0 109602;2630.0 166.0 109603;14318.0 490.0 109476;5781.0 638.0 109605;1830.0 61.0 109606;1465.0 58.0 109608;1567.0 84.0 109609;2432.0 71.0 109610;4184.0 160.0 109611;2374.0 254.0 109612;1743.0 29.0 109613;3028.0 232.0 109614;5737.0 349.0 109615;1941.0 141.0 109617;3975.0 89.0 109618;7180.0 210.0 109517,109594.0 1314;109596.0 1314;109597.0 1314;109598.0 1314;109599.0 1314;109600.0 1314;109601.0 1314;109602.0 1314;109603.0 1314;109476.0 1314;109605.0 1314;109606.0 1314;109608.0 1314;109609.0 1314;109610.0 1314;109611.0 1314;109612.0 1314;109613.0 1314;109614.0 1314;109615.0 1314;109617.0 1314;109618.0 1314;109517.0 1314,109594 64;109596 42;109597 61;109598 75;109599 58;109600 49;109601 58;109602 55;109603 69;109476 35;109605 44;109606 58;109608 52;109609 63;109610 73;109611 66;109612 67;109613 41;109614 68;109615 59;109617 52;109618 49;109517 56
data,1241490900,810926.0;28896.0;589980.0;23832.0;763355.0;27577.0;814918.0;39055.0;1.13361790574;1.01382725182;1.34495027448,9634.0 506.0 109594;9730.0 593.0 109596;4990.0 330.0 109597;2364.0 109.0 109598;7624.0 456.0 109599;2937.0 75.0 109600;8954.0 345.0 109601;7720.0 581.0 109602;2675.0 170.0 109603;14368.0 490.0 109476;5832.0 640.0 109605;1869.0 61.0 109606;1505.0 60.0 109608;1602.0 85.0 109609;2463.0 71.0 109610;4228.0 163.0 109611;2407.0 255.0 109612;1774.0 29.0 109613;3072.0 234.0 109614;5775.0 350.0 109615;1966.0 141.0 109617;4004.0 89.0 109618;7204.0 210.0 109517,109594.0 18686;109596.0 18686;109597.0 18686;109598.0 18686;109599.0 18686;109600.0 18686;109601.0 18686;109602.0 18686;109603.0 18686;109476.0 18686;109605.0 18686;109606.0 18686;109608.0 18686;109609.0 18686;109610.0 18686;109611.0 18686;109612.0 18686;109613.0 18686;109614.0 18686;109615.0 18686;109617.0 18686;109618.0 18686;109517.0 18686,109594 787;109596 812;109597 834;109598 793;109599 885;109600 816;109601 791;109602 795;109603 771;109476 860;109605 809;109606 870;109608 812;109609 773;109610 800;109611 820;109612 805;109613 825;109614 814;109615 849;109617 794;109618 794;109517 777
data,1241491200,811794.0;28940.0;590902.0;23878.0;764265.0;27622.0;815793.0;39099.0;1.13352159467;1.01381441038;1.34441387458,9679.0 509.0 109594;9764.0 594.0 109596;5036.0 333.0 109597;2395.0 111.0 109598;7678.0 460.0 109599;2966.0 75.0 109600;8991.0 346.0 109601;7799.0 589.0 109602;2734.0 173.0 109603;14400.0 492.0 109476;5867.0 641.0 109605;1888.0 61.0 109606;1539.0 60.0 109608;1636.0 86.0 109609;2498.0 71.0 109610;4282.0 166.0 109611;2446.0 257.0 109612;1799.0 29.0 109613;3127.0 237.0 109614;5835.0 354.0 109615;1987.0 143.0 109617;4054.0 92.0 109618;7219.0 210.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 876;109596 851;109597 938;109598 863;109599 855;109600 869;109601 821;109602 894;109603 871;109476 836;109605 895;109606 841;109608 863;109609 867;109610 829;109611 847;109612 904;109613 852;109614 848;109615 879;109617 927;109618 892;109517 882
data,1241491500,812650.0;28975.0;591766.0;23923.0;765125.0;27654.0;816669.0;39152.0;1.13382421054;1.01369116434;1.34458411628,9703.0 509.0 109594;9819.0 599.0 109596;5066.0 333.0 109597;2420.0 113.0 109598;7720.0 461.0 109599;2982.0 75.0 109600;9027.0 348.0 109601;7885.0 591.0 109602;2793.0 179.0 109603;14426.0 492.0 109476;5912.0 646.0 109605;1911.0 63.0 109606;1557.0 60.0 109608;1675.0 90.0 109609;2518.0 72.0 109610;4346.0 168.0 109611;2478.0 260.0 109612;1818.0 30.0 109613;3181.0 242.0 109614;5892.0 355.0 109615;2014.0 145.0 109617;4092.0 92.0 109618;7248.0 211.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 899;109596 842;109597 886;109598 881;109599 882;109600 835;109601 863;109602 833;109603 884;109476 868;109605 866;109606 897;109608 903;109609 887;109610 859;109611 848;109612 853;109613 838;109614 901;109615 878;109617 879;109618 856;109517 862
data,1241491500,813584.0;29031.0;592603.0;23957.0;766042.0;27688.0;817536.0;39191.0;1.1329454263;1.01292994013;1.34344491134,9730.0 510.0 109594;9891.0 605.0 109596;5085.0 333.0 109597;2461.0 116.0 109598;7752.0 461.0 109599;2995.0 75.0 109600;9059.0 349.0 109601;7973.0 598.0 109602;2860.0 179.0 109603;14442.0 492.0 109476;5951.0 646.0 109605;1933.0 63.0 109606;1585.0 62.0 109608;1717.0 93.0 109609;2538.0 72.0 109610;4380.0 169.0 109611;2520.0 264.0 109612;1838.0 30.0 109613;3251.0 244.0 109614;5925.0 356.0 109615;2057.0 148.0 109617;4112.0 92.0 109618;7265.0 211.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 850;109596 841;109597 891;109598 894;109599 883;109600 852;109601 863;109602 839;109603 851;109476 857;109605 844;109606 833;109608 861;109609 867;109610 895;109611 931;109612 901;109613 838;109614 910;109615 909;109617 855;109618 903;109517 832
data,1241491800,814478.0;29074.0;593454.0;24006.0;766886.0;27726.0;818400.0;39230.0;1.13320194756;1.01281699762;1.342849245,9752.0 511.0 109594;9982.0 608.0 109596;5101.0 333.0 109597;2501.0 118.0 109598;7769.0 461.0 109599;3003.0 75.0 109600;9083.0 349.0 109601;8078.0 606.0 109602;2905.0 181.0 109603;14462.0 493.0 109476;5984.0 647.0 109605;1948.0 63.0 109606;1615.0 62.0 109608;1767.0 98.0 109609;2561.0 72.0 109610;4426.0 172.0 109611;2598.0 274.0 109612;1847.0 30.0 109613;3326.0 251.0 109614;5964.0 358.0 109615;2099.0 152.0 109617;4123.0 92.0 109618;7277.0 211.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 815;109596 809;109597 857;109598 867;109599 893;109600 863;109601 852;109602 942;109603 892;109476 849;109605 848;109606 875;109608 872;109609 824;109610 987;109611 908;109612 880;109613 884;109614 884;109615 835;109617 846;109618 877;109517 841
data,1241492100,815359.0;29116.0;594293.0;24046.0;767784.0;27769.0;819283.0;39286.0;1.13307690222;1.01283416271;1.34282997629,9770.0 511.0 109594;10028.0 608.0 109596;5124.0 335.0 109597;2532.0 119.0 109598;7784.0 461.0 109599;3022.0 77.0 109600;9100.0 349.0 109601;8184.0 612.0 109602;2965.0 183.0 109603;14480.0 494.0 109476;6009.0 648.0 109605;1967.0 63.0 109606;1639.0 65.0 109608;1833.0 102.0 109609;2566.0 72.0 109610;4456.0 174.0 109611;2694.0 277.0 109612;1855.0 30.0 109613;3418.0 258.0 109614;6014.0 362.0 109615;2141.0 153.0 109617;4140.0 93.0 109618;7289.0 211.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 895;109596 838;109597 873;109598 934;109599 865;109600 879;109601 879;109602 894;109603 878;109476 867;109605 878;109606 882;109608 857;109609 858;109610 827;109611 809;109612 881;109613 862;109614 879;109615 851;109617 892;109618 877;109517 845
data,1241492400,816227.0;29148.0;595171.0;24096.0;768658.0;27811.0;820166.0;39340.0;1.13371890473;1.01317776286;1.34318177307,9790.0 512.0 109594;10096.0 614.0 109596;5143.0 336.0 109597;2563.0 120.0 109598;7805.0 463.0 109599;3038.0 77.0 109600;9113.0 350.0 109601;8288.0 617.0 109602;3021.0 187.0 109603;14502.0 495.0 109476;6045.0 649.0 109605;1978.0 63.0 109606;1661.0 67.0 109608;1923.0 109.0 109609;2583.0 73.0 109610;4496.0 175.0 109611;2789.0 284.0 109612;1874.0 30.0 109613;3490.0 264.0 109614;6061.0 362.0 109615;2175.0 155.0 109617;4156.0 94.0 109618;7298.0 211.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 856;109596 859;109597 904;109598 885;109599 886;109600 863;109601 906;109602 816;109603 869;109476 845;109605 884;109606 870;109608 894;109609 868;109610 879;109611 867;109612 900;109613 852;109614 836;109615 854;109617 868;109618 867;109517 872
data,1241492700,817068.0;29178.0;596026.0;24140.0;769540.0;27851.0;821026.0;39393.0;1.13416108726;1.01347321741;1.3435840129,9802.0 512.0 109594;10166.0 616.0 109596;5153.0 336.0 109597;2603.0 121.0 109598;7814.0 463.0 109599;3048.0 77.0 109600;9126.0 350.0 109601;8397.0 621.0 109602;3063.0 190.0 109603;14518.0 495.0 109476;6051.0 650.0 109605;1989.0 63.0 109606;1704.0 69.0 109608;2000.0 115.0 109609;2602.0 73.0 109610;4534.0 178.0 109611;2903.0 294.0 109612;1890.0 31.0 109613;3592.0 270.0 109614;6107.0 363.0 109615;2203.0 158.0 109617;4171.0 95.0 109618;7307.0 211.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 877;109596 888;109597 868;109598 869;109599 874;109600 880;109601 857;109602 845;109603 833;109476 847;109605 845;109606 898;109608 865;109609 857;109610 906;109611 893;109612 857;109613 905;109614 849;109615 884;109617 838;109618 876;109517 889
data,1241493300,818014.0;29213.0;596281.0;24151.0;770404.0;27903.0;821845.0;39442.0;1.13414537114;1.01418445108;1.34385864441,9812.0 512.0 109594;10184.0 618.0 109596;5161.0 336.0 109597;2615.0 121.0 109598;7828.0 464.0 109599;3053.0 77.0 109600;9136.0 350.0 109601;8412.0 622.0 109602;3084.0 191.0 109603;14524.0 495.0 109476;6060.0 650.0 109605;2000.0 63.0 109606;1718.0 70.0 109608;2005.0 116.0 109609;2611.0 74.0 109610;4548.0 178.0 109611;2910.0 295.0 109612;1897.0 31.0 109613;3601.0 270.0 109614;6119.0 364.0 109615;2215.0 159.0 109617;4181.0 95.0 109618;7324.0 211.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 917;109596 896;109597 851;109598 821;109599 874;109600 905;109601 860;109602 832;109603 859;109476 837;109605 960;109606 859;109608 884;109609 879;109610 861;109611 878;109612 834;109613 871;109614 842;109615 848;109617 930;109618 829;109517 873
data,1241493600,818904.0;29251.0;596545.0;24160.0;771226.0;27929.0;822766.0;39492.0;1.13382491115;1.01383200798;1.34377038751,9818.0 513.0 109594;10193.0 618.0 109596;5173.0 336.0 109597;2624.0 122.0 109598;7843.0 466.0 109599;3063.0 77.0 109600;9151.0 350.0 109601;8423.0 622.0 109602;3101.0 191.0 109603;14528.0 495.0 109476;6071.0 652.0 109605;2012.0 63.0 109606;1728.0 71.0 109608;2013.0 117.0 109609;2620.0 74.0 109610;4560.0 178.0 109611;2921.0 295.0 109612;1908.0 31.0 109613;3618.0 271.0 109614;6132.0 364.0 109615;2229.0 159.0 109617;4196.0 95.0 109618;7337.0 211.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 818;109596 887;109597 916;109598 870;109599 873;109600 847;109601 871;109602 919;109603 903;109476 806;109605 822;109606 903;109608 857;109609 875;109610 859;109611 838;109612 901;109613 894;109614 872;109615 916;109617 845;109618 886;109517 822
