Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,12.6505937545,13.8352124397,11.9800502672,11.1748129229
10,35.234842997,33.0357555881,32.5568203486,40.6475320691
20,38.7468944936,38.0305572834,36.2524919994,45.4417972016
30,41.2108347805,41.2567238427,39.3479864547,49.352302977
40,43.0869308903,43.9784224576,41.1072931366,51.5021011342
50,44.3680230284,46.3496788854,42.285374609,52.9403423862
60,45.6077675503,48.1799859344,43.5172563373,54.4646269263
70,46.4031334652,49.38242365,44.2651308558,55.6127743743
80,47.1498155774,50.3659531202,44.9918526853,56.786212141
90,48.2407139521,52.0004042379,46.1696048491,58.5917643816
100,48.6019248929,52.7882005167,46.6513458593,59.5154792387
110,49.1764398385,53.768673656,47.3148230046,60.3974952583
120,49.6500818586,54.8693817502,47.8237604591,61.4332987137
130,50.1705169694,55.6804497002,48.3319418352,62.4007117458
140,50.5546722058,56.0905616182,48.8077148096,63.2479228657
150,50.9093853363,56.3640759413,49.1624279401,63.6500099457
160,51.1225298642,56.8656889687,49.4334651759,64.0714119306
170,51.4204519567,57.5759164445,49.9261771354,64.8797018831
180,51.879392909,58.1793356259,50.3606971106,65.5110569141
190,52.2284036341,58.6094135938,50.7936923196,66.0498393489
200,52.7343159465,59.1964735043,51.3239920328,66.6557609205
210,52.9713204689,59.5359993948,51.5347694773,66.975056084
220,53.2830481542,59.9952562566,51.8394868142,67.499336215
230,53.3976319615,60.3660877531,51.9858994505,67.7871374951
240,53.6276004022,60.6845026109,52.2365970024,68.1858366339
250,53.7254286833,60.9257469438,52.3206509563,68.3743623222
260,53.8612724607,61.1218108572,52.4928943125,68.6070763093
270,54.1061246473,61.3987921809,52.7377464991,68.9869223316
280,54.256900598,61.8140337256,52.8916560546,69.3417367484
290,54.3773505815,62.1808551661,53.0209283724,69.6715798027
300,54.5299351504,62.3929808374,53.1746007961,69.9334171212
310,54.643810025,62.630836087,53.2968778078,70.1674985929
320,54.8504530874,63.0816398925,53.5136428446,70.5173812188
330,55.0329358552,63.3878382486,53.6820053478,70.7698093649
340,55.1619690328,63.5724710541,53.8545499832,70.9859565265
350,55.4073140938,63.8802395847,54.0974579953,71.2918571656
360,55.5221295798,64.1948852266,54.2095641948,71.5838853998
370,55.5724433489,64.3497772306,54.2598779639,71.7737840827
380,55.7502658148,64.634751844,54.4968980217,72.060919262
390,55.840341036,64.8460054019,54.6072936469,72.2381740365
400,55.9170522621,64.9917851435,54.684004873,72.4171019884
410,56.1230095853,65.2810100161,54.9328521319,72.691844901
420,56.2504287777,65.5228723453,55.0602713243,72.889208067
