Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,14.9307622184,6.66123372476,10.6740222074,14.8840458034
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,14.4390001066,15.1516219782,12.0741577012,13.3777681202
10,42.4321606086,28.3789852733,39.6437948931,48.7098161792
10,41.2757706037,38.2881510044,37.1681404887,44.2993292686
20,46.890941797,34.9035008095,44.1842586128,54.1016711641
20,44.4173026938,42.7920874833,40.4949878349,48.5535276193
30,45.7434021528,44.9655687717,42.1092612434,50.4735723689
30,49.6907441972,37.7506868767,47.1154594717,57.0692958784
40,47.1904254757,46.302011435,43.6083238086,52.3777074482
40,51.0611967896,39.3522515728,48.449741623,58.6070849204
50,48.2488803499,47.1643528068,44.9354924654,53.9016034802
50,52.1841667606,41.0934034414,49.6789601352,60.1665185307
60,48.9255141317,48.3652070985,45.6933781375,54.7679696553
60,53.6088390805,43.0456545365,51.1297838204,61.9983080918
70,49.862098948,49.5228289432,46.7507132527,56.0881040347
70,54.7197746587,44.2354193703,52.2783423078,63.4023933083
80,50.5998036297,50.3941593701,47.5316361565,56.9607787936
80,55.6718987812,45.1385029644,53.2602818803,64.564745877
90,51.2471818683,50.8830690684,48.1667106615,57.7018321068
90,56.6019025091,45.7734562776,54.2862689228,65.8052388927
100,52.0743068332,51.8146958825,49.0782487265,58.6234362757
100,57.4580502707,46.6277327177,55.0735256375,66.8123351732
110,52.5255820888,52.5124475549,49.5796586418,59.299465019
120,53.3944394398,53.4190259581,50.3902050602,60.1482502682
110,58.099104404,47.244308382,55.7215976979,67.4767697867
130,53.9419264707,54.104507782,51.0646394954,60.7862846256
120,58.7089610626,48.0123472693,56.3314543565,68.1372785534
140,54.4488078455,54.5875797682,51.5873556577,61.311350285
130,59.229385209,48.5621272769,56.8780076741,68.7559060263
150,54.9071465016,55.0685888554,52.0296864036,61.8721145852
140,59.7008790127,49.1178889999,57.3656200111,69.2435183633
160,55.1224605926,55.3633085507,52.2836015714,62.1474709482
150,60.3570305271,49.4092666531,57.9874402389,70.0424507766
170,55.5269994471,55.8431785967,52.6492073262,62.5488264893
160,60.8938703108,50.1550452491,58.5808543817,70.8364646468
180,55.8028173638,56.2760380079,52.9250252429,62.8499733076
170,61.2874646554,50.555890804,58.9626023112,71.4085163822
190,56.2901702268,57.061557902,53.4225519451,63.5714926983
180,61.9749910345,51.0775969825,59.5739279439,72.0989413758
