Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,12.3363458753,16.9851234328,10.3287084626,12.2825291891
10,37.9157870802,38.0687914619,37.2430004413,45.5367749935
20,40.4797233353,42.3495018633,40.1389280903,49.7544772607
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,14.5149910914,8.50034984213,14.0342993882,15.0842964684
30,43.0714865963,44.8876231636,42.6242869771,52.7478974392
10,39.3916718698,31.9339203389,38.0228928585,47.0609379775
40,44.5763413494,46.1178031423,43.9802454771,54.208912826
20,43.6472016586,37.6516808736,43.1757986152,53.1249359566
50,45.9336263948,47.3075096124,45.4186698513,56.0247236372
30,45.7846986518,40.1699876677,45.6311346065,56.1215285368
60,46.7610154468,48.3548671644,46.3388127446,57.3223505757
40,46.8347876988,42.6786679923,47.1092021834,57.7555713909
70,47.5933317979,49.2455702913,47.0475105088,58.3698526788
50,48.2052483902,44.7329106574,48.8853168534,59.6506968564
80,48.3563279284,50.1160439679,47.722792004,59.2805871101
60,49.4410397935,46.1469500155,50.3120143925,61.2608345238
90,49.0940167084,50.8910293416,48.3675677647,60.1474637393
70,50.7626474797,47.5991258398,51.6169502476,62.6877142964
100,49.9591239515,51.7224387405,49.1884633889,61.0783100141
80,51.5179906465,49.0133159651,52.2149423163,63.4638888161
110,50.5054529536,52.5562149843,49.7033569446,61.8150920473
90,52.5101455545,50.3706592058,53.119038796,64.5630675404
120,50.8284078552,53.1124190487,50.0304420731,62.3225546153
130,51.195048371,53.9711468498,50.3559254656,62.8501382338
100,53.4012806222,51.1313575547,54.0797918383,65.582842713
140,51.5039330409,54.5018996851,50.7368555019,63.3274737531
110,54.2743932689,52.019157778,54.9729723533,66.560489133
150,52.080159366,55.0880255383,51.3364403121,64.0355288684
120,54.7594496805,52.6941152457,55.4734210506,67.2147181051
160,52.5291076911,55.7145258764,51.7534926331,64.540713596
130,55.3693317382,53.5250228874,56.1486543538,67.9484811874
170,52.961657285,56.3762732001,52.1836765958,65.2374556314
140,55.8185752316,54.1292425411,56.5982929789,68.6579629085
180,53.1205086326,56.8459866172,52.3403435455,65.5500902516
150,56.4374375976,54.6128067765,57.1660010029,69.3156071422
190,53.3078157876,57.0640883153,52.5267087037,65.7531058903
160,57.0617765132,55.2752592669,57.8144594169,70.0724313063
200,53.7965450302,57.7464851579,53.0113648788,66.318597185
170,57.7741979328,56.0086187291,58.4177350816,70.7814967535
210,54.3201155499,58.3613987552,53.5372486881,66.8386159872
180,58.3954058506,56.8192678462,59.0309751651,71.4436488001
220,54.5184441471,58.6074922173,53.7265146288,67.1320027478
230,54.6913962857,59.0113675324,53.9651847587,67.3848356131
190,58.8229623388,57.3445220487,59.4289488333,71.909229908
240,54.9169914013,59.4591614337,54.1907798744,67.6791020641
200,59.0314167359,57.7456160349,59.6221360514,72.2586173792
250,55.3234824312,59.7590561506,54.6750021511,68.261886072
210,59.2850906689,58.0066149142,59.930073159,72.6339660298
260,55.4640575889,60.0059423554,54.8217725556,68.5042429747
220,59.6497428205,58.3847233491,60.2917075114,73.1475479022
270,55.8864022464,60.4913150426,55.3263139506,69.0351306662
230,60.0509322194,58.934504833,60.7499560314,73.7475270436
280,56.1848566629,60.7492521729,55.624768367,69.3613133108
290,56.4455294139,61.0934428792,55.9062003727,69.7291124438
240,60.2850370541,59.255221968,60.960698526,74.0891372074
300,56.6702695322,61.3377290361,56.1638522748,70.0733222246
250,60.6440863498,59.7379049645,61.2665631163,74.505874038
310,56.8545060981,61.6770516778,56.3424900944,70.2985191974
260,60.9347645058,60.1757760369,61.5917021301,74.8887793717
320,56.998114108,61.9192351594,56.4216191063,70.4400302067
270,61.0681268184,60.5498659385,61.7329335741,75.0357063892
330,57.2290847493,62.1509163825,56.6525897475,70.6710677371
280,61.2945444338,60.8394600446,61.9593511896,75.2661109617
340,57.4469275156,62.4806422328,56.8524857759,70.8862272939
290,61.5816427654,61.1335003153,62.1664302176,75.5272967358
350,57.7056621376,62.6847034338,57.1408570585,71.1405248327
300,61.7604614026,61.4241695874,62.4035676762,75.8449916343
360,58.0332330394,63.0054790487,57.4684279604,71.5628489284
310,62.1148560858,61.6236074368,62.8139222266,76.2540186399
370,58.0964718109,63.172265516,57.5389581381,71.6665692581
320,62.3419865491,62.0319146767,63.1082865304,76.6094131296
380,58.2275808841,63.3513364875,57.6296212814,71.7945318221
330,62.5917259753,62.3277621939,63.3658555015,76.9235458622
390,58.447156625,63.4926895912,57.8491970223,72.0506967437
340,62.9608225479,62.6687173054,63.6571129625,77.2026737422
400,58.5763178164,63.6834496814,57.9783582137,72.2303293915
350,63.0863851375,62.8446992187,63.7942867992,77.3809220656
410,58.819174421,63.9083478788,58.1969155332,72.4845142265
360,63.47427404,63.1564386714,64.2287597392,77.8700208904
420,58.9823165868,64.0418137812,58.360057699,72.6476563923
