Time(Iteration),syncCoLinUCB,GOBLin
0,2.61560131456,2.89093784663
10,6.62272183128,7.9733126826
20,9.00536445637,9.71859688497
30,10.3984490799,10.7798817625
40,11.7235937465,12.0434593307
50,12.7191607802,12.5330870724
60,13.5999094617,13.4072451836
70,13.9675905259,13.7551982176
80,14.4188179451,13.9938661751
90,14.873588284,14.1846202995
100,15.2109629309,14.679730874
110,15.6357473718,14.8140431644
120,15.8763219056,15.0764812407
130,16.1502430126,15.4594393543
140,16.5099794714,15.6282249392
150,17.018970635,15.8063680895
160,17.2158870872,16.1826810151
170,17.5024673539,16.5003412626
180,17.6361299172,16.6463917689
190,17.7279639202,16.9035608818
200,17.9565260821,17.1222975544
210,18.0580375639,17.223150144
220,18.2619345907,17.3599720036
230,18.3899224721,17.5106068665
240,18.5111681322,17.6152213673
250,18.6108976746,17.6876614225
260,18.7942963082,17.8069676186
270,19.0668750125,18.0082325579
280,19.1926092769,18.177909562
290,19.3759500372,18.2796172706
300,19.4785057079,18.4108044009
310,19.5768864473,18.5110156699
320,19.6819944324,18.6109668188
330,19.8527556726,18.6465559827
340,20.0081384572,18.7367589428
350,20.127359875,18.898973398
360,20.2692502151,18.9952535422
370,20.3783151609,19.0148443723
380,20.4981513988,19.0863066097
390,20.6106475993,19.2218877266
400,20.717155038,19.2765362164
410,20.781227935,19.4144796125
420,20.8608072236,19.4305565712
430,20.9446841376,19.506964789
440,21.0504662391,19.6001587934
450,21.1137347723,19.679715647
460,21.136777355,19.7304946697
470,21.172335746,19.7699235771
480,21.1970968762,19.7869113035
490,21.2890291268,19.8484967172
