Time(Iteration),GOBLin
Time(Iteration),GOBLin
Time(Iteration),GOBLin
Time(Iteration),GOBLin
0,19.8707160927
0,14.4549295867
0,12.0087825312
Time(Iteration),GOBLin
Time(Iteration),GOBLin
Time(Iteration),GOBLin
0,16.7342586297
0,11.5461170474
0,10.208325941
0,8.13308628532
10,44.1397961005
10,42.6113960692
10,46.5244521377
10,35.7561044051
10,46.9374597807
10,35.4056801419
10,36.9849403877
20,49.695339732
20,40.1144459195
20,50.7792123743
20,41.7441630946
20,49.2645323378
20,51.8540936329
20,42.5856568053
30,53.4987437121
30,42.9543737005
30,53.412141499
30,52.7984752573
30,54.3656790423
30,44.4554564966
30,46.3396625483
40,55.835851037
40,45.4871987316
40,55.5551539485
40,56.5367270626
40,54.8940451777
40,47.077629777
40,48.8407939414
50,57.0062817043
50,57.042484318
50,47.3333770326
50,58.3382408773
50,56.417890756
50,50.9357208844
50,48.8067474506
60,58.1863224449
60,58.0926686758
60,58.4542215599
60,49.2372160121
60,60.1310150091
60,52.7725759819
70,59.4703820942
60,50.4142892066
70,59.308517125
70,59.0527790944
70,61.2925845548
70,50.5713745549
80,60.5637332333
70,54.5101482924
80,60.303884153
70,52.3027466648
80,60.0827230967
80,51.3439344016
90,61.5365013372
80,62.0806006089
80,55.6258937787
90,61.303316288
80,53.5511363026
90,60.8103040357
100,62.5075501884
90,52.8191244549
90,62.8256073957
90,54.1612760022
100,61.979967907
90,56.7304592656
100,61.1908948818
110,63.3875064699
100,53.76722007
100,63.938140346
110,62.5461427139
100,55.0079503492
100,57.7769014384
110,61.9503624982
120,64.2612458678
110,54.4394093924
110,64.6480610361
120,63.2997049472
110,58.8413002058
110,55.8335903711
120,62.4101221589
130,64.950879929
120,55.1896888532
120,65.3868406012
130,63.7089529117
120,59.534172411
120,56.6227693027
130,62.8947386438
140,65.5416244339
130,56.0580034568
130,65.9942649394
140,64.2769188573
130,60.0444993987
150,66.2295060726
130,57.5752863707
140,63.7037138765
150,65.2935483848
140,56.9410347328
160,66.9798412576
140,66.3146452037
140,60.7786577627
140,58.2223240937
150,64.0182968265
160,65.6329080992
170,67.4951445038
150,57.8767118291
150,67.1041613638
150,58.9359471046
150,61.2095061875
170,65.9274203638
160,64.3169936078
180,67.9360058572
160,58.7868499801
160,67.5651717099
180,66.3895166567
160,59.7534056779
160,61.6617074036
190,68.2839970014
170,64.7802918314
190,66.7203986924
170,59.4351690654
170,68.0574631311
170,60.2396334715
200,68.4725423223
170,62.3317368899
180,65.0988400374
200,67.0965028171
180,60.2024938664
210,68.8266028162
180,68.4088997865
180,60.5977340201
180,63.0693483003
190,65.5071773216
210,67.556266804
220,69.1741755538
190,60.8559131573
190,68.6975025534
190,61.1630195513
190,63.5182239222
200,65.8038236397
230,69.4711178955
220,67.985827019
200,61.4584114336
200,69.0728290969
200,61.803116274
240,69.7722961715
230,68.3481386629
200,63.7942836532
210,66.1424540585
210,69.3929037141
210,61.7474998624
250,70.0661812361
210,62.2142979228
240,68.6495035645
210,64.0375801503
220,66.5615753733
260,70.4906810586
220,69.5972680288
220,62.3240608139
250,69.0945475667
220,62.5406937405
270,70.8100510865
220,64.2823298632
230,66.901739062
230,69.9772480129
230,62.7901081119
280,70.9237123921
260,69.5225537133
230,62.7533115601
230,64.8361950174
240,67.1914798401
240,70.2349787159
290,71.1827066758
270,69.8279479277
240,63.3367896231
240,63.0977815865
250,67.4305509118
240,65.2215483585
300,71.4758330364
250,70.4865565398
280,70.3909670792
250,63.7466078289
250,63.3207483491
260,67.6288626016
310,71.6837569904
290,70.697678849
260,70.8692782092
250,65.5839773786
260,64.2623674072
260,63.5244850578
270,68.1801191136
320,71.963116375
300,70.9737797622
270,71.0728941154
260,65.813445619
280,68.4914197758
270,64.5779033522
330,72.2107637187
310,71.2548394148
270,63.8044008856
280,71.3671273377
270,66.150291626
290,68.902269596
340,72.4291910642
320,71.4077476005
280,65.2297782652
280,64.021884128
290,71.612606956
350,72.5488154031
300,69.3068500469
330,71.5940241022
280,66.567045418
290,65.633123333
290,64.3369098292
300,71.8322271992
360,72.749774205
310,69.5120867172
340,71.801334126
300,66.0976244388
290,66.8536931678
300,64.5365442849
370,72.8933071888
310,72.0644857508
