Time(Iteration),GOBLin
Time(Iteration),GOBLin
Time(Iteration),GOBLin
Time(Iteration),GOBLin
0,12.8880089218
0,16.0927124633
Time(Iteration),GOBLin
0,12.1145118513
Time(Iteration),GOBLin
0,14.6570254014
Time(Iteration),GOBLin
Time(Iteration),GOBLin
0,16.9685873711
0,13.6514363845
0,12.4559829777
0,13.0552652353
10,45.4142126487
10,44.326959116
10,44.6246873821
10,42.4902160684
10,40.1451501225
10,41.6170421459
10,43.9891804188
10,43.5415513814
20,50.0522493202
20,48.3071582266
20,48.149987136
20,49.143522915
20,45.376249563
20,46.501040169
20,46.9285571759
20,49.1191553272
30,52.7779263509
30,52.0837678174
30,51.6475998419
30,47.9909268097
30,51.5252949566
30,49.543939541
30,52.0964111717
30,49.0765548665
40,54.5494133819
40,53.9735978532
40,54.2708824533
40,50.4285982312
40,53.44782842
40,51.1567906814
40,53.6963709468
40,51.0352444684
50,55.8870170231
50,55.6470008537
50,56.329815676
50,51.9969655476
50,52.2115893764
50,55.2610602595
50,55.3686734522
60,56.9417413365
50,52.152704614
60,57.0143633997
60,57.5698671102
60,52.8223034827
60,52.928224228
60,56.4573618201
70,57.9384417292
60,56.6127521899
60,53.1337250409
70,58.3744245615
70,58.6538430087
70,54.4290997018
70,54.0469831402
70,57.6130311868
80,58.8395491804
70,53.9297741964
70,57.6752623042
80,59.7939047038
80,59.5441843725
80,55.6112913345
80,54.5938686558
80,58.2206451896
90,59.5971069358
80,58.540968688
80,54.7924728926
90,60.4142895463
90,60.0230064202
90,56.3383973986
90,55.1392343342
90,59.0516505943
90,59.2709568782
100,60.8363382724
90,55.2580609552
100,61.1269985557
100,60.5247358235
100,57.0034648518
100,55.6900994761
100,60.2255795803
110,61.3925475174
100,55.8868151279
110,62.0730425305
100,59.8163554975
110,61.3305330218
110,57.5432488772
110,56.1919291206
110,60.9257989578
120,63.0736515637
120,61.8756525453
110,56.4835309743
110,60.4088511319
120,61.8823189289
120,61.3292692096
120,57.9961217398
120,56.6860039722
130,63.8417020897
120,56.8035065779
130,62.4139785954
130,61.8656067316
120,61.3859111298
130,62.5843277553
130,57.1460408807
130,58.7240808492
140,64.7141716413
140,62.5399156352
130,57.2435872567
140,62.8816726521
130,61.8765535468
140,63.1233553716
140,57.5248812667
140,59.1120669002
150,65.2300321079
150,63.1300368036
140,57.7476696296
150,63.420782085
140,62.310230315
150,63.9278589903
150,59.6488317547
150,57.7825352024
160,65.6245174178
160,63.641368292
150,58.159186902
160,63.9835523461
150,62.8883199992
160,64.4240596992
160,60.4552736228
160,58.1186029221
170,65.8838057755
170,64.3452353391
170,64.5384014517
160,58.5287860612
160,63.267392078
170,64.7636302687
170,60.8347230379
170,58.4424085698
180,66.1295229819
180,64.9002485286
180,65.0775903621
170,58.9230784899
170,63.8059278287
180,65.3439024877
180,61.4463840695
190,66.4706345871
180,58.8851345352
190,65.3844353236
180,59.1467463696
190,65.8068113051
180,64.1467539854
190,65.847671203
190,61.8399853377
190,59.1304125116
200,66.9138941922
200,65.7468715094
190,59.6088504894
200,66.1729735486
190,64.6536859523
200,66.45340458
200,62.1720094869
200,59.3070014918
210,67.2619858628
210,66.0904159061
200,59.8421999883
210,66.7388100404
200,64.9756156095
210,66.9905367295
210,62.419349928
210,59.4186701551
220,66.2640457029
220,67.4667476195
210,60.1309185282
220,67.1595754983
220,67.5199004368
210,65.4607992011
220,59.7772440185
230,66.6497255778
220,62.7479778466
220,60.5725011158
230,67.3907450974
230,67.8870069068
230,67.929805026
220,65.7569015875
230,60.0031580429
240,67.7172463376
240,67.0719045472
230,61.1228724895
230,63.2377075958
240,68.2280071746
240,68.3387422833
240,60.2824189363
250,67.9601966213
230,65.9785385933
250,67.4565183294
240,61.4888758833
240,63.5401879127
250,68.5399595255
260,68.1785496428
250,68.6361961649
250,60.6427040191
240,66.3995396795
250,61.7863160966
260,67.838208841
250,64.0217468493
260,68.9648566249
270,68.5500195176
260,60.7857202677
260,69.1605517208
260,61.9627805054
250,66.7120126678
270,68.2066589432
260,64.2904068153
280,68.895668201
270,69.2280344362
270,61.0421592789
270,69.4176077152
270,62.1709626975
280,68.3687440624
290,69.1924582429
260,67.0166737563
270,64.647332287
280,61.3293494029
