Time(Iteration),GOBLin
Time(Iteration),GOBLin
Time(Iteration),GOBLin
0,28.9691523343
0,36.8786960334
0,34.5063978998
10,91.4589531375
20,99.8541766251
10,96.908548194
10,93.8827054757
30,103.633710535
20,101.457852928
40,106.658035562
20,106.573134747
50,109.473107283
30,105.244544183
30,110.502757149
60,111.860730557
40,108.653195042
40,114.47249997
70,113.085692615
50,111.491076663
50,116.808950887
80,114.725016944
60,114.075468484
60,119.043196023
90,116.205375188
70,116.752540881
70,120.800763169
100,117.487689536
80,118.37534235
80,122.352067177
110,118.607291463
90,119.401150006
90,123.625179249
120,119.531906633
100,120.488579278
100,124.820536506
130,120.598773487
110,121.857549939
110,126.344901785
140,121.641162302
120,122.689415691
120,127.318985826
150,122.418418695
130,123.550851332
130,128.426877862
160,123.060929757
140,124.197641124
140,129.344993316
170,123.999565127
150,124.763448904
150,130.199345178
180,124.789950293
160,125.373251243
160,130.938147391
190,125.374627848
170,126.011574022
170,131.644808476
180,126.844502906
200,126.155868237
190,127.362605305
180,132.274339449
210,126.474012222
200,127.96374978
190,132.772684183
220,126.816431088
210,128.450694372
200,133.421173648
230,127.266938345
220,129.106373558
210,133.878784779
230,129.563581465
240,127.483442602
220,134.466954785
240,130.065830503
250,127.983384084
230,134.889683241
250,130.383583602
260,128.200905999
260,130.693848365
240,135.330783747
270,128.603205659
270,131.278892511
250,135.9417305
280,128.837290306
280,131.599581511
260,136.563205079
290,129.166998801
270,136.964775219
290,132.055374565
300,129.463558724
280,137.500525535
300,132.318763947
310,129.781761172
290,138.022808801
310,132.657882839
320,130.052995503
300,138.433089307
320,132.934485669
330,130.341059144
310,138.912836577
340,130.765468241
330,133.245536503
320,139.294802623
350,131.119927065
340,133.654663664
330,139.813561283
350,134.039129433
360,131.573511368
340,140.211925704
360,134.331512922
370,131.939508141
350,140.537410725
370,134.577223486
380,132.297136249
360,140.865087178
380,134.880116758
390,132.493978808
370,141.128564588
390,135.095641847
400,132.799762206
380,141.486569766
400,135.406742434
410,133.050740608
390,141.780161452
410,135.770087584
420,133.331761964
420,136.02126378
400,142.143028418
430,133.474569717
430,136.503778883
440,133.747859335
410,142.469758849
450,133.926030613
440,136.95838299
420,142.817402772
460,134.332235511
450,137.282844493
430,143.161551555
470,134.49110062
460,137.611371791
440,143.538065786
480,134.897267091
470,137.949881042
450,143.752263342
490,135.199233813
480,138.291995261
460,143.917450466
490,138.771289465
470,144.177497964
480,144.423143557
490,144.625139225
