Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,12.4801503997,13.7638873715,11.1035710138,13.9739389332
0,13.7293930061,9.54605305935,14.8421751076,13.5311086479
0,11.9493137989,7.88393064777,12.0609414518,12.8792695001
10,37.6012731688,30.6687076264,38.8317494408,45.9699267616
10,38.4069168949,29.8646931531,38.1284827918,47.7717094863
10,33.9491333001,39.3196869557,32.3145947691,42.9372589095
20,41.3326421508,35.376294543,42.6204373013,50.8851607792
20,42.2503203715,34.7996845655,41.9378157858,52.9283721472
20,37.2706868969,45.3095142324,35.945586559,48.1598349821
30,43.2131717775,38.3448682364,44.5219897501,54.037320082
30,45.1247167443,37.9137950788,44.4467424902,56.0938903129
30,38.3740338437,48.3493087834,37.2244234147,50.3696932364
40,46.8670636886,40.1282895225,46.1668520721,58.456937089
40,44.8378687416,41.1562202045,45.9515412604,56.1012701822
40,39.3950113936,50.2500963403,38.1254417698,51.9193881821
50,47.9906018395,41.6424104056,47.1841044626,60.4241830246
50,45.64198179,42.962093903,46.7794196858,57.3692163724
50,40.4456380411,52.2878534757,39.3415683565,53.7297939362
60,48.6032207114,42.9144737969,47.7336519361,61.3695760981
60,46.5820197685,44.8765562017,47.6717946596,58.4845038317
60,41.1750999839,53.5921418648,40.2029160061,55.3082237114
70,49.128041708,44.2680661369,48.268855367,62.5873527401
70,47.6160495855,46.3777052309,48.6230743599,59.8258352269
70,42.0940323819,54.3589240528,41.0821246876,56.9315847601
80,48.4298618667,47.5587398651,49.5175546124,61.615976746
80,42.5186998647,54.9511363648,41.6476499595,57.685903821
80,49.8420373062,45.0221976984,48.8849582364,63.7167796698
90,49.0176657491,48.813967136,50.0642971844,62.5401912434
90,43.0697697102,55.5830446115,42.0912725834,58.6034734453
90,50.4446119316,46.3096601846,49.4951967743,64.9236374115
100,43.66332291,56.1878010565,42.6650016596,59.344175821
100,49.5869576681,49.5765071644,50.6120317938,63.3495460468
100,50.9963637299,47.0290694973,50.0289500902,65.9253842718
110,44.2101801245,56.8275674684,42.9780107342,60.1410018244
110,51.287973152,47.7095214102,50.2672722269,66.589021044
110,50.0710414565,50.3550723451,51.1259109724,63.9392088013
120,51.9360967102,48.3706697658,50.8524732301,67.576045952
120,44.7629748759,57.5743981861,43.3719703301,60.8616742382
120,50.6359883009,51.2664910651,51.6935516439,64.7549586611
130,52.4675149048,49.1528919869,51.3966819612,68.3105907271
130,45.5154244428,58.4950648854,43.9090950193,61.6946405837
130,51.0336943627,51.966325106,52.091117532,65.2534485897
140,52.8237729295,49.6398476274,51.7523164172,68.7672380877
140,45.7766314719,59.0858944509,44.1597923567,62.3365312077
140,51.2961528507,52.4872232425,52.435038873,65.7733624387
150,53.2025663942,50.1752708406,52.1399370147,69.4844837481
150,46.2701430263,59.7380550592,44.4960099542,62.9571871358
150,51.6030276187,53.1149203891,52.7476309984,66.2669507635
160,53.5910421842,50.9192806553,52.540480776,70.3651799891
160,46.5885284157,60.3956363121,44.8635298604,63.5968417561
160,51.9144885328,53.7114741428,53.0310519262,66.7244353076
170,53.9386601522,51.2155797059,52.8551274095,70.8850587546
170,46.9278011827,61.2311566889,45.1139383293,64.365513453
170,52.3998151572,54.2261094775,53.5052057791,67.2588727691
180,47.2160663106,61.783103098,45.3380429367,64.7688408532
180,54.1885910614,51.6801689977,53.1202108157,71.3256118761
180,52.8401516291,54.7914428168,53.945542251,67.7364003006
190,47.8256497806,62.3264146953,45.8515592815,65.640254727
190,54.3925733947,51.9672088665,53.3073660177,71.6216768178
190,53.2049627169,55.358251164,54.3616908806,68.2665143424
200,48.1733854479,62.9190077423,46.1486140445,66.3229681982
200,54.5220537025,52.5665420269,53.480539826,71.956993325
200,53.6808522421,55.9028735893,54.8615305073,68.8498838895
210,54.7150718502,52.9239730974,53.6685851396,72.3005047693
210,54.1131630897,56.279574192,55.2938413549,69.3061330207
210,48.4772283024,63.3838717243,46.3350885087,66.8205080427
220,54.4046569004,56.7211777232,55.5804788059,69.6967209088
220,48.8008486789,63.8678784228,46.6489674362,67.4559044931
