Time(Iteration),syncCoLinUCBCoTheta,GOBLinCoTheta,syncCoLinUCBTheta,
0,0.804088639255,0.714442927436,1.0,
10,0.344069746473,0.24494147247,0.563499397504,
20,0.258081277428,0.265954346323,0.417618018634,
30,0.205487997274,0.246778343872,0.438661746799,
40,0.184464563568,0.19088313837,0.502651752448,
50,0.176994702259,0.167315255704,0.522063441971,
60,0.170530672238,0.158128590473,0.538617201464,
70,0.166880613318,0.156014856353,0.590907366645,
80,0.160753134241,0.151976010564,0.641071065492,
90,0.141544262386,0.15217737666,0.714918634077,
100,0.135438345297,0.156304975785,0.748433915718,
110,0.126738302252,0.15404365035,0.778360321507,
120,0.121458109587,0.152337624806,0.8039853683,
130,0.116383266984,0.146212348241,0.821557378236,
140,0.116617643713,0.138704728132,0.849791557565,
150,0.11239238838,0.139132089751,0.878897934498,
160,0.107924544992,0.134097412965,0.90272521154,
170,0.103265652336,0.131484399281,0.936634738522,
180,0.101089538135,0.129911901013,0.95847630217,
190,0.100112591375,0.127413581412,0.973988147534,
200,0.0992859337936,0.131665648779,0.989602166745,
210,0.100910628857,0.128912422884,0.99450864293,
220,0.102507620603,0.12666927582,0.990900886823,
230,0.0998451563459,0.128361377788,1.01375061364,
240,0.0957376212384,0.129316967908,1.02095137801,
250,0.0927459225142,0.131445788159,1.03286567548,
260,0.0912061139969,0.127886551931,1.04834883362,
270,0.089463244267,0.128349919772,1.06116699613,
280,0.0860265960321,0.131964292596,1.07504080515,
290,0.0844553900745,0.128071402459,1.07922869644,
300,0.0837740445887,0.12651651729,1.08712729462,
310,0.0819648842508,0.126171468476,1.09884359946,
320,0.0816398913654,0.12555905738,1.0997104117,
330,0.0810591780322,0.130569220135,1.11530806912,
340,0.0812301881725,0.128558095982,1.12335112377,
350,0.0797750635336,0.127784045786,1.13441027291,
360,0.0778266385605,0.12798189732,1.15200669231,
370,0.0772893603382,0.124454005765,1.1587435464,
380,0.075050056763,0.1255142097,1.17281755956,
390,0.0742109612578,0.121115188405,1.18737153849,
400,0.0732402942944,0.119046638783,1.19482598115,
410,0.0707477460537,0.120896218922,1.20932066914,
420,0.0696317792186,0.122084639813,1.21733756875,
430,0.0682116161981,0.121072036391,1.22490583871,
440,0.0666592948457,0.120837903375,1.23994896803,
450,0.065488027996,0.117044258938,1.23684410424,
460,0.0636794053753,0.117812076885,1.24505302325,
470,0.0626721477525,0.117426053588,1.25376606882,
480,0.0605876006727,0.119028725086,1.26415440121,
490,0.0602475223089,0.115661100153,1.26887381804,
