Time(Iteration),syncCoLinUCBCoTheta,GOBLinCoTheta,syncCoLinUCBTheta,
0,0.804088639255,0.697290832883,1.0,
10,0.308780609907,0.328841546429,0.495784764119,
20,0.226973344169,0.262203522426,0.366102691184,
30,0.196902941604,0.231690052211,0.367848021353,
40,0.156618561277,0.237212870432,0.375109935725,
50,0.152201914335,0.228761622102,0.403917994358,
60,0.137537987722,0.222744900435,0.457402199357,
70,0.134060126478,0.189626227662,0.496005865494,
80,0.136996540828,0.19279416552,0.515046243358,
90,0.130920700396,0.173817855736,0.535954601033,
100,0.116078141044,0.177857456808,0.552193408761,
110,0.110948616355,0.160472186872,0.567581077612,
120,0.112675658703,0.142358526067,0.580100277565,
130,0.109293485643,0.137772753709,0.580149509263,
140,0.112671100861,0.134292952388,0.591491017449,
150,0.105501996798,0.132681708037,0.615447704237,
160,0.0992685858773,0.133634302977,0.641658370123,
170,0.0930263220813,0.136353138423,0.655898934327,
180,0.0924358333844,0.144954912567,0.678233343323,
190,0.0865373470646,0.141552325909,0.709039806435,
200,0.0846762785957,0.135479208361,0.703082019846,
210,0.0829218846284,0.130916490792,0.718757069871,
220,0.083544303386,0.130748722404,0.726745523802,
230,0.0839616823654,0.125603810931,0.723359211338,
240,0.0902250695106,0.124488953857,0.724799503762,
250,0.0891521948479,0.124882282364,0.733635806258,
260,0.0884712623136,0.1223069374,0.721688970868,
270,0.0809421578297,0.118309741177,0.72539980369,
280,0.0769920293921,0.122813670914,0.732011618667,
290,0.0718466147288,0.122524077556,0.74761697017,
300,0.0674410886773,0.123024651325,0.762607962833,
310,0.0669039693059,0.123041920419,0.771603043011,
320,0.0680034174203,0.124396455622,0.764441170809,
330,0.0673533187044,0.124089773552,0.764429040103,
340,0.0659473176888,0.125722612094,0.773715917897,
350,0.0663897666239,0.124741196679,0.769347105561,
360,0.0663533157726,0.122415172271,0.771638895674,
370,0.0653407770423,0.12093698087,0.77842065377,
380,0.0647737263248,0.120875380563,0.779240190697,
390,0.0599492280622,0.121826795644,0.783458719287,
400,0.0582469702117,0.124540472952,0.784433703407,
410,0.0583566737957,0.121104501149,0.781755392989,
420,0.0569551881987,0.119246799223,0.778968064625,
430,0.0582503765884,0.118538305151,0.776132809926,
440,0.0574288096408,0.114683837031,0.775182767801,
450,0.0572711428886,0.117347789959,0.784128275136,
460,0.0554918728612,0.118371154558,0.797093023535,
470,0.0586400894058,0.114676629146,0.801519191587,
480,0.0567652276446,0.115499805286,0.807314404933,
490,0.0565358000046,0.115273594647,0.810109291409,
