Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,12.140378037,6.53233385385,9.84710424769,12.4618202746
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,10.5453198821,11.9446329327,11.8654872192,11.2791158509
10,40.0400605756,32.9382441206,38.8026967031,42.7685963255
10,39.1732643733,30.3133869358,36.5476627839,45.7172638745
20,43.8543704259,38.7871917892,42.6896772189,46.6978576159
20,43.2800474999,35.7589318497,41.4072812916,51.2544108594
30,45.7857336158,41.515698462,44.6184994702,48.7750758996
30,45.6419065566,39.1890269415,43.7881296818,53.8829478161
40,47.5599676351,43.5959846851,46.2611866195,50.5165820812
40,46.6992200073,40.7038185619,45.055868369,55.6437332417
50,49.2749671722,45.301596868,48.0518768386,52.6847872714
50,48.7017116177,41.9981075215,46.7739492241,57.3949414692
60,50.4197248658,46.8038938616,49.2138452704,53.8590608125
60,49.6396235589,43.1859374007,47.7158403999,58.537709145
70,51.2457984761,47.6134691119,49.9858696865,54.7049362274
70,50.6381564868,44.5062311473,48.6697978983,59.722725708
80,52.3881617209,48.626032017,51.1162704358,55.8212598331
90,52.7851951704,49.298422866,51.4676721962,56.2351202679
80,51.3456316614,45.2643612468,49.2706233981,60.4274420442
100,53.507453801,50.1828641407,52.2842089717,57.0296587658
90,52.4387037892,46.4687888685,50.274016651,61.4904619932
110,54.178157098,50.7954276304,52.9503867455,57.7028348897
120,54.530919016,51.5657143105,53.3403981831,58.119368128
100,52.9296926467,47.1248541642,50.7062504734,62.1130498484
130,55.012652901,52.2026784168,53.8221320681,58.6285869015
110,53.7097577591,47.7857469024,51.4739899492,63.0047099076
140,55.2968980961,52.7288393133,54.136022317,58.9243374088
120,54.1504408155,48.4717629631,52.033600028,63.6713247386
150,55.5551855602,53.1747636552,54.3977336802,59.1956137466
130,54.7497876997,49.1773868102,52.6567898121,64.479679934
160,55.8978297148,53.6494629564,54.7523419673,59.5382579012
170,56.0667357676,53.9256977739,54.9428855391,59.7151391277
140,55.1640723332,49.8191637266,53.0607200917,65.1105460589
180,56.470298086,54.2838141968,55.3248146424,60.1187014462
150,55.7367254399,50.386998679,53.5556049413,65.6944553594
190,56.9223311113,54.8123486219,55.7834980833,60.5950288609
200,57.2306288242,55.0657559304,56.1094471109,60.9158132786
160,56.0468161588,50.736004341,53.8656956602,66.0878022427
210,57.4092232502,55.2941178558,56.312327806,61.1149389279
170,56.3686090161,51.1423977509,54.1874885175,66.4645922938
220,57.6008838294,55.6064430708,56.4893345147,61.2835715724
230,58.1491424727,56.2307517918,56.9908472257,61.9293286597
180,56.7923122702,51.5105195813,54.6103995821,66.9608262801
240,58.3737393345,56.4269371685,57.2047591319,62.2502640278
190,57.0812032624,51.9246363233,54.9388065418,67.4171862491
250,58.7685163461,56.7989435758,57.5995361434,62.672883521
200,57.2905426595,52.1549541589,55.1344270737,67.6236271604
260,58.9697395646,57.1544820565,57.800759362,62.8707622286
270,59.0906396095,57.381248267,57.9147134865,63.0223475082
210,57.543593745,52.3859238108,55.3349865581,67.9160560547
280,59.2537092151,57.645153029,58.0777830921,63.2432347644
220,57.8575981043,52.67777413,55.6233030298,68.2714864458
290,59.4435834463,57.7844296831,58.2596269317,63.4068898658
230,58.2090805675,53.0414033657,55.9773274482,68.7245296795
300,59.6647608034,58.001795754,58.4764022339,63.6280672229
240,58.4549739411,53.4802402164,56.2084425572,69.0916943534
310,59.8592036923,58.2362384111,58.6708451227,63.8225101118
250,58.604682801,53.7463616939,56.3581514171,69.3701600775
320,59.9719443165,58.3213454104,58.7827513616,63.9326338086
330,60.1567577556,58.5552555349,58.9675648007,64.1174472477
260,58.8659390179,54.1423565699,56.6053410462,69.7244647058
340,60.2028922092,58.660550899,59.0703055608,64.2403641749
270,59.1366855486,54.4762706081,56.8847692721,70.1095225391
350,60.255000845,58.8383524922,59.1224141967,64.3152432298
280,59.5836457123,54.878554449,57.2965407343,70.5892519947
360,60.409515439,58.94364208,59.298854416,64.4958251269
370,60.6616304492,59.1623202511,59.5064707169,64.7034414278
290,59.8075981669,55.1516221369,57.5062529606,70.8704866746
380,60.8584040273,59.3803109075,59.7061802637,64.9564711776
300,60.0720572092,55.4589789893,57.7578423064,71.1543776372
390,60.9978952112,59.5115453329,59.828712791,65.0739908647
310,60.1713478213,55.6309747452,57.8571329185,71.3137756886
400,61.2190336367,59.7195800427,60.0319495892,65.2772300869
410,61.3864959798,59.9571935888,60.1994119323,65.4446924299
320,60.511703625,55.8832543321,58.1511449202,71.6527156224
420,61.5508188919,60.0994504061,60.3525694398,65.5905886553
330,60.7126964288,56.0488824475,58.3350009647,71.884024786
430,61.6708547054,60.2245726837,60.4856511699,65.7236703855
340,61.0962013701,56.3203041386,58.7215856995,72.2597434699
440,61.7847279808,60.414729663,60.5995244453,65.9169741813
350,61.3377547463,56.5839692044,58.9567775653,72.5459814549
450,61.9092194229,60.6522439965,60.7240158874,66.0414656234
360,61.6611687371,56.9702242734,59.3178252921,72.932416754
460,62.0001952051,60.7710848674,60.8149916696,66.1662666297
370,61.8167109022,57.2386867409,59.4616847103,73.1323999058
470,62.0893286766,60.9581431805,60.9015373062,66.2554001012
380,62.0458303041,57.4262200172,59.6495799469,73.3085332412
480,62.1157092386,61.0135656009,60.9279178682,66.2817806632
390,62.1124981166,57.6108393771,59.7162477595,73.4198915763
490,62.2061791906,61.0891670396,61.0487155506,66.4025783455
400,62.3045423074,57.7968757272,59.8990325737,73.6420327322
410,62.4141769973,58.0287669658,59.9795237095,73.796285726
420,62.5988764169,58.1987584477,60.1642231291,73.9826952248
430,62.6633362392,58.4161452129,60.2385475852,74.1788984306
440,62.7399493558,58.617565559,60.2991954381,74.3912423807
450,62.8447834745,58.8387422463,60.4014525971,74.4997714887
460,63.024876791,59.0956466826,60.5930419828,74.7558573038
470,63.110873835,59.2571468473,60.705493899,74.8747111786
480,63.1782463615,59.3103646991,60.8290093522,74.9982266317
490,63.2747420857,59.4728330304,60.9255050763,75.1539263242
