Time(Iteration),GOBLin
Time(Iteration),GOBLin
Time(Iteration),GOBLin
0,33.6785604016
0,26.0244791182
0,35.0972848219
10,88.7188227914
10,89.4082245453
10,85.0663590253
20,96.9190910514
20,96.0888416638
20,97.8822208493
30,102.466593857
30,102.601388999
30,101.495824661
40,105.923478327
40,106.25321576
40,104.478483786
50,108.381297257
50,108.936201604
50,107.397979592
60,111.636098342
60,111.281255119
60,110.161803092
70,113.654040829
70,112.822486404
70,112.20820344
80,115.792569119
80,114.033141839
80,113.945425795
90,117.19185435
90,115.472216948
90,115.842105875
100,118.211748611
100,116.960544451
100,117.431524486
110,119.325901738
110,117.992549659
110,118.810548837
120,120.634864166
120,118.957095888
120,120.135636719
130,121.443061656
130,120.010432214
130,121.431296647
140,122.084523734
150,122.877469864
140,120.675777125
140,122.28931283
160,124.044437339
150,121.24869229
150,123.682135601
170,124.580373873
160,124.724706224
160,121.960154071
180,125.307001793
170,125.400756917
190,125.937685526
170,122.748969089
180,126.262879026
200,126.793810967
180,123.606332876
190,127.198725492
210,127.257348426
190,124.050620139
200,127.734290967
220,127.738814444
210,128.530305168
200,124.862243544
230,128.364596474
220,129.286920565
210,125.649286157
240,128.928580583
230,130.090865466
220,126.15761856
250,129.549516101
240,130.963868161
230,126.856790184
260,130.181754338
250,131.449966778
240,127.351827134
270,130.6215007
260,132.052865662
250,128.038486334
280,131.018142287
270,132.490215348
290,131.480157315
260,128.555984976
280,133.13168409
300,131.885177072
270,128.92507129
290,133.538665365
310,132.224412224
280,129.496795353
300,133.959387703
320,132.607822903
290,129.886183254
310,134.420599035
330,133.006616304
300,130.397925055
320,135.017615377
340,133.292782693
310,131.030756617
330,135.481725238
350,133.639957261
320,131.399488556
340,135.964408401
330,131.827332105
360,134.410321283
350,136.132492334
340,132.401696937
370,134.785812586
360,136.52974716
350,132.782004889
380,135.030786413
370,136.95449175
360,133.170433435
390,135.453180266
380,137.377207283
370,133.435506123
400,135.616213066
390,137.698977061
380,133.821311886
410,135.973927348
400,138.06667424
390,134.321727358
420,136.416902641
410,138.344542463
400,134.76008192
430,136.734723529
420,138.655847493
410,134.966347488
440,137.172310078
420,135.163831014
430,138.940986954
450,137.476662807
430,135.631270746
440,139.39985012
460,137.718636524
440,135.900082147
450,139.782606754
450,136.125630499
470,137.974991226
460,139.986202908
460,136.359616636
480,138.247470928
470,140.280059105
470,136.661516545
490,138.591421053
480,140.586876684
480,136.911180864
490,140.881959644
490,137.285663281
