Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,14.2233107296,15.0114777076,15.6966909377,16.0197688024
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,16.7737129447,11.0501520966,16.5494780492,17.5680105443
0,16.738715391,7.77251654934,12.3026378986,15.3785837512
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,12.226299545,15.3878353216,11.4765649706,14.1767861104
0,16.678443743,17.464134713,14.9703288226,16.4310421973
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,14.6388286909,8.93464229506,13.1350133317,13.697549938
0,13.4967655212,13.1112996873,11.6123515318,12.9872123715
0,15.3539578111,9.7987392607,12.4819898041,14.7533466341
0,13.524210133,12.7191132564,10.0208289771,13.505899078
10,40.8787778105,35.7533494619,43.3837690711,49.9023000013
10,46.9574757334,31.2187033501,43.5368608742,53.4240888243
10,47.0303517245,46.2893144542,49.0337230387,55.3197383524
10,43.2331184421,33.7177529546,43.1130938039,50.4334050315
10,44.6708875907,36.7087962117,42.1831196023,49.9713413765
10,36.8332602843,43.3839984188,37.0475695631,44.2241048313
10,49.1343117737,34.4222771644,49.3184648853,53.6755848277
10,46.6806254628,43.7470677227,43.6813409918,49.5435435267
10,35.0923275085,34.057750942,32.4301219817,44.5506575091
