Time(Iteration),GOBLin
Time(Iteration),GOBLin
0,10.9630815504
0,11.7804304334
10,35.3974132641
10,34.5831457451
20,39.873460347
20,40.0228706221
30,43.0533274518
40,44.9490773143
30,42.7983679341
50,47.0241128984
60,48.1687317221
40,45.2941166978
70,49.5937911848
50,47.3065342154
80,50.6821587087
60,49.090264696
90,51.4588360484
70,50.5880575287
100,52.0544189195
110,52.7448903917
80,51.9813140966
120,53.3364113007
90,53.0239155947
130,53.9773867312
100,54.0891367473
140,54.6809810676
110,54.7264252187
150,55.2106407305
120,55.7433666265
160,55.6726962269
130,56.3600728551
170,56.2465351366
140,57.1756725222
180,56.8260702257
150,57.9856395415
190,57.4404288549
160,58.6981083975
200,58.098031685
170,59.427798821
210,58.5094746274
180,60.1373925292
220,58.9894336947
230,59.5116065284
190,60.782340192
240,59.9191656653
200,61.7174705306
250,60.4969098209
210,62.1648252119
260,61.0847321341
220,62.8090175358
270,61.5237757761
230,63.4711587277
280,61.865786828
240,64.0908311429
290,62.1951109715
250,64.5778839373
300,62.5453792184
260,64.9218793279
310,62.8148195183
270,65.4886752246
320,63.3043679352
280,65.780758632
330,63.6097861106
290,66.0965213922
340,63.9141442394
300,66.5561859369
350,64.17490377
310,66.8842046957
360,64.3687149351
320,67.2787828059
370,64.7832169969
330,67.5141461976
340,67.7497921308
380,65.0972175482
350,68.0766224394
390,65.3400064444
360,68.4549648237
400,65.6212101284
370,68.6978475798
410,65.8906143417
380,69.0841724699
420,66.1529022876
390,69.2750959786
430,66.3354843421
400,69.4469745519
440,66.5366570573
410,69.74596719
450,66.7424238967
420,70.0032237487
460,67.0551591122
430,70.3635904848
470,67.3406365447
440,70.5447492595
480,67.6092962115
450,70.6737001894
460,70.9291646578
490,67.8086523951
470,71.2598087766
480,71.5262508251
490,71.6635960838
