Time(Iteration),GOBLin
Time(Iteration),GOBLin
0,34.0286286852
0,32.2599115531
10,88.8022996058
10,90.4390150661
20,99.0876560425
20,102.547678078
30,104.831784962
30,106.376521691
40,108.627384911
40,109.717950702
50,111.447962166
50,112.545099138
60,113.601856976
60,114.924000422
70,115.566860987
70,116.890661672
80,117.577170041
80,118.447947282
90,119.821185966
90,120.13202102
100,120.934103436
100,121.434070112
110,122.272863197
110,122.703407064
120,123.544442229
120,123.836205607
130,125.057611941
130,124.782596413
140,125.723228835
140,125.763771736
150,126.676260323
150,126.517192383
160,127.79330506
160,127.366485239
170,128.465025602
170,128.384636994
180,129.094145429
180,129.370769581
190,129.764910398
190,130.411177288
200,130.319153057
200,130.930570572
210,130.915866882
210,131.659979925
220,131.593806739
220,132.194845049
230,132.065934414
230,132.920665814
240,132.49605422
240,133.864002396
250,133.253802931
250,134.503098564
260,133.951083155
260,135.398421055
270,134.423393307
270,135.934684724
280,134.727655548
280,136.379609236
290,135.171158058
290,136.883097413
300,135.593004189
300,137.29526186
310,136.087530503
320,136.528634959
310,137.742798911
330,136.885943275
320,138.131208129
340,137.212870699
330,138.50285321
350,137.653241459
340,138.883941953
360,138.139781448
350,139.234536185
370,138.727222539
360,139.628005533
380,138.97694325
370,140.093088636
390,139.390684347
400,139.785364854
380,140.336191648
410,140.268954496
390,140.623336927
420,140.573889934
400,140.936823422
430,140.8273542
410,141.258054142
440,141.308635381
420,141.55904618
450,141.673953963
430,142.029426428
460,142.002604895
440,142.392049696
470,142.540629058
450,142.545064439
460,142.696711817
480,142.812509667
470,142.843152645
490,143.180837677
480,143.047554228
490,143.321385383
