Time(Iteration),syncCoLinUCBCoTheta,GOBLinCoTheta,AsyncCoLinUCBCoTheta,LinUCBCoTheta,syncCoLinUCBTheta,AsyncCoLinUCBTheta,
0,0.910589334788,0.829935764027,0.627182479875,0.723553467749,1.0,0.762138281353,
10,0.19683648963,0.289055372033,0.185786960249,0.207785654215,0.324569040137,0.352633540237,
Time(Iteration),syncCoLinUCBCoTheta,GOBLinCoTheta,AsyncCoLinUCBCoTheta,LinUCBCoTheta,syncCoLinUCBTheta,AsyncCoLinUCBTheta,
20,0.141753710163,0.271841413442,0.150377757866,0.164112194638,0.265542944416,0.288343025306,
0,0.910589334788,0.54568847762,0.611995541662,0.741945015275,1.0,0.762819244124,
30,0.128469248977,0.263508012806,0.128246511332,0.150252542438,0.247464886123,0.261492072976,
40,0.115621031462,0.247237536027,0.124998110194,0.142227884115,0.228267781354,0.251875225725,
50,0.106118543691,0.243955763025,0.111595341143,0.135445280218,0.20893770242,0.232816301366,
60,0.0936285000791,0.238278977945,0.0991918998536,0.129270195641,0.193914817099,0.214512241893,
70,0.0832377935951,0.232532538637,0.0901031571953,0.113998614415,0.182858210987,0.20287211907,
80,0.0823534098949,0.230019252878,0.0843863175024,0.110039848207,0.175113556135,0.193178341471,
90,0.0763302899073,0.225502767763,0.0778441790989,0.102012453593,0.170071230785,0.183842182922,
100,0.0736129403865,0.227763404582,0.0754854915435,0.100211326335,0.16763155253,0.182687992489,
110,0.0700351163752,0.222555367702,0.072647430138,0.0976004064662,0.166745279552,0.18185903422,
120,0.0695955607669,0.219538268601,0.0711579665498,0.0954355423284,0.161752730757,0.174924072301,
130,0.0708941957352,0.218079512408,0.072776015999,0.095700535278,0.160758352797,0.174243556659,
140,0.0716358454164,0.216922937343,0.0720018895842,0.0937002923229,0.160501991643,0.173541396542,
150,0.0687411952551,0.214372861343,0.0699920481787,0.0903590823073,0.158277294475,0.170888727043,
160,0.0691140701638,0.207270560806,0.0696343619352,0.0870907912754,0.157445996141,0.169106756703,
170,0.0641289767419,0.202096849077,0.0648475622838,0.0833629058518,0.1495397358,0.159623070278,
180,0.0632255706935,0.202094589881,0.0639063140286,0.0795417983452,0.154661124661,0.163109008367,
190,0.0623437743216,0.204369314747,0.0621873584072,0.0782774328637,0.149564872498,0.158752021687,
10,0.193706731087,0.287115571448,0.192971599247,0.23060744475,0.347958459982,0.34881484674,
200,0.0621289365592,0.203156950939,0.0632756353619,0.0792264860383,0.152367729614,0.16025525386,
210,0.0634528637706,0.203029441792,0.0649564695832,0.0787854501717,0.151170022987,0.159359994783,
220,0.0613450843705,0.200008860981,0.0621021381862,0.0774300993399,0.150052848012,0.155783004179,
230,0.0595617682105,0.201672436506,0.0609775009177,0.0760715726876,0.144924857224,0.151600667612,
240,0.0574099031255,0.20174505775,0.0593752767209,0.0736262437268,0.142624436901,0.149883828725,
250,0.0558988534478,0.199551509964,0.0578434600989,0.0720286224872,0.145517802876,0.151320103071,
260,0.0550271231188,0.198238769132,0.0560794243555,0.0708808703402,0.140300392732,0.146266400182,
270,0.0512005350152,0.195557011171,0.0520249906916,0.0669997581125,0.137779595628,0.14309563396,
280,0.0507021631953,0.192650943858,0.0531684242905,0.0666639703857,0.137648938586,0.145277570926,
290,0.0507097329559,0.190271406169,0.0522094335013,0.0629793094001,0.137773832308,0.143985005422,
300,0.0477261924238,0.188968009,0.0496172485018,0.061229071889,0.133086809944,0.137902862966,
310,0.0456128649826,0.186657140014,0.0480322322217,0.05911318853,0.129636680268,0.135721701035,
320,0.0445619116468,0.186650496904,0.0461635251993,0.0582442341673,0.128278863562,0.133162604993,
330,0.0419561615816,0.185969132366,0.0436530979978,0.0576295426849,0.122407494855,0.126774354382,
340,0.0410403965469,0.185545250747,0.0426989523494,0.0572828025894,0.12185118672,0.12622321937,
20,0.158406159496,0.280046993525,0.159823030817,0.185799649506,0.307417824515,0.309009308155,
350,0.040087250524,0.184113411291,0.0421090576009,0.0569128433042,0.120895449271,0.127719838671,
360,0.038963779908,0.184812087732,0.0406809887427,0.0541307247498,0.12055774597,0.127951153987,
370,0.0380690084767,0.183661005801,0.0397773880007,0.0530694636029,0.120906902598,0.127355005652,
380,0.0375366215279,0.183092975633,0.0393153784663,0.0522719493734,0.118234868016,0.127338608344,
390,0.0391958310764,0.184232366476,0.0409815135963,0.0523760510113,0.123352042871,0.131859332486,
400,0.0390892580755,0.183932243968,0.0406397084474,0.0520361306209,0.120953924217,0.128473896909,
410,0.0395660635729,0.184928282779,0.0418389450544,0.0535579617772,0.122567152275,0.130113626748,
420,0.0393197370137,0.184194595404,0.0413137221204,0.0527974265478,0.118307351808,0.126384235196,
430,0.0381549511621,0.183252973788,0.0403759134814,0.0516406381276,0.119765060335,0.126730457329,
440,0.0382454631414,0.183014946535,0.0401672013887,0.0518114207557,0.118490291195,0.125898460847,
450,0.0379448187694,0.183712656356,0.0398482203451,0.0509889965326,0.119965703194,0.127380795788,
460,0.0380101252873,0.184775055968,0.0402791350402,0.0518628447891,0.121505986913,0.128317926745,
470,0.0380574425346,0.183760877319,0.0405072752404,0.0519610078621,0.119480312217,0.126342654148,
480,0.0383218165049,0.18375058337,0.0403808063233,0.0521488031831,0.118629204607,0.124028869548,
490,0.0382758376162,0.183443060802,0.0404551830528,0.0516205519564,0.119446215073,0.124693667989,
30,0.136377697076,0.268014018247,0.136100033137,0.155190180278,0.276213083758,0.279801638608,
40,0.116844986993,0.242283051937,0.120914850645,0.134801079133,0.241410886795,0.248471501942,
50,0.10052976478,0.241376414792,0.106076944838,0.123165950354,0.21445565005,0.224100016937,
60,0.0919107254883,0.236133932291,0.0965939292947,0.120486190048,0.201748043775,0.211533703153,
70,0.0871838796489,0.236164094976,0.0900723272045,0.115165484835,0.195802970555,0.199920813556,
80,0.0808863157055,0.229483546573,0.0848259611464,0.109228197973,0.188822153073,0.194358530136,
90,0.0788480451465,0.223320670905,0.0805322156796,0.105821679255,0.185835762903,0.18820960462,
100,0.0772087404451,0.216226369964,0.0794197565669,0.100914507963,0.180800519761,0.183790058249,
110,0.0742309479028,0.21046799945,0.0744870481293,0.0959743241674,0.177052319962,0.177437948743,
120,0.0711007621282,0.208995047843,0.0719229951368,0.0928558328958,0.168226367608,0.168739227134,
130,0.0680683701749,0.206911685167,0.0690171332449,0.0915723803184,0.165121652266,0.166049864834,
140,0.0659790962154,0.206851541561,0.0668003106203,0.0888619255808,0.168453798983,0.167477610714,
150,0.0686184457659,0.206546759657,0.0692026235195,0.0868694895223,0.172215856207,0.171174024427,
160,0.0670675947797,0.202207332401,0.0675836455753,0.0859446799687,0.169958999901,0.170109564496,
170,0.064802068046,0.198135415643,0.0649147352756,0.0824967720924,0.162008701772,0.16117955849,
180,0.0617821099565,0.2007263328,0.0623505966756,0.0816714365083,0.164343894966,0.165102922545,
190,0.0596610010107,0.201161577433,0.0608276084002,0.0798786383173,0.15705964661,0.159314633455,
200,0.0621679973299,0.199344329857,0.062833151134,0.0817888311878,0.157958694281,0.159077693573,
210,0.0599670454841,0.196867227074,0.06089147186,0.0775868811135,0.157038279663,0.15699695852,
220,0.0592709525881,0.197574294512,0.0616619520914,0.0779372117121,0.154616323156,0.157794275044,
230,0.0574402802873,0.197332018344,0.0590731312821,0.0760599009101,0.153679057424,0.156770926355,
240,0.0557155274083,0.197560099732,0.0566172243066,0.0739490442459,0.152233511776,0.154238430694,
250,0.0559995988603,0.197572054142,0.0567630312747,0.0745581327093,0.153034694016,0.156333572177,
260,0.0541332770469,0.194746523091,0.055280538784,0.0721543073292,0.146674816217,0.150661391022,
270,0.0531359728295,0.193845117858,0.0537722252225,0.0711816303286,0.149086412118,0.153051196952,
280,0.0525537888745,0.193831792265,0.0530313257064,0.0705328804741,0.143573841823,0.147827084755,
290,0.0513687803544,0.192203237364,0.0517138965746,0.0688860736455,0.146034415389,0.149369409916,
300,0.0498707549134,0.189830355671,0.0503621925568,0.0672113157093,0.142466055357,0.146834568627,
