data,1241493900,819755.0;29371.0;823479.0;34955.0;770864.0;27920.0;825827.0;37650.0;1.18473745577;1.01088788257;1.27245151672;1.07078488738,10566.0 539.0 109594;9697.0 510.0 109596;21198.0 1221.0 109597;6610.0 339.0 109598;3228.0 145.0 109599;2647.0 84.0 109600;2086.0 69.0 109601;6863.0 428.0 109602;2045.0 89.0 109603;24093.0 851.0 109476;12601.0 861.0 109605;2027.0 56.0 109606;1964.0 73.0 109608;3384.0 182.0 109609;1131.0 36.0 109610;604.0 28.0 109611;1422.0 103.0 109612;876.0 10.0 109613;4002.0 281.0 109614;1185.0 61.0 109615;1577.0 93.0 109617;264.0 3.0 109618;13643.0 477.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 851;109596 887;109597 861;109598 865;109599 886;109600 882;109601 864;109602 901;109603 906;109476 878;109605 829;109606 833;109608 882;109609 848;109610 836;109611 881;109612 879;109613 845;109614 860;109615 952;109617 881;109618 842;109517 851
data,1241494200,820634.0;29408.0;824344.0;35007.0;771716.0;27975.0;826713.0;37719.0;1.18503296059;1.01157155195;1.2731788633;1.07119616563,10580.0 539.0 109594;9708.0 512.0 109596;21225.0 1225.0 109597;6633.0 340.0 109598;3239.0 145.0 109599;2660.0 86.0 109600;2097.0 69.0 109601;6899.0 431.0 109602;2064.0 91.0 109603;24102.0 851.0 109476;12676.0 864.0 109605;2041.0 57.0 109606;1976.0 74.0 109608;3436.0 183.0 109609;1146.0 36.0 109610;622.0 28.0 109611;1605.0 116.0 109612;888.0 10.0 109613;4245.0 296.0 109614;1197.0 63.0 109615;1610.0 95.0 109617;275.0 3.0 109618;13654.0 477.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 835;109596 880;109597 881;109598 833;109599 874;109600 861;109601 852;109602 860;109603 866;109476 884;109605 886;109606 871;109608 879;109609 860;109610 838;109611 894;109612 911;109613 887;109614 867;109615 861;109617 847;109618 919;109517 854
data,1241494500,821484.0;29456.0;825276.0;35056.0;772571.0;28004.0;827593.0;37769.0;1.18464570083;1.01089722633;1.27275266657;1.07127759684,10594.0 540.0 109594;9716.0 512.0 109596;21243.0 1225.0 109597;6647.0 340.0 109598;3248.0 146.0 109599;2668.0 86.0 109600;2111.0 70.0 109601;6942.0 432.0 109602;2077.0 91.0 109603;24114.0 851.0 109476;12753.0 869.0 109605;2055.0 58.0 109606;1988.0 75.0 109608;3480.0 186.0 109609;1159.0 38.0 109610;641.0 28.0 109611;1782.0 128.0 109612;902.0 10.0 109613;4588.0 315.0 109614;1211.0 63.0 109615;1642.0 97.0 109617;286.0 3.0 109618;13663.0 477.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 870;109596 864;109597 843;109598 857;109599 833;109600 829;109601 866;109602 845;109603 879;109476 894;109605 880;109606 872;109608 882;109609 869;109610 860;109611 892;109612 853;109613 895;109614 919;109615 878;109617 907;109618 883;109517 830
data,1241494800,822373.0;29492.0;826134.0;35103.0;773479.0;28059.0;828506.0;37827.0;1.18483631262;1.01155215577;1.27312445232;1.07193264191,10607.0 540.0 109594;9728.0 512.0 109596;21262.0 1227.0 109597;6660.0 341.0 109598;3259.0 146.0 109599;2675.0 87.0 109600;2121.0 70.0 109601;6973.0 434.0 109602;2087.0 91.0 109603;24121.0 851.0 109476;12831.0 873.0 109605;2069.0 58.0 109606;2000.0 76.0 109608;3510.0 188.0 109609;1173.0 38.0 109610;654.0 29.0 109611;1981.0 140.0 109612;909.0 10.0 109613;4879.0 334.0 109614;1224.0 63.0 109615;1671.0 98.0 109617;298.0 3.0 109618;13676.0 478.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 904;109596 859;109597 900;109598 832;109599 862;109600 859;109601 905;109602 838;109603 825;109476 844;109605 913;109606 848;109608 872;109609 811;109610 884;109611 892;109612 890;109613 848;109614 886;109615 876;109617 903;109618 828;109517 921
data,1241495100,823229.0;29528.0;827008.0;35158.0;774322.0;28082.0;829321.0;37881.0;1.18522575434;1.01109756667;1.2734602732;1.07200691629,10620.0 540.0 109594;9738.0 514.0 109596;21286.0 1227.0 109597;6678.0 341.0 109598;3271.0 147.0 109599;2694.0 87.0 109600;2133.0 71.0 109601;6998.0 435.0 109602;2097.0 92.0 109603;24130.0 851.0 109476;12898.0 881.0 109605;2074.0 58.0 109606;2019.0 76.0 109608;3548.0 190.0 109609;1179.0 38.0 109610;666.0 29.0 109611;2158.0 149.0 109612;920.0 10.0 109613;5169.0 354.0 109614;1235.0 64.0 109615;1727.0 107.0 109617;314.0 3.0 109618;13690.0 478.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 847;109596 886;109597 865;109598 940;109599 895;109600 911;109601 878;109602 908;109603 848;109476 853;109605 815;109606 843;109608 904;109609 864;109610 835;109611 893;109612 913;109613 797;109614 885;109615 813;109617 910;109618 860;109517 837
data,1241495400,824077.0;29573.0;827883.0;35196.0;775149.0;28116.0;830222.0;37936.0;1.1846682635;1.01074302594;1.27329697983;1.07230818495,10626.0 541.0 109594;9750.0 514.0 109596;21299.0 1227.0 109597;6690.0 341.0 109598;3280.0 147.0 109599;2701.0 87.0 109600;2148.0 72.0 109601;7037.0 439.0 109602;2102.0 92.0 109603;24140.0 852.0 109476;13058.0 892.0 109605;2089.0 58.0 109606;2035.0 77.0 109608;3572.0 191.0 109609;1195.0 38.0 109610;673.0 29.0 109611;2303.0 153.0 109612;928.0 10.0 109613;5427.0 365.0 109614;1246.0 64.0 109615;1793.0 110.0 109617;323.0 3.0 109618;13702.0 478.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 856;109596 889;109597 871;109598 904;109599 811;109600 856;109601 932;109602 865;109603 821;109476 872;109605 901;109606 863;109608 864;109609 905;109610 871;109611 841;109612 842;109613 861;109614 864;109615 911;109617 893;109618 857;109517 850
data,1241496000,824930.0;29616.0;828790.0;35243.0;776042.0;28149.0;831063.0;37973.0;1.18445635907;1.01034207938;1.27271645232;1.07230303446,10645.0 541.0 109594;9768.0 514.0 109596;21321.0 1228.0 109597;6702.0 341.0 109598;3291.0 148.0 109599;2713.0 87.0 109600;2159.0 73.0 109601;7085.0 441.0 109602;2115.0 92.0 109603;24150.0 852.0 109476;13215.0 901.0 109605;2100.0 58.0 109606;2046.0 78.0 109608;3602.0 192.0 109609;1204.0 39.0 109610;683.0 29.0 109611;2450.0 164.0 109612;937.0 10.0 109613;5662.0 376.0 109614;1250.0 64.0 109615;1886.0 118.0 109617;334.0 3.0 109618;13706.0 478.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 855;109596 927;109597 906;109598 885;109599 827;109600 883;109601 854;109602 849;109603 845;109476 863;109605 841;109606 841;109608 873;109609 818;109610 902;109611 883;109612 853;109613 901;109614 939;109615 852;109617 935;109618 792;109517 876
data,1241496300,825832.0;29646.0;829687.0;35308.0;776886.0;28184.0;831906.0;38033.0;1.18545326058;1.01058055586;1.27353806386;1.07266494976,10656.0 542.0 109594;9778.0 515.0 109596;21349.0 1229.0 109597;6714.0 342.0 109598;3309.0 149.0 109599;2729.0 87.0 109600;2168.0 74.0 109601;7137.0 444.0 109602;2132.0 94.0 109603;24158.0 852.0 109476;13405.0 921.0 109605;2114.0 58.0 109606;2059.0 78.0 109608;3634.0 196.0 109609;1217.0 40.0 109610;693.0 29.0 109611;2559.0 169.0 109612;951.0 10.0 109613;5835.0 389.0 109614;1260.0 64.0 109615;2007.0 128.0 109617;343.0 3.0 109618;13714.0 479.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 897;109596 870;109597 895;109598 918;109599 901;109600 903;109601 879;109602 872;109603 847;109476 879;109605 843;109606 873;109608 853;109609 898;109610 817;109611 824;109612 852;109613 900;109614 862;109615 863;109617 885;109618 822;109517 847
data,1241496600,826722.0;29677.0;830560.0;35376.0;777731.0;28217.0;832790.0;38085.0;1.18652587055;1.01069688277;1.27396634881;1.07358033791,10669.0 542.0 109594;9785.0 516.0 109596;21357.0 1229.0 109597;6723.0 342.0 109598;3325.0 150.0 109599;2743.0 87.0 109600;2179.0 74.0 109601;7196.0 450.0 109602;2149.0 94.0 109603;24165.0 853.0 109476;13592.0 937.0 109605;2124.0 58.0 109606;2071.0 78.0 109608;3666.0 198.0 109609;1228.0 41.0 109610;701.0 30.0 109611;2648.0 179.0 109612;965.0 10.0 109613;6007.0 402.0 109614;1278.0 66.0 109615;2140.0 142.0 109617;357.0 3.0 109618;13726.0 479.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 933;109596 855;109597 858;109598 842;109599 871;109600 902;109601 902;109602 870;109603 853;109476 898;109605 884;109606 863;109608 868;109609 889;109610 874;109611 868;109612 851;109613 814;109614 866;109615 852;109617 852;109618 901;109517 834
data,1241497200,827581.0;29722.0;831426.0;35427.0;778596.0;28246.0;833666.0;38124.0;1.186433108;1.01012999676;1.27332378836;1.07397563301,10683.0 544.0 109594;9792.0 516.0 109596;21373.0 1229.0 109597;6744.0 343.0 109598;3332.0 151.0 109599;2756.0 87.0 109600;2193.0 74.0 109601;7244.0 452.0 109602;2159.0 96.0 109603;24176.0 853.0 109476;13757.0 946.0 109605;2132.0 58.0 109606;2078.0 78.0 109608;3694.0 198.0 109609;1240.0 41.0 109610;711.0 31.0 109611;2791.0 192.0 109612;977.0 10.0 109613;6170.0 415.0 109614;1283.0 66.0 109615;2265.0 149.0 109617;369.0 3.0 109618;13741.0 479.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 843;109596 819;109597 889;109598 905;109599 897;109600 873;109601 918;109602 878;109603 882;109476 829;109605 876;109606 824;109608 871;109609 883;109610 882;109611 874;109612 933;109613 852;109614 846;109615 870;109617 840;109618 892;109517 824
