data,1241334900,398235.0;14503.0;398882.0;16812.0;373197.0;13341.0;397784.0;19402.0;1.15732816461;0.981593829825;1.33930894448,932.0 25.0 109568;7441.0 130.0 109536;7513.0 515.0 109571;5251.0 174.0 109476;4759.0 159.0 109541;10507.0 386.0 109542;538.0 15.0 109569;8558.0 335.0 109551;4364.0 98.0 109553;15684.0 612.0 109524;3510.0 122.0 109557;3031.0 87.0 109560;4674.0 170.0 109561;2200.0 44.0 109562;2865.0 85.0 109563;1940.0 61.0 109564;3273.0 118.0 109565;1459.0 34.0 109566;2939.0 109.0 109567,109536.0 5597;109568.0 5597;109571.0 5597;109476.0 5597;109541.0 5597;109542.0 5597;109569.0 5597;109551.0 5597;109553.0 5597;109524.0 5597;109557.0 5597;109560.0 5597;109561.0 5597;109562.0 5597;109563.0 5597;109564.0 5597;109565.0 5597;109566.0 5597;109567.0 5597,109568 296;109536 299;109571 303;109476 271;109541 278;109542 304;109569 294;109551 300;109553 304;109524 308;109557 280;109560 340;109561 298;109562 327;109563 286;109564 259;109565 276;109566 289;109567 285
data,1241335500,398993.0;14527.0;399642.0;16827.0;373955.0;13362.0;398568.0;19431.0;1.15644480867;0.981389626162;1.33900458551,971.0 25.0 109568;7487.0 131.0 109536;7576.0 518.0 109571;5286.0 175.0 109476;4797.0 160.0 109541;10527.0 386.0 109542;571.0 15.0 109569;8601.0 336.0 109551;4404.0 98.0 109553;15720.0 612.0 109524;3556.0 123.0 109557;3075.0 88.0 109560;4722.0 171.0 109561;2232.0 44.0 109562;2916.0 87.0 109563;1967.0 61.0 109564;3319.0 121.0 109565;1500.0 34.0 109566;2971.0 109.0 109567,109536.0 14403;109568.0 14403;109571.0 14403;109476.0 14403;109541.0 14403;109542.0 14403;109569.0 14403;109551.0 14403;109553.0 14403;109524.0 14403;109557.0 14403;109560.0 14403;109561.0 14403;109562.0 14403;109563.0 14403;109564.0 14403;109565.0 14403;109566.0 14403;109567.0 14403,109568 767;109536 789;109571 791;109476 747;109541 779;109542 715;109569 753;109551 773;109553 804;109524 720;109557 790;109560 735;109561 743;109562 718;109563 726;109564 759;109565 786;109566 770;109567 738
data,1241336400,400021.0;14551.0;400681.0;16852.0;375015.0;13385.0;399640.0;19482.0;1.15622578922;0.98120485141;1.3401534823,7528.0 131.0 109536;1016.0 27.0 109568;7683.0 522.0 109571;5330.0 176.0 109476;4856.0 161.0 109541;10572.0 387.0 109542;617.0 15.0 109569;8643.0 336.0 109551;4459.0 99.0 109553;15767.0 616.0 109524;3637.0 125.0 109557;3115.0 88.0 109560;4778.0 171.0 109561;2275.0 44.0 109562;2986.0 90.0 109563;1997.0 61.0 109564;3413.0 123.0 109565;1532.0 34.0 109566;3033.0 113.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1073;109568 1034;109571 1066;109476 997;109541 1003;109542 1087;109569 1085;109551 1039;109553 1141;109524 1010;109557 1060;109560 1078;109561 1057;109562 1046;109563 1072;109564 1037;109565 1057;109566 1030;109567 1028
data,1241337300,401065.0;14583.0;401721.0;16874.0;376087.0;13422.0;400748.0;19536.0;1.15521121817;0.981514682957;1.34070173367,7560.0 131.0 109536;1058.0 27.0 109568;7893.0 539.0 109571;5377.0 176.0 109476;4894.0 161.0 109541;10620.0 388.0 109542;643.0 15.0 109569;8678.0 336.0 109551;4493.0 99.0 109553;15821.0 616.0 109524;3688.0 125.0 109557;3149.0 88.0 109560;4824.0 171.0 109561;2315.0 44.0 109562;3086.0 91.0 109563;2027.0 61.0 109564;3468.0 123.0 109565;1562.0 35.0 109566;3121.0 115.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1056;109568 1083;109571 1111;109476 987;109541 1050;109542 1047;109569 1069;109551 1059;109553 1021;109524 1023;109557 1069;109560 1052;109561 1076;109562 1019;109563 1076;109564 1056;109565 1060;109566 1010;109567 1076
data,1241338200,402216.0;14608.0;402768.0;16912.0;377113.0;13439.0;401824.0;19585.0;1.15613512;0.981214669811;1.3420116495,1084.0 27.0 109568;684.0 16.0 109569;8302.0 561.0 109571;7585.0 131.0 109536;4925.0 164.0 109541;10653.0 389.0 109542;8713.0 336.0 109551;4533.0 100.0 109553;5405.0 177.0 109476;15862.0 617.0 109524;3727.0 125.0 109557;3181.0 89.0 109560;4853.0 172.0 109561;2344.0 45.0 109562;3129.0 92.0 109563;2065.0 62.0 109564;3503.0 124.0 109565;1598.0 36.0 109566;3178.0 116.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1024;109571 1088;109536 994;109541 1090;109542 1093;109551 1033;109553 1054;109476 1113;109524 1028;109557 1058;109560 1072;109561 1088;109562 1039;109563 1029;109564 1080;109565 1043;109566 1002;109567 1015
data,1241339100,403236.0;14622.0;403843.0;16944.0;378189.0;13460.0;402910.0;19636.0;1.1570600576;0.981496342384;1.34399451214,7623.0 131.0 109536;713.0 16.0 109569;8767.0 586.0 109571;5434.0 177.0 109476;4975.0 165.0 109541;10685.0 389.0 109542;1109.0 27.0 109568;8733.0 336.0 109551;4567.0 100.0 109553;15911.0 618.0 109524;3754.0 126.0 109557;3208.0 90.0 109560;4888.0 172.0 109561;2376.0 45.0 109562;3157.0 92.0 109563;2097.0 63.0 109564;3547.0 125.0 109565;1630.0 36.0 109566;3225.0 117.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1076;109569 1071;109571 1085;109476 1075;109541 1068;109542 1090;109568 1034;109551 1033;109553 1053;109524 1079;109557 1051;109560 1069;109561 1092;109562 1009;109563 1065;109564 1012;109565 1003;109566 988;109567 1047
data,1241340300,404299.0;14644.0;404901.0;16979.0;379256.0;13475.0;403941.0;19675.0;1.15772711747;0.980932809083;1.34474442255,7655.0 131.0 109536;746.0 16.0 109569;9266.0 610.0 109571;5467.0 177.0 109476;5018.0 166.0 109541;1132.0 27.0 109568;10716.0 390.0 109542;8753.0 337.0 109551;4592.0 100.0 109553;15954.0 619.0 109524;3790.0 128.0 109557;3243.0 92.0 109560;4921.0 173.0 109561;2406.0 45.0 109562;3191.0 93.0 109563;2118.0 63.0 109564;3571.0 125.0 109565;1658.0 36.0 109566;3260.0 118.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1022;109569 1059;109571 1045;109476 995;109541 1056;109568 1100;109542 1025;109551 1067;109553 1031;109524 1027;109557 1070;109560 1074;109561 1113;109562 1008;109563 1034;109564 1090;109565 1022;109566 1078;109567 1084
data,1241341200,405343.0;14671.0;405949.0;17013.0;380270.0;13494.0;404979.0;19727.0;1.15790355269;0.980418734546;1.34583401711,1152.0 28.0 109568;772.0 17.0 109569;9783.0 637.0 109571;5496.0 177.0 109476;5059.0 166.0 109541;10748.0 390.0 109542;8778.0 337.0 109551;4620.0 100.0 109553;15986.0 619.0 109524;3819.0 128.0 109557;7685.0 131.0 109536;3277.0 92.0 109560;4952.0 173.0 109561;2442.0 47.0 109562;3221.0 93.0 109563;2146.0 64.0 109564;3592.0 125.0 109565;1686.0 36.0 109566;3291.0 120.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1059;109569 1072;109571 1046;109476 976;109541 1057;109542 1106;109551 1070;109553 1106;109524 1063;109557 1017;109536 1076;109560 1079;109561 994;109562 1063;109563 1016;109564 1066;109565 1041;109566 1041;109567 1052
data,1241342400,406354.0;14690.0;406990.0;17050.0;381297.0;13506.0;406026.0;19765.0;1.15883976189;0.979819549766;1.34656002456,1180.0 29.0 109568;805.0 19.0 109569;10308.0 666.0 109571;5519.0 177.0 109476;5083.0 166.0 109541;10772.0 390.0 109542;3318.0 92.0 109560;8801.0 337.0 109551;4642.0 100.0 109553;16013.0 620.0 109524;3844.0 128.0 109557;7717.0 131.0 109536;4979.0 174.0 109561;2466.0 47.0 109562;3246.0 93.0 109563;2174.0 64.0 109564;3620.0 125.0 109565;1715.0 37.0 109566;3344.0 122.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1049;109571 1070;109476 1000;109541 1066;109542 1066;109560 1065;109551 1045;109553 1024;109524 1048;109557 1055;109536 1083;109561 1089;109562 1021;109563 1082;109564 1021;109565 1065;109566 1060;109567 1022
data,1241343600,407339.0;14706.0;408027.0;17085.0;382309.0;13525.0;407039.0;19818.0;1.15981177114;0.979905472501;1.34860645062,7743.0 132.0 109536;1210.0 29.0 109568;10836.0 691.0 109571;5546.0 178.0 109476;5113.0 167.0 109541;10799.0 390.0 109542;827.0 20.0 109569;8827.0 337.0 109551;4673.0 101.0 109553;16049.0 620.0 109524;3872.0 129.0 109557;3344.0 92.0 109560;4999.0 176.0 109561;2498.0 47.0 109562;3271.0 93.0 109563;2209.0 64.0 109564;3644.0 125.0 109565;1746.0 39.0 109566;3377.0 122.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 1055;109571 1035;109476 1073;109541 1050;109542 1059;109569 1043;109551 1019;109553 1075;109524 1084;109557 1016;109560 1012;109561 1041;109562 1092;109563 1026;109564 1094;109565 1083;109566 1024;109567 1047
data,1241344500,408381.0;14723.0;409025.0;17113.0;383410.0;13541.0;408094.0;19864.0;1.16050098446;0.979617463016;1.3501303907,7756.0 132.0 109536;850.0 20.0 109569;11342.0 711.0 109571;5578.0 178.0 109476;5146.0 168.0 109541;10822.0 390.0 109542;1238.0 30.0 109568;8842.0 337.0 109551;4702.0 101.0 109553;16083.0 620.0 109524;3897.0 130.0 109557;3369.0 93.0 109560;5020.0 176.0 109561;2529.0 47.0 109562;3304.0 95.0 109563;2246.0 64.0 109564;3676.0 126.0 109565;1779.0 39.0 109566;3402.0 123.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1057;109569 1111;109571 1033;109476 998;109541 1099;109542 1036;109568 1031;109551 1044;109553 1043;109524 1076;109557 1031;109560 1061;109561 1056;109562 1052;109563 1012;109564 1052;109565 1037;109566 1066;109567 1105
