data,1241736600,1515013.0;56060.0;1519768.0;64408.0;1420932.0;52836.0;1520117.0;80832.0;1.14531720253;1.004893189;1.43704237502,2997.0 127.0 109696;2621.0 78.0 109697;2305.0 86.0 109698;1946.0 112.0 109699;1550.0 71.0 109700;1226.0 42.0 109701;1011.0 22.0 109702;4928.0 371.0 109703;1795.0 103.0 109704;726.0 31.0 109705;269.0 7.0 109706;30486.0 1540.0 109635;2579.0 85.0 109651;11097.0 133.0 109660;10790.0 238.0 109667;4112.0 156.0 109673;164.0 9.0 109675;6914.0 269.0 109683;4551.0 189.0 109689;3926.0 174.0 109690;13019.0 1062.0 109692;3109.0 93.0 109693,109696.0 1157;109697.0 1157;109698.0 1157;109699.0 1157;109700.0 1157;109701.0 1157;109702.0 1157;109703.0 1157;109704.0 1157;109705.0 1157;109706.0 1157;109635.0 1157;109651.0 1157;109660.0 1157;109667.0 1157;109673.0 1157;109675.0 1157;109683.0 1157;109689.0 1157;109690.0 1157;109692.0 1157;109693.0 1157,109696 51;109697 52;109698 57;109699 56;109700 50;109701 51;109702 62;109703 45;109704 65;109705 64;109706 48;109635 47;109651 51;109660 48;109667 46;109673 52;109675 52;109683 40;109689 51;109690 67;109692 43;109693 59
data,1241736900,1515874.0;56093.0;1520612.0;64436.0;1421775.0;52871.0;1520975.0;80879.0;1.14515584909;1.00494220875;1.43703760636,3040.0 129.0 109696;2661.0 79.0 109697;2346.0 88.0 109698;1979.0 113.0 109699;1586.0 72.0 109700;1259.0 42.0 109701;1046.0 23.0 109702;4965.0 373.0 109703;1835.0 103.0 109704;763.0 33.0 109705;312.0 9.0 109706;30522.0 1541.0 109635;2628.0 88.0 109651;11138.0 133.0 109660;10831.0 238.0 109667;4165.0 159.0 109673;200.0 11.0 109675;6949.0 270.0 109683;4572.0 189.0 109689;3965.0 175.0 109690;13055.0 1065.0 109692;3148.0 93.0 109693,109696.0 18843;109697.0 18843;109698.0 18843;109699.0 18843;109700.0 18843;109701.0 18843;109702.0 18843;109703.0 18843;109704.0 18843;109705.0 18843;109706.0 18843;109635.0 18843;109651.0 18843;109660.0 18843;109667.0 18843;109673.0 18843;109675.0 18843;109683.0 18843;109689.0 18843;109690.0 18843;109692.0 18843;109693.0 18843,109696 880;109697 836;109698 875;109699 925;109700 834;109701 861;109702 844;109703 841;109704 870;109705 881;109706 893;109635 854;109651 868;109660 816;109667 841;109673 872;109675 797;109683 836;109689 831;109690 865;109692 867;109693 856
data,1241737200,1516809.0;56125.0;1521524.0;64478.0;1422667.0;52897.0;1521895.0;80915.0;1.14526844143;1.00485252293;1.43687467746,3078.0 130.0 109696;2697.0 79.0 109697;2421.0 95.0 109698;2007.0 115.0 109699;1610.0 73.0 109700;1293.0 42.0 109701;1070.0 23.0 109702;5004.0 376.0 109703;1859.0 103.0 109704;803.0 34.0 109705;353.0 9.0 109706;30577.0 1546.0 109635;2691.0 91.0 109651;11164.0 135.0 109660;10855.0 238.0 109667;4201.0 160.0 109673;241.0 11.0 109675;6988.0 271.0 109683;4604.0 189.0 109689;3995.0 175.0 109690;13172.0 1076.0 109692;3194.0 97.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 968;109697 910;109698 932;109699 879;109700 891;109701 932;109702 878;109703 967;109704 920;109705 883;109706 914;109635 936;109651 929;109660 881;109667 862;109673 911;109675 937;109683 925;109689 921;109690 870;109692 875;109693 879
data,1241737500,1517734.0;56159.0;1522452.0;64510.0;1423597.0;52924.0;1522800.0;80958.0;1.14514301976;1.00471270465;1.43678968,3109.0 130.0 109696;2735.0 80.0 109697;2496.0 95.0 109698;2038.0 117.0 109699;1635.0 74.0 109700;1322.0 43.0 109701;1097.0 23.0 109702;5054.0 380.0 109703;1892.0 103.0 109704;849.0 37.0 109705;381.0 10.0 109706;30641.0 1549.0 109635;2737.0 92.0 109651;11200.0 135.0 109660;10885.0 239.0 109667;4235.0 161.0 109673;275.0 16.0 109675;7010.0 271.0 109683;4639.0 189.0 109689;4021.0 175.0 109690;13316.0 1082.0 109692;3238.0 99.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 903;109697 909;109698 951;109699 899;109700 867;109701 917;109702 880;109703 903;109704 962;109705 944;109706 883;109635 859;109651 873;109660 937;109667 930;109673 863;109675 920;109683 937;109689 899;109690 903;109692 936;109693 925
data,1241737800,1518622.0;56199.0;1523364.0;64546.0;1424495.0;52946.0;1523751.0;81001.0;1.14495058876;1.00436905949;1.43647302899,3148.0 135.0 109696;2761.0 80.0 109697;2535.0 95.0 109698;2075.0 118.0 109699;1665.0 74.0 109700;1352.0 44.0 109701;1137.0 23.0 109702;5126.0 384.0 109703;1921.0 104.0 109704;889.0 39.0 109705;403.0 10.0 109706;30719.0 1553.0 109635;2778.0 94.0 109651;11222.0 135.0 109660;10916.0 239.0 109667;4261.0 161.0 109673;350.0 21.0 109675;7028.0 271.0 109683;4671.0 190.0 109689;4049.0 176.0 109690;13437.0 1090.0 109692;3274.0 100.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 887;109698 921;109699 903;109700 831;109701 928;109702 939;109703 900;109704 932;109705 917;109706 934;109635 942;109651 880;109660 856;109667 904;109673 877;109675 914;109683 930;109689 923;109690 932;109692 922;109693 896
data,1241738100,1519552.0;56224.0;1524255.0;64579.0;1425440.0;52973.0;1524686.0;81036.0;1.14505807587;1.00438323275;1.43645296443,3180.0 135.0 109696;2791.0 80.0 109697;2566.0 95.0 109698;2097.0 119.0 109699;1692.0 74.0 109700;1378.0 44.0 109701;1160.0 23.0 109702;5208.0 390.0 109703;1946.0 105.0 109704;925.0 39.0 109705;430.0 11.0 109706;30769.0 1554.0 109635;2815.0 96.0 109651;11246.0 136.0 109660;10944.0 239.0 109667;4291.0 162.0 109673;440.0 27.0 109675;7052.0 271.0 109683;4697.0 191.0 109689;4083.0 177.0 109690;13590.0 1099.0 109692;3308.0 102.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 918;109697 940;109698 902;109699 939;109700 911;109701 948;109702 913;109703 833;109704 957;109705 898;109706 916;109635 943;109651 838;109660 925;109667 919;109673 922;109675 919;109683 882;109689 901;109690 917;109692 900;109693 859
data,1241738400,1520477.0;56254.0;1525167.0;64614.0;1426318.0;52995.0;1525568.0;81082.0;1.14507958949;1.00425725919;1.43654530916,3208.0 136.0 109696;2823.0 81.0 109697;2592.0 96.0 109698;2128.0 121.0 109699;1719.0 75.0 109700;1415.0 44.0 109701;1183.0 23.0 109702;5282.0 397.0 109703;1972.0 106.0 109704;956.0 41.0 109705;466.0 12.0 109706;30807.0 1554.0 109635;2844.0 96.0 109651;11279.0 137.0 109660;10977.0 239.0 109667;4327.0 163.0 109673;501.0 29.0 109675;7080.0 271.0 109683;4726.0 192.0 109689;4115.0 179.0 109690;13791.0 1110.0 109692;3329.0 102.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 897;109697 919;109698 927;109699 884;109700 888;109701 929;109702 976;109703 861;109704 891;109705 907;109706 910;109635 898;109651 883;109660 932;109667 875;109673 905;109675 903;109683 889;109689 923;109690 955;109692 915;109693 933
data,1241738700,1521410.0;56281.0;1526084.0;64659.0;1427232.0;53023.0;1526510.0;81118.0;1.14534152256;1.00427854056;1.43648813058,3239.0 136.0 109696;2850.0 81.0 109697;2627.0 96.0 109698;2154.0 122.0 109699;1747.0 77.0 109700;1437.0 44.0 109701;1212.0 23.0 109702;5392.0 403.0 109703;2008.0 107.0 109704;989.0 42.0 109705;500.0 13.0 109706;30842.0 1557.0 109635;2877.0 98.0 109651;11306.0 138.0 109660;11008.0 242.0 109667;4349.0 164.0 109673;550.0 30.0 109675;7115.0 271.0 109683;4759.0 193.0 109689;4147.0 182.0 109690;13975.0 1127.0 109692;3354.0 103.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 923;109698 1008;109699 872;109700 907;109701 863;109702 904;109703 906;109704 963;109705 892;109706 926;109635 921;109651 910;109660 880;109667 844;109673 926;109675 909;109683 909;109689 906;109690 945;109692 899;109693 875
data,1241739000,1522303.0;56313.0;1527029.0;64697.0;1428157.0;53070.0;1527378.0;81141.0;1.1453264671;1.00453615778;1.43610522974,3268.0 136.0 109696;2876.0 81.0 109697;2653.0 96.0 109698;2186.0 124.0 109699;1781.0 77.0 109700;1471.0 44.0 109701;1240.0 23.0 109702;5499.0 409.0 109703;2048.0 108.0 109704;1013.0 43.0 109705;527.0 16.0 109706;30875.0 1558.0 109635;2911.0 98.0 109651;11330.0 138.0 109660;11055.0 243.0 109667;4379.0 165.0 109673;576.0 32.0 109675;7144.0 272.0 109683;4795.0 194.0 109689;4176.0 182.0 109690;14181.0 1140.0 109692;3398.0 108.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 908;109697 948;109698 909;109699 925;109700 870;109701 922;109702 907;109703 923;109704 905;109705 892;109706 953;109635 925;109651 932;109660 938;109667 882;109673 963;109675 851;109683 883;109689 849;109690 898;109692 900;109693 917
data,1241739300,1523225.0;56351.0;1527948.0;64735.0;1429098.0;53102.0;1528324.0;81190.0;1.14523077388;1.00441062578;1.4359837981,3297.0 138.0 109696;2904.0 82.0 109697;2684.0 96.0 109698;2219.0 125.0 109699;1809.0 79.0 109700;1507.0 45.0 109701;1271.0 24.0 109702;5591.0 414.0 109703;2077.0 110.0 109704;1041.0 44.0 109705;556.0 17.0 109706;30901.0 1558.0 109635;2944.0 99.0 109651;11357.0 138.0 109660;11082.0 243.0 109667;4412.0 166.0 109673;617.0 34.0 109675;7178.0 273.0 109683;4826.0 194.0 109689;4203.0 182.0 109690;14403.0 1155.0 109692;3422.0 109.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 871;109697 955;109698 868;109699 901;109700 947;109701 876;109702 909;109703 961;109704 910;109705 956;109706 938;109635 930;109651 921;109660 848;109667 873;109673 900;109675 916;109683 889;109689 923;109690 952;109692 905;109693 851
data,1241739600,1524150.0;56380.0;1528839.0;64775.0;1429956.0;53129.0;1529258.0;81225.0;1.14537660382;1.00441133732;1.43585834905,3327.0 139.0 109696;2936.0 82.0 109697;2709.0 98.0 109698;2251.0 127.0 109699;1834.0 82.0 109700;1535.0 47.0 109701;1290.0 25.0 109702;5650.0 416.0 109703;2099.0 111.0 109704;1072.0 44.0 109705;579.0 17.0 109706;30937.0 1559.0 109635;2967.0 99.0 109651;11379.0 139.0 109660;11114.0 243.0 109667;4440.0 167.0 109673;658.0 36.0 109675;7204.0 273.0 109683;4861.0 196.0 109689;4227.0 184.0 109690;14672.0 1172.0 109692;3451.0 109.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 934;109698 912;109699 887;109700 931;109701 925;109702 884;109703 852;109704 930;109705 928;109706 911;109635 882;109651 965;109660 887;109667 933;109673 894;109675 888;109683 918;109689 939;109690 894;109692 866;109693 921
