data,1241842800,1792746.0;65348.0;1798185.0;74422.0;1687296.0;61744.0;1799514.0;93121.0;1.13541186482;1.00389882535;1.41964207746,11919.0 268.0 109697;4050.0 174.0 109711;470.0 17.0 109714;5568.0 150.0 109720;20462.0 1092.0 109721;5707.0 230.0 109722;4496.0 74.0 109723;3319.0 108.0 109725;3353.0 70.0 109726;3435.0 103.0 109728;2911.0 110.0 109732;1910.0 86.0 109734;2395.0 54.0 109735;5088.0 232.0 109737;2292.0 101.0 109742;3225.0 166.0 109743;1366.0 24.0 109744;1294.0 33.0 109745;2644.0 141.0 109746;980.0 27.0 109747;1508.0 80.0 109748;461.0 22.0 109749;20277.0 454.0 109667,109697.0 16553;109711.0 16553;109714.0 16553;109720.0 16553;109721.0 16553;109722.0 16553;109723.0 16553;109725.0 16553;109726.0 16553;109728.0 16553;109732.0 16553;109734.0 16553;109735.0 16553;109737.0 16553;109742.0 16553;109743.0 16553;109744.0 16553;109745.0 16553;109746.0 16553;109747.0 16553;109748.0 16553;109749.0 16553;109667.0 16553,109697 746;109711 695;109714 741;109720 752;109721 714;109722 766;109723 742;109725 760;109726 696;109728 682;109732 722;109734 752;109735 728;109737 692;109742 726;109743 731;109744 709;109745 685;109746 709;109747 684;109748 763;109749 692;109667 666
data,1241843100,1792894.0;65357.0;1798314.0;74426.0;1687429.0;61748.0;1799650.0;93132.0;1.13532880848;1.00382935504;1.41962416539,11927.0 268.0 109697;4053.0 174.0 109711;472.0 17.0 109714;5579.0 150.0 109720;20466.0 1093.0 109721;5715.0 230.0 109722;4498.0 74.0 109723;3323.0 108.0 109725;3357.0 70.0 109726;3444.0 103.0 109728;2917.0 110.0 109732;1916.0 87.0 109734;2402.0 54.0 109735;5094.0 232.0 109737;2298.0 103.0 109742;3230.0 166.0 109743;1370.0 24.0 109744;1297.0 33.0 109745;2652.0 141.0 109746;984.0 27.0 109747;1515.0 80.0 109748;469.0 22.0 109749;20281.0 454.0 109667,109697.0 3447;109711.0 3447;109714.0 3447;109720.0 3447;109721.0 3447;109722.0 3447;109723.0 3447;109725.0 3447;109726.0 3447;109728.0 3447;109732.0 3447;109734.0 3447;109735.0 3447;109737.0 3447;109742.0 3447;109743.0 3447;109744.0 3447;109745.0 3447;109746.0 3447;109747.0 3447;109748.0 3447;109749.0 3447;109667.0 3447,109697 166;109711 135;109714 125;109720 169;109721 141;109722 152;109723 158;109725 140;109726 160;109728 166;109732 135;109734 143;109735 144;109737 157;109742 130;109743 155;109744 164;109745 177;109746 133;109747 151;109748 143;109749 154;109667 149
data,1241843400,1793728.0;65391.0;1799186.0;74460.0;1688253.0;61771.0;1800530.0;93171.0;1.13523449075;1.00365790741;1.41944641895,11982.0 272.0 109697;4090.0 176.0 109711;508.0 17.0 109714;5612.0 151.0 109720;20545.0 1099.0 109721;5737.0 230.0 109722;4545.0 75.0 109723;3354.0 108.0 109725;3384.0 71.0 109726;3472.0 103.0 109728;2947.0 110.0 109732;1969.0 90.0 109734;2428.0 55.0 109735;5133.0 235.0 109737;2370.0 107.0 109742;3265.0 166.0 109743;1396.0 24.0 109744;1325.0 34.0 109745;2692.0 144.0 109746;1011.0 27.0 109747;1552.0 82.0 109748;501.0 24.0 109749;20313.0 454.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 845;109711 900;109714 881;109720 880;109721 872;109722 835;109723 927;109725 896;109726 869;109728 836;109732 896;109734 854;109735 835;109737 883;109742 892;109743 909;109744 819;109745 835;109746 873;109747 841;109748 844;109749 906;109667 872
data,1241844000,1794581.0;65425.0;1800068.0;74495.0;1689124.0;61797.0;1801467.0;93222.0;1.13516122257;1.00351806224;1.41942169619,12017.0 273.0 109697;4122.0 178.0 109711;539.0 18.0 109714;5641.0 151.0 109720;20630.0 1103.0 109721;5762.0 230.0 109722;4571.0 75.0 109723;3384.0 109.0 109725;3400.0 71.0 109726;3495.0 103.0 109728;2977.0 111.0 109732;2025.0 96.0 109734;2454.0 56.0 109735;5185.0 236.0 109737;2465.0 114.0 109742;3306.0 168.0 109743;1429.0 24.0 109744;1365.0 34.0 109745;2731.0 145.0 109746;1044.0 27.0 109747;1586.0 85.0 109748;540.0 28.0 109749;20345.0 454.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 874;109711 855;109714 874;109720 864;109721 833;109722 872;109723 844;109725 900;109726 831;109728 845;109732 830;109734 877;109735 887;109737 920;109742 922;109743 922;109744 851;109745 825;109746 868;109747 930;109748 824;109749 897;109667 855
data,1241844300,1795451.0;65451.0;1800971.0;74530.0;1689979.0;61821.0;1802386.0;93266.0;1.13522428323;1.00348754993;1.41949156641,12064.0 276.0 109697;4154.0 181.0 109711;567.0 20.0 109714;5673.0 154.0 109720;20686.0 1106.0 109721;5787.0 231.0 109722;4599.0 75.0 109723;3410.0 109.0 109725;3427.0 71.0 109726;3530.0 106.0 109728;3000.0 112.0 109732;2135.0 101.0 109734;2484.0 56.0 109735;5218.0 236.0 109737;2578.0 121.0 109742;3341.0 168.0 109743;1451.0 24.0 109744;1398.0 36.0 109745;2762.0 145.0 109746;1073.0 27.0 109747;1626.0 87.0 109748;583.0 28.0 109749;20370.0 454.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 879;109711 903;109714 848;109720 889;109721 875;109722 878;109723 854;109725 879;109726 812;109728 891;109732 871;109734 902;109735 802;109737 886;109742 924;109743 887;109744 844;109745 900;109746 818;109747 865;109748 821;109749 919;109667 853
data,1241844900,1796370.0;65482.0;1801877.0;74568.0;1690847.0;61844.0;1803278.0;93308.0;1.13527535803;1.00338387716;1.41948253836,12103.0 276.0 109697;4214.0 186.0 109711;596.0 20.0 109714;5702.0 154.0 109720;20763.0 1111.0 109721;5806.0 233.0 109722;4619.0 75.0 109723;3430.0 110.0 109725;3454.0 71.0 109726;3558.0 106.0 109728;3035.0 113.0 109732;2194.0 105.0 109734;2506.0 56.0 109735;5248.0 237.0 109737;2757.0 134.0 109742;3374.0 169.0 109743;1483.0 24.0 109744;1432.0 36.0 109745;2795.0 148.0 109746;1093.0 28.0 109747;1651.0 87.0 109748;605.0 29.0 109749;20404.0 454.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 864;109711 918;109714 833;109720 863;109721 860;109722 807;109723 858;109725 918;109726 828;109728 874;109732 821;109734 891;109735 881;109737 878;109742 878;109743 889;109744 892;109745 911;109746 913;109747 885;109748 863;109749 836;109667 839
data,1241845500,1797293.0;65508.0;1802717.0;74599.0;1691726.0;61873.0;1804155.0;93347.0;1.13535060063;1.00344989629;1.41955120051,12135.0 276.0 109697;4277.0 191.0 109711;616.0 20.0 109714;5724.0 154.0 109720;20816.0 1112.0 109721;5832.0 233.0 109722;4642.0 76.0 109723;3447.0 111.0 109725;3471.0 71.0 109726;3587.0 106.0 109728;3062.0 115.0 109732;2301.0 110.0 109734;2536.0 56.0 109735;5277.0 239.0 109737;2881.0 139.0 109742;3406.0 170.0 109743;1512.0 26.0 109744;1456.0 37.0 109745;2827.0 148.0 109746;1119.0 28.0 109747;1678.0 89.0 109748;628.0 31.0 109749;20432.0 455.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 864;109711 853;109714 896;109720 881;109721 879;109722 884;109723 843;109725 825;109726 854;109728 898;109732 869;109734 867;109735 832;109737 887;109742 881;109743 829;109744 867;109745 867;109746 901;109747 889;109748 823;109749 935;109667 876
data,1241846100,1798132.0;65540.0;1803603.0;74630.0;1692599.0;61892.0;1805010.0;93381.0;1.13523984436;1.00321858673;1.41936483389,12153.0 276.0 109697;4409.0 198.0 109711;636.0 20.0 109714;5749.0 154.0 109720;20892.0 1119.0 109721;5849.0 234.0 109722;4671.0 77.0 109723;3468.0 111.0 109725;3490.0 71.0 109726;3618.0 106.0 109728;3093.0 117.0 109732;2369.0 111.0 109734;2561.0 57.0 109735;5306.0 239.0 109737;2999.0 142.0 109742;3433.0 171.0 109743;1537.0 26.0 109744;1478.0 37.0 109745;2856.0 150.0 109746;1148.0 30.0 109747;1718.0 90.0 109748;662.0 32.0 109749;20453.0 456.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 837;109711 888;109714 895;109720 860;109721 941;109722 854;109723 852;109725 885;109726 841;109728 874;109732 932;109734 849;109735 862;109737 896;109742 838;109743 893;109744 889;109745 851;109746 835;109747 875;109748 855;109749 865;109667 833
data,1241846700,1799006.0;65563.0;1804500.0;74665.0;1693495.0;61921.0;1805848.0;93429.0;1.13536101372;1.00329312639;1.41962716844,12183.0 276.0 109697;4547.0 204.0 109711;664.0 21.0 109714;5781.0 156.0 109720;21016.0 1123.0 109721;5874.0 234.0 109722;4697.0 78.0 109723;3490.0 112.0 109725;3516.0 71.0 109726;3646.0 106.0 109728;3111.0 117.0 109732;2406.0 111.0 109734;2581.0 58.0 109735;5332.0 242.0 109737;3108.0 149.0 109742;3462.0 172.0 109743;1558.0 26.0 109744;1504.0 37.0 109745;2879.0 150.0 109746;1175.0 32.0 109747;1733.0 91.0 109748;702.0 37.0 109749;20480.0 456.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 905;109711 877;109714 852;109720 919;109721 874;109722 860;109723 897;109725 876;109726 909;109728 894;109732 864;109734 855;109735 862;109737 870;109742 861;109743 834;109744 873;109745 850;109746 832;109747 841;109748 858;109749 896;109667 841
data,1241847300,1799913.0;65597.0;1805300.0;74690.0;1694385.0;61951.0;1806749.0;93465.0;1.13522151423;1.00323750349;1.41944550252,12208.0 276.0 109697;4635.0 207.0 109711;700.0 24.0 109714;5808.0 156.0 109720;21086.0 1125.0 109721;5896.0 234.0 109722;4718.0 78.0 109723;3513.0 113.0 109725;3530.0 71.0 109726;3679.0 107.0 109728;3132.0 117.0 109732;2429.0 111.0 109734;2616.0 60.0 109735;5352.0 242.0 109737;3227.0 152.0 109742;3488.0 174.0 109743;1587.0 27.0 109744;1538.0 37.0 109745;2901.0 152.0 109746;1197.0 33.0 109747;1760.0 92.0 109748;748.0 40.0 109749;20497.0 456.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 836;109711 845;109714 869;109720 835;109721 856;109722 853;109723 875;109725 826;109726 830;109728 910;109732 923;109734 842;109735 874;109737 901;109742 865;109743 912;109744 837;109745 876;109746 878;109747 881;109748 965;109749 878;109667 833
data,1241847900,1800798.0;65625.0;1806151.0;74721.0;1695265.0;61974.0;1807622.0;93510.0;1.13523115901;1.00315401401;1.41953505539,12230.0 276.0 109697;4763.0 217.0 109711;732.0 24.0 109714;5840.0 158.0 109720;21154.0 1128.0 109721;5920.0 235.0 109722;4745.0 78.0 109723;3538.0 113.0 109725;3551.0 71.0 109726;3712.0 108.0 109728;3151.0 117.0 109732;2465.0 114.0 109734;2635.0 60.0 109735;5377.0 242.0 109737;3324.0 157.0 109742;3504.0 176.0 109743;1617.0 27.0 109744;1566.0 38.0 109745;2928.0 153.0 109746;1219.0 33.0 109747;1784.0 92.0 109748;815.0 42.0 109749;20526.0 456.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 859;109711 858;109714 916;109720 835;109721 906;109722 836;109723 864;109725 844;109726 813;109728 886;109732 887;109734 860;109735 932;109737 847;109742 887;109743 856;109744 812;109745 856;109746 918;109747 894;109748 896;109749 875;109667 863
