data,1241395200,526875.0;18671.0;529329.0;20667.0;496318.0;17068.0;531858.0;25330.0;1.10177208436;0.970426440974;1.34393884437,5523.0 151.0 109569;6006.0 236.0 109572;2661.0 98.0 109573;3676.0 152.0 109574;2257.0 74.0 109575;2390.0 91.0 109576;4154.0 184.0 109577;1559.0 38.0 109578;2232.0 87.0 109579;1390.0 53.0 109580;1089.0 46.0 109581;2944.0 151.0 109582;296.0 4.0 109583;201.0 11.0 109585;192.0 2.0 109586;14723.0 539.0 109476;3911.0 145.0 109517;21874.0 863.0 109524;13814.0 178.0 109536;2879.0 112.0 109539;15624.0 614.0 109551;9906.0 339.0 109561,109569.0 9853;109572.0 9853;109573.0 9853;109574.0 9853;109575.0 9853;109576.0 9853;109577.0 9853;109578.0 9853;109579.0 9853;109580.0 9853;109581.0 9853;109582.0 9853;109583.0 9853;109585.0 9853;109586.0 9853;109476.0 9853;109517.0 9853;109524.0 9853;109536.0 9853;109539.0 9853;109551.0 9853;109561.0 9853,109569 459;109572 458;109573 500;109574 436;109575 425;109576 453;109577 426;109578 439;109579 430;109580 472;109581 433;109582 453;109583 433;109585 452;109586 476;109476 430;109517 450;109524 445;109536 422;109539 438;109551 480;109561 443
data,1241395200,527311.0;18683.0;529767.0;20679.0;496790.0;17094.0;532371.0;25340.0;1.10170380285;0.971160637731;1.34342194349,5554.0 151.0 109569;6018.0 236.0 109572;2689.0 99.0 109573;3692.0 152.0 109574;2284.0 76.0 109575;2404.0 92.0 109576;4170.0 185.0 109577;1575.0 38.0 109578;2254.0 88.0 109579;1410.0 53.0 109580;1105.0 47.0 109581;2962.0 151.0 109582;310.0 4.0 109583;221.0 11.0 109585;206.0 2.0 109586;14752.0 540.0 109476;3929.0 145.0 109517;21897.0 865.0 109524;13839.0 178.0 109536;2898.0 114.0 109539;15643.0 614.0 109551;9927.0 339.0 109561,109569.0 10147;109572.0 10147;109573.0 10147;109574.0 10147;109575.0 10147;109576.0 10147;109577.0 10147;109578.0 10147;109579.0 10147;109580.0 10147;109581.0 10147;109582.0 10147;109583.0 10147;109585.0 10147;109586.0 10147;109476.0 10147;109517.0 10147;109524.0 10147;109536.0 10147;109539.0 10147;109551.0 10147;109561.0 10147,109569 519;109572 416;109573 469;109574 438;109575 484;109576 449;109577 409;109578 489;109579 441;109580 483;109581 475;109582 484;109583 477;109585 425;109586 426;109476 447;109517 430;109524 466;109536 469;109539 490;109551 474;109561 487
data,1241395800,528187.0;18716.0;530689.0;20713.0;497762.0;17131.0;533289.0;25369.0;1.10148247263;0.971260323057;1.3425033997,5583.0 151.0 109569;6058.0 238.0 109572;2724.0 101.0 109573;3726.0 152.0 109574;2329.0 76.0 109575;2444.0 94.0 109576;4243.0 188.0 109577;1610.0 39.0 109578;2328.0 95.0 109579;1452.0 55.0 109580;1143.0 47.0 109581;3020.0 155.0 109582;341.0 4.0 109583;255.0 12.0 109585;240.0 4.0 109586;14791.0 540.0 109476;3961.0 147.0 109517;21950.0 866.0 109524;13860.0 178.0 109536;2964.0 117.0 109539;15677.0 614.0 109551;9962.0 341.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 914;109572 929;109573 898;109574 905;109575 881;109576 920;109577 952;109578 922;109579 973;109580 873;109581 896;109582 923;109583 943;109585 889;109586 899;109476 884;109517 983;109524 884;109536 863;109539 875;109551 930;109561 864
data,1241396100,529100.0;18738.0;531597.0;20758.0;498674.0;17157.0;534185.0;25400.0;1.10259879405;0.971491830211;1.34263064247,5616.0 153.0 109569;6101.0 242.0 109572;2769.0 105.0 109573;3752.0 153.0 109574;2360.0 78.0 109575;2475.0 94.0 109576;4292.0 192.0 109577;1629.0 39.0 109578;2440.0 99.0 109579;1497.0 56.0 109580;1173.0 48.0 109581;3116.0 167.0 109582;371.0 4.0 109583;282.0 12.0 109585;282.0 5.0 109586;14837.0 543.0 109476;3998.0 148.0 109517;21986.0 868.0 109524;13887.0 178.0 109536;3007.0 119.0 109539;15703.0 615.0 109551;9996.0 341.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 863;109572 943;109573 923;109574 872;109575 937;109576 933;109577 897;109578 903;109579 946;109580 987;109581 907;109582 925;109583 877;109585 885;109586 879;109476 884;109517 920;109524 898;109536 893;109539 886;109551 888;109561 954
data,1241396400,529984.0;18766.0;532502.0;20786.0;499553.0;17180.0;535125.0;25427.0;1.1024038628;0.971253584729;1.34193329634,5644.0 153.0 109569;6171.0 245.0 109572;2847.0 109.0 109573;3784.0 153.0 109574;2403.0 80.0 109575;2504.0 95.0 109576;4336.0 195.0 109577;1658.0 40.0 109578;2488.0 100.0 109579;1527.0 58.0 109580;1201.0 48.0 109581;3254.0 170.0 109582;412.0 4.0 109583;311.0 13.0 109585;316.0 5.0 109586;14885.0 547.0 109476;4021.0 148.0 109517;22011.0 869.0 109524;13914.0 178.0 109536;3040.0 120.0 109539;15724.0 616.0 109551;10023.0 341.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 869;109572 926;109573 909;109574 915;109575 922;109576 861;109577 837;109578 940;109579 900;109580 945;109581 889;109582 955;109583 924;109585 909;109586 876;109476 902;109517 918;109524 881;109536 909;109539 964;109551 935;109561 914
data,1241396700,530910.0;18788.0;533469.0;20817.0;500473.0;17212.0;536072.0;25474.0;1.1026795206;0.971831650027;1.34280940611,5671.0 153.0 109569;6259.0 250.0 109572;2898.0 109.0 109573;3818.0 153.0 109574;2454.0 84.0 109575;2531.0 96.0 109576;4406.0 198.0 109577;1685.0 40.0 109578;2536.0 103.0 109579;1556.0 58.0 109580;1236.0 49.0 109581;3370.0 174.0 109582;447.0 4.0 109583;354.0 14.0 109585;339.0 5.0 109586;14960.0 550.0 109476;4044.0 149.0 109517;22054.0 870.0 109524;13940.0 178.0 109536;3073.0 121.0 109539;15757.0 619.0 109551;10053.0 341.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 865;109572 914;109573 926;109574 901;109575 960;109576 875;109577 919;109578 896;109579 933;109580 838;109581 867;109582 909;109583 920;109585 952;109586 831;109476 980;109517 968;109524 927;109536 885;109539 882;109551 924;109561 928
data,1241397000,531770.0;18814.0;534435.0;20855.0;501406.0;17245.0;536988.0;25510.0;1.10295551114;0.972112136628;1.34272962519,5703.0 157.0 109569;6347.0 254.0 109572;2942.0 111.0 109573;3843.0 153.0 109574;2518.0 86.0 109575;2568.0 97.0 109576;4454.0 199.0 109577;1717.0 40.0 109578;2621.0 107.0 109579;1593.0 61.0 109580;1269.0 50.0 109581;3470.0 178.0 109582;474.0 4.0 109583;380.0 14.0 109585;371.0 5.0 109586;15002.0 552.0 109476;4077.0 152.0 109517;22093.0 870.0 109524;13969.0 179.0 109536;3109.0 124.0 109539;15799.0 621.0 109551;10088.0 342.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 881;109572 972;109573 932;109574 864;109575 919;109576 896;109577 896;109578 953;109579 939;109580 933;109581 836;109582 922;109583 921;109585 931;109586 901;109476 894;109517 910;109524 881;109536 879;109539 868;109551 918;109561 954
data,1241397300,532687.0;18838.0;535338.0;20884.0;502303.0;17274.0;537875.0;25547.0;1.10312040499;0.972443659191;1.34306135968,5732.0 159.0 109569;6452.0 258.0 109572;2983.0 112.0 109573;3871.0 154.0 109574;2555.0 87.0 109575;2603.0 97.0 109576;4486.0 199.0 109577;1743.0 40.0 109578;2692.0 112.0 109579;1629.0 62.0 109580;1301.0 51.0 109581;3556.0 182.0 109582;504.0 5.0 109583;407.0 17.0 109585;403.0 5.0 109586;15066.0 555.0 109476;4109.0 153.0 109517;22121.0 870.0 109524;13999.0 179.0 109536;3144.0 125.0 109539;15827.0 621.0 109551;10127.0 342.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 911;109572 920;109573 912;109574 881;109575 895;109576 936;109577 893;109578 911;109579 942;109580 986;109581 917;109582 879;109583 905;109585 890;109586 877;109476 940;109517 857;109524 934;109536 936;109539 877;109551 931;109561 870
data,1241397600,533578.0;18874.0;536296.0;20910.0;503241.0;17303.0;538784.0;25569.0;1.10225845595;0.972029298037;1.34163079138,5762.0 160.0 109569;6574.0 261.0 109572;3020.0 112.0 109573;3897.0 154.0 109574;2579.0 88.0 109575;2631.0 99.0 109576;4518.0 200.0 109577;1774.0 41.0 109578;2785.0 112.0 109579;1657.0 63.0 109580;1328.0 51.0 109581;3691.0 185.0 109582;546.0 6.0 109583;427.0 21.0 109585;430.0 5.0 109586;15131.0 557.0 109476;4133.0 154.0 109517;22154.0 873.0 109524;14036.0 179.0 109536;3176.0 126.0 109539;15863.0 622.0 109551;10156.0 342.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 921;109572 889;109573 915;109574 929;109575 849;109576 862;109577 904;109578 933;109579 999;109580 927;109581 867;109582 933;109583 933;109585 871;109586 928;109476 927;109517 902;109524 926;109536 912;109539 878;109551 914;109561 881
data,1241397900,534512.0;18903.0;537245.0;20942.0;504205.0;17334.0;539669.0;25605.0;1.10223068793;0.972116622991;1.34160304034,5795.0 162.0 109569;6645.0 262.0 109572;3054.0 113.0 109573;3925.0 155.0 109574;2639.0 90.0 109575;2665.0 100.0 109576;4560.0 201.0 109577;1804.0 41.0 109578;2849.0 115.0 109579;1685.0 63.0 109580;1356.0 54.0 109581;3845.0 193.0 109582;569.0 6.0 109583;467.0 21.0 109585;456.0 5.0 109586;15196.0 558.0 109476;4165.0 155.0 109517;22186.0 874.0 109524;14063.0 181.0 109536;3200.0 127.0 109539;15897.0 623.0 109551;10196.0 344.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 893;109572 950;109573 945;109574 853;109575 952;109576 921;109577 870;109578 926;109579 910;109580 912;109581 936;109582 881;109583 975;109585 887;109586 894;109476 964;109517 859;109524 934;109536 867;109539 846;109551 938;109561 887
data,1241398200,535396.0;18931.0;538094.0;20977.0;505140.0;17352.0;540556.0;25644.0;1.10252080985;0.971492262123;1.34167288453,5835.0 164.0 109569;6701.0 265.0 109572;3080.0 114.0 109573;3944.0 157.0 109574;2669.0 90.0 109575;2694.0 100.0 109576;4593.0 201.0 109577;1829.0 42.0 109578;2919.0 118.0 109579;1714.0 63.0 109580;1385.0 55.0 109581;4000.0 202.0 109582;591.0 7.0 109583;496.0 22.0 109585;479.0 5.0 109586;15235.0 558.0 109476;4208.0 158.0 109517;22211.0 875.0 109524;14087.0 181.0 109536;3241.0 129.0 109539;15919.0 625.0 109551;10236.0 347.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 892;109572 928;109573 865;109574 932;109575 894;109576 940;109577 907;109578 900;109579 889;109580 946;109581 939;109582 893;109583 905;109585 879;109586 875;109476 879;109517 938;109524 871;109536 943;109539 896;109551 909;109561 980
data,1241398500,536258.0;18959.0;538966.0;21010.0;506030.0;17382.0;541452.0;25681.0;1.10261282802;0.971587320244;1.34156069602,5863.0 165.0 109569;6784.0 269.0 109572;3106.0 114.0 109573;3971.0 158.0 109574;2687.0 91.0 109575;2730.0 103.0 109576;4621.0 201.0 109577;1869.0 43.0 109578;2966.0 119.0 109579;1741.0 65.0 109580;1412.0 56.0 109581;4183.0 210.0 109582;621.0 10.0 109583;527.0 23.0 109585;507.0 6.0 109586;15278.0 559.0 109476;4234.0 158.0 109517;22239.0 876.0 109524;14117.0 181.0 109536;3269.0 129.0 109539;15947.0 627.0 109551;10266.0 348.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 932;109572 949;109573 934;109574 877;109575 851;109576 917;109577 929;109578 918;109579 859;109580 960;109581 886;109582 879;109583 896;109585 901;109586 948;109476 893;109517 861;109524 935;109536 854;109539 951;109551 947;109561 923
