data,1241739900,1525149.0;56267.0;1532932.0;71878.0;1430774.0;53813.0;1539306.0;78661.0;1.27095919684;1.01947053545;1.38513790755;1.08611598757,2085.0 78.0 109696;1510.0 30.0 109697;2182.0 80.0 109698;3489.0 191.0 109699;2040.0 93.0 109700;1032.0 32.0 109701;713.0 14.0 109702;3371.0 208.0 109703;4019.0 231.0 109704;767.0 28.0 109705;486.0 16.0 109706;34048.0 1643.0 109635;1930.0 75.0 109651;5967.0 70.0 109660;6380.0 171.0 109667;3058.0 129.0 109673;464.0 16.0 109675;4623.0 137.0 109683;5804.0 285.0 109689;3864.0 178.0 109690;21238.0 1707.0 109692;2041.0 60.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 962;109697 881;109698 955;109699 907;109700 900;109701 858;109702 901;109703 961;109704 920;109705 958;109706 894;109635 842;109651 890;109660 908;109667 884;109673 896;109675 942;109683 917;109689 886;109690 941;109692 899;109693 898
data,1241740200,1526054.0;56301.0;1533810.0;71920.0;1431724.0;53836.0;1540236.0;78704.0;1.27096007059;1.01921843943;1.38504322772;1.08645006447,2122.0 79.0 109696;1522.0 30.0 109697;2196.0 80.0 109698;3522.0 192.0 109699;2052.0 94.0 109700;1065.0 33.0 109701;727.0 15.0 109702;3778.0 230.0 109703;4098.0 240.0 109704;781.0 28.0 109705;516.0 18.0 109706;34063.0 1644.0 109635;1937.0 75.0 109651;5977.0 71.0 109660;6396.0 171.0 109667;3063.0 129.0 109673;477.0 16.0 109675;4636.0 137.0 109683;5823.0 285.0 109689;3916.0 180.0 109690;21264.0 1707.0 109692;2058.0 60.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 904;109697 894;109698 930;109699 914;109700 900;109701 929;109702 891;109703 920;109704 934;109705 874;109706 937;109635 900;109651 886;109660 938;109667 861;109673 925;109675 930;109683 919;109689 888;109690 938;109692 889;109693 899
data,1241740500,1527002.0;56327.0;1534682.0;71967.0;1432627.0;53866.0;1541194.0;78759.0;1.27127054468;1.01930599772;1.38537028582;1.08679144045,2160.0 81.0 109696;1537.0 30.0 109697;2210.0 82.0 109698;3564.0 196.0 109699;2064.0 95.0 109700;1107.0 36.0 109701;733.0 15.0 109702;4161.0 252.0 109703;4211.0 246.0 109704;795.0 29.0 109705;536.0 18.0 109706;34084.0 1644.0 109635;1947.0 75.0 109651;5991.0 71.0 109660;6403.0 171.0 109667;3075.0 129.0 109673;491.0 17.0 109675;4649.0 137.0 109683;5834.0 285.0 109689;3945.0 180.0 109690;21290.0 1711.0 109692;2074.0 61.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 931;109697 910;109698 948;109699 913;109700 916;109701 932;109702 923;109703 887;109704 885;109705 923;109706 910;109635 932;109651 878;109660 878;109667 897;109673 901;109675 958;109683 970;109689 883;109690 881;109692 850;109693 894
data,1241740800,1527946.0;56352.0;1535658.0;72010.0;1433579.0;53905.0;1542109.0;78817.0;1.27144323666;1.0195442776;1.3858093914;1.08714263289,2204.0 82.0 109696;1553.0 30.0 109697;2225.0 82.0 109698;3604.0 197.0 109699;2075.0 96.0 109700;1150.0 37.0 109701;747.0 15.0 109702;4613.0 281.0 109703;4320.0 252.0 109704;806.0 29.0 109705;558.0 18.0 109706;34102.0 1644.0 109635;1956.0 75.0 109651;6003.0 71.0 109660;6410.0 171.0 109667;3083.0 129.0 109673;514.0 19.0 109675;4662.0 137.0 109683;5850.0 285.0 109689;3979.0 181.0 109690;21335.0 1711.0 109692;2088.0 62.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 921;109697 912;109698 926;109699 929;109700 887;109701 824;109702 892;109703 940;109704 869;109705 940;109706 949;109635 917;109651 925;109660 873;109667 862;109673 919;109675 915;109683 947;109689 888;109690 932;109692 946;109693 887
data,1241741100,1528834.0;56382.0;1536560.0;72043.0;1434477.0;53937.0;1542928.0;78845.0;1.27134119983;1.01956062093;1.38563342914;1.08734589552,2235.0 83.0 109696;1563.0 30.0 109697;2245.0 82.0 109698;3672.0 201.0 109699;2084.0 96.0 109700;1179.0 37.0 109701;766.0 15.0 109702;5032.0 294.0 109703;4432.0 258.0 109704;816.0 29.0 109705;577.0 19.0 109706;34119.0 1646.0 109635;1963.0 76.0 109651;6012.0 71.0 109660;6419.0 171.0 109667;3094.0 131.0 109673;525.0 19.0 109675;4677.0 137.0 109683;5867.0 285.0 109689;4001.0 181.0 109690;21363.0 1714.0 109692;2098.0 62.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 935;109697 889;109698 909;109699 910;109700 946;109701 900;109702 908;109703 962;109704 910;109705 855;109706 912;109635 928;109651 909;109660 875;109667 907;109673 908;109675 819;109683 929;109689 906;109690 922;109692 928;109693 933
data,1241741400,1529710.0;56409.0;1537459.0;72095.0;1435363.0;53962.0;1543860.0;78884.0;1.27163451772;1.0194994494;1.38561225003;1.08746563546,2256.0 83.0 109696;1579.0 31.0 109697;2264.0 82.0 109698;3713.0 202.0 109699;2096.0 97.0 109700;1192.0 37.0 109701;782.0 15.0 109702;5442.0 323.0 109703;4544.0 264.0 109704;830.0 29.0 109705;598.0 20.0 109706;34133.0 1646.0 109635;1976.0 76.0 109651;6027.0 71.0 109660;6429.0 172.0 109667;3110.0 131.0 109673;543.0 20.0 109675;4687.0 138.0 109683;5881.0 288.0 109689;4020.0 182.0 109690;21422.0 1718.0 109692;2114.0 64.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 913;109698 914;109699 964;109700 909;109701 885;109702 949;109703 891;109704 898;109705 871;109706 890;109635 892;109651 926;109660 876;109667 929;109673 858;109675 932;109683 993;109689 900;109690 891;109692 903;109693 904
data,1241741700,1530603.0;56442.0;1538399.0;72152.0;1436320.0;53994.0;1544799.0;78922.0;1.2718607082;1.01942307593;1.38543536242;1.08765304571,2275.0 85.0 109696;1591.0 32.0 109697;2285.0 83.0 109698;3747.0 203.0 109699;2112.0 98.0 109700;1214.0 38.0 109701;800.0 15.0 109702;5852.0 350.0 109703;4667.0 272.0 109704;842.0 29.0 109705;612.0 20.0 109706;34154.0 1649.0 109635;1991.0 79.0 109651;6043.0 71.0 109660;6440.0 172.0 109667;3124.0 131.0 109673;559.0 20.0 109675;4699.0 138.0 109683;5898.0 288.0 109689;4039.0 183.0 109690;21493.0 1724.0 109692;2141.0 66.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 890;109697 889;109698 945;109699 863;109700 923;109701 919;109702 955;109703 929;109704 905;109705 881;109706 877;109635 905;109651 915;109660 906;109667 863;109673 927;109675 939;109683 915;109689 905;109690 910;109692 938;109693 901
data,1241742000,1531495.0;56471.0;1539335.0;72190.0;1437213.0;54020.0;1545677.0;78965.0;1.27184446009;1.01935051782;1.38549830885;1.08783475216,2295.0 85.0 109696;1601.0 32.0 109697;2304.0 83.0 109698;3780.0 203.0 109699;2131.0 98.0 109700;1227.0 38.0 109701;812.0 15.0 109702;6275.0 369.0 109703;4779.0 275.0 109704;855.0 29.0 109705;622.0 20.0 109706;34170.0 1650.0 109635;2005.0 81.0 109651;6056.0 71.0 109660;6454.0 175.0 109667;3136.0 131.0 109673;571.0 20.0 109675;4712.0 138.0 109683;5915.0 288.0 109689;4057.0 184.0 109690;21592.0 1731.0 109692;2165.0 68.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 937;109698 951;109699 863;109700 862;109701 944;109702 899;109703 895;109704 946;109705 915;109706 894;109635 901;109651 896;109660 922;109667 898;109673 890;109675 878;109683 885;109689 941;109690 918;109692 949;109693 897
data,1241742300,1532403.0;56506.0;1540256.0;72233.0;1438168.0;54057.0;1546556.0;79016.0;1.27180688467;1.01934394416;1.38556791797;1.08792622076,2324.0 87.0 109696;1615.0 33.0 109697;2316.0 84.0 109698;3802.0 205.0 109699;2144.0 98.0 109700;1235.0 38.0 109701;825.0 15.0 109702;6723.0 392.0 109703;4891.0 281.0 109704;869.0 29.0 109705;636.0 20.0 109706;34189.0 1650.0 109635;2027.0 82.0 109651;6063.0 71.0 109660;6461.0 176.0 109667;3147.0 133.0 109673;581.0 20.0 109675;4722.0 138.0 109683;5924.0 289.0 109689;4072.0 184.0 109690;21685.0 1734.0 109692;2184.0 68.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 913;109697 880;109698 933;109699 918;109700 902;109701 924;109702 904;109703 951;109704 926;109705 900;109706 915;109635 893;109651 911;109660 950;109667 942;109673 911;109675 879;109683 870;109689 888;109690 953;109692 879;109693 858
data,1241742600,1533341.0;56534.0;1541203.0;72280.0;1439045.0;54082.0;1547447.0;79050.0;1.27200064649;1.01931262382;1.38552741914;1.08814191645,2366.0 91.0 109696;1626.0 33.0 109697;2331.0 84.0 109698;3830.0 207.0 109699;2159.0 101.0 109700;1248.0 38.0 109701;842.0 15.0 109702;7116.0 413.0 109703;5036.0 290.0 109704;882.0 29.0 109705;652.0 21.0 109706;34208.0 1650.0 109635;2054.0 83.0 109651;6073.0 71.0 109660;6478.0 176.0 109667;3157.0 133.0 109673;595.0 21.0 109675;4733.0 138.0 109683;5932.0 290.0 109689;4084.0 184.0 109690;21778.0 1738.0 109692;2202.0 68.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 930;109697 910;109698 942;109699 854;109700 891;109701 935;109702 962;109703 894;109704 921;109705 919;109706 906;109635 856;109651 851;109660 880;109667 876;109673 953;109675 891;109683 937;109689 923;109690 958;109692 882;109693 929
data,1241742900,1534223.0;56558.0;1542130.0;72314.0;1439965.0;54109.0;1548455.0;79102.0;1.27202557905;1.01932345371;1.38574500248;1.08849812475,2417.0 95.0 109696;1635.0 33.0 109697;2344.0 84.0 109698;3856.0 208.0 109699;2170.0 101.0 109700;1262.0 38.0 109701;852.0 15.0 109702;7478.0 426.0 109703;5213.0 302.0 109704;894.0 30.0 109705;664.0 21.0 109706;34223.0 1650.0 109635;2070.0 83.0 109651;6088.0 71.0 109660;6495.0 176.0 109667;3177.0 133.0 109673;608.0 21.0 109675;4748.0 138.0 109683;5946.0 291.0 109689;4100.0 184.0 109690;21856.0 1740.0 109692;2213.0 68.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 883;109698 931;109699 920;109700 937;109701 862;109702 900;109703 882;109704 899;109705 924;109706 855;109635 863;109651 884;109660 903;109667 933;109673 956;109675 1008;109683 888;109689 897;109690 952;109692 879;109693 912
